onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5,47.0,43.0,0.0,47.0,80.0
1.7770830000000002,51.0,53.0,0.5,51.0,80.0
3.052083,56.0,68.0,1.0,56.0,80.0
4.314583,52.0,55.0,1.5,52.0,80.0
5.583333,49.0,60.0,2.0,49.0,80.0
6.844792,58.0,66.0,2.5,58.0,80.0
8.165625,59.0,66.0,3.0,59.0,80.0
8.776042,58.0,56.0,3.25,58.0,80.0
9.058333,56.0,65.0,3.375,56.0,80.0
9.39375,54.0,59.0,3.5,54.0,80.0
9.955208,52.0,54.0,3.75,52.0,80.0
10.530208,51.0,46.0,4.0,51.0,80.0
10.536458,54.0,66.0,4.0,54.0,80.0
10.81875,49.0,53.0,4.125,49.0,80.0
11.152083,52.0,53.0,4.25,52.0,80.0
11.723958,58.0,64.0,4.5,58.0,80.0
12.264583,51.0,38.0,4.75,51.0,80.0
12.552083,49.0,49.0,4.875,49.0,80.0
12.86875,63.0,67.0,5.0,63.0,80.0
12.870833,47.0,49.0,5.0,47.0,80.0
13.15,54.0,41.0,5.125,54.0,80.0
13.432292,58.0,48.0,5.25,58.0,80.0
14.022917,59.0,69.0,5.5,59.0,80.0
14.569792,56.0,52.0,5.75,56.0,80.0
14.855208,54.0,51.0,5.875,54.0,80.0
15.130208,53.0,40.0,6.0,53.0,80.0
15.14375,56.0,67.0,6.0,56.0,80.0
15.445833,59.0,44.0,6.125,59.0,80.0
15.727083,63.0,44.0,6.25,63.0,80.0
16.283333,65.0,66.0,6.5,65.0,80.0
16.821875,61.0,52.0,6.75,61.0,80.0
17.098958,59.0,53.0,6.875,59.0,80.0
17.426042,66.0,66.0,7.0,66.0,80.0
17.432292,58.0,43.0,7.0,58.0,80.0
17.979167,65.0,56.0,7.25,65.0,80.0
17.995833,59.0,36.0,7.25,59.0,80.0
18.255208,63.0,65.0,7.375,63.0,80.0
18.551042,58.0,41.0,7.5,58.0,80.0
18.553125,61.0,59.0,7.5,61.0,80.0
19.120833,59.0,54.0,7.75,59.0,80.0
19.122917,56.0,37.0,7.75,56.0,80.0
19.679167,54.0,34.0,8.0,54.0,80.0
19.697917,58.0,57.0,8.0,58.0,80.0
19.975,56.0,65.0,8.125,56.0,80.0
20.25625,53.0,40.0,8.25,53.0,80.0
20.259375,59.0,63.0,8.25,59.0,80.0
20.552083,51.0,40.0,8.375,51.0,80.0
20.81875,49.0,40.0,8.5,49.0,80.0
21.097917,51.0,35.0,8.625,51.0,80.0
21.383333,58.0,38.0,8.75,58.0,80.0
21.408333,52.0,35.0,8.75,52.0,80.0
21.665625,56.0,55.0,8.875,56.0,80.0
21.982292,59.0,67.0,9.0,59.0,80.0
21.983333,54.0,35.0,9.0,54.0,80.0
22.279167,56.0,53.0,9.125,56.0,80.0
22.551042,57.0,49.0,9.25,57.0,80.0
22.573958,51.0,31.0,9.25,51.0,80.0
22.842708,49.0,43.0,9.375,49.0,80.0
23.152083,47.0,40.0,9.5,47.0,80.0
23.180208,63.0,67.0,9.5,63.0,80.0
23.751042,56.0,48.0,9.75,56.0,80.0
24.035417,54.0,36.0,9.875,54.0,80.0
24.346875,68.0,71.0,10.0,68.0,80.0
24.351042,52.0,34.0,10.0,52.0,80.0
24.689583,59.0,28.0,10.125,59.0,80.0
24.913542,63.0,42.0,10.25,63.0,80.0
25.170833,48.0,35.0,10.375,48.0,80.0
25.460417,49.0,38.0,10.5,49.0,80.0
25.473958,64.0,66.0,10.5,64.0,80.0
25.74375,51.0,57.0,10.625,51.0,80.0
26.020833,52.0,57.0,10.75,52.0,80.0
26.021875,61.0,50.0,10.75,61.0,80.0
26.277083,49.0,55.0,10.875,49.0,80.0
26.3,59.0,50.0,10.875,59.0,80.0
26.602083,54.0,55.0,11.0,54.0,80.0
26.607292,61.0,70.0,11.0,61.0,80.0
26.609375,58.0,40.0,11.0,58.0,80.0
26.907292,64.0,40.0,11.125,64.0,80.0
27.166667,68.0,51.0,11.25,68.0,80.0
27.44375,52.0,42.0,11.375,52.0,80.0
27.734375,70.0,74.0,11.5,70.0,80.0
27.771875,51.0,37.0,11.5,51.0,80.0
28.05,49.0,42.0,11.625,49.0,80.0
28.330208,51.0,42.0,11.75,51.0,80.0
28.333333,66.0,42.0,11.75,66.0,80.0
28.620833,64.0,53.0,11.875,64.0,80.0
28.957292,56.0,29.0,12.0,56.0,80.0
28.960417,71.0,67.0,12.0,71.0,80.0
28.99375,63.0,42.0,12.0,63.0,80.0
29.516667,44.0,33.0,12.25,44.0,80.0
29.522917,70.0,64.0,12.25,70.0,80.0
29.536458,64.0,48.0,12.25,64.0,80.0
