onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9822919999999999,48.0,78.0,0.0,48.0,80.0
0.9875,36.0,77.0,0.0,36.0,80.0
1.484375,72.0,87.0,0.125,72.0,80.0
1.86875,74.0,85.0,0.25,74.0,80.0
2.197917,76.0,92.0,0.375,76.0,80.0
2.494792,67.0,85.0,0.5,67.0,80.0
2.783333,76.0,88.0,0.625,76.0,80.0
3.039583,65.0,83.0,0.75,65.0,80.0
3.3,74.0,84.0,0.875,74.0,80.0
3.545833,64.0,76.0,1.0,64.0,80.0
3.6458329999999997,72.0,84.0,1.0625,72.0,80.0
3.7625,71.0,78.0,1.125,71.0,80.0
3.85625,69.0,80.0,1.1875,69.0,80.0
3.996875,67.0,82.0,1.25,67.0,80.0
4.239583,70.0,81.0,1.375,70.0,80.0
4.485417,64.0,79.0,1.5,64.0,80.0
4.726042,67.0,78.0,1.625,67.0,80.0
4.973958,60.0,70.0,1.75,60.0,80.0
5.210417,70.0,77.0,1.875,70.0,80.0
5.471875,69.0,69.0,2.0,69.0,80.0
5.577083,67.0,65.0,2.0625,67.0,80.0
5.682292,65.0,71.0,2.125,65.0,80.0
5.782292,64.0,79.0,2.1875,64.0,80.0
5.904167,65.0,72.0,2.25,65.0,80.0
6.154167,69.0,75.0,2.375,69.0,80.0
6.405208,62.0,73.0,2.5,62.0,80.0
6.660417,65.0,71.0,2.625,65.0,80.0
6.904167,57.0,72.0,2.75,57.0,80.0
7.155208,60.0,69.0,2.875,60.0,80.0
7.415625,59.0,70.0,3.0,59.0,80.0
7.679167,62.0,71.0,3.125,62.0,80.0
7.930208,64.0,77.0,3.25,64.0,80.0
8.170833,65.0,71.0,3.375,65.0,80.0
8.438542,55.0,65.0,3.5,55.0,80.0
8.690625,65.0,62.0,3.625,65.0,80.0
8.948958,64.0,76.0,3.75,64.0,80.0
9.201042,62.0,75.0,3.875,62.0,80.0
9.532292,64.0,77.0,4.0,64.0,80.0
9.883333,60.0,59.0,4.125,60.0,80.0
10.144792,59.0,62.0,4.25,59.0,80.0
10.386458,57.0,65.0,4.375,57.0,80.0
10.641667,55.0,58.0,4.5,55.0,80.0
10.898958,53.0,61.0,4.625,53.0,80.0
11.139583,52.0,63.0,4.75,52.0,80.0
11.377083,50.0,61.0,4.875,50.0,80.0
11.609375,48.0,58.0,5.0,48.0,80.0
11.726042,50.0,68.0,5.0625,50.0,80.0
11.820833,48.0,66.0,5.125,48.0,80.0
11.930208,47.0,66.0,5.1875,47.0,80.0
12.075,48.0,62.0,5.25,48.0,80.0
12.345833,52.0,64.0,5.375,52.0,80.0
12.607292,43.0,63.0,5.5,43.0,80.0
12.85625,46.0,64.0,5.625,46.0,80.0
13.115625,45.0,57.0,5.75,45.0,80.0
13.3625,43.0,57.0,5.875,43.0,80.0
13.651042,41.0,55.0,6.0,41.0,80.0
13.6625,57.0,52.0,6.0,57.0,80.0
13.960417,48.0,47.0,6.125,48.0,80.0
14.220833,50.0,57.0,6.25,50.0,80.0
14.45625,52.0,64.0,6.375,52.0,80.0
14.728125,53.0,53.0,6.5,53.0,80.0
14.985417,62.0,62.0,6.625,62.0,80.0
15.253125,52.0,59.0,6.75,52.0,80.0
15.505208,60.0,57.0,6.875,60.0,80.0
15.766667000000002,50.0,46.0,7.0,50.0,80.0
15.76875,59.0,63.0,7.0,59.0,80.0
15.785416999999999,55.0,39.0,7.0,55.0,80.0
16.022917,62.0,74.0,7.125,62.0,80.0
16.280208,67.0,69.0,7.25,67.0,80.0
