onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.0,48.0,27.0,0.0,48.0,49.0
1.00625,67.0,45.0,0.0,67.0,49.0
1.009375,63.0,31.0,0.0,63.0,49.0
2.103125,66.0,45.0,0.1875,66.0,49.0
2.409375,69.0,47.0,0.25,69.0,49.0
2.434375,54.0,42.0,0.25,54.0,49.0
3.6500000000000004,57.0,24.0,0.5,57.0,49.0
4.979167,54.0,23.0,0.75,54.0,49.0
6.376042,48.0,32.0,1.0,48.0,49.0
6.384375,67.0,47.0,1.0,67.0,49.0
6.385417,63.0,31.0,1.0,63.0,49.0
7.461458,66.0,45.0,1.1875,66.0,49.0
7.760417,54.0,38.0,1.25,54.0,49.0
7.791667,69.0,46.0,1.25,69.0,49.0
10.428125,69.0,58.0,1.75,69.0,49.0
10.464583,54.0,35.0,1.75,54.0,49.0
11.391667,75.0,65.0,1.9375,75.0,49.0
11.694792,75.0,67.0,2.0,75.0,49.0
13.044792,74.0,52.0,2.25,74.0,49.0
13.054167,55.0,19.0,2.25,55.0,49.0
13.085417,47.0,22.0,2.25,47.0,49.0
13.089583,62.0,23.0,2.25,62.0,49.0
14.113542,67.0,46.0,2.4375,67.0,49.0
14.417708,67.0,45.0,2.5,67.0,49.0
15.745833000000001,50.0,32.0,2.75,50.0,49.0
15.753125,66.0,34.0,2.75,66.0,49.0
15.765625,60.0,21.0,2.75,60.0,49.0
15.76875,57.0,29.0,2.75,57.0,49.0
16.711458,69.0,53.0,2.9375,69.0,49.0
17.002083,69.0,61.0,3.0,69.0,49.0
17.602083,71.0,57.0,3.125,71.0,49.0
18.182292,62.0,44.0,3.25,62.0,49.0
18.190625,59.0,37.0,3.25,59.0,49.0
18.203125,43.0,34.0,3.25,43.0,49.0
18.20625,55.0,29.0,3.25,55.0,49.0
19.265625,62.0,39.0,3.5,62.0,49.0
19.276042,59.0,40.0,3.5,59.0,49.0
19.28125,55.0,31.0,3.5,55.0,49.0
19.289583,43.0,36.0,3.5,43.0,49.0
19.971875,72.0,54.0,3.75,72.0,49.0
20.235417,69.0,68.0,3.7906250000000004,69.0,49.0
20.379167,71.0,68.0,3.769792,71.0,49.0
20.8875,72.0,60.0,3.875,72.0,49.0
21.488542,75.0,69.0,4.0,75.0,49.0
21.526042,53.0,43.0,4.0,53.0,49.0
21.548958,68.0,47.0,4.0,68.0,49.0
22.464583,74.0,68.0,4.1875,74.0,49.0
22.753125,59.0,57.0,4.25,59.0,49.0
22.757292,77.0,66.0,4.25,77.0,49.0
23.991667,62.0,49.0,4.5,62.0,49.0
25.288542,59.0,36.0,4.75,59.0,49.0
26.208333,74.0,62.0,4.875,74.0,49.0
26.347917,77.0,71.0,4.9375,77.0,49.0
26.522917,53.0,41.0,5.0,53.0,49.0
26.55625,75.0,69.0,5.0,74.0,49.0
26.579167,68.0,45.0,5.0,68.0,49.0
27.513542,74.0,55.0,5.1875,74.0,49.0
27.826042,77.0,51.0,5.25,77.0,49.0
27.840625,59.0,37.0,5.25,59.0,49.0
29.035417,62.0,32.0,5.5,62.0,49.0
30.298958,59.0,42.0,5.75,59.0,49.0
30.298958,74.0,65.0,5.75,74.0,49.0
31.241667,80.0,74.0,5.9375,80.0,49.0
31.564583,80.0,70.0,6.0,80.0,49.0
32.8375,79.0,55.0,6.25,79.0,49.0
32.844792,51.0,31.0,6.25,51.0,49.0
32.867708,60.0,26.0,6.25,60.0,49.0
32.875,67.0,38.0,6.25,67.0,49.0
33.802083,72.0,52.0,6.4375,72.0,49.0
34.097917,72.0,51.0,6.5,72.0,49.0
35.360417,55.0,29.0,6.75,55.0,49.0
35.377083,71.0,36.0,6.75,71.0,49.0
35.380208,62.0,33.0,6.75,62.0,49.0
35.383333,65.0,34.0,6.75,65.0,49.0
36.2875,74.0,54.0,6.9375,74.0,49.0
36.59375,74.0,69.0,7.0,74.0,49.0
37.20625,75.0,41.0,7.125,75.0,49.0
37.822917,63.0,39.0,7.25,63.0,49.0
37.84375,48.0,31.0,7.25,48.0,49.0
37.8625,60.0,21.0,7.25,60.0,49.0
39.052083,48.0,28.0,7.5,48.0,49.0
39.053125,63.0,37.0,7.5,63.0,49.0
39.05625,60.0,26.0,7.5,60.0,49.0
39.694792,60.0,36.0,7.625,60.0,49.0
39.697917,63.0,33.0,7.625,63.0,49.0
39.715625,68.0,58.0,7.625,68.0,49.0
40.253125,67.0,64.0,7.75,67.0,49.0
40.260417,61.0,43.0,7.75,61.0,49.0
40.283333,63.0,40.0,7.75,63.0,49.0
40.290625,58.0,47.0,7.75,58.0,49.0
40.833333,68.0,73.0,7.875,68.0,49.0
40.853125,60.0,39.0,7.875,60.0,49.0
40.858333,56.0,46.0,7.875,56.0,49.0
40.869792,63.0,55.0,7.875,63.0,49.0
41.464583,55.0,38.0,8.0,55.0,49.0
41.476042,58.0,39.0,8.0,58.0,49.0
41.482292,63.0,48.0,8.0,63.0,49.0
41.486458,72.0,68.0,8.0,72.0,49.0
42.332292,72.0,77.0,8.15625,72.0,49.0
42.45,70.0,71.0,8.125,70.0,49.0
42.598958,69.0,70.0,8.21875,69.0,49.0
42.740625,55.0,45.0,8.25,55.0,49.0
42.740625,58.0,52.0,8.25,58.0,49.0
42.740625,64.0,50.0,8.25,64.0,49.0
43.603125,72.0,81.0,8.4375,72.0,49.0
43.940625,73.0,83.0,8.5,73.0,49.0
44.476042,61.0,70.0,8.625,61.0,49.0
44.529167,56.0,56.0,8.625,56.0,49.0
44.53125,53.0,51.0,8.625,53.0,49.0
45.036458,60.0,67.0,8.75,60.0,49.0
45.045833,55.0,61.0,8.75,55.0,49.0
45.06875,52.0,51.0,8.75,52.0,49.0
45.291667,72.0,80.0,8.8125,72.0,49.0
45.613542,60.0,57.0,8.875,60.0,49.0
45.622917,55.0,50.0,8.875,55.0,49.0
45.642708,52.0,46.0,8.875,52.0,49.0
45.682292,82.0,82.0,8.875,82.0,49.0
45.96875,79.0,80.0,8.9375,79.0,49.0
46.390625,55.0,37.0,9.0,55.0,49.0
46.4125,60.0,48.0,9.0,60.0,49.0
46.432292,52.0,42.0,9.0,52.0,49.0
46.473958,79.0,75.0,9.375,82.0,49.0
48.91875,80.0,42.0,9.4375,80.0,49.0
50.583333,68.0,42.0,9.75,68.0,49.0
51.179167,67.0,45.0,9.875,67.0,49.0
51.811458,38.0,31.0,10.0,38.0,49.0
51.8125,67.0,57.0,10.0,67.0,49.0
51.826042,51.0,42.0,10.0,51.0,49.0
51.833333,60.0,37.0,10.0,60.0,49.0
51.851042,57.0,32.0,10.0,57.0,49.0
52.801042,66.0,54.0,10.1875,66.0,49.0
53.014583,42.0,44.0,10.25,42.0,49.0
53.070833,69.0,61.0,10.25,69.0,49.0
54.239583,45.0,43.0,10.5,45.0,49.0
55.541667,69.0,72.0,10.75,69.0,49.0
55.548958,58.0,50.0,10.75,58.0,49.0
55.554167,50.0,47.0,10.75,50.0,49.0
55.566667,62.0,52.0,10.75,62.0,49.0
55.571875,46.0,45.0,10.75,46.0,49.0
56.489583,67.0,72.0,10.9375,67.0,49.0
56.755208,57.0,66.0,11.0,57.0,49.0
56.757292,45.0,58.0,11.0,45.0,49.0
56.761458,50.0,57.0,11.0,50.0,49.0
56.765625,67.0,86.0,11.0,67.0,49.0
56.785417,62.0,61.0,11.0,62.0,49.0
56.791667,60.0,65.0,11.0,60.0,49.0
57.679167,66.0,73.0,11.1875,66.0,49.0
57.964583,55.0,72.0,11.25,55.0,49.0
57.967708,50.0,66.0,11.25,50.0,49.0
57.973958,43.0,63.0,11.25,43.0,49.0
57.979167,69.0,86.0,11.25,69.0,49.0
57.99375,62.0,74.0,11.25,62.0,49.0
58.005208,58.0,66.0,11.25,58.0,49.0
58.947917,67.0,80.0,11.4375,67.0,49.0
59.236458,50.0,61.0,11.5,50.0,49.0
59.252083,54.0,58.0,11.5,54.0,49.0
59.257292,42.0,55.0,11.5,42.0,49.0
59.316667,70.0,83.0,11.6875,69.0,49.0
59.335417,62.0,60.0,11.75,66.0,49.0
60.385417,69.0,60.0,11.8125,69.0,49.0
61.573958,72.0,57.0,11.875,72.0,49.0
61.835417,75.0,55.0,11.9375,75.0,49.0
62.1125,74.0,49.0,12.0,74.0,49.0
62.421875,72.0,49.0,12.0625,72.0,49.0
62.705208,70.0,53.0,12.125,70.0,49.0
62.967708,69.0,53.0,12.1875,69.0,49.0
63.230208,72.0,55.0,12.25,72.0,49.0
63.490625,78.0,61.0,12.3125,78.0,49.0
63.771874999999994,81.0,60.0,12.375,81.0,49.0
64.057292,84.0,56.0,12.4375,84.0,49.0
64.365625,82.0,52.0,12.5,82.0,49.0
64.667708,81.0,51.0,12.5625,81.0,49.0
64.936458,79.0,50.0,12.625,79.0,49.0
65.195833,78.0,58.0,12.6875,78.0,49.0
65.46875,81.0,58.0,12.75,81.0,49.0
65.760417,84.0,61.0,12.8125,84.0,49.0
66.029167,86.0,60.0,12.875,86.0,49.0
66.336458,87.0,56.0,12.9375,87.0,49.0
66.655208,86.0,52.0,13.0,86.0,49.0
66.975,84.0,56.0,13.0625,84.0,49.0
67.240625,82.0,49.0,13.125,82.0,49.0
67.519792,81.0,57.0,13.1875,81.0,49.0
67.835417,84.0,57.0,13.25,84.0,49.0
68.136458,81.0,49.0,13.3125,81.0,49.0
68.420833,79.0,52.0,13.375,79.0,49.0
68.704167,78.0,57.0,13.4375,78.0,49.0
69.0,84.0,58.0,13.5,84.0,49.0
69.319792,81.0,56.0,13.5625,81.0,49.0
69.636458,79.0,52.0,13.625,79.0,49.0
69.884375,78.0,57.0,13.6875,78.0,49.0
70.179167,81.0,66.0,13.75,81.0,49.0
70.515625,78.0,72.0,13.8125,78.0,49.0
70.823958,75.0,74.0,13.875,75.0,49.0
71.163542,74.0,71.0,13.9375,74.0,49.0
71.678125,54.0,25.0,14.0,54.0,49.0
