onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.983333,48.0,87.0,0.0,48.0,80.0
0.9916670000000001,36.0,68.0,0.0,36.0,80.0
3.271875,51.0,70.0,1.25,51.0,80.0
3.316667,39.0,35.0,1.25,39.0,80.0
3.75,56.0,73.0,1.5,56.0,80.0
3.7625,44.0,52.0,1.5,44.0,80.0
4.119792,58.0,76.0,1.75,58.0,80.0
4.125,46.0,58.0,1.75,46.0,80.0
4.44375,60.0,74.0,2.0,60.0,80.0
4.466667,48.0,57.0,2.0,48.0,80.0
4.739583,56.0,75.0,2.25,56.0,80.0
4.75,44.0,46.0,2.25,44.0,80.0
5.029167,51.0,58.0,2.5,51.0,80.0
5.029167,63.0,68.0,2.5,63.0,80.0
5.321875,70.0,72.0,2.75,70.0,80.0
5.333333,58.0,61.0,2.75,58.0,80.0
5.627083,72.0,70.0,3.0,72.0,80.0
5.636458,60.0,52.0,3.0,60.0,80.0
5.926042,56.0,47.0,3.25,56.0,77.0
5.928125,68.0,65.0,3.25,68.0,77.0
6.286458,75.0,62.0,3.5,75.0,74.0
6.3125,63.0,42.0,3.5,63.0,74.0
6.660417,82.0,71.0,3.75,82.0,71.0
6.666667,70.0,54.0,3.75,70.0,71.0
7.067708,84.0,68.0,4.0,84.0,68.0
7.1,72.0,44.0,4.0,72.0,68.0
7.411458,79.0,57.0,4.25,79.0,65.0
7.427083,67.0,44.0,4.25,67.0,65.0
7.801042000000001,82.0,58.0,4.5,82.0,62.0
7.820833,70.0,36.0,4.5,70.0,62.0
8.276042,80.0,55.0,4.75,80.0,59.0
8.833333,79.0,51.0,5.0,79.0,56.0
8.840625,67.0,40.0,5.0,67.0,56.0
10.48125,78.0,42.0,5.5,78.0,49.0
10.509375,66.0,31.0,5.5,66.0,49.0
12.480208,78.0,48.0,6.25,78.0,49.0
12.50625,66.0,21.0,6.25,66.0,49.0
12.926042,79.0,54.0,6.5,79.0,49.0
12.941667,67.0,45.0,6.5,67.0,49.0
13.245833,78.0,68.0,6.75,78.0,49.0
13.2625,66.0,45.0,6.75,66.0,49.0
13.563542,77.0,70.0,7.0,77.0,49.0
13.571875,65.0,49.0,7.0,65.0,49.0
