onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.7729170000000001,84.0,56.0,0.0,84.0,96.0
0.839583,86.0,66.0,0.0625,86.0,96.0
0.9166669999999999,84.0,70.0,0.125,84.0,96.0
0.952083,86.0,76.0,0.1875,86.0,96.0
1.032292,84.0,72.0,0.25,84.0,96.0
1.075,86.0,58.0,0.3125,86.0,96.0
1.146875,83.0,83.0,0.358333,83.0,96.0
1.15,84.0,54.0,0.375,84.0,96.0
1.235417,84.0,85.0,0.43020800000000003,84.0,96.0
1.354167,93.0,87.0,0.5,93.0,115.0
1.364583,41.0,77.0,0.5,41.0,96.0
1.370833,48.0,83.0,0.5,48.0,96.0
1.472917,91.0,82.0,0.625,91.0,96.0
1.554167,89.0,84.0,0.75,89.0,96.0
1.6364580000000002,84.0,82.0,0.875,84.0,96.0
1.739583,81.0,72.0,1.0,81.0,115.0
1.811458,79.0,77.0,1.125,79.0,96.0
1.88125,77.0,79.0,1.25,77.0,96.0
1.9729169999999998,72.0,73.0,1.375,72.0,96.0
2.021875,47.0,74.0,1.5,47.0,96.0
2.06875,69.0,78.0,1.5,69.0,115.0
2.14375,67.0,77.0,1.625,67.0,96.0
2.198958,65.0,69.0,1.75,65.0,96.0
2.28125,60.0,76.0,1.875,60.0,96.0
2.369792,48.0,78.0,2.0,48.0,96.0
2.402083,57.0,68.0,2.0,57.0,115.0
2.483333,55.0,68.0,2.125,55.0,96.0
2.54375,53.0,70.0,2.25,53.0,96.0
2.629167,48.0,58.0,2.375,48.0,96.0
2.71875,29.0,67.0,2.5,29.0,96.0
2.728125,41.0,61.0,2.5,41.0,96.0
2.741667,53.0,56.0,2.5,53.0,115.0
2.807292,55.0,65.0,2.625,55.0,96.0
2.880208,57.0,72.0,2.75,57.0,96.0
2.983333,60.0,73.0,2.875,60.0,96.0
3.0875,65.0,66.0,3.0,65.0,115.0
3.089583,50.0,75.0,3.0,50.0,96.0
3.178125,67.0,70.0,3.125,67.0,96.0
3.254167,69.0,69.0,3.25,69.0,96.0
3.35,48.0,75.0,3.375,48.0,96.0
