onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.967708,58.0,40.0,0.0,58.0,33.0
0.9760420000000001,46.0,31.0,0.0,46.0,33.0
1.4125,57.0,45.0,1.0,57.0,33.0
1.433333,45.0,43.0,1.0,45.0,33.0
1.505208,58.0,54.0,1.166667,58.0,33.0
1.53125,46.0,31.0,1.166667,46.0,33.0
1.567708,61.0,60.0,1.333333,61.0,33.0
1.5812499999999998,49.0,40.0,1.333333,49.0,33.0
1.614583,65.0,67.0,1.5,65.0,33.0
1.6218750000000002,53.0,56.0,1.5,53.0,33.0
2.011458,57.0,45.0,2.5,57.0,33.0
2.029167,45.0,37.0,2.5,45.0,33.0
2.091667,58.0,47.0,2.666667,58.0,33.0
2.094792,46.0,39.0,2.666667,46.0,33.0
2.155208,61.0,57.0,2.833333,61.0,33.0
2.16875,49.0,28.0,2.833333,49.0,33.0
2.216667,53.0,37.0,3.0,53.0,33.0
2.234375,65.0,47.0,3.0,65.0,33.0
3.275,58.0,99.0,6.0,58.0,112.0
3.279167,46.0,95.0,6.0,46.0,112.0
3.290625,34.0,72.0,6.0,34.0,112.0
3.980208,70.0,100.0,7.5,70.0,112.0
3.983333,66.0,82.0,7.5,66.0,112.0
3.983333,82.0,101.0,7.5,82.0,112.0
3.985417,94.0,106.0,7.5,94.0,112.0
3.9895829999999997,90.0,91.0,7.5,90.0,112.0
3.9947920000000003,58.0,74.0,7.5,58.0,112.0
3.9947920000000003,63.0,70.0,7.5,63.0,112.0
5.228125,58.0,65.0,10.5,58.0,33.0
5.230208,70.0,76.0,10.5,70.0,33.0
5.2375,87.0,87.0,10.5,87.0,33.0
5.24375,75.0,80.0,10.5,75.0,33.0
5.245833,66.0,55.0,10.5,66.0,33.0
5.252083,63.0,60.0,10.5,63.0,33.0
5.260417,84.0,62.0,10.5,84.0,33.0
5.454167,84.0,72.0,11.25,84.0,33.0
5.461458,70.0,76.0,11.25,70.0,33.0
5.46875,89.0,62.0,11.25,89.0,33.0
5.470833,66.0,57.0,11.25,66.0,33.0
5.4875,58.0,40.0,11.25,58.0,33.0
5.555208,70.0,95.0,11.5,70.0,33.0
5.557292,58.0,19.0,11.5,58.0,33.0
5.560417,78.0,83.0,11.5,78.0,33.0
5.564583,84.0,79.0,11.5,84.0,33.0
5.565625,90.0,80.0,11.5,90.0,33.0
5.79375,70.0,80.0,12.0,70.0,33.0
