onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5,53.0,13.0,0.0,53.0,49.0
0.5249999999999999,41.0,23.0,0.0,41.0,49.0
0.842708,43.0,20.0,0.166667,43.0,49.0
0.8854169999999999,55.0,6.0,0.166667,55.0,49.0
1.036458,46.0,39.0,0.333333,46.0,49.0
1.075,58.0,11.0,0.333333,58.0,49.0
1.239583,61.0,31.0,0.5,61.0,49.0
1.366667,40.0,22.0,0.6666669999999999,40.0,49.0
1.470833,55.0,35.0,0.8333330000000001,55.0,49.0
1.6,41.0,45.0,1.0,41.0,49.0
1.69375,55.0,49.0,1.166667,55.0,49.0
1.7458330000000002,43.0,16.0,1.166667,43.0,49.0
1.7937500000000002,46.0,48.0,1.333333,46.0,49.0
1.896875,49.0,44.0,1.5,49.0,49.0
1.896875,61.0,50.0,1.5,61.0,49.0
2.052083,52.0,4.0,1.666667,52.0,49.0
2.05625,40.0,8.0,1.666667,40.0,49.0
2.078125,43.0,46.0,1.833333,43.0,49.0
2.108333,55.0,46.0,1.833333,55.0,49.0
2.304167,55.0,30.0,2.0,55.0,49.0
2.317708,43.0,41.0,2.0,43.0,49.0
2.485417,45.0,39.0,2.166667,45.0,49.0
2.528125,57.0,36.0,2.166667,57.0,49.0
2.603125,48.0,47.0,2.333333,48.0,49.0
2.670833,60.0,8.0,2.333333,60.0,49.0
2.710417,63.0,50.0,2.5,63.0,49.0
2.748958,51.0,34.0,2.5,51.0,49.0
2.823958,54.0,35.0,2.666667,54.0,49.0
2.829167,42.0,37.0,2.666667,42.0,49.0
2.89375,57.0,49.0,2.833333,57.0,49.0
2.978125,43.0,42.0,3.0,43.0,49.0
2.983333,55.0,50.0,3.0,55.0,49.0
3.05625,45.0,50.0,3.166667,45.0,49.0
3.070833,57.0,54.0,3.166667,57.0,49.0
3.167708,60.0,47.0,3.333333,60.0,49.0
3.175,48.0,48.0,3.333333,48.0,49.0
3.264583,63.0,46.0,3.5,63.0,49.0
3.285417,51.0,44.0,3.5,51.0,49.0
3.358333,54.0,22.0,3.6666670000000003,54.0,49.0
3.441667,57.0,50.0,3.8333329999999997,57.0,49.0
3.446875,45.0,42.0,3.8333329999999997,45.0,49.0
3.5541669999999996,46.0,51.0,4.0,46.0,49.0
3.5729170000000003,58.0,42.0,4.0,58.0,49.0
3.660417,48.0,35.0,4.166667,48.0,49.0
3.6645830000000004,60.0,42.0,4.166667,60.0,49.0
3.754167,51.0,50.0,4.333333,51.0,49.0
3.7562499999999996,63.0,48.0,4.333333,63.0,49.0
3.8229170000000003,66.0,53.0,4.5,66.0,49.0
3.872917,54.0,50.0,4.5,54.0,49.0
3.95625,45.0,46.0,4.666667,45.0,49.0
4.016667,60.0,47.0,4.833333,60.0,49.0
4.053125,48.0,52.0,4.833333,48.0,49.0
4.189583,49.0,42.0,5.0,49.0,49.0
4.20625,61.0,29.0,5.0,61.0,49.0
4.277083,51.0,36.0,5.166667,51.0,49.0
4.329167,63.0,47.0,5.166667,63.0,49.0
4.423958,54.0,40.0,5.333333,54.0,49.0
4.428125,66.0,50.0,5.333333,66.0,49.0
4.486458,69.0,53.0,5.5,69.0,49.0
4.498958,57.0,41.0,5.5,57.0,49.0
4.5875,60.0,20.0,5.666667,60.0,49.0
4.588542,48.0,47.0,5.666667,48.0,49.0
4.646875,63.0,51.0,5.833333,63.0,49.0
4.673958,51.0,55.0,5.833333,51.0,49.0
4.748958,61.0,49.0,6.0,61.0,49.0
4.801042,49.0,36.0,6.0,49.0,49.0
4.842708,63.0,64.0,6.166667,63.0,49.0
4.902083,54.0,50.0,6.333333,54.0,49.0
4.914583,66.0,55.0,6.333333,66.0,49.0
4.964583,69.0,62.0,6.5,69.0,49.0
4.972917,57.0,52.0,6.5,57.0,49.0
5.030208,60.0,49.0,6.666667,60.0,49.0
5.053125,48.0,53.0,6.666667,48.0,49.0
5.116667,63.0,59.0,6.833333,63.0,49.0
5.125,51.0,52.0,6.833333,51.0,49.0
5.252083,54.0,43.0,7.0,54.0,49.0
5.261458,66.0,51.0,7.0,66.0,49.0
5.347917,58.0,46.0,7.166667,58.0,49.0
5.363542,70.0,59.0,7.166667,70.0,49.0
5.485417,72.0,48.0,7.333333,72.0,49.0
5.494792,60.0,48.0,7.333333,60.0,49.0
5.53125,75.0,63.0,7.5,75.0,49.0
5.594792,63.0,52.0,7.5,63.0,49.0
5.647917,65.0,40.0,7.666667,65.0,49.0
5.672917,53.0,47.0,7.666667,53.0,49.0
5.729167,69.0,40.0,7.833333,69.0,49.0
5.765625,57.0,47.0,7.833333,57.0,49.0
5.863542,70.0,51.0,8.0,70.0,49.0
5.891667,58.0,40.0,8.0,58.0,49.0
5.979167,61.0,44.0,8.166667,61.0,49.0
5.997917,73.0,48.0,8.166667,73.0,49.0
6.084375,66.0,56.0,8.333333,66.0,49.0
6.104167,78.0,49.0,8.333333,78.0,49.0
6.178125,77.0,51.0,8.5,77.0,49.0
6.244792,72.0,54.0,8.666667,72.0,49.0
6.275,60.0,50.0,8.666667,60.0,49.0
6.334375,73.0,62.0,8.833333,73.0,49.0
6.386458,61.0,33.0,8.833333,61.0,49.0
6.432292,76.0,60.0,9.0,76.0,49.0
6.435417,64.0,54.0,9.0,64.0,49.0
6.516667,72.0,62.0,9.166667,72.0,49.0
6.521875,60.0,50.0,9.166667,60.0,49.0
6.614583,73.0,56.0,9.333333,73.0,49.0
6.615625,61.0,54.0,9.333333,61.0,49.0
6.692708,69.0,44.0,9.5,69.0,49.0
6.727083,57.0,41.0,9.5,57.0,49.0
6.764583,70.0,62.0,9.666667,70.0,49.0
6.828125,58.0,48.0,9.666667,58.0,49.0
6.864583,66.0,61.0,9.833333,66.0,49.0
6.927083,54.0,47.0,9.833333,54.0,49.0
6.980208,64.0,58.0,10.0,64.0,49.0
7.008333,52.0,51.0,10.0,52.0,49.0
7.078125,65.0,52.0,10.166667,65.0,49.0
7.173958,58.0,50.0,10.333333,58.0,49.0
7.179167,70.0,55.0,10.333333,70.0,49.0
7.259375,56.0,53.0,10.5,56.0,49.0
7.279167,68.0,61.0,10.5,68.0,49.0
7.352083,57.0,51.0,10.666667,57.0,49.0
7.396875,69.0,48.0,10.666667,69.0,49.0
7.426042,61.0,63.0,10.833333,61.0,49.0
7.448958,73.0,68.0,10.833333,73.0,49.0
7.528124999999999,57.0,55.0,11.0,57.0,49.0
7.541667,69.0,58.0,11.0,69.0,49.0
7.610417,58.0,64.0,11.166667,58.0,49.0
7.611458000000001,70.0,67.0,11.166667,70.0,49.0
7.691667000000001,73.0,61.0,11.333333,73.0,49.0
7.705208000000001,61.0,59.0,11.333333,61.0,49.0
7.766667,71.0,57.0,11.5,71.0,49.0
7.811458,59.0,55.0,11.5,59.0,49.0
7.859375,72.0,54.0,11.666667,72.0,49.0
7.887499999999999,60.0,59.0,11.666667,60.0,49.0
7.942708,77.0,56.0,11.833333,77.0,49.0
8.0,65.0,47.0,11.833333,65.0,49.0
8.058333,68.0,60.0,12.0,68.0,49.0
8.073958,56.0,51.0,12.0,56.0,49.0
8.141667,71.0,57.0,12.166667,71.0,49.0
8.176042,59.0,54.0,12.166667,59.0,49.0
8.25,76.0,60.0,12.333333,76.0,49.0
8.2625,64.0,46.0,12.333333,64.0,49.0
8.316667,63.0,58.0,12.5,63.0,49.0
8.353125,75.0,60.0,12.5,75.0,49.0
8.43125,58.0,56.0,12.666667,58.0,49.0
8.441667,70.0,68.0,12.666667,70.0,49.0
8.488542,59.0,54.0,12.833333,59.0,49.0
8.540625,71.0,63.0,12.833333,71.0,49.0
8.56875,62.0,58.0,13.0,62.0,49.0
8.615625,74.0,58.0,13.0,74.0,49.0
8.675,70.0,68.0,13.166667,70.0,49.0
8.678125,58.0,57.0,13.166667,58.0,49.0
8.741667,71.0,60.0,13.333333,71.0,49.0
8.770833,59.0,43.0,13.333333,59.0,49.0
8.823958,67.0,62.0,13.5,67.0,49.0
8.832292,55.0,54.0,13.5,55.0,49.0
8.925,68.0,63.0,13.666667,68.0,49.0
8.952083,56.0,56.0,13.666667,56.0,49.0
9.0,64.0,69.0,13.833333,64.0,49.0
9.109375,62.0,49.0,14.0,62.0,49.0
9.11875,50.0,47.0,14.0,50.0,49.0
9.2,63.0,61.0,14.166667,63.0,49.0
9.23125,51.0,60.0,14.166667,51.0,49.0
9.28125,68.0,64.0,14.333333,68.0,49.0
9.304167,56.0,50.0,14.333333,56.0,49.0
9.35625,64.0,69.0,14.5,64.0,49.0
9.395833,52.0,59.0,14.5,52.0,49.0
9.44375,65.0,60.0,14.666667,65.0,49.0
9.467708,53.0,44.0,14.666667,53.0,49.0
9.533333,71.0,61.0,14.833333,71.0,49.0
9.546875,59.0,57.0,14.833333,59.0,49.0
9.619792,65.0,54.0,15.0,65.0,49.0
9.625,53.0,48.0,15.0,53.0,49.0
9.688542,66.0,64.0,15.166667,66.0,49.0
9.702083,54.0,62.0,15.166667,54.0,49.0
9.775,59.0,52.0,15.333333,59.0,49.0
9.785417,71.0,49.0,15.333333,71.0,49.0
9.869792,69.0,62.0,15.5,69.0,49.0
9.903125,57.0,36.0,15.5,57.0,49.0
9.954167,58.0,59.0,15.666667,58.0,49.0
9.954167,70.0,58.0,15.666667,70.0,49.0
10.053125,63.0,44.0,15.833333,63.0,49.0
10.053125,75.0,56.0,15.833333,75.0,49.0
10.141667,61.0,55.0,16.0,61.0,49.0
10.164583,73.0,62.0,16.0,73.0,49.0
10.28125,53.0,53.0,16.166667,53.0,49.0
10.323958,65.0,50.0,16.166667,65.0,49.0
10.427083,58.0,51.0,16.332292,58.0,49.0
10.48125,70.0,26.0,16.332292,70.0,49.0
10.505208,49.0,56.0,16.5,49.0,49.0
10.530208,61.0,63.0,16.5,61.0,49.0
10.59375,52.0,60.0,16.666667,52.0,49.0
10.595833,64.0,67.0,16.666667,64.0,49.0
10.666667,69.0,59.0,16.833333,69.0,49.0
10.689583,57.0,53.0,16.833333,57.0,49.0
10.739583,72.0,68.0,17.0,72.0,49.0
10.75,60.0,60.0,17.0,60.0,49.0
10.848958,51.0,52.0,17.166667,51.0,49.0
10.853125,63.0,63.0,17.166667,63.0,49.0
10.967708,56.0,51.0,17.333333,56.0,49.0
10.9875,68.0,46.0,17.333333,68.0,49.0
11.047917,47.0,52.0,17.5,47.0,49.0
11.063542,59.0,52.0,17.5,59.0,49.0
11.13125,62.0,51.0,17.666667,62.0,49.0
11.160417,50.0,50.0,17.666667,50.0,49.0
11.234375,67.0,49.0,17.833333,67.0,49.0
11.26875,55.0,40.0,17.833333,55.0,49.0
11.301042,71.0,62.0,18.0,71.0,49.0
11.3125,59.0,51.0,18.0,59.0,49.0
11.421875,50.0,46.0,18.166667,50.0,49.0
11.453125,62.0,29.0,18.166667,62.0,49.0
11.535417,54.0,52.0,18.333333,54.0,49.0
11.552083,66.0,48.0,18.333333,66.0,49.0
11.605208,46.0,58.0,18.5,46.0,49.0
11.619792,58.0,64.0,18.5,58.0,49.0
11.676042,49.0,58.0,18.666667,49.0,49.0
11.688542,61.0,66.0,18.666667,61.0,49.0
11.775,54.0,55.0,18.833333,54.0,49.0
11.782292,66.0,53.0,18.833333,66.0,49.0
11.832292,70.0,57.0,19.0,70.0,49.0
11.840625,58.0,67.0,19.0,58.0,49.0
11.965625,54.0,43.0,19.166667,54.0,49.0
11.995833,71.0,59.0,19.333333,71.0,49.0
12.01875,59.0,74.0,19.333333,59.0,49.0
12.110417,72.0,59.0,19.5,72.0,49.0
12.144792,61.0,69.0,19.5,60.0,49.0
12.246875,62.0,39.0,20.0,64.0,49.0
12.277083,75.0,30.0,19.833333,75.0,49.0
12.3125,64.0,69.0,19.666667,73.0,49.0
12.316667,76.0,67.0,20.0,76.0,49.0
12.465625,55.0,61.0,20.166667,55.0,49.0
12.50625,67.0,45.0,20.166667,67.0,49.0
12.590625,60.0,59.0,20.333333,60.0,49.0
12.613542,72.0,48.0,20.333333,72.0,49.0
12.692708,51.0,47.0,20.5,51.0,49.0
