onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.980208,44.0,41.0,0.0,44.0,33.0
1.004167,37.0,34.0,0.0,37.0,33.0
1.634375,61.0,35.0,0.25,61.0,33.0
1.640625,58.0,31.0,0.25,58.0,33.0
1.65,54.0,28.0,0.25,54.0,33.0
2.103125,60.0,42.0,0.5,60.0,33.0
2.114583,68.0,43.0,0.5,68.0,33.0
2.125,65.0,39.0,0.5,65.0,33.0
2.532292,63.0,44.0,0.75,63.0,33.0
2.541667,58.0,39.0,0.75,58.0,33.0
2.563542,61.0,39.0,0.75,61.0,33.0
2.916667,68.0,75.0,1.0,68.0,33.0
3.308333,70.0,42.0,1.25,70.0,33.0
3.308333,73.0,47.0,1.25,73.0,33.0
3.311458,66.0,37.0,1.25,66.0,33.0
3.6510420000000003,80.0,52.0,1.5,80.0,33.0
3.670833,72.0,44.0,1.5,72.0,33.0
3.673958,77.0,49.0,1.5,77.0,33.0
3.9781250000000004,75.0,55.0,1.75,75.0,33.0
3.988542,70.0,43.0,1.75,70.0,33.0
3.9895829999999997,73.0,47.0,1.75,73.0,33.0
4.361458,65.0,65.0,2.0,65.0,33.0
4.363542,82.0,51.0,2.0,82.0,33.0
4.372917,78.0,46.0,2.0,78.0,33.0
4.372917,85.0,51.0,2.0,85.0,33.0
4.739583,92.0,52.0,2.25,92.0,33.0
4.754167,84.0,54.0,2.25,84.0,33.0
4.769792,89.0,45.0,2.25,89.0,33.0
5.053125,87.0,55.0,2.5,87.0,33.0
5.061458,82.0,58.0,2.5,82.0,33.0
5.0625,85.0,49.0,2.5,85.0,33.0
5.405208,80.0,56.0,2.75,80.0,33.0
5.40625,72.0,51.0,2.75,72.0,33.0
5.40625,77.0,56.0,2.75,77.0,33.0
5.764583,63.0,59.0,3.0,63.0,33.0
5.790625,70.0,48.0,3.0,70.0,33.0
5.790625,75.0,56.0,3.0,75.0,33.0
5.796875,73.0,44.0,3.0,73.0,33.0
6.170833,68.0,47.0,3.25,68.0,33.0
6.188542,60.0,30.0,3.25,60.0,33.0
6.188542,65.0,34.0,3.25,65.0,33.0
6.530208,58.0,40.0,3.5,58.0,33.0
6.546875,63.0,45.0,3.5,63.0,33.0
6.548958,61.0,34.0,3.5,61.0,33.0
6.9625,54.0,38.0,3.75,54.0,33.0
6.978125,44.0,33.0,3.75,44.0,33.0
7.488542,37.0,44.0,4.0,37.0,33.0
7.988542000000001,63.0,46.0,4.25,63.0,33.0
8.019792,53.0,36.0,4.25,53.0,33.0
8.021875,56.0,37.0,4.25,56.0,33.0
8.417708,70.0,50.0,4.5,70.0,33.0
8.426042,61.0,38.0,4.5,61.0,33.0
8.454167,65.0,35.0,4.5,65.0,33.0
8.752083,65.0,30.0,4.75,65.0,33.0
8.776042,60.0,38.0,4.75,60.0,33.0
8.79375,63.0,40.0,4.75,63.0,33.0
9.160417,65.0,41.0,5.0,65.0,33.0
9.16875,61.0,40.0,5.0,61.0,33.0
9.183333,58.0,43.0,5.0,58.0,33.0
9.489583,75.0,56.0,5.25,75.0,33.0
9.49375,65.0,45.0,5.25,65.0,33.0
9.496875,68.0,47.0,5.25,68.0,33.0
9.8375,82.0,66.0,5.5,82.0,33.0
9.855208,73.0,45.0,5.5,73.0,33.0
9.855208,77.0,51.0,5.5,77.0,33.0
10.209375,72.0,50.0,5.75,70.0,33.0
10.214583,75.0,54.0,5.75,75.0,33.0
10.532292,73.0,59.0,6.0,73.0,33.0
10.55,77.0,68.0,6.0,77.0,33.0
10.551042,70.0,56.0,6.0,70.0,33.0
10.886458,87.0,63.0,6.25,87.0,33.0
10.901042,77.0,47.0,6.25,77.0,33.0
10.911458,80.0,53.0,6.25,80.0,33.0
11.295833,94.0,62.0,6.5,94.0,33.0
11.303125,85.0,47.0,6.5,85.0,33.0
11.329167,89.0,40.0,6.5,89.0,33.0
11.720833,89.0,46.0,6.75,89.0,33.0
11.729167,84.0,47.0,6.75,84.0,33.0
11.74375,87.0,44.0,6.75,87.0,33.0
12.0875,89.0,55.0,7.0,89.0,33.0
12.094792,85.0,49.0,7.0,85.0,33.0
12.098958,82.0,46.0,7.0,82.0,33.0
12.441667,85.0,58.0,7.25,85.0,33.0
12.452083,82.0,48.0,7.25,82.0,33.0
12.45625,77.0,51.0,7.25,77.0,33.0
12.860417,82.0,54.0,7.5,82.0,33.0
12.866667,73.0,41.0,7.5,73.0,33.0
12.869792,77.0,39.0,7.5,77.0,33.0
13.386458,77.0,40.0,7.75,77.0,33.0
