onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.967708,57.0,71.0,0.0,57.0,115.0
1.045833,60.0,50.0,0.125,60.0,96.0
1.1375,64.0,43.0,0.25,64.0,96.0
1.21875,60.0,46.0,0.375,60.0,96.0
1.321875,57.0,76.0,0.5,57.0,115.0
1.491667,57.0,70.0,0.75,57.0,115.0
1.5187499999999998,64.0,35.0,0.75,64.0,96.0
1.6989580000000002,60.0,66.0,0.875,60.0,96.0
1.8093750000000002,52.0,82.0,1.25,52.0,115.0
2.007292,58.0,56.0,1.375,60.0,96.0
2.033333,62.0,47.0,1.625,58.0,96.0
2.138542,55.0,76.0,1.75,55.0,115.0
2.173958,62.0,67.0,1.75,62.0,96.0
2.179167,58.0,62.0,1.875,58.0,96.0
2.304167,55.0,81.0,2.0,55.0,115.0
2.3625,58.0,63.0,2.125,58.0,96.0
2.541667,62.0,60.0,2.25,62.0,96.0
2.645833,55.0,84.0,2.25,55.0,115.0
2.711458,58.0,59.0,2.625,58.0,96.0
2.797917,56.0,86.0,2.75,56.0,115.0
2.855208,59.0,56.0,2.875,59.0,96.0
2.855208,63.0,71.0,2.875,63.0,96.0
2.991667,57.0,86.0,3.0,57.0,115.0
3.10625,60.0,57.0,3.125,60.0,96.0
3.195833,64.0,55.0,3.25,64.0,96.0
3.266667,60.0,59.0,3.375,60.0,96.0
3.373958,57.0,81.0,3.5,57.0,115.0
3.438542,60.0,64.0,3.625,60.0,96.0
3.5416670000000003,57.0,82.0,3.75,57.0,115.0
3.752083,60.0,68.0,3.875,60.0,96.0
3.888542,52.0,89.0,4.25,52.0,115.0
4.088542,58.0,72.0,4.375,60.0,96.0
4.171875,62.0,44.0,4.75,62.0,96.0
4.227083,55.0,89.0,4.75,55.0,115.0
4.320833,58.0,47.0,4.875,58.0,96.0
4.397917,54.0,89.0,5.0,54.0,115.0
4.522917,61.0,58.0,5.25,61.0,96.0
4.547917,54.0,91.0,5.25,54.0,115.0
4.588542,57.0,32.0,5.375,57.0,96.0
4.729167,53.0,89.0,5.5,53.0,115.0
4.847917,60.0,53.0,5.75,61.0,96.0
4.892708,53.0,80.0,5.75,53.0,115.0
4.967708,57.0,58.0,5.875,57.0,96.0
5.103125,52.0,76.0,6.0,52.0,96.0
5.21875,56.0,53.0,6.125,56.0,93.0
5.35,60.0,41.0,6.25,60.0,89.0
5.436458,56.0,50.0,6.375,56.0,85.0
5.526042,52.0,68.0,6.5,52.0,81.0
5.635417,56.0,48.0,6.625,56.0,77.0
5.729167,52.0,66.0,6.75,52.0,73.0
5.761458,60.0,45.0,6.75,60.0,73.0
5.888542,56.0,49.0,6.875,56.0,69.0
5.960417,48.0,70.0,7.0,48.0,65.0
6.138542,56.0,48.0,7.125,56.0,61.0
6.280208,48.0,57.0,7.25,48.0,57.0
6.310417,60.0,41.0,7.25,60.0,57.0
6.45625,56.0,43.0,7.375,56.0,53.0
7.107292,45.0,62.0,7.5,45.0,49.0
7.117708,33.0,53.0,7.5,33.0,49.0
7.581250000000001,48.0,17.0,7.625,48.0,49.0
7.683332999999999,57.0,41.0,7.75,57.0,49.0
7.765625,48.0,45.0,7.875,48.0,49.0
7.86875,47.0,57.0,8.0,47.0,49.0
8.019792,50.0,39.0,8.125,50.0,49.0
8.128125,57.0,51.0,8.25,57.0,49.0
8.186458,50.0,46.0,8.375,50.0,49.0
8.289583,48.0,61.0,8.5,48.0,49.0
8.404167,52.0,56.0,8.625,52.0,49.0
8.511458,57.0,44.0,8.75,57.0,49.0
8.575,52.0,47.0,8.875,52.0,49.0
8.690625,50.0,69.0,9.0,50.0,49.0
8.816667,53.0,50.0,9.125,53.0,49.0
8.920833,57.0,50.0,9.25,57.0,49.0
9.029167,53.0,48.0,9.375,53.0,49.0
9.089583,47.0,70.0,9.5,47.0,49.0
9.213542,50.0,52.0,9.625,50.0,49.0
9.303125,57.0,55.0,9.75,57.0,49.0
9.405208,50.0,33.0,9.875,50.0,49.0
9.485417,48.0,71.0,10.0,48.0,49.0
9.5875,52.0,58.0,10.125,52.0,49.0
9.695833,57.0,46.0,10.25,57.0,49.0
9.746875,52.0,57.0,10.375,52.0,49.0
9.969792,45.0,72.0,10.5,45.0,49.0
9.9875,33.0,62.0,10.5,33.0,49.0
10.129167,48.0,48.0,10.625,48.0,49.0
10.235417,57.0,46.0,10.75,57.0,49.0
10.294792,48.0,50.0,10.875,48.0,49.0
10.414583,47.0,71.0,11.0,47.0,49.0
10.53125,50.0,45.0,11.125,50.0,49.0
10.627083,57.0,50.0,11.25,57.0,49.0
10.694792,50.0,49.0,11.375,50.0,49.0
10.802083,48.0,75.0,11.5,48.0,49.0
10.897917,52.0,55.0,11.625,52.0,49.0
10.996875,57.0,50.0,11.75,57.0,49.0
11.061458,52.0,56.0,11.875,52.0,49.0
11.173958,50.0,79.0,12.0,50.0,49.0
11.186458,45.0,69.0,12.0,45.0,49.0
11.279167,53.0,56.0,12.125,53.0,49.0
11.383333,59.0,53.0,12.25,57.0,49.0
11.445833,53.0,52.0,12.375,53.0,49.0
11.547917,52.0,80.0,12.5,52.0,49.0
11.638542,55.0,61.0,12.75,57.0,49.0
11.8,55.0,62.0,12.875,50.0,49.0
11.902083,53.0,85.0,13.0,53.0,49.0
12.004167,57.0,63.0,13.25,57.0,49.0
12.279167,55.0,81.0,13.5,55.0,49.0
12.363542,58.0,63.0,13.625,58.0,49.0
12.461458,64.0,56.0,13.75,64.0,49.0
12.530208,58.0,65.0,13.875,58.0,49.0
12.641667,52.0,82.0,14.0,52.0,49.0
12.765625,55.0,59.0,14.125,55.0,49.0
12.822917,61.0,64.0,14.25,61.0,49.0
12.913542,55.0,60.0,14.375,55.0,49.0
13.002083,53.0,85.0,14.5,53.0,49.0
13.1,57.0,72.0,14.625,57.0,49.0
13.163542,62.0,69.0,14.75,62.0,49.0
13.255208,57.0,77.0,14.875,57.0,49.0
13.376042,55.0,85.0,15.0,55.0,49.0
13.383333,45.0,77.0,15.0,45.0,49.0
13.458333,58.0,66.0,15.125,58.0,49.0
13.569792,64.0,63.0,15.25,64.0,49.0
13.622917,58.0,65.0,15.375,58.0,49.0
13.740625,58.0,83.0,15.5,58.0,49.0
13.8375,62.0,70.0,15.625,62.0,49.0
13.928125,67.0,57.0,15.75,67.0,49.0
14.004167,62.0,59.0,15.875,62.0,49.0
14.095833,57.0,80.0,16.0,57.0,49.0
14.255208,65.0,62.0,16.25,65.0,49.0
14.31875,60.0,63.0,16.375,60.0,49.0
14.457292,55.0,80.0,16.5,55.0,49.0
14.536458,58.0,63.0,16.625,58.0,49.0
14.626042,64.0,69.0,16.75,64.0,49.0
14.711458,58.0,64.0,16.875,58.0,49.0
14.801042,52.0,86.0,17.0,52.0,49.0
14.903125,55.0,67.0,17.125,55.0,49.0
14.966667,61.0,70.0,17.25,61.0,49.0
15.054167,55.0,67.0,17.375,55.0,49.0
15.161458,53.0,91.0,17.5,53.0,49.0
15.251042,57.0,76.0,17.625,57.0,49.0
15.314583,62.0,65.0,17.75,62.0,49.0
15.410417,57.0,73.0,17.875,57.0,49.0
15.515625,55.0,90.0,18.0,55.0,49.0
15.519791999999999,45.0,77.0,18.0,45.0,49.0
15.609375,58.0,70.0,18.125,58.0,49.0
15.723958,64.0,59.0,18.25,64.0,49.0
15.806249999999999,58.0,37.0,18.375,58.0,49.0
15.8875,58.0,80.0,18.5,58.0,49.0
15.9875,62.0,61.0,18.625,62.0,49.0
16.069792,67.0,58.0,18.75,67.0,49.0
16.126042,62.0,42.0,18.875,62.0,49.0
16.23125,57.0,87.0,19.0,57.0,49.0
16.297917,60.0,69.0,19.125,60.0,49.0
16.39375,65.0,59.0,19.25,65.0,49.0
16.467708,60.0,49.0,19.375,60.0,49.0
16.586458,62.0,68.0,19.5,62.0,49.0
16.591667,56.0,64.0,19.5,56.0,49.0
16.683333,65.0,58.0,19.625,65.0,49.0
16.782292,71.0,51.0,19.75,71.0,49.0
16.852083,65.0,64.0,19.875,65.0,49.0
16.961458,65.0,75.0,20.0,65.0,49.0
16.966667,59.0,71.0,20.0,59.0,49.0
17.021875,68.0,74.0,20.125,68.0,49.0
17.136458,74.0,69.0,20.25,74.0,49.0
17.19375,68.0,78.0,20.375,68.0,49.0
17.301042,64.0,89.0,20.5,64.0,49.0
17.30625,60.0,82.0,20.5,60.0,49.0
17.360417,67.0,75.0,20.625,67.0,49.0
17.455208,72.0,79.0,20.75,72.0,49.0
17.532292,67.0,70.0,20.875,67.0,49.0
17.629167,67.0,92.0,21.0,67.0,49.0
17.644792,61.0,86.0,21.0,61.0,49.0
17.727083,70.0,79.0,21.125,70.0,49.0
17.810417,76.0,69.0,21.25,76.0,49.0
17.889583,70.0,83.0,21.375,70.0,49.0
17.990625,64.0,63.0,21.5,64.0,49.0
18.00625,70.0,97.0,21.5,70.0,49.0
18.073958,73.0,80.0,21.625,73.0,49.0
18.172917,79.0,78.0,21.75,79.0,49.0
18.251042,73.0,79.0,21.875,73.0,49.0
18.359375,69.0,88.0,22.0,69.0,49.0
18.36875,65.0,77.0,22.0,65.0,49.0
18.4375,72.0,80.0,22.125,72.0,49.0
18.534375,77.0,80.0,22.25,77.0,49.0
18.592708,72.0,75.0,22.375,72.0,49.0
18.842708,62.0,81.0,22.5,62.0,49.0
18.866667,56.0,79.0,22.5,56.0,49.0
19.011458,65.0,61.0,22.625,65.0,49.0
19.108333,71.0,63.0,22.75,71.0,49.0
19.184375,65.0,69.0,22.875,65.0,49.0
19.295833,65.0,84.0,23.0,65.0,49.0
19.307292,59.0,84.0,23.0,59.0,49.0
19.383333,68.0,70.0,23.125,68.0,49.0
19.460417,74.0,72.0,23.25,74.0,49.0
19.532292,68.0,69.0,23.375,68.0,49.0
19.654167,64.0,89.0,23.5,64.0,49.0
19.660417,60.0,81.0,23.5,60.0,49.0
19.730208,67.0,65.0,23.625,67.0,49.0
19.801042,72.0,72.0,23.75,72.0,49.0
19.9,67.0,54.0,23.875,67.0,49.0
19.99375,67.0,86.0,24.0,67.0,49.0
20.003125,61.0,83.0,24.0,61.0,49.0
20.097917,70.0,70.0,24.125,70.0,49.0
20.163542,76.0,61.0,24.25,76.0,49.0
20.248958,70.0,68.0,24.375,70.0,49.0
20.370833,69.0,76.0,24.5,69.0,49.0
20.385417,64.0,70.0,24.5,64.0,49.0
20.441667,73.0,69.0,24.625,73.0,49.0
20.49375,79.0,70.0,24.75,79.0,49.0
20.544792,61.0,69.0,24.75,61.0,49.0
20.55,67.0,74.0,24.75,67.0,49.0
20.585417,73.0,69.0,24.875,73.0,49.0
20.723958,64.0,77.0,25.0,64.0,49.0
20.728125,69.0,75.0,25.0,69.0,49.0
20.786458,70.0,67.0,25.125,70.0,49.0
20.877083,76.0,57.0,25.25,76.0,49.0
20.953125,70.0,65.0,25.375,70.0,49.0
21.079167,65.0,79.0,25.5,65.0,49.0
21.097917,59.0,72.0,25.5,59.0,49.0
21.189583,68.0,62.0,25.625,68.0,49.0
21.279167,74.0,51.0,25.75,74.0,49.0
21.346875,68.0,64.0,25.875,68.0,49.0
21.452083,67.0,73.0,26.0,67.0,49.0
21.463542,62.0,68.0,26.0,62.0,49.0
21.538542,71.0,63.0,26.125,71.0,49.0
21.638542,76.0,59.0,26.25,76.0,49.0
21.703125,71.0,59.0,26.375,71.0,49.0
21.803125,65.0,69.0,26.5,65.0,49.0
21.811458,59.0,62.0,26.5,59.0,49.0
