onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9125000000000001,65.0,50.0,0.0,65.0,80.0
2.316667,70.0,56.0,0.5,70.0,80.0
3.6770829999999997,68.0,58.0,1.0,68.0,80.0
5.186458,66.0,48.0,1.5,66.0,57.0
6.890625,65.0,48.0,2.0,65.0,33.0
8.886458,61.0,32.0,2.75,61.0,33.0
9.363542,63.0,41.0,2.875,63.0,33.0
10.057292,65.0,43.0,3.0,65.0,33.0
12.383333,46.0,42.0,4.0,46.0,33.0
12.502083,53.0,44.0,4.04375,53.0,33.0
12.579167,58.0,46.0,4.0875,58.0,33.0
12.71875,61.0,43.0,4.13125,61.0,33.0
13.197917,73.0,48.0,4.25,73.0,33.0
13.358333,72.0,59.0,4.5,72.0,33.0
13.735417,70.0,51.0,4.625,70.0,33.0
13.964583,82.0,55.0,4.75,82.0,33.0
14.271875,54.0,42.0,5.0,54.0,33.0
14.358333,61.0,51.0,5.04375,61.0,33.0
14.45,66.0,52.0,5.0875,66.0,33.0
14.527083,70.0,55.0,5.13125,70.0,33.0
14.91875,85.0,55.0,5.25,85.0,33.0
15.094792,84.0,63.0,5.375,84.0,33.0
15.171875,85.0,60.0,5.4375,85.0,33.0
15.241667,84.0,63.0,5.5,84.0,33.0
15.48125,82.0,49.0,5.625,82.0,33.0
15.728124999999999,78.0,50.0,5.75,78.0,33.0
16.020833,61.0,43.0,6.0,61.0,33.0
16.121875,68.0,40.0,6.04375,68.0,33.0
16.173958,73.0,55.0,6.0875,73.0,33.0
16.277083,77.0,51.0,6.13125,77.0,33.0
16.710417,89.0,57.0,6.25,89.0,33.0
16.901042,87.0,58.0,6.375,87.0,33.0
16.984375,89.0,55.0,6.4375,89.0,33.0
17.039583,87.0,57.0,6.5,87.0,33.0
17.317708,85.0,60.0,6.625,85.0,33.0
17.666667,94.0,59.0,6.75,94.0,33.0
18.084375,92.0,62.0,6.875,92.0,33.0
18.759375,101.0,56.0,7.0,101.0,33.0
22.396875,68.0,71.0,8.0,68.0,80.0
23.264583,70.0,61.0,8.5,70.0,80.0
23.392708,68.0,72.0,8.5625,68.0,80.0
23.546875,66.0,73.0,8.625,66.0,80.0
24.1,65.0,68.0,8.75,65.0,80.0
24.838542,70.0,65.0,9.0,70.0,80.0
26.49375,70.0,52.0,9.75,70.0,80.0
27.244792,63.0,56.0,10.0,63.0,80.0
28.997917,65.0,44.0,10.75,65.0,80.0
29.941667,66.0,47.0,11.0,66.0,80.0
31.977083,51.0,42.0,12.0,51.0,33.0
32.073958,58.0,42.0,12.04375,58.0,33.0
32.134375,63.0,47.0,12.0875,63.0,33.0
32.234375,66.0,48.0,12.13125,66.0,33.0
32.651042,78.0,60.0,12.25,78.0,33.0
32.803125,77.0,61.0,12.5,77.0,33.0
33.165625,75.0,55.0,12.625,75.0,33.0
33.371875,87.0,55.0,12.75,87.0,33.0
33.655208,59.0,47.0,13.0,59.0,33.0
33.730208,66.0,54.0,13.04375,66.0,33.0
33.79375,71.0,50.0,13.0875,71.0,33.0
34.252083,90.0,61.0,13.25,90.0,33.0
34.439583,89.0,58.0,13.375,89.0,33.0
34.5,90.0,53.0,13.4375,90.0,33.0
34.577083,89.0,65.0,13.5,89.0,33.0
34.7875,87.0,54.0,13.625,87.0,33.0
35.016667,83.0,53.0,13.75,83.0,33.0
35.28125,66.0,39.0,14.0,66.0,33.0
35.35625,73.0,50.0,14.04375,73.0,33.0
35.465625,78.0,52.0,14.0875,78.0,33.0
35.56875,82.0,51.0,14.13125,82.0,33.0
35.973958,94.0,60.0,14.25,94.0,33.0
36.14375,92.0,63.0,14.375,92.0,33.0
36.196875,94.0,53.0,14.4375,94.0,33.0
36.282292,92.0,59.0,14.5,92.0,33.0
36.55,90.0,63.0,14.625,90.0,33.0
36.855208,99.0,57.0,14.75,99.0,33.0
37.244792,97.0,60.0,14.875,97.0,33.0
37.852083,102.0,56.0,15.0,102.0,33.0
41.73125,70.0,73.0,16.0,70.0,33.0
43.344792,68.0,63.0,16.75,68.0,33.0
43.675,65.0,71.0,16.875,65.0,33.0
44.113542,70.0,73.0,17.0,70.0,33.0
45.7875,66.0,60.0,17.75,66.0,33.0
46.189583,63.0,67.0,17.875,63.0,33.0
46.79375,60.0,65.0,18.0,60.0,33.0
48.547917,61.0,47.0,18.75,61.0,33.0
49.442708,63.0,47.0,19.0,63.0,33.0
51.69375,56.0,37.0,20.0,56.0,33.0
51.7625,63.0,43.0,20.04375,63.0,33.0
51.833333,66.0,46.0,20.0875,66.0,33.0
51.932292,72.0,51.0,20.13125,72.0,33.0
52.325,78.0,54.0,20.25,78.0,33.0
52.496875,77.0,49.0,20.5,77.0,33.0
52.858333,75.0,51.0,20.625,75.0,33.0
53.047917,72.0,49.0,20.75,72.0,33.0
53.259375,66.0,45.0,21.0,66.0,33.0
53.3375,72.0,48.0,21.04375,72.0,33.0
53.421875,75.0,55.0,21.0875,75.0,33.0
53.515625,82.0,61.0,21.13125,82.0,33.0
53.891667,87.0,61.0,21.25,87.0,33.0
54.073958,85.0,62.0,21.375,85.0,33.0
54.116667,87.0,46.0,21.4375,87.0,33.0
54.2,85.0,64.0,21.5,85.0,33.0
54.445833,84.0,54.0,21.625,84.0,33.0
54.688542,87.0,53.0,21.75,87.0,33.0
55.059375,65.0,43.0,22.0,65.0,33.0
55.155208,72.0,42.0,22.04375,72.0,33.0
55.290625,75.0,42.0,22.0875,75.0,33.0
55.491667,81.0,49.0,22.13125,81.0,33.0
56.094792,96.0,61.0,22.25,96.0,33.0
56.380208,90.0,61.0,22.375,90.0,33.0
56.452083,92.0,65.0,22.4375,92.0,33.0
56.5375,90.0,61.0,22.5,90.0,33.0
56.839583,89.0,54.0,22.625,89.0,33.0
57.209375,97.0,53.0,22.75,97.0,33.0
57.657292,96.0,57.0,22.875,96.0,33.0
58.335417,101.0,54.0,23.0,101.0,33.0
61.109375,46.0,42.0,24.0,46.0,49.0
61.764583,53.0,39.0,24.25,53.0,49.0
61.764583,58.0,34.0,24.25,58.0,49.0
62.28125,58.0,40.0,24.5,58.0,49.0
62.290625,61.0,30.0,24.5,61.0,49.0
62.802083,65.0,42.0,24.75,65.0,49.0
62.821875,61.0,32.0,24.75,61.0,49.0
63.304167,46.0,42.0,25.0,46.0,49.0
63.770832999999996,58.0,36.0,25.25,58.0,49.0
63.783333,53.0,35.0,25.25,53.0,49.0
64.240625,61.0,38.0,25.5,61.0,49.0
64.264583,58.0,27.0,25.5,58.0,49.0
64.729167,65.0,39.0,25.75,65.0,49.0
64.751042,61.0,26.0,25.75,61.0,49.0
65.295833,46.0,41.0,26.0,46.0,49.0
65.320833,77.0,64.0,26.0,77.0,49.0
65.808333,53.0,41.0,26.25,53.0,49.0
65.809375,58.0,44.0,26.25,58.0,49.0
66.289583,82.0,69.0,26.5,82.0,49.0
66.316667,61.0,32.0,26.5,61.0,49.0
66.327083,58.0,31.0,26.5,58.0,49.0
66.778125,65.0,44.0,26.75,65.0,49.0
66.792708,61.0,36.0,26.75,61.0,49.0
67.283333,80.0,69.0,27.0,80.0,49.0
67.30625,46.0,34.0,27.0,46.0,49.0
67.814583,58.0,42.0,27.25,58.0,49.0
67.816667,54.0,38.0,27.25,54.0,49.0
68.29375,78.0,69.0,27.5,78.0,49.0
68.304167,63.0,34.0,27.5,63.0,49.0
68.313542,58.0,32.0,27.5,58.0,49.0
68.777083,66.0,46.0,27.75,66.0,49.0
68.79375,63.0,39.0,27.75,63.0,49.0
69.370833,77.0,59.0,28.0,77.0,49.0
69.391667,46.0,35.0,28.0,46.0,49.0
69.926042,58.0,39.0,28.25,58.0,49.0
69.929167,61.0,36.0,28.25,61.0,49.0
69.952083,53.0,24.0,28.25,53.0,49.0
70.365625,65.0,37.0,28.5,65.0,49.0
70.370833,58.0,35.0,28.5,58.0,49.0
70.389583,61.0,28.0,28.5,61.0,49.0
70.841667,73.0,52.0,28.75,73.0,49.0
70.844792,61.0,32.0,28.75,61.0,49.0
70.869792,58.0,24.0,28.75,58.0,49.0
70.88125,65.0,28.0,28.75,65.0,49.0
71.063542,75.0,56.0,28.875,75.0,49.0
71.372917,77.0,58.0,29.0,77.0,49.0
71.404167,70.0,38.0,29.0,70.0,49.0
71.421875,65.0,31.0,29.0,65.0,49.0
71.435417,61.0,37.0,29.0,61.0,49.0
71.872917,65.0,40.0,29.25,65.0,49.0
71.88125,61.0,30.0,29.25,61.0,49.0
71.901042,58.0,29.0,29.25,58.0,49.0
72.308333,65.0,40.0,29.5,65.0,49.0
72.317708,61.0,30.0,29.5,61.0,49.0
72.323958,58.0,33.0,29.5,58.0,49.0
72.79375,61.0,35.0,29.75,61.0,49.0
72.801042,58.0,29.0,29.75,58.0,49.0
72.802083,53.0,30.0,29.75,53.0,49.0
73.397917,75.0,68.0,30.0,75.0,49.0
73.405208,46.0,34.0,30.0,46.0,49.0
73.95,58.0,44.0,30.25,58.0,49.0
73.952083,54.0,41.0,30.25,54.0,49.0
74.415625,63.0,42.0,30.5,63.0,49.0
74.416667,58.0,42.0,30.5,58.0,49.0
74.845833,73.0,64.0,30.75,73.0,49.0
74.863542,63.0,39.0,30.75,63.0,49.0
74.86875,66.0,35.0,30.75,66.0,49.0
75.084375,72.0,69.0,30.875,72.0,49.0
75.464583,77.0,68.0,31.0,77.0,49.0
75.511458,45.0,36.0,31.0,45.0,49.0
76.008333,60.0,41.0,31.25,60.0,49.0
76.009375,53.0,40.0,31.25,53.0,49.0
76.457292,63.0,42.0,31.5,63.0,49.0
76.469792,60.0,37.0,31.5,60.0,49.0
76.908333,77.0,63.0,31.75,77.0,49.0
76.928125,65.0,40.0,31.75,65.0,49.0
76.963542,63.0,35.0,31.75,63.0,49.0
77.455208,70.0,63.0,32.0,70.0,49.0
77.469792,46.0,36.0,32.0,46.0,49.0
77.990625,53.0,33.0,32.25,53.0,49.0
77.995833,61.0,33.0,32.25,61.0,49.0
78.008333,58.0,22.0,32.25,58.0,49.0
78.441667,65.0,39.0,32.5,65.0,49.0
