onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.08958299999999997,72.0,63.0,0.0,72.0,49.0
0.58125,67.0,65.0,0.5,67.0,49.0
1.077083,64.0,65.0,1.0,64.0,49.0
1.295833,48.0,57.0,1.25,48.0,49.0
1.521875,36.0,63.0,1.5,36.0,49.0
1.7520829999999998,69.0,69.0,1.75,69.0,49.0
2.005208,62.0,68.0,2.0,62.0,49.0
2.217708,48.0,56.0,2.25,48.0,49.0
2.444792,36.0,52.0,2.5,36.0,49.0
2.670833,67.0,53.0,2.75,67.0,49.0
2.925,60.0,50.0,3.0,60.0,49.0
3.145833,48.0,47.0,3.25,48.0,49.0
3.377083,36.0,48.0,3.5,36.0,49.0
3.596875,76.0,78.0,3.75,76.0,49.0
3.8625,65.0,62.0,4.0,65.0,49.0
4.075,48.0,53.0,4.25,48.0,49.0
4.317708,36.0,56.0,4.5,36.0,49.0
4.548958,74.0,56.0,4.75,74.0,49.0
4.803125,64.0,50.0,5.0,64.0,49.0
5.01875,48.0,46.0,5.25,48.0,49.0
5.270833,36.0,42.0,5.5,36.0,49.0
5.482292,72.0,49.0,5.75,72.0,49.0
5.715625,62.0,49.0,6.0,62.0,49.0
5.941667,69.0,50.0,6.25,69.0,49.0
5.958333,48.0,42.0,6.25,48.0,49.0
6.167708,57.0,58.0,6.5,57.0,49.0
6.20625,36.0,39.0,6.5,36.0,49.0
6.391667,59.0,59.0,6.75,59.0,49.0
6.633333,62.0,47.0,7.0,62.0,49.0
6.883333,60.0,50.0,7.25,60.0,49.0
6.904167,48.0,42.0,7.25,48.0,49.0
7.144792,36.0,45.0,7.5,36.0,49.0
7.342708,62.0,64.0,7.75,62.0,49.0
7.346875,59.0,52.0,7.75,59.0,49.0
7.586458,65.0,48.0,8.0,65.0,49.0
7.597917000000001,62.0,36.0,8.0,62.0,49.0
7.831250000000001,64.0,50.0,8.25,64.0,49.0
7.833333,60.0,47.0,8.25,60.0,49.0
7.846875000000001,48.0,41.0,8.25,48.0,49.0
8.060417,36.0,47.0,8.5,36.0,49.0
8.267708,62.0,50.0,8.75,62.0,49.0
8.267708,65.0,59.0,8.75,65.0,49.0
8.514583,69.0,51.0,9.0,69.0,49.0
8.522917,65.0,46.0,9.0,65.0,49.0
8.733333,64.0,50.0,9.25,64.0,49.0
8.740625,67.0,45.0,9.25,67.0,49.0
8.745833,48.0,49.0,9.25,48.0,49.0
8.965625,36.0,50.0,9.5,36.0,49.0
9.179167,62.0,60.0,9.75,62.0,49.0
9.183333,71.0,62.0,9.75,71.0,49.0
9.413542,74.0,66.0,10.0,74.0,49.0
9.438542,65.0,53.0,10.0,65.0,49.0
9.645833,72.0,64.0,10.25,72.0,49.0
9.647917,64.0,54.0,10.25,64.0,49.0
9.660417,48.0,57.0,10.25,48.0,49.0
9.8625,36.0,67.0,10.5,36.0,49.0
10.061458,74.0,73.0,10.75,74.0,49.0
10.064583,71.0,67.0,10.75,71.0,49.0
10.346875,74.0,81.0,11.0,74.0,49.0
10.346875,77.0,81.0,11.0,77.0,49.0
12.682292,76.0,39.0,11.5,76.0,80.0
12.709375,72.0,26.0,11.5,72.0,80.0
14.420833,36.0,57.0,12.0,36.0,96.0
14.445833,72.0,61.0,12.0,72.0,96.0
14.495833,79.0,76.0,12.0875,79.0,96.0
14.508333,48.0,71.0,12.13125,48.0,96.0
14.513542,84.0,85.0,12.13125,84.0,96.0
14.9,43.0,47.0,12.5,43.0,96.0
14.944792,71.0,59.0,12.5,71.0,96.0
14.985417,79.0,85.0,12.632292,79.0,96.0
14.989583,55.0,75.0,12.63125,55.0,96.0
15.351042,48.0,44.0,13.0,48.0,96.0
15.425,67.0,52.0,13.0,67.0,96.0
15.442708,72.0,71.0,13.065625,72.0,96.0
15.460417,76.0,83.0,13.132292,76.0,96.0
15.461458,60.0,75.0,13.13125,60.0,96.0
16.097917,83.0,72.0,13.75,83.0,96.0
16.175,81.0,61.0,13.8125,81.0,96.0
16.205208,80.0,72.0,13.875,80.0,96.0
16.35,74.0,72.0,14.0,74.0,96.0
16.579167,71.0,54.0,14.25,71.0,96.0
16.583333,65.0,55.0,14.25,65.0,96.0
16.816667,65.0,63.0,14.5,65.0,96.0
16.826042,71.0,58.0,14.5,71.0,96.0
17.03125,81.0,64.0,14.75,81.0,96.0
17.119792,79.0,29.0,14.8125,79.0,96.0
17.142708,78.0,61.0,14.875,78.0,96.0
17.305208,72.0,48.0,15.0,72.0,96.0
17.523958,64.0,44.0,15.25,64.0,96.0
17.528125,67.0,45.0,15.25,67.0,96.0
17.780208,67.0,51.0,15.5,67.0,96.0
17.78125,64.0,42.0,15.5,64.0,96.0
18.013542,88.0,80.0,15.75,88.0,96.0
18.271875,77.0,68.0,16.0,77.0,96.0
18.398958,62.0,58.0,16.125,62.0,96.0
18.507292,61.0,66.0,16.25,61.0,96.0
18.628125,62.0,65.0,16.375,62.0,96.0
18.74375,60.0,66.0,16.5,60.0,96.0
18.882292,59.0,65.0,16.625,59.0,96.0
18.989583,86.0,80.0,16.75,86.0,96.0
19.001042,57.0,60.0,16.75,57.0,96.0
19.128125,55.0,67.0,16.875,55.0,96.0
19.252083,76.0,69.0,17.0,76.0,96.0
19.357292,60.0,65.0,17.125,60.0,96.0
19.4875,62.0,61.0,17.25,62.0,96.0
19.5875,64.0,64.0,17.375,64.0,96.0
19.723958,65.0,63.0,17.5,65.0,96.0
19.8625,67.0,58.0,17.625,67.0,96.0
19.975,68.0,59.0,17.75,68.0,96.0
19.975,84.0,70.0,17.75,84.0,96.0
20.083333,69.0,49.0,17.875,69.0,96.0
20.233333,74.0,56.0,18.0,74.0,96.0
20.234375,65.0,45.0,18.0,65.0,96.0
20.479167,81.0,60.0,18.25,81.0,96.0
20.489583,77.0,52.0,18.25,77.0,96.0
20.739583,79.0,54.0,18.5,79.0,96.0
20.748958,76.0,56.0,18.5,76.0,96.0
21.020833,71.0,57.0,18.75,71.0,96.0
21.059375,67.0,40.0,18.75,67.0,96.0
21.277083,72.0,66.0,19.0,72.0,96.0
21.286458,64.0,55.0,19.0,64.0,96.0
21.297917,60.0,45.0,19.0,60.0,96.0
21.427083,67.0,38.0,19.125,67.0,96.0
21.530208,72.0,63.0,19.25,72.0,96.0
21.541667,64.0,57.0,19.25,64.0,96.0
21.563542,60.0,35.0,19.25,60.0,96.0
21.680208,67.0,45.0,19.375,67.0,96.0
21.791667,64.0,58.0,19.5,64.0,96.0
21.798958,60.0,50.0,19.5,60.0,96.0
21.913542,67.0,47.0,19.625,67.0,96.0
22.009375,81.0,65.0,19.75,81.0,96.0
22.014583,64.0,59.0,19.75,64.0,96.0
22.029167,60.0,50.0,19.75,60.0,96.0
22.066667,79.0,56.0,19.8125,79.0,96.0
22.114583,78.0,69.0,19.875,78.0,96.0
22.125,67.0,49.0,19.875,67.0,96.0
22.177083,79.0,81.0,19.9375,79.0,96.0
22.253125,71.0,73.0,20.0,71.0,96.0
