onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.0,37.0,29.0,0.166667,37.0,70.0
1.557292,49.0,32.0,0.333333,49.0,70.0
1.967708,40.0,42.0,0.5,40.0,70.0
2.371875,37.0,37.0,0.6666669999999999,37.0,70.0
2.730208,49.0,27.0,0.8333330000000001,49.0,70.0
3.030208,40.0,40.0,1.0,40.0,70.0
3.389583,37.0,27.0,1.166667,37.0,70.0
3.7104169999999996,49.0,26.0,1.333333,49.0,70.0
4.014583,40.0,34.0,1.5,40.0,70.0
4.304167,37.0,28.0,1.666667,37.0,70.0
4.307292,52.0,33.0,1.666667,52.0,70.0
4.504167,57.0,38.0,1.75,57.0,70.0
4.6375,64.0,44.0,1.833333,64.0,70.0
4.667708,49.0,29.0,1.833333,49.0,70.0
4.78125,57.0,45.0,1.916667,57.0,70.0
4.9125,61.0,53.0,2.0,61.0,70.0
4.923958,40.0,31.0,2.0,40.0,70.0
5.0375,69.0,53.0,2.083333,69.0,70.0
5.160417,37.0,34.0,2.166667,37.0,70.0
5.189583,64.0,47.0,2.166667,64.0,70.0
5.30625,69.0,57.0,2.25,69.0,70.0
5.453125,76.0,59.0,2.333333,76.0,70.0
5.5,49.0,34.0,2.333333,49.0,70.0
5.589583,69.0,47.0,2.416667,69.0,70.0
5.702083,73.0,63.0,2.5,73.0,70.0
5.740625,40.0,31.0,2.5,40.0,70.0
5.822917,81.0,62.0,2.583333,81.0,70.0
5.959375,76.0,56.0,2.666667,76.0,70.0
5.980208,37.0,32.0,2.666667,37.0,70.0
6.073958,81.0,62.0,2.75,81.0,70.0
6.210417,88.0,53.0,2.833333,88.0,70.0
6.254167,49.0,28.0,2.833333,49.0,70.0
6.363542,81.0,60.0,2.916667,81.0,70.0
6.490625,40.0,30.0,3.0,40.0,70.0
6.5,85.0,59.0,3.0,85.0,70.0
6.65625,93.0,56.0,3.083333,93.0,70.0
6.839583,37.0,19.0,3.166667,37.0,70.0
7.123958,81.0,48.0,3.333333,81.0,70.0
7.145833,49.0,21.0,3.333333,49.0,70.0
7.272917,88.0,46.0,3.416667,88.0,70.0
7.420833,40.0,24.0,3.5,40.0,70.0
7.504167000000001,97.0,59.0,3.5,97.0,70.0
7.81875,37.0,25.0,3.6666670000000003,37.0,70.0
8.140625,49.0,29.0,3.8333329999999997,49.0,70.0
8.428125,40.0,39.0,4.0,40.0,70.0
8.795833,37.0,27.0,4.166667,37.0,70.0
9.126042,49.0,30.0,4.333333,49.0,70.0
9.5625,41.0,47.0,4.5,41.0,70.0
10.046875,37.0,31.0,4.666667,37.0,70.0
10.396875,49.0,32.0,4.833333,49.0,70.0
10.715625,41.0,42.0,5.0,41.0,70.0
11.053125,37.0,16.0,5.166667,37.0,70.0
11.35,49.0,27.0,5.333333,49.0,70.0
11.641667,41.0,35.0,5.5,41.0,70.0
11.985417,37.0,28.0,5.666667,37.0,70.0
11.985417,53.0,21.0,5.666667,53.0,70.0
12.120833,57.0,37.0,5.75,57.0,70.0
12.265625,65.0,42.0,5.833333,65.0,70.0
12.29375,49.0,34.0,5.833333,49.0,70.0
12.385417,57.0,47.0,5.916667,57.0,70.0
12.5375,61.0,53.0,6.0,61.0,70.0
12.588542,41.0,34.0,6.0,41.0,70.0
12.651042,69.0,52.0,6.083333,69.0,70.0
12.792708,65.0,54.0,6.166667,65.0,70.0
12.823958,37.0,35.0,6.166667,37.0,70.0
12.921875,69.0,56.0,6.25,69.0,70.0
13.053125,77.0,53.0,6.333333,77.0,70.0
13.094792,49.0,30.0,6.333333,49.0,70.0
13.196875,69.0,45.0,6.416667,69.0,70.0
13.317708,73.0,55.0,6.5,73.0,70.0
13.376042,41.0,33.0,6.5,41.0,70.0
13.457292,81.0,55.0,6.583333,81.0,70.0
13.6125,77.0,49.0,6.666667,77.0,70.0
13.639583,37.0,26.0,6.666667,37.0,70.0
13.727083,81.0,63.0,6.75,81.0,70.0
13.876042,89.0,49.0,6.833333,89.0,70.0
13.926042,49.0,30.0,6.833333,49.0,70.0
14.022917,81.0,51.0,6.916667,81.0,70.0
14.186458,85.0,48.0,7.0,85.0,70.0
14.222917,41.0,21.0,7.0,41.0,70.0
14.366667,93.0,51.0,7.083333,93.0,70.0
14.572917,37.0,23.0,7.166667,37.0,70.0
14.8375,81.0,53.0,7.333333,81.0,70.0
14.86875,49.0,32.0,7.333333,49.0,70.0
14.998958,89.0,46.0,7.416667,89.0,70.0
15.230208,41.0,25.0,7.5,41.0,70.0
15.246875,97.0,45.0,7.5,97.0,70.0
15.644791999999999,37.0,24.0,7.666667,37.0,70.0
15.945833,49.0,24.0,7.833333,49.0,70.0
16.25,41.0,37.0,8.0,41.0,70.0
16.616667,37.0,28.0,8.166667,37.0,70.0
16.921875,49.0,38.0,8.333333,49.0,70.0
17.320833,42.0,45.0,8.5,42.0,70.0
17.795833,37.0,24.0,8.666667,37.0,70.0
18.136458,49.0,28.0,8.833333,49.0,70.0
18.442708,42.0,48.0,9.0,42.0,70.0
18.777083,37.0,24.0,9.166667,37.0,70.0
