onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9739580000000001,62.0,64.0,0.166667,62.0,33.0
1.010417,61.0,64.0,0.25,61.0,33.0
1.2125,66.0,49.0,0.333333,66.0,33.0
1.227083,65.0,55.0,0.416667,65.0,33.0
1.360417,69.0,59.0,0.5,69.0,33.0
1.522917,69.0,64.0,0.6666669999999999,69.0,33.0
1.5375,68.0,64.0,0.75,68.0,33.0
1.6604169999999998,73.0,56.0,0.8333330000000001,73.0,33.0
1.665625,71.0,58.0,0.9166669999999999,71.0,33.0
1.7687499999999998,74.0,70.0,1.0,74.0,33.0
1.932292,74.0,62.0,1.166667,74.0,33.0
1.9395829999999998,73.0,70.0,1.25,73.0,33.0
2.064583,78.0,59.0,1.375,78.0,33.0
2.075,77.0,62.0,1.416667,77.0,33.0
2.210417,80.0,71.0,1.5,80.0,33.0
2.328125,81.0,64.0,1.666667,81.0,33.0
2.329167,80.0,61.0,1.75,80.0,33.0
2.442708,85.0,71.0,1.833333,85.0,33.0
2.463542,83.0,52.0,1.916667,83.0,33.0
2.56875,86.0,72.0,2.0,86.0,33.0
2.733333,80.0,51.0,2.166667,80.0,33.0
2.739583,83.0,69.0,2.25,83.0,33.0
2.871875,85.0,55.0,2.333333,85.0,33.0
3.021875,86.0,65.0,2.5,86.0,33.0
3.075,85.0,63.0,2.583333,85.0,33.0
3.195833,77.0,58.0,2.666667,77.0,33.0
3.197917,80.0,64.0,2.75,80.0,33.0
3.36875,85.0,58.0,2.833333,85.0,33.0
3.3875,83.0,55.0,2.916667,83.0,33.0
3.5520829999999997,86.0,59.0,3.0,86.0,33.0
3.75,80.0,34.0,3.166667,80.0,33.0
3.7718749999999996,83.0,60.0,3.25,83.0,33.0
4.0125,85.0,8.0,3.333333,85.0,33.0
4.042708,83.0,53.0,3.416667,83.0,33.0
4.277083,86.0,35.0,3.5,86.0,33.0
4.578125,77.0,43.0,3.6666670000000003,77.0,33.0
4.60625,80.0,53.0,3.75,80.0,33.0
4.932292,73.0,62.0,3.8333329999999997,73.0,33.0
5.072917,85.0,82.0,4.0,81.0,33.0
5.077083,78.0,72.0,4.0,78.0,33.0
5.209375,78.0,70.0,4.166667,78.0,33.0
5.219792,81.0,39.0,4.25,81.0,33.0
5.228125,73.0,57.0,4.166667,73.0,33.0
5.334375,78.0,72.0,4.416667,78.0,33.0
5.344792,69.0,81.0,4.333333,69.0,33.0
5.353125,73.0,62.0,4.333333,73.0,33.0
5.478125,74.0,64.0,4.5,74.0,33.0
5.486458,69.0,46.0,4.5,69.0,33.0
5.59375,69.0,72.0,4.75,69.0,33.0
5.597917,66.0,62.0,4.666667,66.0,33.0
5.705208,62.0,81.0,4.833333,62.0,33.0
5.722917,66.0,56.0,5.0,66.0,33.0
5.822917,73.0,85.0,5.083333,73.0,33.0
5.848958,66.0,52.0,5.166667,66.0,33.0
5.958333,69.0,69.0,5.25,69.0,33.0
6.085417,66.0,73.0,5.416667,66.0,33.0
6.10625,61.0,52.0,5.333333,61.0,33.0
6.228125,57.0,57.0,5.5,57.0,33.0
6.338542,57.0,78.0,5.583333,61.0,33.0
6.363542,54.0,53.0,5.666667,54.0,33.0
6.464583,66.0,63.0,5.75,57.0,33.0
6.466667,61.0,69.0,5.833333,61.0,33.0
6.575,68.0,74.0,5.916667,66.0,33.0
6.578125,61.0,67.0,6.0,61.0,33.0
6.619792,65.0,33.0,6.0,65.0,33.0
6.708333,49.0,61.0,6.166667,49.0,33.0
6.820833,61.0,72.0,6.25,61.0,33.0
6.829167,68.0,63.0,6.083333,68.0,33.0
6.959375,61.0,66.0,6.333333,61.0,33.0
6.975,66.0,56.0,6.333333,66.0,33.0
7.072917,54.0,62.0,6.666667,54.0,33.0
7.078125,61.0,61.0,6.75,61.0,33.0
7.203125,61.0,67.0,6.833333,61.0,33.0
7.342708,66.0,68.0,6.833333,66.0,33.0
7.45,60.0,67.0,7.083333,66.0,33.0
7.458333,57.0,59.0,7.166667,57.0,33.0
7.602083,66.0,59.0,7.25,60.0,33.0
7.611458000000001,63.0,46.0,7.333333,63.0,33.0
7.705208000000001,65.0,82.0,7.416667,66.0,33.0
7.707292000000001,61.0,73.0,7.5,61.0,33.0
7.842708,68.0,74.0,7.666667,68.0,33.0
7.887499999999999,72.0,21.0,7.75,73.0,33.0
