onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.863542,63.0,27.0,0.166667,63.0,49.0
0.886458,75.0,15.0,0.166667,75.0,49.0
1.230208,75.0,27.0,0.333333,75.0,49.0
1.235417,63.0,36.0,0.333333,63.0,49.0
1.546875,63.0,46.0,0.5,63.0,49.0
1.5625,75.0,46.0,0.5,75.0,49.0
1.865625,99.0,52.0,0.6666669999999999,99.0,49.0
1.8708330000000002,87.0,48.0,0.6666669999999999,87.0,49.0
2.167708,87.0,50.0,0.8333330000000001,87.0,49.0
2.172917,99.0,55.0,0.8333330000000001,99.0,49.0
2.483333,99.0,57.0,1.0,99.0,49.0
2.4875,87.0,52.0,1.0,87.0,49.0
2.777083,63.0,43.0,1.166667,63.0,49.0
2.8,75.0,39.0,1.166667,75.0,49.0
3.108333,75.0,54.0,1.333333,75.0,49.0
3.1125,63.0,53.0,1.333333,63.0,49.0
3.411458,63.0,50.0,1.5,63.0,49.0
3.41875,75.0,56.0,1.5,75.0,49.0
3.7104169999999996,99.0,66.0,1.666667,99.0,49.0
3.714583,87.0,60.0,1.666667,87.0,49.0
4.039583,99.0,69.0,1.833333,99.0,49.0
4.040625,87.0,61.0,1.833333,87.0,49.0
4.339583,87.0,60.0,2.0,87.0,49.0
4.344792,99.0,60.0,2.0,99.0,49.0
4.645833,63.0,40.0,2.166667,63.0,49.0
4.654167,75.0,41.0,2.166667,75.0,49.0
4.970833,87.0,44.0,2.333333,87.0,49.0
4.977083,99.0,44.0,2.333333,99.0,49.0
5.338542,87.0,49.0,2.5,87.0,49.0
5.339583,99.0,50.0,2.5,99.0,49.0
5.683333,63.0,36.0,2.666667,63.0,49.0
5.716667,75.0,29.0,2.666667,75.0,49.0
6.145833,99.0,46.0,2.833333,99.0,49.0
6.157292,87.0,41.0,2.833333,87.0,49.0
6.939583,99.0,34.0,3.0,99.0,49.0
6.942708,87.0,35.0,3.0,87.0,49.0
8.59375,75.0,48.0,3.333333,75.0,49.0
8.7625,87.0,58.0,3.416667,87.0,49.0
8.963542,87.0,69.0,3.5,87.0,49.0
9.090625,99.0,61.0,3.5833329999999997,99.0,49.0
9.23125,87.0,73.0,3.6666670000000003,87.0,49.0
9.360417,99.0,56.0,3.75,99.0,49.0
9.478125,85.0,69.0,3.8333329999999997,85.0,49.0
9.571875,56.0,42.0,4.0,56.0,49.0
9.584375,99.0,64.0,3.9166670000000003,99.0,49.0
9.744792,71.0,51.0,4.09375,71.0,49.0
9.869792,99.0,72.0,4.083333,99.0,49.0
10.039583,83.0,59.0,4.166667,83.0,49.0
10.157292,99.0,74.0,4.25,99.0,49.0
10.297917,82.0,83.0,4.333333,82.0,49.0
10.4375,99.0,73.0,4.416667,99.0,49.0
10.439583,59.0,47.0,4.5,59.0,49.0
10.4875,68.0,53.0,4.5,80.0,49.0
10.583333,80.0,83.0,4.545833,68.0,49.0
10.595833,75.0,68.0,4.59375,75.0,49.0
10.727083,99.0,73.0,4.583333,99.0,49.0
10.869792,79.0,79.0,4.666667,79.0,49.0
11.020833,99.0,80.0,4.75,99.0,49.0
11.15,80.0,84.0,4.833333,80.0,49.0
11.255208,63.0,60.0,5.0,63.0,49.0
11.292708,99.0,70.0,4.916667,99.0,49.0
11.322917,70.0,62.0,5.0,82.0,49.0
11.422917,79.0,68.0,5.09375,79.0,49.0
11.564583,99.0,67.0,5.083333,99.0,49.0
11.702083,75.0,82.0,5.166667,75.0,49.0
11.848958,99.0,70.0,5.25,99.0,49.0
12.00625,75.0,76.0,5.333333,75.0,49.0
12.140625,87.0,63.0,5.416667,87.0,49.0
12.1625,67.0,39.0,5.5,67.0,49.0
12.283333,70.0,69.0,5.545833,70.0,49.0
12.436458,87.0,48.0,5.583333,87.0,49.0
12.571875,75.0,81.0,5.666667,75.0,49.0
12.70625,87.0,54.0,5.75,87.0,49.0
12.844792,73.0,78.0,5.833333,73.0,49.0
12.964583,87.0,59.0,5.916667,87.0,49.0
13.130208,68.0,61.0,6.0,68.0,49.0
13.135417,71.0,71.0,6.0,71.0,49.0
13.272917,87.0,65.0,6.083333,87.0,49.0
13.416667,71.0,69.0,6.166667,71.0,49.0
13.547917,87.0,62.0,6.25,87.0,49.0
13.686458,70.0,77.0,6.333333,70.0,49.0
13.833333,87.0,62.0,6.416667,87.0,49.0
13.891667,62.0,52.0,6.545833,62.0,49.0
13.954167,65.0,54.0,6.59375,65.0,49.0
14.135417,87.0,70.0,6.583333,87.0,49.0
14.26875,67.0,80.0,6.666667,67.0,49.0
14.53125,68.0,74.0,6.833333,68.0,49.0
14.676042,87.0,71.0,6.916667,87.0,49.0
14.827083,70.0,72.0,7.0,70.0,49.0
14.833333,63.0,48.0,7.0,63.0,49.0
14.838542,67.0,48.0,7.0,67.0,49.0
14.978125,87.0,76.0,7.083333,87.0,49.0
15.121875,63.0,65.0,7.166667,63.0,49.0
15.265625,75.0,64.0,7.25,75.0,49.0
15.4125,75.0,73.0,7.333333,75.0,49.0
15.532292000000002,87.0,69.0,7.416667,87.0,49.0
15.713542,87.0,81.0,7.5,87.0,49.0
15.838542,99.0,62.0,7.583333,99.0,49.0
15.996875,87.0,72.0,7.666667,87.0,49.0
16.144792,99.0,42.0,7.75,99.0,49.0
16.258333,85.0,70.0,7.833333,85.0,49.0
16.332292,56.0,39.0,8.0,56.0,49.0
16.373958,99.0,65.0,7.916667,99.0,49.0
16.516667,71.0,53.0,8.09375,71.0,49.0
16.654167,99.0,70.0,8.083333,99.0,49.0
16.802083,83.0,76.0,8.166667,83.0,49.0
16.933333,99.0,72.0,8.25,99.0,49.0
17.082292,82.0,82.0,8.333333,82.0,49.0
17.172917,59.0,48.0,8.5,59.0,49.0
17.234375,99.0,71.0,8.416667,99.0,49.0
17.258333,68.0,58.0,8.5,80.0,49.0
17.364583,80.0,86.0,8.545833,68.0,49.0
17.370833,75.0,70.0,8.59375,75.0,49.0
