onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.980208,55.0,37.0,0.5,55.0,49.0
0.9979169999999999,31.0,29.0,0.5,31.0,49.0
1.016667,43.0,32.0,0.5,43.0,49.0
3.605208,55.0,43.0,1.5,55.0,49.0
3.629167,31.0,41.0,1.5,31.0,49.0
3.6479169999999996,43.0,22.0,1.5,43.0,49.0
5.005208,53.0,56.0,3.0,53.0,53.0
5.019792,41.0,44.0,3.0,41.0,53.0
6.78125,51.0,46.0,3.75,51.0,55.0
6.789583,39.0,50.0,3.75,39.0,55.0
7.504167000000001,50.0,53.0,4.0,50.0,46.0
7.574999999999999,38.0,41.0,4.0,38.0,46.0
8.619792,48.0,46.0,4.5,48.0,42.0
8.630208,36.0,34.0,4.5,36.0,42.0
9.791667,46.0,48.0,5.0,46.0,37.0
9.833333,34.0,37.0,5.0,34.0,37.0
11.072917,44.0,39.0,5.5,44.0,33.0
11.0875,32.0,31.0,5.5,32.0,33.0
13.592708,55.0,42.0,6.5,55.0,49.0
13.613542,31.0,39.0,6.5,31.0,49.0
13.636458,43.0,34.0,6.5,43.0,49.0
16.077083,55.0,33.0,7.5,55.0,49.0
16.102083,43.0,28.0,7.5,43.0,49.0
16.130208,31.0,31.0,7.5,31.0,49.0
18.341667,55.0,45.0,8.5,55.0,49.0
18.372917,31.0,36.0,8.5,31.0,49.0
18.3875,43.0,33.0,8.5,43.0,49.0
19.685417,54.0,58.0,9.0,54.0,53.0
19.722917,42.0,40.0,9.0,42.0,53.0
21.604167,51.0,52.0,9.75,51.0,55.0
21.611458,39.0,33.0,9.75,39.0,55.0
22.179167,50.0,47.0,10.0,50.0,46.0
22.207292,38.0,37.0,10.0,38.0,46.0
23.332292,49.0,43.0,10.5,49.0,42.0
23.372917,37.0,34.0,10.5,37.0,42.0
24.491667,46.0,39.0,11.0,46.0,37.0
24.509375,34.0,33.0,11.0,34.0,37.0
25.830208,45.0,35.0,11.5,45.0,33.0
25.842708,33.0,37.0,11.5,33.0,33.0
28.671875,31.0,31.0,12.5,31.0,49.0
28.685417,55.0,31.0,12.5,55.0,49.0
28.717708,43.0,11.0,12.5,43.0,49.0
31.233333,55.0,24.0,13.5,55.0,49.0
31.260417,43.0,21.0,13.5,43.0,49.0
31.267708,31.0,26.0,13.5,31.0,49.0
33.31875,31.0,86.0,14.875,31.0,96.0
33.31875,43.0,96.0,14.875,43.0,96.0
33.402083,55.0,100.0,15.0,55.0,96.0
33.402083,67.0,101.0,15.0,67.0,96.0
34.125,43.0,81.0,15.875,43.0,96.0
34.126042,55.0,92.0,15.875,55.0,96.0
34.126042,79.0,103.0,15.875,79.0,96.0
34.129167,67.0,98.0,15.875,67.0,96.0
34.40625,91.0,109.0,16.0,91.0,96.0
34.407292,79.0,107.0,16.0,79.0,96.0
34.410417,55.0,93.0,16.0,55.0,96.0
34.4125,67.0,98.0,16.0,67.0,96.0
35.240625,82.0,100.0,17.0,82.0,96.0
35.246875,70.0,106.0,17.0,70.0,96.0
35.25,46.0,99.0,17.0,46.0,96.0
35.25,58.0,99.0,17.0,58.0,96.0
35.933333,83.0,98.0,17.875,83.0,96.0
35.936458,71.0,105.0,17.875,71.0,96.0
35.938542,47.0,91.0,17.875,47.0,96.0
35.942708,59.0,85.0,17.875,59.0,96.0
36.070833,86.0,103.0,18.0,86.0,96.0
36.073958,74.0,109.0,18.0,74.0,96.0
36.078125,50.0,102.0,18.0,50.0,96.0
36.078125,62.0,91.0,18.0,62.0,96.0
37.28125,85.0,91.0,19.5,85.0,96.0
37.290625,73.0,101.0,19.5,73.0,96.0
37.297917,49.0,87.0,19.5,49.0,96.0
37.297917,61.0,88.0,19.5,61.0,96.0
37.433333,46.0,89.0,19.666667,46.0,96.0
37.439583,58.0,85.0,19.666667,58.0,96.0
37.446875,70.0,104.0,19.666667,70.0,96.0
37.447917,82.0,96.0,19.666667,82.0,96.0
37.553125,55.0,95.0,19.833333,55.0,96.0
37.55625,43.0,92.0,19.833333,43.0,96.0
37.558333,79.0,98.0,19.833333,79.0,96.0
37.564583,67.0,99.0,19.833333,67.0,96.0
37.688542,40.0,92.0,20.0,40.0,96.0
37.689583,52.0,91.0,20.0,52.0,96.0
37.689583,76.0,95.0,20.0,76.0,96.0
37.69375,64.0,109.0,20.0,64.0,96.0
38.890625,75.0,90.0,21.25,75.0,96.0
38.901042,63.0,88.0,21.25,63.0,96.0
38.916667,39.0,76.0,21.25,39.0,96.0
38.917708,51.0,81.0,21.25,51.0,96.0
39.161458,76.0,106.0,21.5,76.0,96.0
39.165625,64.0,97.0,21.5,64.0,96.0
39.170833,40.0,84.0,21.5,40.0,96.0
39.170833,52.0,84.0,21.5,52.0,96.0
39.391667,78.0,105.0,21.75,78.0,96.0
39.397917,66.0,101.0,21.75,66.0,96.0
39.402083,42.0,89.0,21.75,42.0,96.0
39.405208,54.0,92.0,21.75,54.0,96.0
39.702083,81.0,107.0,22.0,81.0,96.0
39.703125,69.0,103.0,22.0,69.0,96.0
39.709375,57.0,91.0,22.0,57.0,96.0
39.713542,45.0,95.0,22.0,45.0,96.0
41.05,79.0,95.0,23.5,79.0,96.0
41.053125,55.0,88.0,23.5,55.0,96.0
41.054167,67.0,90.0,23.5,67.0,96.0
41.061458,43.0,88.0,23.5,43.0,96.0
41.207292,52.0,87.0,23.666667,52.0,96.0
41.209375,76.0,97.0,23.666667,76.0,96.0
41.213542,40.0,86.0,23.666667,40.0,96.0
41.214583,64.0,97.0,23.666667,64.0,96.0
41.329167,49.0,96.0,23.833333,49.0,96.0
41.333333,37.0,95.0,23.833333,37.0,96.0
41.3375,73.0,101.0,23.833333,73.0,96.0
41.34375,61.0,98.0,23.833333,61.0,96.0
41.45625,34.0,99.0,24.0,34.0,96.0
41.459375,46.0,92.0,24.0,46.0,96.0
41.46875,58.0,106.0,24.0,58.0,96.0
41.489583,68.0,63.0,24.0,70.0,96.0
43.0125,34.0,72.0,25.875,34.0,96.0
43.05625,35.0,71.0,25.916667,35.0,96.0
43.109375,37.0,87.0,25.958333,37.0,96.0
43.161458,38.0,97.0,26.0,38.0,96.0
43.592708,38.0,93.0,26.25,38.0,96.0
43.89375,38.0,98.0,26.5,38.0,96.0
43.89375,59.0,91.0,26.5,59.0,96.0
43.89375,66.0,93.0,26.5,66.0,115.0
43.895833,54.0,93.0,26.5,54.0,96.0
44.146875,38.0,98.0,26.75,38.0,96.0
44.40625,38.0,98.0,27.0,38.0,96.0
44.715625,37.0,95.0,27.25,37.0,96.0
44.823958,35.0,85.0,27.375,35.0,96.0
44.932292,42.0,101.0,27.5,42.0,96.0
44.936458,62.0,91.0,27.5,62.0,96.0
44.9375,54.0,93.0,27.5,54.0,96.0
44.941667,59.0,90.0,27.5,59.0,96.0
45.2875,41.0,102.0,27.75,41.0,96.0
45.665625,55.0,78.0,28.0,55.0,96.0
45.66875,40.0,100.0,28.0,40.0,96.0
46.376042,58.0,90.0,28.5,58.0,96.0
47.1625,61.0,87.0,29.0,61.0,96.0
48.396875,36.0,76.0,29.875,36.0,96.0
48.447917,37.0,80.0,29.916667,37.0,96.0
48.5,39.0,84.0,29.958333,39.0,96.0
48.558333,40.0,97.0,30.0,40.0,96.0
48.970833,40.0,97.0,30.25,40.0,96.0
49.246875,67.0,101.0,30.5,67.0,96.0
49.248958,55.0,97.0,30.5,55.0,96.0
49.25,40.0,95.0,30.5,40.0,96.0
49.252083,58.0,94.0,30.5,58.0,96.0
49.254167,61.0,90.0,30.5,61.0,96.0
49.498958,40.0,98.0,30.75,40.0,96.0
49.785417,40.0,97.0,31.0,40.0,96.0
50.10625,38.0,94.0,31.25,38.0,96.0
50.208333,37.0,96.0,31.375,37.0,96.0
50.328125,45.0,97.0,31.5,45.0,96.0
50.332292,58.0,83.0,31.5,58.0,96.0
50.332292,61.0,79.0,31.5,61.0,96.0
50.335417,64.0,90.0,31.5,64.0,96.0
50.338542,55.0,94.0,31.5,55.0,96.0
50.688542,43.0,99.0,31.75,43.0,96.0
51.066667,42.0,97.0,32.0,42.0,96.0
51.066667,57.0,76.0,32.0,57.0,96.0
51.804167,60.0,82.0,32.5,60.0,96.0
52.639583,63.0,83.0,33.0,63.0,96.0
53.866667,69.0,47.0,33.75,69.0,49.0
53.9,54.0,38.0,33.75,54.0,49.0
53.90625,60.0,36.0,33.75,60.0,49.0
53.915625,63.0,38.0,33.75,63.0,49.0
54.160417,55.0,47.0,34.0,55.0,49.0
54.240625,67.0,57.0,34.125,67.0,49.0
54.3375,63.0,59.0,34.25,63.0,49.0
54.4,60.0,62.0,34.375,60.0,49.0
54.480208,57.0,72.0,34.5,57.0,49.0
54.532292,55.0,53.0,34.625,55.0,49.0
54.635417,51.0,48.0,34.75,51.0,49.0
54.65625,79.0,71.0,34.75,79.0,49.0
54.6875,67.0,60.0,34.75,67.0,49.0
54.7,48.0,56.0,34.875,48.0,49.0
54.709375,75.0,56.0,34.75,75.0,49.0
54.834375,43.0,58.0,35.0,43.0,49.0
55.053125,80.0,65.0,35.25,80.0,49.0
55.094792,72.0,47.0,35.25,72.0,49.0
55.102083,65.0,54.0,35.25,65.0,49.0
55.102083,68.0,56.0,35.25,68.0,49.0
55.447917,69.0,59.0,35.75,69.0,49.0
55.475,60.0,47.0,35.75,60.0,49.0
55.484375,54.0,44.0,35.75,54.0,49.0
55.490625,63.0,53.0,35.75,63.0,49.0
55.647917,55.0,59.0,36.0,55.0,49.0
55.751042,67.0,58.0,36.125,67.0,49.0
55.835417,63.0,68.0,36.25,63.0,49.0
55.894792,60.0,76.0,36.375,60.0,49.0
55.980208,57.0,81.0,36.5,57.0,49.0
56.120833,51.0,68.0,36.75,51.0,49.0
56.151042,79.0,87.0,36.75,79.0,49.0
56.170833,67.0,74.0,36.75,67.0,49.0
56.19375,48.0,68.0,36.875,48.0,49.0
56.19375,75.0,53.0,36.75,75.0,49.0
56.2,72.0,38.0,36.75,72.0,49.0
56.308333,43.0,70.0,37.0,43.0,49.0
56.527083,80.0,71.0,37.25,80.0,49.0
56.546875,72.0,62.0,37.25,72.0,49.0
56.557292,65.0,64.0,37.25,65.0,49.0
56.564583,68.0,67.0,37.25,68.0,49.0
56.907292,71.0,75.0,37.75,71.0,49.0
56.921875,65.0,70.0,37.75,65.0,49.0
56.929167,62.0,50.0,37.75,62.0,49.0
56.932292,56.0,51.0,37.75,56.0,49.0
57.08125,57.0,67.0,38.0,57.0,49.0
57.167708,69.0,76.0,38.125,69.0,49.0
57.255208,65.0,73.0,38.25,65.0,49.0
57.320833,62.0,86.0,38.375,62.0,49.0
57.40625,59.0,85.0,38.5,59.0,49.0
57.483333,57.0,81.0,38.625,57.0,49.0
57.584375,53.0,84.0,38.75,53.0,49.0
57.585417,81.0,90.0,38.75,81.0,49.0
57.588542,69.0,87.0,38.75,69.0,49.0
57.597917,77.0,81.0,38.75,77.0,49.0
57.610417,74.0,77.0,38.75,74.0,49.0
57.65,50.0,82.0,38.875,50.0,49.0
57.76875,45.0,89.0,39.0,45.0,49.0
57.965625,82.0,87.0,39.25,82.0,49.0
57.980208,74.0,71.0,39.25,74.0,49.0
57.9875,70.0,80.0,39.25,70.0,49.0
57.991667,67.0,83.0,39.25,67.0,49.0
58.332292,71.0,82.0,39.75,71.0,49.0
58.353125,65.0,71.0,39.75,65.0,49.0
58.355208,62.0,63.0,39.75,62.0,49.0
58.3625,56.0,60.0,39.75,56.0,49.0
58.505208,57.0,80.0,40.0,57.0,49.0
58.5875,69.0,77.0,40.125,69.0,49.0
58.664583,65.0,80.0,40.25,65.0,49.0
58.733333,62.0,91.0,40.375,62.0,49.0
58.828125,59.0,91.0,40.5,59.0,49.0
58.908333,57.0,84.0,40.625,57.0,49.0
58.996875,81.0,94.0,40.75,81.0,49.0
59.008333,53.0,84.0,40.75,53.0,49.0
59.008333,69.0,89.0,40.75,69.0,49.0
59.010417,77.0,87.0,40.75,77.0,49.0
59.014583,74.0,81.0,40.75,74.0,49.0
59.063542,50.0,87.0,40.875,50.0,49.0
59.160417,45.0,94.0,41.0,45.0,49.0
59.369792,82.0,92.0,41.25,82.0,49.0
59.384375,74.0,87.0,41.25,74.0,49.0
59.3875,67.0,93.0,41.25,67.0,49.0
59.390625,70.0,91.0,41.25,70.0,49.0
59.7125,72.0,93.0,41.75,72.0,49.0
59.71875,67.0,89.0,41.75,67.0,49.0
59.728125,64.0,86.0,41.75,64.0,49.0
59.7375,58.0,83.0,41.75,58.0,49.0
59.90625,59.0,88.0,42.0,59.0,49.0
59.99375,71.0,89.0,42.125,71.0,54.0
60.06875,67.0,87.0,42.25,67.0,57.0
60.1375,64.0,99.0,42.375,64.0,60.0
60.217708,60.0,96.0,42.5,60.0,62.0
60.317708,59.0,92.0,42.625,59.0,65.0
60.4,83.0,97.0,42.75,83.0,67.0
60.401042,76.0,95.0,42.75,76.0,67.0
60.403125,71.0,100.0,42.75,71.0,67.0
60.405208,79.0,89.0,42.75,79.0,67.0
60.408333,55.0,91.0,42.75,55.0,67.0
60.478125,52.0,86.0,42.875,52.0,70.0
60.575,47.0,97.0,43.0,47.0,70.0
60.780208,84.0,93.0,43.25,84.0,72.0
60.7875,69.0,94.0,43.25,69.0,72.0
60.7875,76.0,101.0,43.25,76.0,72.0
60.790625,72.0,98.0,43.25,72.0,72.0
61.157292,72.0,76.0,43.75,72.0,73.0
61.158333,64.0,72.0,43.75,64.0,73.0
61.165625,67.0,75.0,43.75,67.0,73.0
61.222917,57.0,29.0,43.75,58.0,73.0
61.345833,59.0,72.0,44.0,59.0,75.0
61.439583,71.0,73.0,44.125,71.0,78.0
61.526042,67.0,72.0,44.25,67.0,81.0
61.604167,64.0,80.0,44.375,64.0,83.0
61.7,60.0,83.0,44.5,60.0,86.0
61.813542,59.0,67.0,44.625,59.0,88.0
61.953125,83.0,81.0,44.75,83.0,91.0
61.95625,71.0,80.0,44.75,71.0,91.0
61.959375,76.0,70.0,44.75,76.0,91.0
61.959375,79.0,75.0,44.75,79.0,91.0
61.96875,55.0,59.0,44.75,55.0,91.0
62.064583,52.0,66.0,44.875,52.0,94.0
62.196875,47.0,79.0,45.0,47.0,94.0
62.320833,52.0,71.0,45.125,52.0,96.0
62.438542,81.0,78.0,45.25,81.0,96.0
62.438542,84.0,83.0,45.25,84.0,96.0
62.442708,57.0,77.0,45.25,57.0,96.0
62.442708,72.0,86.0,45.25,72.0,96.0
62.442708,76.0,87.0,45.25,76.0,96.0
62.539583,60.0,80.0,45.375,60.0,97.0
62.639583,64.0,82.0,45.5,64.0,98.0
62.733333,69.0,86.0,45.625,69.0,99.0
62.813542,87.0,93.0,45.75,87.0,100.0
62.816667,78.0,95.0,45.75,78.0,100.0
62.817708,75.0,100.0,45.75,75.0,100.0
62.817708,81.0,85.0,45.75,81.0,100.0
62.828125,72.0,95.0,45.75,72.0,100.0
62.91875,71.0,95.0,45.875,71.0,101.0
63.010417,69.0,83.0,46.0,69.0,101.0
63.1,65.0,90.0,46.125,66.0,102.0
63.175,84.0,97.0,46.25,84.0,103.0
63.176042,81.0,101.0,46.25,81.0,103.0
63.176042,88.0,100.0,46.25,88.0,103.0
63.179167,76.0,105.0,46.25,76.0,103.0
63.182292,60.0,93.0,46.25,60.0,103.0
63.278125,59.0,41.0,46.375,59.0,104.0
63.33125,57.0,96.0,46.5,57.0,105.0
63.421875,53.0,91.0,46.625,54.0,105.0
63.5125,48.0,87.0,46.75,48.0,106.0
63.532292,81.0,100.0,46.75,81.0,106.0
63.532292,89.0,103.0,46.75,89.0,106.0
63.535416999999995,77.0,102.0,46.75,77.0,106.0
63.58541700000001,87.0,42.0,46.75,85.0,106.0
63.60208299999999,47.0,79.0,46.875,47.0,107.0
63.696875000000006,45.0,105.0,47.0,45.0,108.0
63.802082999999996,41.0,93.0,47.125,42.0,109.0
63.922917,81.0,99.0,47.25,81.0,110.0
63.92916700000001,36.0,92.0,47.25,36.0,110.0
63.92916700000001,87.0,102.0,47.25,87.0,110.0
63.92916700000001,90.0,106.0,47.25,90.0,110.0
63.931250000000006,78.0,112.0,47.25,78.0,110.0
64.032292,35.0,93.0,47.375,35.0,110.0
64.736458,43.0,94.0,47.875,43.0,111.0
64.740625,31.0,88.0,47.875,31.0,111.0
64.740625,79.0,100.0,47.875,79.0,111.0
64.740625,82.0,104.0,47.875,82.0,111.0
64.741667,87.0,94.0,47.875,87.0,111.0
64.741667,91.0,100.0,47.875,91.0,111.0
64.866667,31.0,81.0,48.0,31.0,112.0
64.866667,43.0,94.0,48.0,43.0,112.0
64.86875,82.0,96.0,48.0,82.0,112.0
64.869792,91.0,101.0,48.0,91.0,112.0
64.871875,79.0,100.0,48.0,79.0,112.0
64.871875,87.0,94.0,48.0,87.0,112.0
65.775,82.0,104.0,49.0,82.0,112.0
65.778125,70.0,107.0,49.0,70.0,112.0
65.780208,75.0,98.0,49.0,75.0,112.0
65.783333,67.0,96.0,49.0,67.0,112.0
65.7875,55.0,78.0,49.0,55.0,112.0
65.789583,63.0,89.0,49.0,63.0,112.0
65.80625,58.0,81.0,49.0,58.0,112.0
66.514583,82.0,104.0,49.875,82.0,112.0
66.517708,70.0,101.0,49.875,70.0,112.0
66.526042,67.0,83.0,49.875,67.0,112.0
66.53125,58.0,69.0,49.875,58.0,112.0
66.532292,63.0,71.0,49.875,63.0,112.0
66.539583,55.0,52.0,49.875,55.0,112.0
66.657292,86.0,104.0,50.0,86.0,112.0
66.658333,74.0,108.0,50.0,74.0,112.0
66.667708,55.0,80.0,50.0,55.0,112.0
66.667708,58.0,59.0,50.0,58.0,112.0
66.670833,67.0,92.0,50.0,67.0,112.0
66.676042,64.0,94.0,50.0,64.0,112.0
67.309375,85.0,93.0,50.625,85.0,112.0
67.452083,82.0,87.0,50.75,82.0,112.0
67.563542,79.0,96.0,50.875,79.0,112.0
67.664583,76.0,90.0,51.0,76.0,112.0
67.761458,73.0,88.0,51.125,73.0,112.0
67.848958,70.0,85.0,51.25,70.0,112.0
67.928125,67.0,81.0,51.375,67.0,112.0
67.988542,64.0,88.0,51.5,64.0,112.0
68.066667,61.0,83.0,51.625,61.0,112.0
68.133333,58.0,87.0,51.75,58.0,112.0
68.207292,55.0,89.0,51.875,55.0,112.0
68.298958,52.0,99.0,52.0,52.0,112.0
69.370833,51.0,80.0,53.25,51.0,112.0
69.373958,63.0,90.0,53.25,63.0,112.0
69.59375,64.0,102.0,53.5,64.0,112.0
69.595833,52.0,90.0,53.5,52.0,112.0
69.80625,66.0,100.0,53.75,66.0,112.0
69.814583,54.0,93.0,53.75,54.0,112.0
70.051042,69.0,101.0,54.0,69.0,112.0
70.054167,57.0,93.0,54.0,57.0,112.0
70.619792,67.0,75.0,54.625,67.0,112.0
70.627083,55.0,68.0,54.625,55.0,112.0
70.714583,64.0,76.0,54.75,64.0,112.0
70.734375,52.0,64.0,54.75,52.0,112.0
70.81875,61.0,83.0,54.875,61.0,112.0
70.838542,49.0,79.0,54.875,49.0,112.0
70.920833,58.0,93.0,55.0,58.0,112.0
70.9375,46.0,88.0,55.0,46.0,112.0
71.141667,58.0,100.0,55.25,58.0,112.0
71.151042,46.0,91.0,55.25,46.0,112.0
71.352083,59.0,104.0,55.5,59.0,112.0
71.359375,47.0,98.0,55.5,47.0,112.0
71.563542,61.0,105.0,55.75,61.0,112.0
71.570833,49.0,99.0,55.75,49.0,112.0
71.852083,64.0,109.0,56.0,64.0,112.0
71.861458,52.0,102.0,56.0,52.0,112.0
72.457292,62.0,90.0,56.625,62.0,112.0
72.473958,50.0,85.0,56.625,50.0,112.0
72.610417,59.0,82.0,56.75,59.0,112.0
72.61875,47.0,84.0,56.75,47.0,112.0
72.751042,56.0,94.0,56.875,56.0,112.0
72.75625,44.0,97.0,56.875,44.0,112.0
72.884375,53.0,88.0,57.0,53.0,112.0
72.902083,41.0,92.0,57.0,41.0,112.0
72.998958,50.0,92.0,57.125,50.0,112.0
73.102083,47.0,88.0,57.25,47.0,112.0
73.195833,44.0,100.0,57.375,44.0,112.0
73.2875,41.0,94.0,57.5,41.0,112.0
73.36875,38.0,93.0,57.6,38.0,112.0
73.448958,35.0,87.0,57.7,35.0,112.0
73.519792,32.0,70.0,57.8,32.0,112.0
73.577083,31.0,85.0,57.9,31.0,112.0
73.66875,30.0,99.0,58.0,30.0,112.0
74.102083,30.0,90.0,58.25,30.0,112.0
74.102083,42.0,104.0,58.25,42.0,112.0
74.386458,54.0,101.0,58.5,54.0,112.0
74.3875,66.0,94.0,58.5,66.0,112.0
74.389583,59.0,90.0,58.5,59.0,112.0
74.394792,62.0,85.0,58.5,62.0,112.0
74.397917,42.0,103.0,58.5,42.0,112.0
74.4,30.0,88.0,58.5,30.0,112.0
74.636458,42.0,97.0,58.75,42.0,112.0
74.640625,30.0,85.0,58.75,30.0,112.0
74.897917,42.0,103.0,59.0,42.0,127.0
74.901042,30.0,80.0,59.0,30.0,112.0
75.186458,40.0,94.0,59.25,40.0,112.0
75.286458,38.0,96.0,59.375,38.0,112.0
75.397917,62.0,93.0,59.5,62.0,112.0
75.402083,45.0,100.0,59.5,45.0,112.0
75.402083,53.0,96.0,59.5,53.0,112.0
75.402083,59.0,91.0,59.5,59.0,112.0
75.739583,44.0,108.0,59.75,44.0,112.0
76.115625,52.0,89.0,60.0,52.0,112.0
76.116667,43.0,104.0,60.0,43.0,127.0
76.46875,45.0,68.0,60.125,45.0,96.0
76.552083,43.0,71.0,60.1875,43.0,96.0
76.615625,45.0,68.0,60.25,45.0,96.0
76.688542,43.0,77.0,60.3125,43.0,96.0
76.765625,45.0,71.0,60.375,45.0,96.0
76.786458,58.0,103.0,60.5,58.0,112.0
76.841667,43.0,77.0,60.4375,43.0,96.0
76.989583,43.0,72.0,60.5625,43.0,96.0
77.070833,45.0,74.0,60.625,45.0,96.0
77.133333,43.0,72.0,60.6875,43.0,96.0
77.207292,45.0,70.0,60.75,45.0,96.0
77.272917,43.0,76.0,60.8125,43.0,96.0
77.342708,45.0,71.0,60.875,45.0,96.0
77.420833,43.0,74.0,60.9375,43.0,96.0
77.494792,45.0,67.0,61.0,45.0,96.0
77.525,61.0,115.0,61.0,61.0,112.0
77.890625,43.0,72.0,61.0625,43.0,96.0
77.957292,45.0,68.0,61.125,45.0,96.0
78.039583,43.0,76.0,61.1875,43.0,96.0
78.105208,45.0,67.0,61.25,45.0,96.0
78.167708,43.0,81.0,61.3125,43.0,96.0
78.236458,45.0,64.0,61.375,45.0,96.0
78.296875,43.0,77.0,61.4375,43.0,96.0
78.447917,42.0,107.0,61.5,42.0,112.0
78.639583,40.0,95.0,61.625,40.0,112.0
78.811458,38.0,95.0,61.75,38.0,112.0
78.933333,37.0,95.0,61.875,37.0,112.0
79.080208,35.0,94.0,62.0,35.0,96.0
79.376042,47.0,71.0,62.125,47.0,96.0
79.5,50.0,83.0,62.25,50.0,96.0
79.609375,54.0,87.0,62.375,54.0,96.0
79.645833,86.0,98.0,62.5,86.0,96.0
79.65,78.0,102.0,62.5,78.0,96.0
79.652083,74.0,107.0,62.5,74.0,96.0
79.672917,59.0,82.0,62.5,59.0,96.0
79.822917,62.0,60.0,62.625,62.0,96.0
79.884375,65.0,80.0,62.75,65.0,96.0
79.989583,66.0,83.0,62.875,66.0,96.0
80.06875,77.0,99.0,63.0,77.0,115.0
80.071875,74.0,105.0,63.0,74.0,96.0
80.072917,71.0,99.0,63.0,71.0,96.0
80.078125,69.0,90.0,63.0,69.0,115.0
80.16875,67.0,81.0,63.125,67.0,96.0
80.252083,62.0,75.0,63.25,62.0,96.0
80.359375,59.0,68.0,63.375,59.0,96.0
80.45,67.0,80.0,63.5,67.0,115.0
