onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9927079999999999,72.0,37.0,0.25,72.0,70.0
0.996875,77.0,42.0,0.25,77.0,70.0
1.004167,68.0,33.0,0.25,68.0,70.0
1.232292,79.0,44.0,0.333333,79.0,70.0
1.241667,70.0,49.0,0.333333,70.0,70.0
1.245833,73.0,37.0,0.333333,73.0,70.0
1.372917,77.0,50.0,0.416667,77.0,70.0
1.377083,68.0,41.0,0.416667,68.0,70.0
1.385417,72.0,47.0,0.416667,72.0,70.0
1.496875,75.0,56.0,0.5,75.0,70.0
1.514583,70.0,51.0,0.5,70.0,70.0
1.516667,67.0,48.0,0.5,67.0,70.0
1.603125,77.0,56.0,0.5833330000000001,77.0,70.0
1.615625,68.0,39.0,0.5833330000000001,68.0,70.0
1.697917,75.0,57.0,0.6666669999999999,75.0,70.0
1.7052079999999998,70.0,56.0,0.6666669999999999,70.0,70.0
1.7208329999999998,67.0,33.0,0.6666669999999999,67.0,70.0
1.8093750000000002,68.0,54.0,0.75,68.0,70.0
1.822917,73.0,49.0,0.75,73.0,70.0
1.8458329999999998,65.0,34.0,0.75,65.0,70.0
1.8885420000000002,67.0,49.0,0.8333330000000001,67.0,70.0
1.8885420000000002,70.0,57.0,0.8333330000000001,70.0,70.0
1.889583,75.0,57.0,0.8333330000000001,75.0,70.0
1.989583,73.0,58.0,0.9166669999999999,73.0,70.0
1.9958330000000002,68.0,53.0,0.9166669999999999,68.0,70.0
1.998958,65.0,48.0,0.9166669999999999,65.0,70.0
2.101042,67.0,48.0,1.0,67.0,70.0
2.101042,72.0,59.0,1.0,72.0,70.0
2.11875,63.0,62.0,1.0,63.0,70.0
2.169792,68.0,61.0,1.083333,68.0,70.0
2.172917,65.0,54.0,1.083333,65.0,70.0
2.189583,73.0,43.0,1.083333,73.0,70.0
2.258333,63.0,65.0,1.166667,63.0,70.0
2.279167,72.0,57.0,1.166667,72.0,70.0
2.2875,67.0,51.0,1.166667,67.0,70.0
2.365625,61.0,66.0,1.25,61.0,70.0
2.383333,65.0,51.0,1.25,65.0,70.0
2.388542,70.0,54.0,1.25,70.0,70.0
2.448958,72.0,62.0,1.333333,72.0,70.0
2.464583,67.0,53.0,1.333333,67.0,70.0
2.4875,63.0,60.0,1.333333,63.0,70.0
2.559375,70.0,60.0,1.416667,70.0,70.0
2.561458,65.0,67.0,1.416667,65.0,70.0
2.576042,61.0,53.0,1.416667,61.0,70.0
2.641667,63.0,62.0,1.5,63.0,70.0
2.644792,68.0,70.0,1.5,68.0,70.0
2.653125,60.0,63.0,1.5,60.0,70.0
2.746875,65.0,45.0,1.583333,65.0,70.0
2.752083,70.0,56.0,1.583333,70.0,70.0
2.754167,61.0,40.0,1.583333,61.0,70.0
2.819792,68.0,71.0,1.666667,68.0,70.0
2.826042,60.0,64.0,1.666667,60.0,70.0
2.83125,63.0,68.0,1.666667,63.0,70.0
2.927083,61.0,53.0,1.75,61.0,70.0
2.934375,67.0,61.0,1.75,67.0,70.0
3.0,68.0,75.0,1.833333,68.0,70.0
3.008333,63.0,66.0,1.833333,63.0,70.0
3.017708,60.0,64.0,1.833333,60.0,70.0
3.090625,61.0,61.0,1.916667,61.0,70.0
3.095833,67.0,61.0,1.916667,67.0,70.0
3.114583,58.0,61.0,1.916667,58.0,70.0
3.353125,65.0,46.0,2.0,65.0,70.0
3.413542,56.0,32.0,2.0,56.0,70.0
3.489583,60.0,40.0,2.083333,60.0,70.0
3.591667,53.0,40.0,2.166667,53.0,70.0
3.7114580000000004,71.0,60.0,2.25,71.0,84.0
3.722917,59.0,52.0,2.25,59.0,70.0
3.8375000000000004,65.0,35.0,2.333333,65.0,70.0
3.8385420000000003,68.0,49.0,2.333333,68.0,70.0
3.995833,72.0,54.0,2.416667,72.0,70.0
4.005208,60.0,59.0,2.416667,60.0,70.0
4.105208,55.0,45.0,2.5,55.0,70.0
4.117708,64.0,40.0,2.5,64.0,70.0
4.235417,58.0,43.0,2.583333,59.0,70.0
4.3125,53.0,40.0,2.666667,53.0,70.0
4.427083,73.0,55.0,2.75,73.0,84.0
4.438542,61.0,51.0,2.75,61.0,70.0
4.586458,67.0,37.0,2.833333,67.0,70.0
4.633333,64.0,28.0,2.833333,64.0,70.0
4.786458,72.0,50.0,2.916667,72.0,70.0
4.795833,60.0,42.0,2.916667,60.0,70.0
4.957292,56.0,37.0,3.0,56.0,70.0
4.965625,65.0,30.0,3.0,65.0,70.0
5.105208,60.0,24.0,3.083333,60.0,70.0
5.280208,53.0,26.0,3.166667,53.0,70.0
5.8625,77.0,46.0,3.25,77.0,70.0
5.888542,72.0,32.0,3.25,72.0,70.0
5.89375,68.0,27.0,3.25,68.0,70.0
6.086458,79.0,50.0,3.333333,79.0,70.0
6.110417,70.0,49.0,3.333333,70.0,70.0
6.116667,73.0,34.0,3.333333,73.0,70.0
6.209375,72.0,42.0,3.416667,72.0,72.0
6.211458,68.0,46.0,3.416667,68.0,72.0
6.215625,77.0,53.0,3.416667,77.0,72.0
6.3375,70.0,51.0,3.5,70.0,75.0
6.3375,75.0,59.0,3.5,75.0,75.0
6.3625,67.0,37.0,3.5,67.0,75.0
6.428125,68.0,55.0,3.5833329999999997,68.0,77.0
6.43125,77.0,55.0,3.5833329999999997,77.0,77.0
6.515625,75.0,61.0,3.6666670000000003,75.0,80.0
6.51875,70.0,59.0,3.6666670000000003,70.0,80.0
6.528125,67.0,49.0,3.6666670000000003,67.0,80.0
6.60625,68.0,59.0,3.75,68.0,83.0
6.614583,73.0,58.0,3.75,73.0,83.0
6.638542,65.0,43.0,3.75,65.0,83.0
6.690625,70.0,63.0,3.8333329999999997,70.0,85.0
6.703125,67.0,47.0,3.8333329999999997,67.0,85.0
6.70625,75.0,45.0,3.8333329999999997,75.0,85.0
6.784375,65.0,55.0,3.9166670000000003,65.0,88.0
6.786458,73.0,63.0,3.9166670000000003,73.0,88.0
