onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9427080000000001,44.0,32.0,0.0,44.0,60.0
1.015625,83.0,47.0,0.0,83.0,60.0
1.260417,87.0,54.0,0.125,87.0,60.0
1.397917,83.0,55.0,0.25,83.0,60.0
1.508333,80.0,61.0,0.375,80.0,60.0
1.604167,56.0,43.0,0.5,56.0,60.0
1.634375,63.0,38.0,0.5,63.0,60.0
1.641667,59.0,39.0,0.5,59.0,60.0
1.647917,80.0,62.0,0.5,80.0,60.0
1.735417,83.0,56.0,0.625,83.0,60.0
1.821875,80.0,68.0,0.75,80.0,60.0
1.905208,75.0,61.0,0.875,75.0,60.0
2.032292,75.0,73.0,1.0,75.0,60.0
2.129167,80.0,65.0,1.125,80.0,60.0
2.260417,74.0,36.0,1.25,75.0,60.0
2.303125,71.0,55.0,1.375,71.0,60.0
2.441667,71.0,58.0,1.5,71.0,60.0
2.496875,75.0,64.0,1.625,75.0,60.0
2.585417,71.0,62.0,1.75,71.0,60.0
2.66875,68.0,65.0,1.875,68.0,60.0
2.789583,68.0,74.0,2.0,68.0,60.0
2.8875,71.0,62.0,2.125,71.0,60.0
2.95,68.0,65.0,2.25,68.0,60.0
3.054167,63.0,65.0,2.375,63.0,60.0
3.1625,67.0,58.0,2.5,67.0,60.0
3.16875,70.0,66.0,2.5,70.0,60.0
3.186458,58.0,47.0,2.5,58.0,60.0
3.191667,51.0,45.0,2.5,51.0,60.0
3.605208,44.0,44.0,3.0,44.0,60.0
3.6166669999999996,83.0,53.0,3.0,83.0,60.0
3.719792,87.0,69.0,3.125,87.0,60.0
3.8072920000000003,83.0,64.0,3.25,83.0,60.0
3.907292,80.0,69.0,3.375,80.0,60.0
4.03125,63.0,51.0,3.5,63.0,60.0
4.035417,80.0,78.0,3.5,80.0,60.0
4.120833,83.0,68.0,3.625,83.0,60.0
4.225,80.0,77.0,3.75,80.0,60.0
4.320833,75.0,53.0,3.875,75.0,60.0
4.428125,75.0,73.0,4.0,75.0,60.0
4.527083,80.0,65.0,4.125,80.0,60.0
4.611458,75.0,76.0,4.25,75.0,60.0
4.722917,71.0,62.0,4.375,71.0,60.0
4.841667,71.0,54.0,4.5,71.0,60.0
4.9125,75.0,63.0,4.625,75.0,60.0
4.994792,71.0,71.0,4.75,71.0,60.0
5.095833,68.0,69.0,4.875,68.0,60.0
5.210417,68.0,74.0,5.0,68.0,60.0
5.298958,71.0,68.0,5.125,71.0,60.0
5.384375,68.0,65.0,5.25,68.0,60.0
5.467708,63.0,67.0,5.375,63.0,60.0
5.578125,67.0,63.0,5.5,67.0,60.0
5.585417,70.0,64.0,5.5,70.0,60.0
5.6,51.0,43.0,5.5,51.0,60.0
5.613542,58.0,43.0,5.5,58.0,60.0
5.98125,56.0,45.0,6.0,56.0,80.0
5.994792,71.0,71.0,6.0,71.0,80.0
5.995833,68.0,63.0,6.0,68.0,80.0
5.998958,63.0,39.0,6.0,63.0,80.0
6.0,59.0,38.0,6.0,59.0,80.0
6.475,51.0,39.0,6.5,51.0,90.0
6.478125,58.0,44.0,6.5,58.0,90.0
6.490625,64.0,39.0,6.5,64.0,90.0
6.520833,70.0,65.0,6.5,70.0,90.0
6.522917,76.0,69.0,6.5,76.0,90.0
6.545833,67.0,51.0,6.5,67.0,90.0
7.019792,51.0,40.0,7.0,51.0,100.0
7.029167,76.0,67.0,7.0,76.0,100.0
7.03125,67.0,43.0,7.0,67.0,100.0
7.03125,70.0,59.0,7.0,70.0,100.0
7.047917,64.0,38.0,7.0,64.0,100.0
7.061458,58.0,36.0,7.0,58.0,100.0
7.428125,51.0,30.0,7.5,51.0,100.0
7.441667,64.0,35.0,7.5,64.0,100.0
7.446875,76.0,56.0,7.5,76.0,100.0
7.452083,67.0,46.0,7.5,67.0,100.0
7.460417,70.0,50.0,7.5,70.0,100.0
7.485417,58.0,21.0,7.5,58.0,100.0
7.8375,51.0,31.0,8.0,51.0,100.0
7.855207999999999,75.0,61.0,8.0,75.0,100.0
7.86875,58.0,30.0,8.0,58.0,100.0
7.883333,67.0,37.0,8.0,67.0,100.0
7.883333,70.0,39.0,8.0,70.0,100.0
7.885417,63.0,33.0,8.0,63.0,100.0
8.369792,58.0,28.0,8.5,58.0,100.0
8.376042,51.0,32.0,8.5,51.0,100.0
8.405208,61.0,36.0,8.5,61.0,100.0
8.433333,73.0,51.0,8.5,73.0,100.0
8.447917,67.0,38.0,8.5,67.0,100.0
8.447917,70.0,39.0,8.5,70.0,100.0
8.99375,44.0,47.0,9.0,44.0,90.0
9.020833,83.0,51.0,9.0,83.0,90.0
9.115625,87.0,56.0,9.125,87.0,90.0
9.202083,83.0,57.0,9.25,83.0,90.0
9.292708,80.0,66.0,9.375,80.0,90.0
9.408333,56.0,35.0,9.5,56.0,90.0
9.410417,59.0,40.0,9.5,59.0,90.0
9.41875,80.0,71.0,9.5,80.0,90.0
9.425,63.0,41.0,9.5,63.0,90.0
9.5125,83.0,53.0,9.625,83.0,90.0
9.604167,80.0,70.0,9.75,80.0,90.0
9.689583,75.0,64.0,9.875,75.0,90.0
9.808333,75.0,69.0,10.0,75.0,90.0
9.89375,80.0,66.0,10.125,80.0,90.0
9.996875,75.0,65.0,10.25,75.0,90.0
10.095833,71.0,57.0,10.375,71.0,90.0
10.227083,71.0,58.0,10.5,71.0,90.0
10.292708,75.0,66.0,10.625,75.0,90.0
10.375,71.0,57.0,10.75,71.0,90.0
10.464583,68.0,68.0,10.875,68.0,90.0
10.564583,68.0,65.0,11.0,68.0,90.0
10.660417,71.0,64.0,11.125,71.0,90.0
10.754167,68.0,57.0,11.25,68.0,90.0
10.821875,63.0,64.0,11.375,63.0,90.0
10.941667,67.0,62.0,11.5,67.0,90.0
10.957292,70.0,61.0,11.5,70.0,90.0
10.959375,58.0,42.0,11.5,58.0,90.0
10.964583,51.0,46.0,11.5,51.0,90.0
11.375,44.0,48.0,12.0,44.0,90.0
11.377083,83.0,62.0,12.0,83.0,90.0
11.483333,87.0,67.0,12.125,87.0,90.0
11.564583,83.0,64.0,12.25,83.0,90.0
11.658333,80.0,71.0,12.375,80.0,90.0
11.7625,63.0,51.0,12.5,63.0,90.0
11.76875,59.0,49.0,12.5,59.0,90.0
11.776042,80.0,72.0,12.5,80.0,90.0
11.78125,56.0,40.0,12.5,56.0,90.0
11.86875,83.0,68.0,12.625,83.0,90.0
11.983333,80.0,73.0,12.75,80.0,90.0
12.059375,75.0,70.0,12.875,75.0,90.0
12.171875,75.0,74.0,13.0,75.0,90.0
12.301042,79.0,41.0,13.125,80.0,90.0
12.390625,74.0,54.0,13.25,75.0,90.0
12.45,71.0,66.0,13.375,71.0,90.0
12.578125,71.0,65.0,13.5,71.0,90.0
12.647917,75.0,65.0,13.625,75.0,90.0
12.729167,71.0,68.0,13.75,71.0,90.0
12.813542,68.0,72.0,13.875,68.0,90.0
12.933333,68.0,74.0,14.0,68.0,90.0
13.010417,71.0,63.0,14.125,71.0,90.0
13.098958,68.0,64.0,14.25,68.0,90.0
13.175,63.0,65.0,14.375,63.0,90.0
13.282292,67.0,65.0,14.5,67.0,90.0
13.2875,70.0,66.0,14.5,70.0,90.0
13.296875,51.0,50.0,14.5,51.0,90.0
13.314583,58.0,42.0,14.5,58.0,90.0
13.664583,56.0,48.0,15.0,56.0,90.0
13.682292,63.0,48.0,15.0,63.0,90.0
13.686458,71.0,75.0,15.0,71.0,90.0
13.692708,68.0,66.0,15.0,68.0,90.0
