onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.017708,74.0,49.0,0.0,74.0,70.0
1.021875,46.0,31.0,0.0,46.0,70.0
1.520833,62.0,42.0,0.125,62.0,70.0
1.9,74.0,56.0,0.25,74.0,70.0
1.9333330000000002,58.0,33.0,0.25,58.0,70.0
1.944792,53.0,31.0,0.25,53.0,70.0
2.276042,74.0,66.0,0.375,74.0,70.0
2.30625,62.0,43.0,0.375,62.0,70.0
2.65625,70.0,57.0,0.5,70.0,70.0
2.66875,50.0,35.0,0.5,50.0,70.0
3.029167,65.0,35.0,0.625,65.0,70.0
3.391667,70.0,49.0,0.75,70.0,70.0
3.426042,58.0,24.0,0.75,58.0,70.0
3.440625,53.0,26.0,0.75,53.0,70.0
3.777083,65.0,37.0,0.875,65.0,70.0
4.144792,48.0,42.0,1.0,48.0,70.0
4.152083,69.0,50.0,1.0,69.0,70.0
4.55,63.0,37.0,1.125,63.0,70.0
4.934375,69.0,53.0,1.25,69.0,70.0
4.939583,57.0,37.0,1.25,57.0,70.0
4.951042,53.0,36.0,1.25,53.0,70.0
5.332292,69.0,66.0,1.375,69.0,70.0
5.3375,63.0,43.0,1.375,63.0,70.0
5.772917,69.0,53.0,1.5,69.0,70.0
5.780208,41.0,43.0,1.5,41.0,70.0
6.18125,60.0,39.0,1.625,60.0,70.0
6.540625,57.0,28.0,1.75,57.0,70.0
6.55,53.0,26.0,1.75,53.0,70.0
6.94375,60.0,18.0,1.875,60.0,70.0
7.296875,46.0,37.0,2.0,46.0,70.0
7.304167,74.0,48.0,2.0,74.0,70.0
7.701041999999999,62.0,39.0,2.125,62.0,70.0
8.082292,74.0,61.0,2.25,74.0,70.0
8.103125,58.0,33.0,2.25,58.0,70.0
8.13125,53.0,26.0,2.25,53.0,70.0
8.471875,74.0,70.0,2.375,74.0,70.0
8.483333,62.0,44.0,2.375,62.0,70.0
8.9,74.0,54.0,2.5,74.0,70.0
8.916667,39.0,32.0,2.5,39.0,70.0
9.321875,67.0,43.0,2.625,67.0,70.0
9.344792,60.0,32.0,2.625,60.0,70.0
9.709375,67.0,39.0,2.75,67.0,70.0
9.720833,51.0,21.0,2.75,51.0,70.0
9.720833,55.0,27.0,2.75,55.0,70.0
9.725,58.0,17.0,2.75,58.0,70.0
10.070833,60.0,41.0,2.875,60.0,70.0
10.440625,72.0,56.0,3.0,72.0,70.0
10.448958,40.0,37.0,3.0,40.0,70.0
10.861458,71.0,59.0,3.125,71.0,70.0
10.871875,60.0,36.0,3.125,60.0,70.0
11.035417,72.0,65.0,3.1875,72.0,70.0
11.21875,58.0,40.0,3.25,58.0,70.0
11.228125,71.0,62.0,3.25,71.0,70.0
11.240625,52.0,31.0,3.25,52.0,70.0
11.240625,55.0,32.0,3.25,55.0,70.0
11.390625,72.0,74.0,3.3125,72.0,70.0
11.560417,74.0,71.0,3.375,74.0,70.0
11.584375,60.0,47.0,3.375,60.0,70.0
11.726042,72.0,75.0,3.4375,72.0,70.0
11.952083,41.0,43.0,3.5,41.0,70.0
11.972917,65.0,51.0,3.5,65.0,70.0
12.402083,60.0,45.0,3.625,60.0,70.0
12.409375,53.0,35.0,3.625,53.0,70.0
12.433333,57.0,20.0,3.625,57.0,70.0
12.813542,62.0,41.0,3.75,62.0,70.0
12.838542,58.0,24.0,3.75,58.0,70.0
13.265625,60.0,38.0,3.875,60.0,70.0
13.277083,63.0,32.0,3.875,63.0,70.0
13.851042,86.0,59.0,4.0,86.0,70.0
13.858333,46.0,39.0,4.0,46.0,70.0
