onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9822919999999999,73.0,48.0,0.0,73.0,70.0
1.460417,74.0,54.0,0.375,74.0,70.0
1.646875,61.0,37.0,0.5,61.0,70.0
1.7697919999999998,69.0,41.0,0.5,69.0,70.0
1.8260420000000002,45.0,31.0,0.5,45.0,70.0
2.247917,49.0,47.0,0.75,49.0,70.0
2.471875,52.0,43.0,1.0,52.0,70.0
2.747917,57.0,41.0,1.25,57.0,70.0
3.00625,47.0,39.0,1.5,47.0,70.0
3.067708,74.0,58.0,1.5,74.0,70.0
3.095833,68.0,42.0,1.5,68.0,70.0
3.307292,50.0,34.0,1.75,50.0,70.0
3.402083,73.0,63.0,1.875,73.0,70.0
3.5406250000000004,71.0,65.0,2.0,71.0,70.0
3.5520829999999997,52.0,31.0,2.0,52.0,70.0
3.7906250000000004,56.0,39.0,2.25,56.0,70.0
3.792708,73.0,75.0,2.25,73.0,70.0
4.046875,49.0,44.0,2.5,49.0,70.0
4.129167,64.0,56.0,2.5,64.0,70.0
4.3875,57.0,41.0,2.75,57.0,70.0
4.625,52.0,50.0,3.0,52.0,70.0
4.875,49.0,49.0,3.25,49.0,70.0
5.210417,45.0,29.0,3.5,45.0,70.0
5.460417,40.0,37.0,3.75,40.0,70.0
5.467708,66.0,65.0,3.75,66.0,70.0
5.708333,37.0,39.0,4.0,37.0,70.0
5.725,68.0,76.0,4.0,68.0,70.0
5.923958,33.0,41.0,4.25,33.0,70.0
5.969792,69.0,80.0,4.25,69.0,70.0
6.229167,32.0,40.0,4.5,32.0,70.0
6.282292,71.0,73.0,4.5,71.0,70.0
6.313542,62.0,40.0,4.5,62.0,70.0
6.315625,64.0,33.0,4.5,64.0,70.0
6.566667,47.0,48.0,4.75,47.0,70.0
6.79375,52.0,36.0,5.0,52.0,70.0
7.015625,56.0,44.0,5.25,56.0,70.0
7.027083,73.0,69.0,5.25,73.0,70.0
7.332292,40.0,44.0,5.5,40.0,70.0
7.429167,74.0,69.0,5.5,74.0,70.0
7.476042,62.0,37.0,5.5,62.0,70.0
7.479167,64.0,37.0,5.5,64.0,70.0
7.695833,47.0,39.0,5.75,47.0,70.0
7.813542,78.0,62.0,5.875,78.0,70.0
7.939583000000001,52.0,33.0,6.0,52.0,70.0
7.945833,71.0,64.0,6.0,71.0,70.0
8.219792,76.0,68.0,6.25,76.0,70.0
8.228125,56.0,34.0,6.25,56.0,70.0
8.529167,45.0,34.0,6.5,45.0,70.0
8.572917,73.0,64.0,6.5,73.0,70.0
8.60625,64.0,41.0,6.5,64.0,70.0
8.863542,49.0,31.0,6.75,49.0,70.0
9.116667,52.0,43.0,7.0,52.0,70.0
9.376042,57.0,45.0,7.25,57.0,70.0
9.644792,61.0,52.0,7.5,61.0,70.0
9.902083,57.0,52.0,7.75,57.0,70.0
10.221875,52.0,40.0,8.0,52.0,70.0
10.263542,73.0,74.0,8.0,73.0,70.0
10.514583,49.0,42.0,8.25,49.0,70.0
10.613542,74.0,73.0,8.375,74.0,70.0
10.819792,46.0,44.0,8.5,46.0,70.0
10.866667,76.0,78.0,8.5,76.0,70.0
10.867708,67.0,45.0,8.5,67.0,70.0
10.894792,64.0,54.0,8.5,64.0,70.0
11.184375,52.0,34.0,8.75,52.0,73.0
11.41875,55.0,38.0,9.0,55.0,76.0
11.663542,61.0,32.0,9.25,61.0,80.0
11.869792,47.0,39.0,9.5,47.0,83.0
11.979167,74.0,66.0,9.5,74.0,83.0
12.003125,62.0,38.0,9.5,62.0,83.0
12.009375,66.0,49.0,9.5,66.0,83.0
12.196875,50.0,36.0,9.75,50.0,86.0
12.316667,73.0,77.0,9.875,73.0,88.0
12.46875,71.0,76.0,10.0,71.0,90.0
12.497917,54.0,45.0,10.0,54.0,90.0
12.721875,59.0,47.0,10.25,59.0,90.0
12.7375,73.0,85.0,10.25,73.0,90.0
13.011458,49.0,50.0,10.5,49.0,90.0
13.089583,66.0,70.0,10.5,66.0,90.0
13.115625,64.0,42.0,10.5,64.0,90.0
13.377083,54.0,39.0,10.75,54.0,90.0
13.654167,58.0,39.0,11.0,58.0,90.0
13.928125,61.0,45.0,11.25,61.0,90.0
14.301042,59.0,41.0,11.5,59.0,90.0
14.317708,62.0,41.0,11.5,62.0,90.0
14.683333,54.0,30.0,11.75,54.0,90.0
14.684375,71.0,59.0,11.75,71.0,90.0
14.955208,50.0,38.0,12.0,50.0,90.0
14.961458,73.0,69.0,12.0,73.0,90.0
15.215625,74.0,76.0,12.25,74.0,90.0
15.239583,47.0,46.0,12.25,47.0,90.0
15.5,40.0,47.0,12.5,40.0,90.0
15.58125,74.0,74.0,12.5,74.0,90.0
15.60625,68.0,51.0,12.5,68.0,90.0
15.885417,47.0,45.0,12.75,47.0,90.0
16.177083,68.0,59.0,13.0,68.0,90.0
16.1875,52.0,32.0,13.0,52.0,90.0
16.410417,56.0,41.0,13.25,56.0,90.0
16.519792,62.0,41.0,13.5,62.0,90.0
16.640625,68.0,49.0,13.5,68.0,90.0
16.736458,40.0,36.0,13.5,40.0,90.0
16.826042,78.0,73.0,13.875,75.0,90.0
17.134375,52.0,39.0,14.0,56.0,90.0
17.392708,76.0,63.0,14.0,76.0,90.0
17.660417,68.0,57.0,14.25,68.0,90.0
17.676042,59.0,35.0,14.25,59.0,90.0
17.676042,62.0,32.0,14.25,62.0,90.0
18.038542,45.0,32.0,14.5,45.0,90.0
18.05,69.0,56.0,14.5,69.0,90.0
18.063542,61.0,43.0,14.5,61.0,90.0
18.376042,49.0,31.0,14.75,49.0,90.0
18.627083,52.0,35.0,15.0,52.0,90.0
18.860417,57.0,43.0,15.25,57.0,90.0
19.164583,52.0,43.0,15.5,52.0,90.0
19.455208,49.0,45.0,15.75,49.0,90.0
19.741667,69.0,78.0,16.0,69.0,90.0
19.752083,57.0,68.0,16.0,57.0,90.0
19.757292,45.0,24.0,16.0,45.0,90.0
20.027083,42.0,65.0,16.25,42.0,90.0
20.148958,71.0,84.0,16.375,71.0,90.0
20.155208,59.0,81.0,16.375,59.0,90.0
20.352083,41.0,61.0,16.5,41.0,90.0
20.354167,73.0,88.0,16.5,73.0,90.0
20.360417,68.0,83.0,16.5,68.0,90.0
20.363542,61.0,81.0,16.5,61.0,90.0
20.71875,49.0,71.0,16.75,49.0,90.0
20.973958,49.0,88.0,17.0,49.0,90.0
21.221875,49.0,90.0,17.25,49.0,90.0
21.496875,49.0,69.0,17.5,49.0,90.0
21.505208,73.0,88.0,17.5,73.0,90.0
21.509375,42.0,59.0,17.5,42.0,90.0
21.509375,69.0,75.0,17.5,69.0,90.0
21.517708,61.0,65.0,17.5,61.0,90.0
21.955208,74.0,75.0,17.875,74.0,90.0
22.058333,73.0,87.0,18.0,73.0,80.0
22.323958,72.0,81.0,18.25,72.0,60.0
22.628125,41.0,48.0,18.5,41.0,60.0
22.640625,73.0,80.0,18.5,73.0,60.0
22.648958,68.0,64.0,18.5,68.0,60.0
23.072917,80.0,59.0,18.75,80.0,60.0
23.080208,68.0,45.0,18.75,68.0,60.0
23.086458,77.0,43.0,18.75,77.0,60.0
23.371875,77.0,53.0,19.0,77.0,60.0
23.371875,80.0,55.0,19.0,80.0,60.0
23.372917,37.0,35.0,19.0,37.0,60.0
23.404167,68.0,38.0,19.0,68.0,60.0
23.634375,68.0,42.0,19.25,68.0,60.0
23.635417,80.0,57.0,19.25,80.0,60.0
23.642708,77.0,58.0,19.25,77.0,60.0
23.903125,37.0,43.0,19.5,37.0,60.0
23.914583,68.0,49.0,19.5,68.0,60.0
23.914583,80.0,55.0,19.5,80.0,60.0
23.927083,78.0,56.0,19.5,78.0,60.0
24.335417,38.0,48.0,19.875,38.0,60.0
24.454167,37.0,39.0,20.0,37.0,60.0
24.740625,36.0,40.0,20.375,36.0,60.0
25.030208,37.0,53.0,20.5,37.0,90.0
25.040625,77.0,59.0,20.5,77.0,90.0
25.336458,49.0,77.0,20.75,49.0,90.0
25.684375,49.0,65.0,21.0,49.0,90.0
25.688542,73.0,87.0,21.0,73.0,90.0
25.69375,68.0,74.0,21.0,68.0,90.0
25.697917,61.0,64.0,21.0,61.0,90.0
25.719792,41.0,45.0,21.0,41.0,90.0
25.984375,49.0,83.0,21.25,49.0,90.0
26.309375,42.0,61.0,21.5,42.0,90.0
26.322917,73.0,95.0,21.5,73.0,90.0
26.33125,49.0,58.0,21.5,49.0,90.0
26.334375,61.0,71.0,21.5,61.0,90.0
26.335417,69.0,73.0,21.5,69.0,90.0
26.769792,74.0,77.0,21.875,74.0,90.0
26.886458,73.0,87.0,22.0,73.0,90.0
27.166667,72.0,78.0,22.25,72.0,90.0
27.515625,73.0,74.0,22.5,73.0,90.0
27.533333,41.0,31.0,22.5,41.0,90.0
27.958333,74.0,66.0,22.875,74.0,90.0
28.073958,73.0,76.0,23.0,73.0,90.0
28.372917,72.0,72.0,23.25,72.0,90.0
28.711458,73.0,58.0,23.5,73.0,90.0
28.716667,40.0,39.0,23.5,40.0,90.0
29.204167,74.0,58.0,23.875,74.0,90.0
29.35625,73.0,58.0,24.0,73.0,90.0
29.370833,37.0,38.0,24.0,37.0,90.0
29.944792,74.0,56.0,24.375,74.0,90.0
30.109375,61.0,43.0,24.5,61.0,70.0
30.263542,69.0,49.0,24.5,69.0,70.0
30.410417,33.0,29.0,24.75,45.0,70.0
31.35625,49.0,48.0,25.0,49.0,70.0
31.612499999999997,52.0,43.0,25.25,52.0,70.0
31.857292,47.0,43.0,25.5,47.0,70.0
31.945833,74.0,56.0,25.5,74.0,70.0
31.960417,68.0,44.0,25.5,68.0,70.0
32.167708,50.0,38.0,25.75,50.0,70.0
32.296875,73.0,67.0,25.875,73.0,70.0
32.43125,52.0,40.0,26.0,52.0,70.0
32.457292,71.0,65.0,26.0,71.0,70.0
32.690625,56.0,45.0,26.25,56.0,70.0
32.704167,73.0,72.0,26.25,73.0,70.0
32.961458,49.0,36.0,26.5,49.0,70.0
33.017708,64.0,57.0,26.5,64.0,70.0
33.26875,57.0,39.0,26.75,57.0,70.0
33.522917,52.0,39.0,27.0,52.0,70.0
33.797917,49.0,45.0,27.25,49.0,70.0
34.086458,45.0,41.0,27.5,45.0,70.0
34.354167,66.0,59.0,27.75,66.0,70.0
34.370833,40.0,35.0,27.75,40.0,70.0
34.616667,68.0,73.0,28.0,68.0,70.0
34.623958,37.0,51.0,28.0,37.0,70.0
34.876042,69.0,77.0,28.25,69.0,70.0
34.894792,33.0,56.0,28.25,33.0,70.0
35.167708,32.0,60.0,28.5,32.0,70.0
35.198958,71.0,69.0,28.5,71.0,70.0
35.230208,62.0,45.0,28.5,62.0,70.0
35.235417,64.0,37.0,28.5,64.0,70.0
35.483333,47.0,53.0,28.75,47.0,70.0
35.726042,52.0,49.0,29.0,52.0,70.0
35.965625,73.0,70.0,29.25,73.0,70.0
35.977083,56.0,45.0,29.25,56.0,70.0
36.275,40.0,47.0,29.5,40.0,70.0
36.347917,74.0,71.0,29.5,74.0,70.0
36.380208,62.0,46.0,29.5,62.0,70.0
36.382292,64.0,46.0,29.5,64.0,70.0
36.61875,47.0,50.0,29.75,47.0,70.0
36.897917,71.0,72.0,30.0,71.0,70.0
36.929167,52.0,34.0,30.0,52.0,70.0
37.182292,76.0,70.0,30.25,76.0,70.0
37.188542,56.0,46.0,30.25,56.0,70.0
37.482292,45.0,43.0,30.5,45.0,70.0
37.536458,73.0,63.0,30.5,73.0,70.0
37.566667,64.0,44.0,30.5,64.0,70.0
37.791667,49.0,37.0,30.75,49.0,70.0
38.061458,52.0,44.0,31.0,52.0,70.0
38.316667,57.0,54.0,31.25,57.0,70.0
38.583333,61.0,60.0,31.5,61.0,70.0
38.853125,57.0,66.0,31.75,57.0,70.0
39.129167,52.0,44.0,32.0,52.0,70.0
39.179167,73.0,71.0,32.0,73.0,70.0
39.40625,49.0,65.0,32.25,49.0,70.0
39.536458,74.0,73.0,32.375,74.0,70.0
39.733333,46.0,61.0,32.5,46.0,70.0
39.782292,76.0,78.0,32.5,76.0,70.0
39.804167,67.0,39.0,32.5,67.0,70.0
39.817708,64.0,54.0,32.5,64.0,70.0
40.1,52.0,37.0,32.75,52.0,70.0
40.364583,55.0,55.0,33.0,55.0,70.0
40.596875,61.0,46.0,33.25,61.0,70.0
40.85,47.0,52.0,33.5,47.0,70.0
40.940625,74.0,69.0,33.5,74.0,70.0
40.967708,62.0,38.0,33.5,62.0,70.0
40.970833,66.0,51.0,33.5,66.0,70.0
41.182292,50.0,44.0,33.75,50.0,70.0
41.303125,73.0,76.0,33.875,73.0,70.0
41.451042,71.0,81.0,34.0,71.0,70.0
41.476042,54.0,42.0,34.0,54.0,70.0
41.722917,66.0,83.0,34.25,66.0,70.0
41.734375,59.0,58.0,34.25,59.0,70.0
42.038542,49.0,62.0,34.5,49.0,70.0
42.103125,76.0,81.0,34.5,76.0,70.0
42.127083,64.0,60.0,34.5,64.0,70.0
42.133333,66.0,56.0,34.5,66.0,70.0
42.39375,54.0,54.0,34.75,54.0,69.0
42.651042,58.0,51.0,35.0,58.0,67.0
42.909375,61.0,48.0,35.25,61.0,65.0
43.21875,50.0,46.0,35.5,50.0,64.0
43.269792,74.0,58.0,35.5,74.0,64.0
43.305208,62.0,29.0,35.5,62.0,64.0
43.321875,66.0,37.0,35.5,66.0,64.0
43.552083,54.0,37.0,35.75,54.0,62.0
43.68125,73.0,61.0,35.875,73.0,61.0
43.853125,59.0,41.0,36.0,59.0,60.0
43.858333,71.0,65.0,36.0,71.0,60.0
44.167708,78.0,73.0,36.25,78.0,60.0
44.19375,62.0,37.0,36.25,62.0,60.0
44.470833,61.0,50.0,36.5,61.0,60.0
44.508333,40.0,38.0,36.5,40.0,60.0
44.992708,49.0,42.0,36.75,49.0,60.0
45.276042,69.0,52.0,37.0,69.0,60.0
45.290625,52.0,30.0,37.0,52.0,60.0
45.53125,57.0,46.0,37.25,57.0,60.0
45.717708,62.0,19.0,37.5,62.0,60.0
45.797917,68.0,51.0,37.5,68.0,60.0
45.842708,40.0,33.0,37.5,40.0,60.0
46.23125,52.0,41.0,37.75,52.0,60.0
46.336458,75.0,70.0,37.875,75.0,60.0
46.485417,76.0,68.0,38.0,76.0,60.0
46.509375,56.0,38.0,38.0,56.0,60.0
46.798958,59.0,45.0,38.25,59.0,60.0
46.801042,62.0,40.0,38.25,62.0,60.0
46.813542,68.0,57.0,38.25,68.0,60.0
47.203125,52.0,32.0,38.5,52.0,60.0
47.215625,45.0,31.0,38.5,45.0,60.0
47.216667,69.0,57.0,38.5,69.0,60.0
47.217708,57.0,25.0,38.5,57.0,60.0
47.254167,61.0,31.0,38.5,61.0,60.0
47.476042,71.0,51.0,38.666667,71.0,60.0
47.645833,73.0,56.0,38.833333,73.0,60.0
47.823958,74.0,60.0,39.0,74.0,60.0
47.984375,76.0,65.0,39.166667,76.0,60.0
48.141667,78.0,69.0,39.333333,78.0,60.0
48.303125,80.0,69.0,39.5,80.0,60.0
48.467708,81.0,66.0,39.666667,81.0,60.0
48.63125,83.0,70.0,39.833333,83.0,60.0
48.804167,85.0,76.0,40.0,85.0,60.0
48.975,86.0,74.0,40.166667,86.0,60.0
49.152083,87.0,82.0,40.333333,87.0,60.0
49.361458,69.0,36.0,40.5,69.0,60.0
49.444792,88.0,75.0,40.5,88.0,60.0
49.666667,73.0,28.0,40.666667,73.0,60.0
49.841667,69.0,27.0,40.833333,69.0,60.0
50.029167,88.0,77.0,41.0,88.0,60.0
50.051042,76.0,42.0,41.0,76.0,60.0
50.210417,73.0,44.0,41.166667,73.0,60.0
50.305208,88.0,74.0,41.25,88.0,60.0
50.363542,69.0,34.0,41.333333,69.0,60.0
50.533333,68.0,38.0,41.5,68.0,60.0
50.571875,88.0,69.0,41.5,88.0,60.0
50.75625,71.0,44.0,41.666667,71.0,60.0
50.93125,68.0,38.0,41.833333,68.0,60.0
51.117708,76.0,43.0,42.0,76.0,60.0
51.117708,83.0,62.0,42.0,83.0,60.0
51.285417,71.0,38.0,42.166667,71.0,60.0
51.432292,68.0,42.0,42.333333,68.0,60.0
51.6375,81.0,55.0,42.5,81.0,60.0
51.645833,66.0,45.0,42.5,66.0,60.0
51.814583,83.0,70.0,42.666667,83.0,60.0
51.845833,71.0,33.0,42.666667,71.0,60.0
51.958333,66.0,37.0,42.833333,66.0,60.0
51.978125,81.0,79.0,42.833333,81.0,60.0
52.144792,75.0,46.0,43.0,75.0,60.0
52.159375,85.0,75.0,43.0,85.0,60.0
52.307292,71.0,43.0,43.166667,71.0,60.0
52.320833,83.0,80.0,43.166667,83.0,60.0
52.485417,81.0,76.0,43.333333,81.0,60.0
52.5,66.0,40.0,43.333333,66.0,60.0
52.644792,64.0,42.0,43.5,64.0,60.0
52.678125,80.0,81.0,43.5,80.0,60.0
52.841667,71.0,45.0,43.666667,71.0,60.0
53.039583,68.0,42.0,43.833333,68.0,60.0
53.226042,76.0,33.0,44.0,76.0,60.0
53.234375,83.0,69.0,44.0,83.0,60.0
53.408333,71.0,35.0,44.166667,71.0,60.0
53.582292,68.0,40.0,44.333333,68.0,60.0
53.871875,69.0,38.0,44.5,69.0,60.0
53.905208,88.0,58.0,44.5,88.0,60.0
54.152083,72.0,26.0,44.666667,72.0,60.0
54.333333,69.0,33.0,44.833333,69.0,60.0
54.579167,88.0,60.0,45.0,88.0,60.0
54.586458,76.0,29.0,45.0,76.0,60.0
54.776042,72.0,49.0,45.166667,72.0,60.0
54.905208,88.0,66.0,45.25,88.0,60.0
54.976042,69.0,31.0,45.333333,69.0,60.0
55.178125,88.0,66.0,45.5,88.0,60.0
55.188542,67.0,39.0,45.5,67.0,60.0
55.409375,71.0,40.0,45.666667,71.0,60.0
