onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5,67.0,69.0,0.0,67.0,80.0
0.8531249999999999,69.0,54.0,0.166667,69.0,80.0
0.9906250000000001,67.0,65.0,0.25,67.0,80.0
1.133333,66.0,70.0,0.333333,66.0,80.0
1.282292,67.0,72.0,0.416667,67.0,80.0
1.464583,69.0,84.0,0.5,69.0,80.0
1.790625,71.0,70.0,0.6666669999999999,71.0,80.0
1.93125,69.0,75.0,0.75,69.0,80.0
2.079167,67.0,75.0,0.8333330000000001,67.0,80.0
2.225,69.0,77.0,0.9166669999999999,69.0,80.0
2.4,71.0,78.0,1.0,71.0,80.0
2.728125,69.0,84.0,1.166667,69.0,80.0
3.05625,67.0,81.0,1.333333,67.0,80.0
3.390625,62.0,80.0,1.5,62.0,80.0
3.7552079999999997,72.0,74.0,1.666667,72.0,80.0
4.407292,71.0,75.0,2.0,71.0,80.0
4.722917,69.0,82.0,2.166667,69.0,80.0
5.048958,67.0,83.0,2.333333,67.0,80.0
5.3875,66.0,81.0,2.5,66.0,80.0
5.755208,76.0,79.0,2.666667,76.0,80.0
6.420833,74.0,73.0,3.0,74.0,80.0
6.738542,76.0,71.0,3.166667,76.0,80.0
6.886458,74.0,71.0,3.25,74.0,80.0
7.042708,72.0,72.0,3.333333,72.0,80.0
7.196875,71.0,71.0,3.416667,71.0,80.0
7.34375,69.0,76.0,3.5,69.0,80.0
7.666667,72.0,74.0,3.6666670000000003,72.0,80.0
7.809374999999999,71.0,76.0,3.75,71.0,80.0
7.967708,69.0,75.0,3.8333329999999997,69.0,80.0
8.09375,67.0,75.0,3.9166670000000003,67.0,80.0
8.270833,62.0,82.0,4.0,62.0,80.0
8.272917,66.0,82.0,4.0,66.0,80.0
8.610417,64.0,74.0,4.166667,64.0,80.0
8.610417,67.0,77.0,4.166667,67.0,80.0
8.754167,62.0,79.0,4.25,62.0,80.0
8.908333,61.0,80.0,4.333333,61.0,80.0
8.920833,69.0,83.0,4.333333,69.0,80.0
9.047917,62.0,82.0,4.416667,62.0,80.0
9.230208,67.0,86.0,4.5,67.0,80.0
9.233333,64.0,78.0,4.5,64.0,80.0
9.56875,69.0,86.0,4.666667,69.0,80.0
9.572917,66.0,77.0,4.666667,66.0,80.0
9.710417,64.0,75.0,4.75,64.0,80.0
9.869792,62.0,80.0,4.833333,62.0,80.0
9.875,71.0,86.0,4.833333,71.0,80.0
10.009375,64.0,82.0,4.916667,64.0,80.0
10.179167,66.0,89.0,5.0,66.0,80.0
10.186458,69.0,77.0,5.0,69.0,80.0
10.515625,64.0,80.0,5.166667,64.0,80.0
10.516667,71.0,70.0,5.166667,71.0,80.0
10.6625,73.0,73.0,5.25,73.0,80.0
10.81875,62.0,84.0,5.333333,62.0,80.0
10.81875,74.0,72.0,5.333333,74.0,80.0
10.948958,71.0,68.0,5.416667,71.0,80.0
