onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5072920000000001,43.0,92.0,0.0,43.0,80.0
1.488542,67.0,74.0,0.1875,67.0,80.0
1.56875,62.0,91.0,0.25,62.0,80.0
2.428125,65.0,81.0,0.4375,65.0,80.0
3.370833,58.0,63.0,0.6875,58.0,80.0
3.469792,57.0,66.0,0.75,57.0,80.0
4.294792,60.0,59.0,0.9375,60.0,80.0
4.413542,54.0,57.0,1.0,54.0,80.0
5.169792,63.0,60.0,1.1875,63.0,80.0
5.347917,62.0,76.0,1.25,62.0,80.0
6.189583,60.0,70.0,1.4375,60.0,80.0
6.31875,69.0,81.0,1.5,69.0,80.0
7.091667,60.0,54.0,1.6875,60.0,80.0
7.286458,58.0,64.0,1.75,58.0,80.0
8.078125,57.0,56.0,1.9375,57.0,80.0
8.216667,55.0,41.0,2.0,55.0,80.0
8.223958,58.0,43.0,2.0,58.0,80.0
9.002083,74.0,84.0,2.1875,74.0,80.0
9.111458,60.0,51.0,2.25,60.0,80.0
9.130208,69.0,86.0,2.25,69.0,80.0
9.904167,72.0,74.0,2.4375,72.0,80.0
10.046875,62.0,57.0,2.5,62.0,80.0
10.048958,70.0,83.0,2.5,70.0,80.0
10.88125,65.0,62.0,2.6875,65.0,80.0
11.010417,64.0,61.0,2.75,64.0,80.0
11.782292,67.0,56.0,2.9375,67.0,80.0
11.93125,61.0,48.0,3.0,61.0,80.0
12.666667,70.0,65.0,3.1875,70.0,80.0
12.825,70.0,54.0,3.280208,70.0,80.0
12.879167,69.0,77.0,3.25,69.0,80.0
13.70625,67.0,68.0,3.4375,67.0,80.0
13.85625,76.0,80.0,3.5,76.0,80.0
14.597917,67.0,74.0,3.6875,67.0,80.0
14.78125,67.0,75.0,3.780208,67.0,80.0
14.859375,66.0,68.0,3.75,66.0,80.0
15.607292000000001,64.0,55.0,3.9375,64.0,80.0
15.756250000000001,50.0,44.0,4.0,50.0,80.0
15.7625,66.0,58.0,4.0,66.0,80.0
15.783332999999999,62.0,45.0,4.0,62.0,80.0
16.480208,67.0,59.0,4.1875,67.0,80.0
16.642708,69.0,66.0,4.25,69.0,80.0
17.06875,60.0,50.0,4.375,60.0,80.0
17.485417,58.0,53.0,4.5,58.0,80.0
18.238542,62.0,59.0,4.6875,62.0,80.0
18.366667,67.0,72.0,4.75,67.0,80.0
19.132292,70.0,62.0,4.9375,70.0,80.0
19.289583,57.0,46.0,5.0,57.0,80.0
19.289583,72.0,62.0,5.0,72.0,80.0
20.075,67.0,51.0,5.1875,67.0,80.0
20.21875,66.0,50.0,5.25,66.0,80.0
20.957292,64.0,46.0,5.4375,64.0,80.0
21.117708,66.0,59.0,5.5,66.0,80.0
21.773958,74.0,70.0,5.6875,74.0,80.0
21.908333,69.0,80.0,5.75,69.0,80.0
21.928125,62.0,46.0,5.75,62.0,80.0
22.307292,51.0,71.0,5.875,51.0,80.0
22.488542,72.0,60.0,5.9375,72.0,80.0
22.757292,53.0,59.0,6.0,55.0,80.0
22.761458,67.0,57.0,6.0,67.0,80.0
22.7625,71.0,67.0,6.0,71.0,80.0
