onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.05,58.0,97.0,0.0,58.0,96.0
2.163542,58.0,71.0,0.166667,58.0,96.0
2.284375,58.0,83.0,0.333333,58.0,96.0
2.422917,58.0,102.0,0.5,58.0,96.0
2.540625,57.0,79.0,0.6666669999999999,57.0,96.0
2.6625,58.0,81.0,0.8333330000000001,58.0,96.0
2.767708,54.0,95.0,1.0,54.0,96.0
2.886458,54.0,74.0,1.166667,54.0,96.0
3.008333,57.0,81.0,1.333333,57.0,96.0
3.126042,58.0,93.0,1.5,58.0,96.0
3.2375,61.0,83.0,1.666667,61.0,96.0
3.35625,60.0,87.0,1.833333,58.0,96.0
3.452083,56.0,92.0,2.0,56.0,96.0
3.5531249999999996,56.0,83.0,2.166667,56.0,96.0
3.6781249999999996,56.0,86.0,2.333333,56.0,96.0
3.78125,56.0,91.0,2.5,56.0,96.0
3.889583,53.0,80.0,2.666667,53.0,96.0
4.003125,54.0,87.0,2.833333,54.0,96.0
4.11875,56.0,97.0,3.0,56.0,96.0
4.228125,58.0,85.0,3.166667,58.0,96.0
4.345833,56.0,92.0,3.333333,56.0,96.0
4.459375,53.0,99.0,3.5,53.0,127.0
4.895833,58.0,73.0,4.0,58.0,49.0
5.039583,58.0,45.0,4.166667,58.0,49.0
5.157292,58.0,43.0,4.333333,58.0,49.0
5.267708,58.0,61.0,4.5,58.0,49.0
5.379167,57.0,62.0,4.666667,57.0,49.0
5.489583,58.0,52.0,4.833333,58.0,49.0
5.590625,54.0,65.0,5.0,54.0,49.0
5.723958,54.0,41.0,5.166667,54.0,49.0
5.829167,57.0,57.0,5.333333,57.0,49.0
5.926042,58.0,70.0,5.5,58.0,49.0
6.04375,61.0,62.0,5.666667,61.0,49.0
6.16875,60.0,67.0,5.833333,58.0,49.0
6.260417,56.0,75.0,6.0,56.0,49.0
6.364583,56.0,64.0,6.166667,56.0,49.0
6.488542,56.0,73.0,6.333333,56.0,49.0
6.598958,56.0,69.0,6.5,56.0,49.0
6.69375,53.0,65.0,6.666667,53.0,49.0
6.814583,54.0,65.0,6.833333,54.0,49.0
6.925,56.0,66.0,7.0,56.0,49.0
7.030208,58.0,61.0,7.166667,58.0,49.0
7.160417,56.0,60.0,7.333333,56.0,49.0
7.286458,53.0,67.0,7.5,53.0,73.0
7.689583000000001,54.0,101.0,8.0,54.0,96.0
7.808332999999999,54.0,71.0,8.166667,54.0,96.0
7.940625000000001,57.0,82.0,8.333333,57.0,96.0
8.017708,58.0,102.0,8.5,58.0,96.0
8.14375,58.0,83.0,8.666667,58.0,96.0
8.264583,60.0,88.0,8.833333,60.0,96.0
8.369792,63.0,99.0,9.0,63.0,96.0
8.478125,63.0,81.0,9.166667,63.0,96.0
8.59375,61.0,93.0,9.333333,61.0,96.0
8.705208,60.0,99.0,9.5,60.0,96.0
8.8125,60.0,85.0,9.666667,60.0,96.0
8.926042,58.0,91.0,9.833333,58.0,96.0
9.033333,56.0,97.0,10.0,56.0,96.0
9.145833,56.0,80.0,10.166667,56.0,96.0
9.260417,56.0,84.0,10.333333,56.0,96.0
9.367708,61.0,102.0,10.5,61.0,96.0
9.476042,61.0,85.0,10.666667,61.0,96.0
9.596875,60.0,88.0,10.833333,60.0,96.0
9.703125,58.0,98.0,11.0,58.0,96.0
9.819792,56.0,86.0,11.166667,56.0,96.0
9.936458,58.0,93.0,11.333333,58.0,96.0
10.052083,53.0,98.0,11.5,53.0,127.0
