onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.5187499999999998,77.0,37.0,0.0,77.0,33.0
1.5197919999999998,34.0,33.0,0.0,34.0,33.0
1.520833,46.0,33.0,0.0,46.0,33.0
1.539583,73.0,37.0,0.0,73.0,33.0
3.825,77.0,50.0,0.4375,77.0,33.0
3.840625,34.0,37.0,0.4375,34.0,33.0
3.8541670000000003,73.0,44.0,0.4375,73.0,33.0
3.859375,46.0,27.0,0.4375,46.0,33.0
4.08125,78.0,70.0,0.5,78.0,33.0
4.091667,46.0,38.0,0.5,46.0,33.0
4.104167,34.0,29.0,0.5,34.0,33.0
4.108333,75.0,54.0,0.5,75.0,33.0
5.495833,69.0,62.0,0.75,69.0,33.0
5.501042,60.0,51.0,0.75,60.0,33.0
5.517708,46.0,37.0,0.75,46.0,33.0
5.520833,66.0,43.0,0.75,66.0,33.0
5.523958,34.0,34.0,0.75,34.0,33.0
5.523958,63.0,44.0,0.75,63.0,33.0
6.982292,70.0,50.0,1.0,70.0,33.0
6.99375,34.0,34.0,1.0,34.0,33.0
7.001042,65.0,45.0,1.0,65.0,33.0
7.007292,46.0,31.0,1.0,46.0,33.0
7.015625,61.0,31.0,1.0,61.0,33.0
8.438542,77.0,66.0,1.25,77.0,33.0
8.442708,74.0,49.0,1.25,74.0,33.0
9.610417,80.0,68.0,1.5,80.0,33.0
9.630208,75.0,54.0,1.5,75.0,33.0
10.867708,78.0,52.0,1.75,78.0,33.0
12.3875,78.0,67.0,2.0,78.0,33.0
12.410417,75.0,55.0,2.0,75.0,33.0
12.438542,47.0,35.0,2.0,47.0,33.0
12.441667,35.0,36.0,2.0,35.0,33.0
14.36875,80.0,68.0,2.5,80.0,33.0
14.376042,71.0,49.0,2.5,71.0,33.0
14.395833,40.0,37.0,2.5,40.0,33.0
14.397917,52.0,36.0,2.5,52.0,33.0
16.170833,61.0,61.0,3.0,61.0,33.0
16.189583,59.0,52.0,3.0,59.0,33.0
16.196875,54.0,43.0,3.0,54.0,33.0
16.20625,42.0,43.0,3.0,42.0,33.0
17.932292,64.0,60.0,3.5,64.0,33.0
17.953125,58.0,49.0,3.5,58.0,33.0
17.958333,61.0,45.0,3.5,61.0,33.0
19.804167,63.0,61.0,4.0,63.0,33.0
19.805208,58.0,55.0,4.0,58.0,33.0
19.810417,61.0,57.0,4.0,61.0,33.0
19.83125,43.0,50.0,4.0,43.0,33.0
19.8375,55.0,40.0,4.0,55.0,33.0
20.845833,59.0,48.0,4.25,59.0,33.0
20.852083,44.0,40.0,4.25,44.0,33.0
