onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.017708,38.0,32.0,0.0,38.0,49.0
2.370833,38.0,37.0,0.5,38.0,49.0
2.655208,38.0,44.0,1.0,38.0,49.0
2.954167,69.0,54.0,1.5,69.0,49.0
2.963542,38.0,34.0,1.5,38.0,49.0
2.969792,66.0,43.0,1.5,66.0,49.0
2.9875,60.0,28.0,1.5,60.0,49.0
3.284375,38.0,43.0,2.0,38.0,49.0
3.580208,38.0,40.0,2.5,38.0,49.0
3.872917,69.0,55.0,3.0,69.0,49.0
3.886458,59.0,42.0,3.0,59.0,49.0
3.886458,62.0,44.0,3.0,62.0,49.0
3.888542,38.0,24.0,3.0,38.0,49.0
4.177083,38.0,39.0,3.5,38.0,49.0
4.198958,67.0,62.0,3.5,67.0,49.0
4.479167,38.0,37.0,4.0,38.0,49.0
4.778125,38.0,39.0,4.5,38.0,49.0
5.0625,38.0,46.0,5.0,38.0,49.0
5.351042,38.0,38.0,5.5,38.0,49.0
5.354167,66.0,52.0,5.5,66.0,49.0
5.359375,59.0,42.0,5.5,59.0,49.0
5.370833,55.0,28.0,5.5,55.0,49.0
5.459375,64.0,52.0,5.75,64.0,49.0
5.66875,38.0,38.0,6.0,38.0,49.0
5.676042,62.0,62.0,6.0,62.0,49.0
5.686458,55.0,44.0,6.0,55.0,49.0
5.6875,52.0,31.0,6.0,52.0,49.0
5.970833,38.0,51.0,6.5,38.0,49.0
6.239583,61.0,62.0,7.0,61.0,49.0
6.240625,38.0,49.0,7.0,38.0,49.0
6.565625,59.0,60.0,7.5,59.0,49.0
6.566667,38.0,42.0,7.5,38.0,49.0
6.5875,49.0,44.0,7.5,49.0,49.0
6.625,55.0,29.0,7.5,55.0,49.0
6.8875,38.0,40.0,8.0,38.0,49.0
7.147917,57.0,64.0,8.5,57.0,49.0
7.173958,38.0,43.0,8.5,38.0,49.0
7.457292,57.0,65.0,9.0,57.0,49.0
7.461458,38.0,44.0,9.0,38.0,49.0
7.463542,50.0,44.0,9.0,50.0,49.0
7.489583,54.0,42.0,9.0,54.0,49.0
7.741667,38.0,27.0,9.5,38.0,49.0
8.048958,38.0,48.0,10.0,38.0,49.0
8.346875,62.0,63.0,10.5,62.0,49.0
8.347917,38.0,33.0,10.5,38.0,49.0
8.353125,42.0,43.0,10.5,42.0,49.0
8.376042,57.0,47.0,10.5,57.0,49.0
8.641667,38.0,46.0,11.0,38.0,49.0
8.920833,38.0,54.0,11.5,38.0,49.0
9.213542,64.0,55.0,12.0,64.0,49.0
9.229167,45.0,48.0,12.0,45.0,49.0
9.236458,61.0,46.0,12.0,61.0,49.0
9.246875,38.0,40.0,12.0,38.0,49.0
9.497917,38.0,54.0,12.5,38.0,49.0
9.783333,62.0,44.0,13.0,62.0,49.0
9.790625,66.0,50.0,13.0,66.0,49.0
9.805208,38.0,51.0,13.0,38.0,49.0
9.913542,64.0,54.0,13.25,64.0,49.0
9.929167,67.0,43.0,13.25,67.0,49.0
10.060417,66.0,51.0,13.5,66.0,49.0
10.091667,50.0,45.0,13.5,50.0,49.0
10.091667,62.0,44.0,13.5,62.0,49.0
10.1125,38.0,35.0,13.5,38.0,49.0
10.386458,50.0,48.0,14.0,50.0,49.0
10.653125,50.0,46.0,14.5,50.0,49.0
10.9375,62.0,54.0,15.0,62.0,49.0
10.960417,50.0,49.0,15.0,50.0,49.0
11.228125,50.0,43.0,15.5,50.0,49.0
11.516667,50.0,47.0,16.0,50.0,49.0
11.79375,81.0,71.0,16.5,81.0,49.0
11.81875,72.0,49.0,16.5,72.0,49.0
11.822917,50.0,43.0,16.5,50.0,49.0
11.823958,54.0,43.0,16.5,54.0,49.0
12.086458,50.0,45.0,17.0,50.0,49.0
12.377083,50.0,56.0,17.5,50.0,49.0
12.638542,81.0,72.0,18.0,81.0,49.0
12.657292,55.0,53.0,18.0,55.0,49.0
12.6625,71.0,53.0,18.0,71.0,49.0
12.66875,50.0,47.0,18.0,50.0,49.0
12.935417,79.0,78.0,18.5,79.0,49.0
12.955208,50.0,51.0,18.5,50.0,49.0
13.205208,50.0,59.0,19.0,50.0,49.0
13.485417,67.0,65.0,19.5,67.0,49.0
13.492708,50.0,50.0,19.5,50.0,49.0
13.492708,59.0,59.0,19.5,59.0,49.0
13.7875,50.0,62.0,20.0,50.0,49.0
14.001042,78.0,78.0,20.5,78.0,49.0
14.033333,50.0,59.0,20.5,50.0,49.0
14.130208,76.0,72.0,20.75,76.0,49.0
14.326042,50.0,57.0,21.0,50.0,49.0
14.336458,74.0,70.0,21.0,74.0,49.0
14.360417,64.0,45.0,21.0,64.0,49.0
14.370833,67.0,46.0,21.0,67.0,49.0
14.622917,50.0,52.0,21.5,50.0,49.0
14.922917,73.0,71.0,22.0,73.0,49.0
14.929167,50.0,51.0,22.0,50.0,49.0
15.21875,50.0,51.0,22.5,50.0,49.0
15.226042,61.0,46.0,22.5,61.0,49.0
15.229167,71.0,68.0,22.5,71.0,49.0
15.272917,67.0,48.0,22.5,67.0,49.0
15.502082999999999,50.0,56.0,23.0,50.0,49.0
15.784375,69.0,69.0,23.5,69.0,49.0
15.787500000000001,50.0,47.0,23.5,50.0,49.0
16.109375,69.0,65.0,24.0,69.0,49.0
16.111458,50.0,47.0,24.0,50.0,49.0
16.111458,62.0,45.0,24.0,62.0,49.0
16.142708,66.0,51.0,24.0,66.0,49.0
16.40625,50.0,35.0,24.5,50.0,49.0
16.710417,50.0,50.0,25.0,50.0,49.0
