onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.0,79.0,42.0,0.0,79.0,25.0
1.014583,67.0,26.0,0.0,67.0,25.0
1.677083,79.0,57.0,0.166667,79.0,25.0
1.688542,67.0,36.0,0.166667,67.0,25.0
1.7541669999999998,67.0,4.0,0.333333,67.0,25.0
2.25,64.0,53.0,0.5,64.0,25.0
2.408333,79.0,53.0,0.5,79.0,25.0
2.420833,67.0,38.0,0.5,67.0,25.0
2.848958,72.0,57.0,0.5833330000000001,72.0,25.0
3.145833,79.0,59.0,0.6666669999999999,79.0,25.0
3.152083,64.0,54.0,0.6666669999999999,64.0,25.0
3.152083,67.0,42.0,0.6666669999999999,67.0,25.0
3.427083,72.0,59.0,0.75,72.0,25.0
3.655208,79.0,69.0,0.8333330000000001,79.0,25.0
3.673958,67.0,38.0,0.8333330000000001,67.0,25.0
3.6781249999999996,62.0,53.0,0.8333330000000001,62.0,25.0
3.873958,72.0,64.0,0.9166669999999999,72.0,25.0
4.075,62.0,58.0,1.0,62.0,25.0
4.078125,79.0,76.0,1.0,79.0,25.0
4.0875,67.0,54.0,1.0,67.0,25.0
4.298958,70.0,69.0,1.083333,70.0,25.0
4.298958,72.0,67.0,1.083333,72.0,25.0
4.510417,79.0,71.0,1.166667,79.0,25.0
4.529167,67.0,54.0,1.166667,67.0,25.0
4.530208,60.0,53.0,1.166667,60.0,25.0
4.765625,72.0,64.0,1.25,72.0,25.0
4.770833,70.0,64.0,1.25,70.0,25.0
5.010417,79.0,74.0,1.333333,79.0,25.0
5.022917,67.0,60.0,1.333333,67.0,25.0
5.313542,72.0,66.0,1.416667,72.0,25.0
5.317708,70.0,66.0,1.416667,70.0,25.0
5.65625,41.0,51.0,1.5,41.0,25.0
5.776042,79.0,72.0,1.5,79.0,25.0
5.783333,67.0,50.0,1.5,67.0,25.0
6.292708,69.0,56.0,1.583333,69.0,25.0
6.29375,72.0,56.0,1.583333,72.0,25.0
6.316667,60.0,45.0,1.583333,60.0,25.0
6.560417,77.0,67.0,1.666667,77.0,25.0
6.583333,65.0,52.0,1.666667,65.0,25.0
6.629167,57.0,51.0,1.666667,57.0,25.0
6.830208,60.0,54.0,1.75,60.0,25.0
6.830208,69.0,58.0,1.75,69.0,25.0
6.830208,72.0,59.0,1.75,72.0,25.0
7.021875,76.0,75.0,1.833333,76.0,25.0
7.040625,64.0,59.0,1.833333,64.0,25.0
7.041667,50.0,56.0,1.833333,50.0,25.0
7.21875,60.0,63.0,1.916667,60.0,25.0
7.229167,72.0,65.0,1.916667,72.0,25.0
7.238542,69.0,62.0,1.916667,69.0,25.0
7.44375,76.0,71.0,2.0,76.0,25.0
7.458333,64.0,55.0,2.0,64.0,25.0
7.46875,43.0,65.0,2.0,43.0,25.0
7.689583000000001,71.0,64.0,2.083333,71.0,25.0
7.697917,67.0,57.0,2.083333,67.0,25.0
7.755208,55.0,36.0,2.083333,55.0,25.0
7.873958,74.0,75.0,2.166667,74.0,25.0
7.892708000000001,62.0,61.0,2.166667,62.0,25.0
7.907292,53.0,27.0,2.166667,53.0,25.0
7.9125,59.0,46.0,2.166667,59.0,25.0
8.077083,71.0,64.0,2.25,71.0,25.0
8.085417,67.0,56.0,2.25,67.0,25.0
8.091667,55.0,54.0,2.25,55.0,25.0
8.301042,72.0,68.0,2.333333,72.0,25.0
8.316667,60.0,57.0,2.333333,60.0,25.0
8.344792,52.0,46.0,2.333333,52.0,25.0
8.53125,55.0,53.0,2.416667,55.0,25.0
8.55,67.0,47.0,2.416667,67.0,25.0
8.825,48.0,40.0,2.5,48.0,25.0
8.916667,76.0,53.0,2.5,76.0,25.0
8.927083,64.0,43.0,2.5,64.0,25.0
9.259375,67.0,46.0,2.583333,67.0,25.0
9.260417,72.0,47.0,2.583333,72.0,25.0
9.276042,55.0,39.0,2.583333,55.0,25.0
9.467708,64.0,52.0,2.666667,64.0,25.0
9.505208,60.0,46.0,2.666667,60.0,25.0
9.733333,72.0,49.0,2.75,72.0,25.0
9.738542,57.0,45.0,2.75,57.0,25.0
9.740625,65.0,57.0,2.75,65.0,25.0
10.002083,55.0,44.0,2.833333,55.0,25.0
10.004167,64.0,52.0,2.833333,64.0,25.0
10.311458,72.0,53.0,2.916667,72.0,25.0
10.323958,67.0,46.0,2.916667,67.0,25.0
10.7,36.0,58.0,3.0,36.0,25.0
11.130208,79.0,72.0,3.04375,79.0,25.0
11.375,55.0,53.0,3.083333,55.0,25.0
11.5,72.0,66.0,3.083333,72.0,25.0
11.741667,79.0,82.0,3.166667,79.0,25.0
11.754167,67.0,63.0,3.166667,67.0,25.0
11.7625,60.0,54.0,3.166667,60.0,25.0
11.967708,70.0,68.0,3.25,70.0,25.0
11.967708,72.0,66.0,3.25,72.0,25.0
11.979167,62.0,68.0,3.25,62.0,25.0
12.171875,79.0,85.0,3.333333,79.0,25.0
12.18125,64.0,66.0,3.333333,64.0,25.0
12.184375,67.0,64.0,3.333333,67.0,25.0
12.395833,72.0,75.0,3.416667,72.0,25.0
12.403125,70.0,70.0,3.416667,70.0,25.0
12.691667,41.0,61.0,3.5,41.0,25.0
