onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.016667,37.0,50.0,0.0,37.0,115.0
2.017708,25.0,52.0,0.0,25.0,115.0
3.257292,80.0,75.0,0.5,80.0,96.0
3.298958,71.0,34.0,0.5,71.0,96.0
3.304167,75.0,43.0,0.5,75.0,96.0
4.852083,68.0,24.0,1.166667,68.0,95.0
5.134375,61.0,37.0,1.333333,61.0,93.0
5.170833,77.0,43.0,1.333333,77.0,93.0
5.44375,70.0,39.0,1.5,70.0,92.0
5.45,73.0,39.0,1.5,73.0,92.0
5.701042,78.0,63.0,1.666667,78.0,91.0
5.729167,66.0,42.0,1.666667,66.0,92.0
5.754167,75.0,23.0,1.666667,75.0,92.0
5.973958,80.0,70.0,1.833333,80.0,89.0
5.976042,61.0,35.0,1.833333,61.0,89.0
6.017708,70.0,35.0,1.833333,70.0,89.0
6.258333,78.0,63.0,2.0,78.0,87.0
6.282292,71.0,50.0,2.0,71.0,87.0
6.291667,68.0,41.0,2.0,68.0,87.0
6.532292,77.0,70.0,2.166667,77.0,85.0
6.544792,73.0,54.0,2.166667,73.0,85.0
6.548958,65.0,41.0,2.166667,65.0,85.0
6.786458,78.0,65.0,2.333333,78.0,82.0
6.810417,68.0,48.0,2.333333,68.0,83.0
6.829167,49.0,43.0,2.333333,49.0,83.0
7.091667,75.0,72.0,2.5,75.0,80.0
7.148958,66.0,41.0,2.5,66.0,81.0
7.158333,70.0,39.0,2.5,70.0,81.0
7.365625,63.0,48.0,2.666667,63.0,78.0
7.396875,71.0,64.0,2.666667,71.0,78.0
7.699999999999999,77.0,72.0,2.833333,77.0,78.0
7.727083,49.0,43.0,2.833333,49.0,76.0
7.745832999999999,66.0,48.0,2.833333,66.0,76.0
8.103125,75.0,72.0,3.0,75.0,75.0
8.134375,68.0,42.0,3.0,68.0,74.0
8.161458,65.0,40.0,3.0,65.0,74.0
8.438542,73.0,68.0,3.166667,73.0,73.0
8.460417,61.0,38.0,3.166667,61.0,72.0
8.465625,70.0,58.0,3.166667,70.0,72.0
8.707292,75.0,60.0,3.333333,75.0,71.0
8.735417,49.0,41.0,3.333333,49.0,70.0
8.772917,65.0,39.0,3.333333,65.0,70.0
9.028125,71.0,57.0,3.5,71.0,68.0
9.044792,63.0,36.0,3.5,63.0,68.0
9.052083,66.0,40.0,3.5,66.0,68.0
9.322917,75.0,58.0,3.6666670000000003,75.0,66.0
9.335417,68.0,44.0,3.6666670000000003,68.0,65.0
9.341667,59.0,33.0,3.6666670000000003,59.0,65.0
9.617708,73.0,60.0,3.8333329999999997,73.0,64.0
9.635417,49.0,40.0,3.8333329999999997,49.0,63.0
9.648958,63.0,32.0,3.8333329999999997,63.0,63.0
9.946875,71.0,57.0,4.0,71.0,62.0
9.967708,61.0,28.0,4.0,61.0,61.0
9.967708,65.0,36.0,4.0,65.0,61.0
10.273958,58.0,40.0,4.166667,58.0,59.0
10.273958,70.0,51.0,4.166667,70.0,59.0
10.288542,66.0,39.0,4.166667,66.0,59.0
10.625,71.0,44.0,4.333333,71.0,57.0
10.640625,37.0,32.0,4.333333,37.0,57.0
10.65,61.0,32.0,4.333333,61.0,57.0
11.008333,68.0,45.0,4.5,68.0,55.0
11.035417,63.0,29.0,4.5,63.0,54.0
11.063542,59.0,28.0,4.5,59.0,54.0
11.428125,71.0,41.0,4.666667,71.0,52.0
11.429167,56.0,23.0,4.666667,56.0,52.0
11.435417,65.0,26.0,4.666667,65.0,52.0
11.994792,37.0,25.0,4.833333,37.0,50.0
12.001042,70.0,33.0,4.833333,70.0,50.0
12.078125,59.0,3.0,4.833333,59.0,50.0
14.878125,42.0,26.0,6.0,42.0,49.0
15.266667,49.0,41.0,6.166667,49.0,49.0
15.615625000000001,56.0,36.0,6.333333,56.0,49.0
15.983332999999998,54.0,35.0,6.5,54.0,49.0
16.202083,56.0,44.0,6.583333,56.0,49.0
16.496875,58.0,42.0,6.666667,58.0,49.0
16.883333,49.0,33.0,6.833333,49.0,49.0
17.217708,42.0,42.0,7.0,42.0,49.0
17.50625,49.0,45.0,7.166667,49.0,49.0
17.820833,56.0,48.0,7.333333,56.0,49.0
18.157292,54.0,44.0,7.5,54.0,49.0
18.328125,56.0,47.0,7.583333,56.0,49.0
18.5625,58.0,53.0,7.666667,58.0,49.0
18.971875,61.0,57.0,7.833333,61.0,49.0
19.414583,42.0,38.0,8.0,42.0,49.0
19.738542,49.0,42.0,8.166667,49.0,49.0
20.047917,56.0,38.0,8.333333,56.0,49.0
20.361458,54.0,36.0,8.5,54.0,49.0
20.514583,56.0,30.0,8.583333,56.0,49.0
20.696875,58.0,43.0,8.666667,58.0,49.0
20.995833,49.0,40.0,8.833333,49.0,49.0
21.321875,42.0,36.0,9.0,42.0,49.0
21.611458,49.0,39.0,9.166667,49.0,49.0
21.930208,56.0,37.0,9.333333,56.0,49.0
22.239583,54.0,40.0,9.5,54.0,49.0
22.391667,56.0,38.0,9.583333,56.0,49.0
22.608333,58.0,45.0,9.666667,58.0,49.0
22.955208,61.0,38.0,9.833333,61.0,49.0
23.295833,42.0,32.0,10.0,42.0,49.0
23.579167,49.0,34.0,10.166667,49.0,49.0
23.919792,56.0,33.0,10.333333,56.0,49.0
24.305208,73.0,56.0,10.5,73.0,49.0
24.33125,54.0,23.0,10.5,54.0,49.0
24.342708,70.0,45.0,10.5,70.0,49.0
24.4875,56.0,29.0,10.583333,56.0,49.0
24.683333,58.0,32.0,10.666667,58.0,49.0
25.028125,49.0,31.0,10.833333,49.0,49.0
25.339583,42.0,37.0,11.0,42.0,49.0
25.633333,49.0,39.0,11.166667,49.0,49.0
25.659375,72.0,46.0,11.166667,72.0,49.0
25.70625,69.0,30.0,11.166667,69.0,49.0
25.945833,73.0,50.0,11.333333,73.0,49.0
25.966667,56.0,32.0,11.333333,56.0,49.0
26.0875,77.0,50.0,11.5,77.0,49.0
26.241667,75.0,63.0,11.533333,75.0,49.0
26.260417,71.0,46.0,11.533333,71.0,49.0
26.390625,56.0,27.0,11.583333,56.0,49.0
26.542708,73.0,66.0,11.666667,73.0,49.0
26.572917,70.0,48.0,11.666667,70.0,49.0
26.575,58.0,38.0,11.666667,58.0,49.0
26.927083,61.0,25.0,11.833333,61.0,80.0
26.927083,70.0,63.0,11.833333,70.0,80.0
26.93125,66.0,59.0,11.833333,66.0,80.0
27.4,78.0,68.0,12.0,78.0,80.0
27.401042,42.0,35.0,12.0,42.0,80.0
27.426042,75.0,59.0,12.0,75.0,80.0
27.827083,70.0,52.0,12.166667,70.0,80.0
27.830208,66.0,45.0,12.166667,66.0,80.0
27.832292,49.0,32.0,12.166667,49.0,80.0
28.119792,53.0,42.0,12.333333,56.0,80.0
28.119792,75.0,62.0,12.333333,75.0,80.0
28.126042,71.0,51.0,12.333333,71.0,80.0
28.40625,54.0,34.0,12.5,54.0,80.0
28.415625,73.0,60.0,12.5,73.0,80.0
28.4375,70.0,43.0,12.5,70.0,80.0
28.566667,56.0,37.0,12.583333,56.0,80.0
28.721875,66.0,55.0,12.666667,66.0,80.0
28.741667,61.0,40.0,12.666667,61.0,80.0
28.754167,58.0,40.0,12.666667,58.0,80.0
29.0375,71.0,63.0,12.833333,71.0,80.0
29.063542,68.0,37.0,12.833333,68.0,80.0
29.072917,49.0,34.0,12.833333,49.0,80.0
29.436458,42.0,24.0,13.0,42.0,80.0
29.439583,70.0,55.0,13.0,70.0,80.0
29.466667,66.0,44.0,13.0,66.0,80.0
29.772917,49.0,38.0,13.166667,49.0,80.0
30.080208,56.0,21.0,13.333333,56.0,80.0
30.39375,54.0,37.0,13.5,54.0,80.0
30.408333,64.0,26.0,13.5,64.0,80.0
30.558333,56.0,30.0,13.583333,56.0,80.0
30.720833,58.0,37.0,13.666667,58.0,80.0
31.061458,61.0,21.0,13.833333,61.0,80.0
31.221875,63.0,47.0,14.0,63.0,80.0
31.366667,71.0,45.0,14.0,42.0,80.0
31.48125,42.0,40.0,14.04375,71.0,80.0
31.617708,78.0,53.0,14.0875,78.0,80.0
32.041667,54.0,36.0,14.166667,54.0,80.0
