onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.009375,84.0,67.0,0.0,84.0,96.0
2.190625,86.0,62.0,0.0625,86.0,96.0
2.269792,84.0,60.0,0.125,84.0,96.0
2.31875,86.0,75.0,0.1875,86.0,96.0
2.390625,84.0,79.0,0.25,84.0,96.0
2.435417,83.0,72.0,0.358333,83.0,96.0
2.542708,84.0,78.0,0.43020800000000003,84.0,96.0
2.608333,48.0,65.0,0.5,48.0,96.0
2.610417,93.0,87.0,0.5,93.0,115.0
2.614583,41.0,61.0,0.5,41.0,96.0
2.685417,91.0,79.0,0.625,91.0,96.0
2.761458,89.0,71.0,0.75,89.0,96.0
2.845833,84.0,66.0,0.875,84.0,96.0
2.922917,81.0,74.0,1.0,81.0,115.0
3.005208,79.0,68.0,1.125,79.0,96.0
3.064583,77.0,65.0,1.25,77.0,96.0
3.138542,72.0,64.0,1.375,72.0,96.0
3.173958,47.0,68.0,1.5,47.0,96.0
3.21875,69.0,80.0,1.5,69.0,115.0
3.290625,67.0,64.0,1.625,67.0,96.0
3.353125,65.0,73.0,1.75,65.0,96.0
3.445833,60.0,62.0,1.875,60.0,96.0
3.5218749999999996,48.0,77.0,2.0,48.0,96.0
3.529167,57.0,74.0,2.0,57.0,115.0
3.5854169999999996,55.0,70.0,2.125,55.0,96.0
3.669792,53.0,73.0,2.25,53.0,96.0
3.732292,48.0,55.0,2.375,48.0,96.0
3.8177079999999997,41.0,74.0,2.5,41.0,96.0
3.83125,53.0,60.0,2.5,53.0,115.0
3.8541670000000003,29.0,29.0,2.5,29.0,96.0
3.8958329999999997,55.0,73.0,2.625,55.0,96.0
4.010417,57.0,54.0,2.75,57.0,96.0
4.08125,60.0,74.0,2.875,60.0,96.0
4.148958,50.0,74.0,3.0,50.0,96.0
4.165625,65.0,77.0,3.0,65.0,115.0
4.258333,67.0,72.0,3.125,67.0,96.0
4.344792,69.0,58.0,3.25,69.0,96.0
4.4125,48.0,81.0,3.375,48.0,96.0
4.416667,72.0,81.0,3.375,72.0,96.0
4.494792,77.0,82.0,3.5,77.0,115.0
4.496875,57.0,85.0,3.5,57.0,96.0
4.561458,79.0,78.0,3.625,79.0,96.0
4.639583,81.0,60.0,3.75,81.0,96.0
4.719792,84.0,81.0,3.875,84.0,96.0
4.804167,89.0,85.0,4.0,89.0,115.0
4.833333,53.0,51.0,4.0,53.0,115.0
4.885417,91.0,80.0,4.125,91.0,96.0
4.966667,93.0,83.0,4.25,93.0,96.0
5.046875,45.0,71.0,4.375,45.0,96.0
5.055208,91.0,81.0,4.375,91.0,96.0
5.126042,89.0,80.0,4.5,89.0,115.0
5.133333,48.0,84.0,4.5,48.0,115.0
5.141667,41.0,78.0,4.5,41.0,96.0
5.220833,84.0,70.0,4.625,84.0,96.0
5.30625,81.0,78.0,4.75,81.0,96.0
5.380208,79.0,76.0,4.875,79.0,96.0
5.445833,77.0,76.0,5.0,77.0,115.0
5.527083,72.0,70.0,5.125,72.0,96.0
5.609375,69.0,76.0,5.25,69.0,96.0
5.66875,67.0,80.0,5.375,67.0,96.0
5.701042,47.0,70.0,5.5,47.0,96.0
5.751042,65.0,81.0,5.5,65.0,115.0
5.815625,60.0,71.0,5.625,60.0,96.0
5.913542,57.0,76.0,5.75,57.0,96.0
5.997917,55.0,73.0,5.875,55.0,96.0
6.075,48.0,80.0,6.0,48.0,96.0
6.076042,53.0,83.0,6.0,53.0,115.0
6.179167,48.0,68.0,6.125,48.0,96.0
6.251042,53.0,79.0,6.25,53.0,96.0
6.327083,57.0,76.0,6.375,57.0,96.0
6.379167,40.0,78.0,6.5,40.0,96.0
6.396875,28.0,61.0,6.5,28.0,96.0
6.4125,55.0,73.0,6.5,55.0,115.0
6.486458,48.0,67.0,6.625,48.0,96.0
6.567708,55.0,79.0,6.75,55.0,96.0
6.64375,57.0,82.0,6.875,57.0,96.0
6.71875,50.0,90.0,7.0,50.0,96.0
6.734375,58.0,70.0,7.0,58.0,115.0
6.813542,60.0,76.0,7.125,60.0,96.0
6.909375,67.0,80.0,7.25,67.0,96.0
6.970833,48.0,82.0,7.375,48.0,96.0
6.998958,69.0,75.0,7.375,69.0,96.0
7.073958,70.0,72.0,7.5,70.0,115.0
7.082292,55.0,86.0,7.5,55.0,96.0
7.148958,72.0,80.0,7.625,72.0,96.0
7.247917,79.0,78.0,7.75,79.0,96.0
7.31875,81.0,75.0,7.875,81.0,96.0
7.382292,62.0,96.0,8.0,62.0,105.0
7.404167,82.0,71.0,8.0,82.0,115.0
7.489583,84.0,65.0,8.125,84.0,96.0
7.573957999999999,40.0,73.0,8.5,40.0,96.0
7.574999999999999,93.0,78.0,8.375,93.0,96.0
7.669791999999999,95.0,68.0,8.5,94.0,115.0
7.720833000000001,93.0,34.0,8.625,93.0,96.0
7.741667,60.0,78.0,8.75,60.0,96.0
7.915625,91.0,77.0,8.75,91.0,96.0
7.978125,84.0,71.0,8.875,84.0,96.0
8.107292,82.0,67.0,9.0,82.0,115.0
8.166667,81.0,74.0,9.125,81.0,96.0
8.246875,79.0,73.0,9.25,79.0,96.0
8.357292,72.0,48.0,9.375,72.0,96.0
8.384375,47.0,67.0,9.5,47.0,96.0
8.404167,70.0,80.0,9.5,70.0,115.0
8.48125,69.0,76.0,9.625,69.0,96.0
8.56875,67.0,73.0,9.75,67.0,96.0
8.65,60.0,64.0,9.875,60.0,96.0
8.736458,48.0,75.0,10.0,48.0,96.0
8.740625,58.0,72.0,10.0,58.0,115.0
8.815625,57.0,77.0,10.125,57.0,96.0
8.9,55.0,80.0,10.25,55.0,96.0
8.976042,48.0,63.0,10.375,48.0,96.0
9.044792,40.0,76.0,10.5,40.0,96.0
9.066667,28.0,55.0,10.5,28.0,96.0
9.067708,55.0,72.0,10.5,55.0,115.0
9.141667,57.0,73.0,10.625,57.0,96.0
9.232292,58.0,70.0,10.75,58.0,96.0
9.316667,60.0,80.0,10.875,60.0,96.0
9.396875,50.0,84.0,11.0,50.0,96.0
9.408333,67.0,77.0,11.0,67.0,115.0
9.483333,69.0,75.0,11.125,69.0,96.0
9.577083,70.0,70.0,11.25,70.0,96.0
9.657292,48.0,81.0,11.375,48.0,96.0
9.663542,72.0,83.0,11.375,72.0,96.0
9.74375,58.0,90.0,11.5,58.0,96.0
9.755208,79.0,78.0,11.5,79.0,115.0
9.821875,81.0,75.0,11.625,81.0,96.0
9.90625,82.0,72.0,11.75,82.0,96.0
9.982292,84.0,81.0,11.875,84.0,96.0
10.088542,91.0,80.0,12.0,91.0,115.0
10.090625,55.0,68.0,12.0,55.0,115.0
10.176042,93.0,74.0,12.125,93.0,96.0
10.244792,94.0,76.0,12.25,94.0,96.0
10.3125,43.0,69.0,12.375,43.0,96.0
10.332292,93.0,74.0,12.375,93.0,96.0
10.402083,91.0,80.0,12.5,91.0,115.0
10.407292,48.0,83.0,12.5,48.0,96.0
10.408333,40.0,79.0,12.5,40.0,96.0
10.486458,84.0,61.0,12.625,84.0,96.0
10.573958,82.0,77.0,12.75,82.0,96.0
10.646875,81.0,72.0,12.875,81.0,96.0
10.723958,79.0,76.0,13.0,79.0,115.0
10.795833,72.0,73.0,13.125,72.0,96.0
10.891667,70.0,80.0,13.25,70.0,96.0
10.960417,69.0,75.0,13.375,69.0,96.0
10.975,47.0,74.0,13.5,47.0,96.0
11.047917,67.0,83.0,13.5,67.0,115.0
11.127083,60.0,67.0,13.625,60.0,96.0
11.226042,58.0,71.0,13.75,58.0,96.0
11.29375,57.0,74.0,13.875,57.0,96.0
11.383333,55.0,79.0,14.0,55.0,115.0
11.388542,48.0,73.0,14.0,48.0,96.0
11.558333,55.0,66.0,14.25,55.0,96.0
11.638542,58.0,63.0,14.375,58.0,96.0
11.713542,41.0,68.0,14.5,41.0,96.0
11.713542,57.0,67.0,14.5,57.0,115.0
11.741667,29.0,30.0,14.5,29.0,96.0
11.776042,48.0,71.0,14.625,48.0,96.0
11.865625,53.0,75.0,14.75,53.0,96.0
11.945833,55.0,76.0,14.875,55.0,96.0
12.036458,50.0,87.0,15.0,50.0,96.0
12.045833,57.0,71.0,15.0,57.0,115.0
12.122917,60.0,79.0,15.125,60.0,96.0
12.20625,65.0,72.0,15.25,65.0,96.0
12.286458,67.0,77.0,15.375,67.0,96.0
12.291667,48.0,87.0,15.375,48.0,96.0
12.370833,53.0,92.0,15.5,53.0,96.0
12.376042,69.0,65.0,15.5,69.0,115.0
12.457292,72.0,75.0,15.625,72.0,96.0
12.525,77.0,78.0,15.75,77.0,96.0
12.594792,79.0,77.0,15.875,79.0,96.0
12.686458,81.0,67.0,16.0,81.0,115.0
12.702083,65.0,95.0,16.0,65.0,96.0
12.757292,84.0,82.0,16.125,84.0,96.0
12.834375,89.0,86.0,16.25,89.0,96.0
12.939583,93.0,89.0,16.375,93.0,96.0
13.030208,91.0,88.0,16.5,91.0,115.0
13.033333,62.0,84.0,16.5,62.0,115.0
13.035417,65.0,91.0,16.5,65.0,115.0
