onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
6.325,58.0,50.0,0.0,58.0,49.0
6.332292,41.0,26.0,0.0,41.0,49.0
6.335417,46.0,33.0,0.0,46.0,49.0
6.3625,34.0,30.0,0.0,34.0,49.0
6.372917,53.0,34.0,0.0,53.0,49.0
8.38125,58.0,47.0,0.5,58.0,49.0
8.675,58.0,52.0,0.875,58.0,49.0
8.685417,46.0,29.0,1.0,46.0,49.0
8.703125,34.0,24.0,1.0,34.0,49.0
8.708333,53.0,38.0,1.0,53.0,49.0
8.709375,41.0,31.0,1.0,41.0,49.0
9.854167,54.0,43.0,1.5,54.0,49.0
9.869792,49.0,39.0,1.5,49.0,49.0
9.879167,42.0,39.0,1.5,42.0,49.0
9.908333,37.0,34.0,1.5,37.0,49.0
11.1,58.0,57.0,2.0,58.0,49.0
11.119792,53.0,49.0,2.0,53.0,49.0
11.13125,34.0,31.0,2.0,34.0,49.0
11.15,46.0,34.0,2.0,46.0,49.0
11.166667,41.0,32.0,2.0,41.0,49.0
12.229167,58.0,58.0,2.5,58.0,49.0
12.25,54.0,53.0,2.5,54.0,49.0
12.26875,49.0,41.0,2.5,49.0,49.0
12.269792,37.0,35.0,2.5,37.0,49.0
12.283333,42.0,41.0,2.5,42.0,49.0
13.154167,58.0,48.0,2.875,58.0,49.0
13.4625,58.0,48.0,3.0,58.0,49.0
13.472917,53.0,40.0,3.0,53.0,49.0
13.502083,46.0,25.0,3.0,46.0,49.0
13.516667,34.0,20.0,3.0,34.0,49.0
13.516667,41.0,35.0,3.0,41.0,49.0
14.620833,54.0,41.0,3.5,54.0,49.0
14.6375,42.0,38.0,3.5,42.0,49.0
14.640625,49.0,28.0,3.5,49.0,49.0
14.664583,37.0,34.0,3.5,37.0,49.0
15.90625,58.0,47.0,4.0,58.0,49.0
15.931249999999999,53.0,43.0,4.0,53.0,49.0
15.9375,46.0,35.0,4.0,46.0,49.0
15.955207999999999,34.0,25.0,4.0,34.0,49.0
15.955207999999999,41.0,32.0,4.0,41.0,49.0
17.135417,37.0,29.0,4.5,37.0,49.0
17.926042,58.0,56.0,4.875,58.0,49.0
18.210417,58.0,51.0,5.0,58.0,49.0
18.223958,53.0,44.0,5.0,53.0,49.0
18.227083,34.0,30.0,5.0,34.0,49.0
18.234375,46.0,33.0,5.0,46.0,49.0
18.235417,41.0,39.0,5.0,41.0,49.0
19.254167,61.0,70.0,5.5,61.0,49.0
19.279167,54.0,54.0,5.5,54.0,49.0
19.286458,49.0,43.0,5.5,49.0,49.0
19.302083,42.0,41.0,5.5,42.0,49.0
19.314583,37.0,35.0,5.5,37.0,49.0
20.03125,60.0,69.0,5.875,60.0,49.0
20.303125,61.0,59.0,6.0,61.0,49.0
20.359375,53.0,34.0,6.0,53.0,49.0
20.369792,46.0,37.0,6.0,46.0,49.0
20.389583,34.0,27.0,6.0,34.0,49.0
20.395833,41.0,35.0,6.0,41.0,49.0
21.1125,58.0,57.0,6.375,58.0,49.0
21.428125,54.0,48.0,6.5,54.0,49.0
21.429167,58.0,50.0,6.5,58.0,49.0
21.447917,49.0,32.0,6.5,49.0,49.0
21.469792,42.0,33.0,6.5,42.0,49.0
21.483333,37.0,37.0,6.5,37.0,49.0
22.29375,58.0,50.0,6.875,58.0,49.0
22.639583,58.0,53.0,7.0,58.0,49.0
22.64375,53.0,38.0,7.0,53.0,49.0
22.651042,41.0,31.0,7.0,41.0,49.0
22.652083,46.0,29.0,7.0,46.0,49.0
22.658333,34.0,17.0,7.0,34.0,49.0
23.80625,54.0,44.0,7.5,54.0,49.0
23.827083,42.0,31.0,7.5,42.0,49.0
23.83125,49.0,29.0,7.5,49.0,49.0
23.841667,37.0,34.0,7.5,37.0,49.0
24.9875,61.0,54.0,8.0,61.0,49.0
24.99375,58.0,46.0,8.0,58.0,49.0
25.015625,53.0,48.0,8.0,53.0,49.0
25.045833,34.0,30.0,8.0,34.0,49.0
25.051042,46.0,41.0,8.0,46.0,49.0
25.052083,41.0,38.0,8.0,41.0,49.0
26.145833,37.0,41.0,8.5,37.0,49.0
27.157292,61.0,76.0,8.5,61.0,49.0
27.161458,53.0,57.0,8.5,54.0,49.0
27.1625,58.0,50.0,8.5,58.0,49.0
27.185417,46.0,44.0,8.5,49.0,49.0
27.202083,41.0,46.0,8.5,42.0,49.0
28.225,61.0,63.0,9.0,61.0,49.0
28.238542,54.0,58.0,9.0,53.0,49.0
28.240625,49.0,47.0,9.0,46.0,49.0
28.254167,42.0,41.0,9.0,41.0,49.0
28.279167,37.0,40.0,9.0,34.0,49.0
29.010417,63.0,74.0,9.875,63.0,49.0
29.015625,60.0,60.0,9.875,60.0,49.0
29.245833,65.0,63.0,10.0,65.0,49.0
29.30625,53.0,51.0,10.0,53.0,49.0
29.314583,46.0,37.0,10.0,46.0,49.0
29.31875,41.0,41.0,10.0,41.0,49.0
29.320833,34.0,30.0,10.0,34.0,49.0
30.045833,61.0,67.0,10.375,61.0,49.0
30.0625,58.0,60.0,10.375,58.0,49.0
30.370833,61.0,64.0,10.5,61.0,49.0
30.372917,54.0,48.0,10.5,54.0,49.0
30.375,49.0,36.0,10.5,49.0,49.0
30.380208,58.0,55.0,10.5,58.0,49.0
30.390625,42.0,41.0,10.5,42.0,49.0
30.4125,37.0,26.0,10.5,37.0,49.0
31.25625,61.0,58.0,10.875,61.0,49.0
31.260417,58.0,46.0,10.875,58.0,49.0
31.581249999999997,61.0,50.0,11.0,61.0,49.0
31.582292000000002,53.0,48.0,11.0,53.0,49.0
31.5875,58.0,47.0,11.0,58.0,49.0
31.588541999999997,46.0,36.0,11.0,46.0,49.0
31.59375,41.0,37.0,11.0,41.0,49.0
31.6,34.0,31.0,11.0,34.0,49.0
32.723958,54.0,44.0,11.5,54.0,49.0
32.730208,49.0,43.0,11.5,49.0,49.0
32.752083,42.0,30.0,11.5,42.0,49.0
32.758333,37.0,34.0,11.5,37.0,49.0
33.93125,70.0,75.0,12.0,70.0,49.0
33.954167,61.0,54.0,12.0,61.0,49.0
33.963542,58.0,52.0,12.0,58.0,49.0
33.98125,41.0,34.0,12.0,41.0,49.0
33.990625,46.0,37.0,12.0,46.0,49.0
34.008333,34.0,34.0,12.0,34.0,49.0
34.4875,68.0,77.0,12.375,68.0,49.0
34.978125,68.0,55.0,12.5,68.0,49.0
35.040625,58.0,41.0,12.5,58.0,49.0
35.040625,61.0,46.0,12.5,61.0,49.0
35.071875,49.0,31.0,12.5,49.0,49.0
35.098958,42.0,34.0,12.5,42.0,49.0
35.113542,37.0,34.0,12.529167,66.0,49.0
35.816667,65.0,64.0,12.875,65.0,49.0
36.139583,65.0,49.0,13.0,65.0,49.0
36.152083,58.0,44.0,13.0,58.0,49.0
36.170833,41.0,31.0,13.0,41.0,49.0
36.175,61.0,50.0,13.0,61.0,49.0
36.178125,34.0,18.0,13.0,34.0,49.0
36.18125,46.0,34.0,13.0,46.0,49.0
37.297917,61.0,50.0,13.5,61.0,49.0
37.327083,58.0,45.0,13.5,58.0,49.0
37.338542,49.0,35.0,13.5,49.0,49.0
37.339583,42.0,33.0,13.5,42.0,49.0
37.364583,37.0,35.0,13.5,37.0,49.0
38.43125,70.0,81.0,14.0,70.0,49.0
38.445833,61.0,50.0,14.0,61.0,49.0
38.4625,58.0,41.0,14.0,58.0,49.0
38.473958,34.0,32.0,14.0,34.0,49.0
38.490625,41.0,37.0,14.0,41.0,49.0
38.504167,46.0,38.0,14.0,46.0,49.0
38.995833,68.0,77.0,14.375,68.0,49.0
39.497917,68.0,52.0,14.5,68.0,49.0
39.564583,58.0,30.0,14.5,58.0,49.0
39.582292,61.0,50.0,14.5,61.0,49.0
39.627083,49.0,32.0,14.5,49.0,49.0
39.652083,42.0,40.0,14.5,42.0,49.0
39.658333,37.0,35.0,14.529167,66.0,49.0
40.416667,65.0,65.0,14.875,65.0,49.0
40.728125,65.0,58.0,15.0,65.0,49.0
40.73125,58.0,43.0,15.0,58.0,49.0
40.74375,61.0,47.0,15.0,61.0,49.0
40.747917,34.0,28.0,15.0,34.0,49.0
40.7625,46.0,38.0,15.0,46.0,49.0
40.779167,41.0,30.0,15.0,41.0,49.0
41.85,61.0,55.0,15.5,61.0,49.0
41.860417,58.0,43.0,15.5,58.0,49.0
41.880208,42.0,35.0,15.5,42.0,49.0
41.889583,49.0,35.0,15.5,49.0,49.0
41.914583,37.0,35.0,15.5,37.0,49.0
43.01875,58.0,56.0,16.0,58.0,49.0
43.058333,53.0,46.0,16.0,53.0,49.0
43.071875,41.0,37.0,16.0,41.0,49.0
43.075,34.0,27.0,16.0,34.0,49.0
43.079167,46.0,37.0,16.0,46.0,49.0
44.0875,58.0,61.0,16.5,58.0,49.0
44.1,54.0,51.0,16.5,54.0,49.0
44.127083,49.0,43.0,16.5,49.0,49.0
44.129167,42.0,41.0,16.5,42.0,49.0
44.15,37.0,38.0,16.5,37.0,49.0
44.926042,58.0,57.0,16.875,58.0,49.0
45.220833,41.0,39.0,17.0,41.0,49.0
45.220833,58.0,61.0,17.0,58.0,49.0
45.23125,34.0,43.0,17.0,34.0,49.0
45.23125,53.0,53.0,17.0,53.0,49.0
45.2375,46.0,46.0,17.0,46.0,49.0
46.182292,61.0,75.0,17.5,61.0,49.0
46.202083,54.0,57.0,17.5,54.0,49.0
46.223958,42.0,44.0,17.5,42.0,49.0
46.228125,49.0,50.0,17.5,49.0,49.0
46.252083,37.0,42.0,17.5,37.0,49.0
46.953125,60.0,74.0,17.875,60.0,49.0
47.207292,61.0,69.0,18.0,61.0,49.0
47.266667,46.0,50.0,18.0,46.0,49.0
47.270833,41.0,42.0,18.0,41.0,49.0
47.270833,53.0,44.0,18.0,53.0,49.0
47.277083,34.0,43.0,18.0,34.0,49.0
48.020833,58.0,70.0,18.375,58.0,49.0
48.320833,58.0,66.0,18.5,58.0,49.0
48.321875,54.0,58.0,18.5,54.0,49.0
48.332292,42.0,47.0,18.5,42.0,49.0
48.335417,49.0,51.0,18.5,49.0,49.0
48.35625,37.0,38.0,18.5,37.0,49.0
49.15625,58.0,65.0,18.875,58.0,49.0
49.466667,58.0,62.0,19.0,58.0,49.0
49.478125,53.0,49.0,19.0,53.0,49.0
49.50625,46.0,47.0,19.0,46.0,49.0
49.514583,34.0,39.0,19.0,34.0,49.0
49.51875,41.0,31.0,19.0,41.0,49.0
50.620833,54.0,70.0,19.5,54.0,49.0
