onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.182292,55.0,39.0,0.0,55.0,49.0
2.289583,56.0,47.0,0.25,56.0,49.0
2.372917,57.0,60.0,0.5,57.0,49.0
2.435417,60.0,57.0,0.75,60.0,49.0
2.490625,58.0,68.0,1.0,58.0,49.0
2.563542,67.0,64.0,1.25,67.0,49.0
2.714583,65.0,61.0,1.75,65.0,49.0
2.78125,55.0,46.0,2.0,55.0,49.0
2.885417,55.0,55.0,2.25,55.0,49.0
2.93125,58.0,58.0,2.5,58.0,49.0
2.957292,39.0,53.0,2.5,39.0,49.0
3.079167,67.0,61.0,3.0,67.0,49.0
3.1375,68.0,66.0,3.25,68.0,49.0
3.2125,69.0,72.0,3.5,69.0,49.0
3.269792,72.0,69.0,3.75,72.0,49.0
3.33125,70.0,76.0,4.0,70.0,49.0
3.404167,79.0,79.0,4.25,79.0,49.0
3.447917,68.0,49.0,4.5,68.0,49.0
3.46875,58.0,48.0,4.5,58.0,49.0
3.491667,74.0,70.0,4.5,74.0,49.0
3.5687499999999996,77.0,59.0,4.75,77.0,49.0
3.607292,67.0,55.0,5.0,67.0,49.0
3.654167,75.0,61.0,5.0,75.0,49.0
3.7416669999999996,67.0,55.0,5.25,67.0,49.0
3.7874999999999996,70.0,64.0,5.5,70.0,49.0
3.8031249999999996,51.0,41.0,5.5,51.0,49.0
3.925,79.0,77.0,6.0,79.0,49.0
3.984375,80.0,72.0,6.25,80.0,49.0
4.054167,81.0,82.0,6.5,81.0,49.0
4.16875,82.0,83.0,6.75,84.0,49.0
4.23125,91.0,78.0,7.25,91.0,49.0
4.289583,79.0,53.0,7.5,79.0,49.0
4.295833,86.0,87.0,7.5,86.0,49.0
4.320833,70.0,33.0,7.5,70.0,49.0
4.366667,89.0,87.0,7.75,89.0,49.0
4.441667,87.0,81.0,8.0,87.0,49.0
4.463542,67.0,43.0,8.0,67.0,49.0
4.472917,75.0,41.0,8.0,75.0,49.0
4.515625,82.0,71.0,8.25,82.0,49.0
4.579167,79.0,80.0,8.5,79.0,49.0
4.69375,75.0,62.0,8.75,75.0,49.0
4.79375,70.0,64.0,9.0,70.0,49.0
4.86875,67.0,54.0,9.25,67.0,49.0
4.977083,48.0,45.0,9.5,48.0,49.0
4.985417,63.0,50.0,9.5,63.0,49.0
5.097917,55.0,55.0,9.75,55.0,49.0
5.164583,60.0,51.0,10.0,60.0,49.0
5.229167,63.0,61.0,10.25,63.0,49.0
5.325,67.0,56.0,10.5,67.0,49.0
5.397917,65.0,54.0,10.75,65.0,49.0
5.48125,63.0,49.0,11.0,63.0,49.0
5.485417,41.0,26.0,11.0,41.0,49.0
5.570833,56.0,56.0,11.25,56.0,49.0
5.70625,62.0,51.0,11.5,62.0,49.0
5.765625,60.0,56.0,11.75,60.0,49.0
5.827083,43.0,47.0,12.0,43.0,49.0
5.838542,59.0,55.0,12.0,59.0,49.0
5.904167,55.0,56.0,12.25,55.0,49.0
5.964583,56.0,64.0,12.5,56.0,49.0
6.033333,57.0,72.0,12.75,57.0,49.0
6.092708,58.0,71.0,13.0,58.0,49.0
6.15,67.0,69.0,13.25,67.0,49.0
6.213542,56.0,25.0,13.5,56.0,49.0
6.225,46.0,49.0,13.5,46.0,49.0
6.235417,62.0,64.0,13.5,62.0,49.0
6.304167,65.0,66.0,13.75,65.0,49.0
6.348958,55.0,60.0,14.0,55.0,49.0
6.373958,63.0,65.0,14.0,63.0,49.0
6.467708,55.0,54.0,14.25,55.0,49.0
6.491667,58.0,64.0,14.5,58.0,49.0
6.522917,39.0,52.0,14.5,39.0,49.0
6.644792,67.0,53.0,15.0,67.0,49.0
6.783333,69.0,68.0,15.25,68.0,49.0
6.828125,72.0,70.0,15.5,69.0,49.0
6.894792,70.0,77.0,15.75,72.0,49.0
6.960417,79.0,74.0,16.25,79.0,49.0
7.015625,68.0,50.0,16.5,68.0,49.0
7.033333,58.0,49.0,16.5,58.0,49.0
7.041667,74.0,67.0,16.5,74.0,49.0
7.104167,77.0,66.0,16.75,77.0,49.0
7.172917,67.0,54.0,17.0,67.0,49.0
7.183333,75.0,62.0,17.0,75.0,49.0
7.260417,67.0,58.0,17.25,67.0,49.0
7.308333,70.0,65.0,17.5,70.0,49.0
7.344792,51.0,40.0,17.5,51.0,49.0
7.445833,79.0,77.0,18.0,79.0,49.0
7.508333,80.0,76.0,18.25,80.0,49.0
7.585417,81.0,80.0,18.5,81.0,49.0
7.651042,84.0,78.0,18.75,84.0,49.0
7.714582999999999,82.0,79.0,19.0,82.0,49.0
7.788542,82.0,78.0,19.25,82.0,49.0
