onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.81875,66.0,38.0,0.0,66.0,96.0
2.84375,30.0,7.0,0.0,30.0,96.0
2.845833,42.0,20.0,0.0,42.0,96.0
2.854167,54.0,12.0,0.0,54.0,96.0
3.427083,78.0,71.0,0.5,78.0,100.0
3.441667,66.0,49.0,0.5,66.0,100.0
3.452083,54.0,44.0,0.5,54.0,100.0
3.464583,42.0,37.0,0.5,42.0,100.0
3.858333,54.0,61.0,1.0,54.0,102.0
4.208333,66.0,75.0,1.5,66.0,104.0
4.214583,42.0,75.0,1.5,42.0,104.0
4.220833,30.0,77.0,1.5,30.0,104.0
4.222917,54.0,62.0,1.5,54.0,104.0
4.591667,54.0,83.0,2.0,54.0,105.0
4.591667,66.0,80.0,2.0,66.0,105.0
4.59375,31.0,76.0,2.0,31.0,105.0
4.59375,43.0,81.0,2.0,43.0,105.0
4.595833,59.0,79.0,2.0,59.0,105.0
4.958333,66.0,74.0,2.5,66.0,107.0
4.958333,78.0,79.0,2.5,78.0,107.0
4.9625,55.0,83.0,2.5,55.0,107.0
4.964583,71.0,72.0,2.5,71.0,107.0
4.966667,43.0,67.0,2.5,43.0,107.0
5.283333,90.0,85.0,3.0,90.0,109.0
5.291667,78.0,80.0,3.0,78.0,109.0
5.29375,83.0,78.0,3.0,83.0,109.0
5.295833,67.0,78.0,3.0,67.0,109.0
5.302083,55.0,76.0,3.0,55.0,109.0
5.93125,44.0,91.0,4.0,44.0,113.0
5.93125,66.0,94.0,4.0,66.0,113.0
5.933333,54.0,92.0,4.0,54.0,113.0
5.9375,32.0,90.0,4.0,32.0,113.0
5.9375,60.0,85.0,4.0,60.0,113.0
6.28125,78.0,96.0,4.5,78.0,115.0
6.2875,66.0,86.0,4.5,66.0,115.0
6.291667,72.0,85.0,4.5,72.0,115.0
6.295833,56.0,91.0,4.5,56.0,115.0
6.297917,44.0,74.0,4.5,44.0,115.0
6.6125,90.0,105.0,5.0,90.0,117.0
6.616667,78.0,102.0,5.0,78.0,117.0
6.61875,85.0,95.0,5.0,85.0,117.0
6.622917,69.0,93.0,5.0,69.0,117.0
6.633333,57.0,75.0,5.0,57.0,117.0
6.635417,61.0,77.0,5.0,61.0,117.0
6.658333,66.0,45.0,5.0,66.0,117.0
6.972917,45.0,95.0,5.5,45.0,119.0
6.979167,54.0,89.0,5.5,54.0,119.0
6.979167,61.0,86.0,5.5,61.0,119.0
6.98125,66.0,82.0,5.5,66.0,119.0
6.983333,33.0,79.0,5.5,33.0,119.0
7.402083,54.0,92.0,6.0,54.0,120.0
7.402083,66.0,89.0,6.0,66.0,120.0
7.404167,34.0,93.0,6.0,34.0,120.0
7.40625,46.0,99.0,6.0,46.0,120.0
7.410417,61.0,86.0,6.0,61.0,120.0
7.410417,64.0,86.0,6.0,64.0,120.0
7.829167,66.0,93.0,6.5,66.0,122.0
7.831250000000001,76.0,88.0,6.5,76.0,122.0
7.831250000000001,78.0,91.0,6.5,78.0,122.0
7.835417,73.0,90.0,6.5,73.0,122.0
7.836458,54.0,95.0,6.5,54.0,122.0
7.839582999999999,64.0,97.0,6.5,64.0,122.0
8.439583,74.0,92.0,7.0,74.0,124.0
8.441667,98.0,103.0,7.0,98.0,124.0
8.445833,86.0,102.0,7.0,86.0,124.0
8.452083,90.0,97.0,7.0,90.0,124.0
8.454167,64.0,68.0,7.0,64.0,124.0
8.460417,66.0,73.0,7.0,66.0,124.0
9.239583,97.0,106.0,7.5,97.0,96.0
9.24375,85.0,99.0,7.5,85.0,96.0
9.25,90.0,92.0,7.5,90.0,96.0
9.252083,73.0,90.0,7.5,73.0,96.0
9.254167,64.0,79.0,7.5,64.0,96.0
9.266667,66.0,79.0,7.5,66.0,96.0
11.408333,59.0,50.0,8.0,59.0,49.0
11.439583,35.0,29.0,8.0,35.0,49.0
11.591667,50.0,38.0,8.166667,50.0,49.0
11.616667,47.0,27.0,8.166667,47.0,49.0
11.71875,54.0,50.0,8.333333,54.0,49.0
11.754167,42.0,35.0,8.333333,42.0,49.0
11.86875,55.0,51.0,8.5,55.0,49.0
11.89375,40.0,47.0,8.5,40.0,49.0
12.041667,52.0,42.0,8.666667,52.0,49.0
12.045833,47.0,43.0,8.666667,47.0,49.0
12.170833,58.0,65.0,8.833333,58.0,49.0
12.177083,43.0,45.0,8.833333,43.0,49.0
12.34375,59.0,63.0,9.0,59.0,49.0
12.345833,35.0,49.0,9.0,35.0,49.0
12.475,47.0,45.0,9.166667,47.0,49.0
12.489583,50.0,48.0,9.166667,50.0,49.0
12.614583,42.0,47.0,9.333333,42.0,49.0
12.61875,54.0,63.0,9.333333,54.0,49.0
12.741667,40.0,59.0,9.5,40.0,49.0
12.754167,55.0,64.0,9.5,55.0,49.0
12.895833,47.0,58.0,9.666667,47.0,49.0
12.910417,52.0,49.0,9.666667,52.0,49.0
13.041667,58.0,69.0,9.833333,58.0,49.0
13.052083,43.0,55.0,9.833333,43.0,49.0
13.19375,59.0,70.0,10.0,59.0,49.0
13.208333,35.0,55.0,10.0,35.0,49.0
13.33125,54.0,48.0,10.166667,54.0,49.0
13.345833,47.0,48.0,10.166667,47.0,49.0
13.454167,59.0,62.0,10.333333,59.0,49.0
13.475,42.0,55.0,10.333333,42.0,49.0
13.535417,61.0,70.0,10.5,61.0,49.0
13.6,40.0,58.0,10.5,40.0,49.0
13.708333,58.0,67.0,10.666667,58.0,49.0
13.752083,52.0,41.0,10.666667,52.0,49.0
13.75625,47.0,53.0,10.666667,47.0,49.0
13.852083,59.0,81.0,10.833333,59.0,49.0
13.864583,43.0,57.0,10.833333,43.0,49.0
14.066667,62.0,72.0,11.0,62.0,49.0
14.070833,38.0,54.0,11.0,38.0,49.0
14.222917,54.0,48.0,11.166667,54.0,49.0
14.23125,50.0,43.0,11.166667,50.0,49.0
14.34375,57.0,54.0,11.333333,57.0,49.0
14.354167,45.0,49.0,11.333333,45.0,49.0
14.483333,43.0,51.0,11.5,43.0,49.0
14.622917,50.0,47.0,11.666667,50.0,49.0
14.63125,55.0,42.0,11.666667,55.0,49.0
14.75,46.0,53.0,11.833333,46.0,49.0
14.754167,58.0,45.0,11.833333,58.0,49.0
14.8625,38.0,51.0,12.0,38.0,49.0
15.008333,54.0,51.0,12.166667,54.0,49.0
15.01875,50.0,48.0,12.166667,50.0,49.0
15.15,57.0,71.0,12.333333,57.0,49.0
15.152083,45.0,55.0,12.333333,45.0,49.0
15.283333,43.0,59.0,12.5,43.0,49.0
15.289583,58.0,70.0,12.5,58.0,49.0
15.425,50.0,55.0,12.666667,50.0,49.0
15.45,55.0,34.0,12.666667,55.0,49.0
15.45625,52.0,42.0,12.666667,52.0,49.0
15.554167,46.0,59.0,12.833333,46.0,49.0
15.566666999999999,61.0,76.0,12.833333,61.0,49.0
15.710417,38.0,55.0,13.0,38.0,49.0
15.717707999999998,62.0,73.0,13.0,62.0,49.0
15.858332999999998,50.0,57.0,13.166667,50.0,49.0
15.866667,54.0,58.0,13.166667,54.0,49.0
15.994792,45.0,63.0,13.333333,45.0,49.0
15.995833000000001,57.0,67.0,13.333333,57.0,49.0
16.129167,43.0,66.0,13.5,43.0,49.0
16.141667,58.0,78.0,13.5,58.0,49.0
16.282292,50.0,63.0,13.666667,50.0,49.0
16.297917,55.0,40.0,13.666667,55.0,49.0
16.3,52.0,49.0,13.666667,52.0,49.0
16.395833,46.0,65.0,13.833333,46.0,49.0
16.420833,61.0,75.0,13.833333,61.0,49.0
16.545833,38.0,68.0,14.0,38.0,49.0
16.547917,62.0,76.0,14.0,62.0,49.0
16.685417,50.0,60.0,14.166667,50.0,49.0
16.6875,57.0,53.0,14.166667,57.0,49.0
16.704167,54.0,21.0,14.166667,54.0,49.0
16.795833,62.0,63.0,14.333333,62.0,49.0
16.8125,45.0,61.0,14.333333,45.0,49.0
16.90625,64.0,76.0,14.5,64.0,49.0
16.954167,43.0,66.0,14.5,43.0,49.0
17.064583,61.0,79.0,14.666667,61.0,60.0
17.075,59.0,55.0,14.666667,59.0,60.0
17.085417,55.0,55.0,14.666667,55.0,60.0
17.104167,50.0,57.0,14.666667,50.0,60.0
17.195833,62.0,86.0,14.833333,62.0,72.0
17.208333,47.0,60.0,14.833333,47.0,72.0
17.4125,66.0,84.0,15.0,66.0,84.0
17.44375,42.0,55.0,15.0,42.0,84.0
17.639583,54.0,44.0,15.166667,54.0,96.0
17.645833,58.0,33.0,15.166667,58.0,96.0
17.735417,61.0,46.0,15.333333,61.0,96.0
17.741667,49.0,56.0,15.333333,49.0,96.0
17.885417,47.0,64.0,15.5,47.0,96.0
18.00625,54.0,57.0,15.666667,54.0,96.0
18.010417,59.0,50.0,15.666667,59.0,96.0
18.141667,50.0,56.0,15.833333,47.0,96.0
18.166667,62.0,35.0,15.833333,62.0,96.0
18.264583,42.0,61.0,16.0,42.0,96.0
18.377083,58.0,62.0,16.166667,58.0,96.0
18.4,54.0,61.0,16.166667,54.0,96.0
18.514583,61.0,80.0,16.332292,61.0,96.0
18.51875,49.0,68.0,16.332292,49.0,96.0
18.641667,62.0,81.0,16.5,62.0,96.0
18.64375,47.0,66.0,16.5,47.0,96.0
18.775,54.0,66.0,16.666667,54.0,96.0
