onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.954167,65.0,66.0,0.0,65.0,80.0
2.082292,70.0,65.0,0.5,70.0,80.0
3.05,68.0,57.0,1.0,68.0,80.0
4.0875,66.0,48.0,1.5,66.0,57.0
5.410417,65.0,45.0,2.0,65.0,33.0
7.719792,61.0,36.0,2.75,61.0,33.0
7.970833000000001,63.0,34.0,2.875,63.0,33.0
8.341667,65.0,38.0,3.0,65.0,33.0
10.770833,46.0,43.0,4.0,46.0,33.0
10.885417,53.0,35.0,4.04375,53.0,33.0
10.928125,58.0,41.0,4.0875,58.0,33.0
11.0375,61.0,49.0,4.13125,61.0,33.0
11.478125,73.0,55.0,4.25,73.0,33.0
11.70625,72.0,54.0,4.5,72.0,33.0
12.0,70.0,59.0,4.625,70.0,33.0
12.198958,82.0,56.0,4.75,82.0,33.0
12.55,54.0,42.0,5.0,54.0,33.0
12.645833,61.0,49.0,5.04375,61.0,33.0
12.65,66.0,57.0,5.0875,66.0,33.0
12.734375,70.0,63.0,5.13125,70.0,33.0
13.102083,85.0,56.0,5.25,85.0,33.0
13.332292,84.0,48.0,5.375,84.0,33.0
13.371875,85.0,63.0,5.4375,85.0,33.0
13.453125,84.0,75.0,5.5,84.0,33.0
13.636458,82.0,68.0,5.625,82.0,33.0
13.832292,78.0,62.0,5.75,78.0,33.0
14.15625,61.0,45.0,6.0,61.0,33.0
14.25,68.0,44.0,6.04375,68.0,33.0
14.316667,73.0,33.0,6.0875,73.0,33.0
14.364583,77.0,59.0,6.13125,77.0,33.0
14.746875,89.0,60.0,6.25,89.0,33.0
14.979167,87.0,58.0,6.375,87.0,33.0
15.054167,89.0,59.0,6.4375,89.0,33.0
15.130208,87.0,67.0,6.5,87.0,33.0
15.3375,85.0,61.0,6.625,85.0,33.0
15.561457999999998,94.0,60.0,6.75,94.0,33.0
15.803125000000001,92.0,68.0,6.875,92.0,33.0
16.290625,101.0,60.0,7.0,101.0,33.0
19.567708,68.0,69.0,8.0,68.0,80.0
21.0125,70.0,50.0,8.5,70.0,80.0
21.133333,68.0,66.0,8.5625,68.0,80.0
