onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.048958,55.0,59.0,0.0,55.0,80.0
2.157292,58.0,61.0,0.125,58.0,80.0
2.254167,56.0,72.0,0.25,56.0,80.0
2.360417,60.0,58.0,0.375,60.0,80.0
2.473958,58.0,55.0,0.5,58.0,80.0
2.484375,43.0,54.0,0.5,43.0,80.0
2.495833,39.0,53.0,0.5,39.0,80.0
2.990625,55.0,51.0,1.0,55.0,80.0
2.991667,51.0,47.0,1.0,51.0,80.0
3.425,67.0,53.0,1.5,67.0,80.0
3.558333,63.0,59.0,1.625,63.0,80.0
3.6489580000000004,62.0,71.0,1.75,62.0,80.0
3.745833,65.0,66.0,1.875,65.0,80.0
3.8645829999999997,63.0,58.0,2.0,63.0,80.0
3.871875,43.0,46.0,2.0,43.0,80.0
3.8822919999999996,39.0,43.0,2.0,39.0,80.0
4.367708,51.0,37.0,2.5,51.0,80.0
4.373958,55.0,34.0,2.5,55.0,80.0
4.6,63.0,41.0,2.75,63.0,80.0
4.808333,67.0,59.0,3.0,67.0,80.0
5.022917,70.0,63.0,3.25,70.0,80.0
5.294792,70.0,57.0,3.5,70.0,80.0
5.315625,63.0,34.0,3.5,63.0,80.0
5.319792,60.0,31.0,3.5,60.0,80.0
5.7625,68.0,53.0,4.0,68.0,80.0
5.978125,67.0,58.0,4.25,67.0,80.0
5.985417,62.0,43.0,4.25,62.0,80.0
5.9875,58.0,46.0,4.25,58.0,80.0
6.190625,65.0,57.0,4.5,65.0,80.0
6.207292,60.0,41.0,4.5,60.0,80.0
6.208333,56.0,42.0,4.5,56.0,80.0
6.4125,63.0,50.0,4.75,63.0,80.0
6.416667,58.0,45.0,4.75,58.0,80.0
6.423958,55.0,47.0,4.75,55.0,80.0
6.679167,62.0,54.0,5.0,62.0,80.0
6.69375,56.0,39.0,5.0,56.0,80.0
6.7,53.0,39.0,5.0,53.0,80.0
7.021875,65.0,47.0,5.375,65.0,80.0
7.13125,68.0,41.0,5.5,68.0,80.0
7.590624999999999,58.0,35.0,6.0,58.0,80.0
7.667707999999999,62.0,49.0,6.125,62.0,80.0
7.783333000000001,60.0,52.0,6.25,60.0,80.0
7.873958,63.0,55.0,6.375,63.0,80.0
7.987500000000001,62.0,47.0,6.5,62.0,80.0
7.996874999999999,38.0,41.0,6.5,38.0,80.0
8.003125,34.0,38.0,6.5,34.0,80.0
8.517708,50.0,39.0,7.0,50.0,80.0
8.519792,46.0,37.0,7.0,46.0,80.0
9.01875,62.0,48.0,7.5,62.0,80.0
9.120833,65.0,60.0,7.625,65.0,80.0
9.205208,63.0,68.0,7.75,63.0,80.0
9.310417,67.0,65.0,7.875,67.0,80.0
9.419792,38.0,60.0,8.0,38.0,80.0
9.422917,34.0,59.0,8.0,34.0,80.0
9.463542,65.0,56.0,8.0,65.0,80.0
9.927083,50.0,62.0,8.5,50.0,80.0
9.94375,46.0,50.0,8.5,46.0,80.0
10.153125,65.0,54.0,8.75,65.0,80.0
10.365625,68.0,68.0,9.0,68.0,80.0
10.598958,72.0,70.0,9.25,72.0,80.0
10.891667,72.0,63.0,9.5,72.0,80.0
10.903125,62.0,36.0,9.5,62.0,80.0
10.905208,65.0,41.0,9.5,65.0,80.0
11.370833,70.0,46.0,10.0,70.0,80.0
11.582292,60.0,38.0,10.25,60.0,80.0
11.582292,63.0,38.0,10.25,63.0,80.0
11.607292,68.0,58.0,10.25,68.0,80.0
11.797917,67.0,73.0,10.5,67.0,80.0
11.821875,62.0,55.0,10.5,62.0,80.0
11.829167,58.0,44.0,10.5,58.0,80.0
12.01875,65.0,64.0,10.75,65.0,80.0
12.028125,56.0,52.0,10.75,56.0,80.0
12.03125,60.0,48.0,10.75,60.0,80.0
12.233333,63.0,46.0,11.0,63.0,80.0
12.244792,58.0,42.0,11.0,58.0,80.0
12.26875,55.0,38.0,11.0,55.0,80.0
12.360417,63.0,58.0,11.123958,63.0,80.0
12.423958,62.0,60.0,11.186458,62.0,80.0
12.495833,63.0,53.0,11.25,63.0,80.0
12.752083,67.0,50.0,11.375,67.0,80.0
12.853125,70.0,43.0,11.5,70.0,80.0
13.307292,75.0,52.0,12.0,75.0,80.0
13.409375,74.0,60.0,12.125,74.0,80.0
13.526042,77.0,68.0,12.25,77.0,80.0
13.622917,75.0,68.0,12.375,75.0,80.0
13.732292,79.0,61.0,12.5,79.0,80.0
13.733333,46.0,47.0,12.5,46.0,80.0
13.735417,43.0,41.0,12.5,43.0,80.0
13.740625,51.0,49.0,12.5,51.0,80.0
13.836458,77.0,64.0,12.625,77.0,80.0
13.932292,80.0,72.0,12.75,80.0,80.0
14.038542,79.0,70.0,12.875,79.0,80.0
14.144792,82.0,60.0,13.0,82.0,80.0
14.24375,80.0,62.0,13.125,80.0,80.0
14.351042,79.0,66.0,13.25,79.0,80.0
14.446875,77.0,65.0,13.375,77.0,80.0
14.544792,75.0,68.0,13.5,75.0,80.0
14.64375,74.0,71.0,13.625,74.0,80.0
14.748958,72.0,66.0,13.75,72.0,80.0
14.846875,71.0,64.0,13.875,71.0,80.0
15.023958,71.0,51.0,14.0,71.0,80.0
15.05,44.0,34.0,14.0,44.0,80.0
15.059375,51.0,32.0,14.0,51.0,80.0
15.507292,72.0,54.0,14.5,72.0,80.0
15.695833,74.0,58.0,14.75,74.0,80.0
15.755208,72.0,61.0,14.790625,72.0,80.0
15.818750000000001,71.0,62.0,14.832292,71.0,80.0
15.888542000000001,72.0,68.0,14.875,72.0,80.0
15.970832999999999,74.0,65.0,15.0,74.0,80.0
16.179167,75.0,63.0,15.25,75.0,80.0
16.411458,75.0,59.0,15.5,75.0,80.0
16.658333,65.0,43.0,15.75,65.0,80.0
16.877083,72.0,58.0,16.0,72.0,80.0
17.095833,60.0,43.0,16.25,60.0,80.0
17.272917,46.0,33.0,16.5,46.0,80.0
17.33125,53.0,40.0,16.5,53.0,80.0
17.338542,68.0,47.0,16.5,68.0,80.0
17.534375,62.0,52.0,16.75,62.0,80.0
17.7625,63.0,47.0,17.0,63.0,80.0
18.004167,51.0,53.0,17.25,51.0,80.0
18.228125,46.0,52.0,17.5,46.0,80.0
18.45625,43.0,52.0,17.75,43.0,80.0
18.708333,39.0,35.0,18.0,39.0,80.0
18.95,58.0,37.0,18.25,58.0,80.0
19.222917,63.0,44.0,18.5,63.0,80.0
19.453125,51.0,35.0,18.75,51.0,80.0
19.716667,55.0,32.0,19.0,55.0,80.0
19.952083,51.0,45.0,19.25,51.0,80.0
20.175,56.0,44.0,19.5,56.0,80.0
20.403125,62.0,54.0,19.75,62.0,80.0
20.40625,46.0,44.0,19.75,46.0,80.0
20.665625,68.0,55.0,20.0,68.0,80.0
20.892708,46.0,31.0,20.25,46.0,80.0
21.120833,50.0,36.0,20.5,50.0,80.0
21.329167,46.0,41.0,20.75,46.0,80.0
21.573958,51.0,47.0,21.0,51.0,80.0
21.778125,67.0,59.0,21.25,67.0,80.0
21.815625,39.0,38.0,21.25,39.0,80.0
22.038542,75.0,64.0,21.5,75.0,80.0
22.08125,67.0,37.0,21.5,67.0,80.0
22.276042,51.0,39.0,21.75,51.0,80.0
22.510417,55.0,47.0,22.0,55.0,80.0
22.715625,51.0,60.0,22.25,51.0,80.0
22.944792,56.0,44.0,22.5,56.0,80.0
22.944792,65.0,55.0,22.5,65.0,80.0
23.138542,74.0,63.0,22.75,74.0,80.0
23.15625,46.0,46.0,22.75,46.0,80.0
23.403125,80.0,69.0,23.0,80.0,80.0
23.460417,77.0,43.0,23.0,77.0,80.0
23.648958,58.0,43.0,23.25,58.0,80.0
23.8875,62.0,45.0,23.5,62.0,80.0
24.096875,58.0,57.0,23.75,58.0,80.0
24.314583,63.0,55.0,24.0,63.0,80.0
24.536458,79.0,66.0,24.25,79.0,80.0
24.575,51.0,42.0,24.25,51.0,80.0
24.795833,84.0,56.0,24.5,84.0,80.0
24.996875,63.0,44.0,24.75,63.0,80.0
25.23125,67.0,54.0,25.0,67.0,80.0
25.444792,63.0,63.0,25.25,63.0,80.0
