onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.7093750000000001,30.0,51.0,0.0,30.0,70.0
1.0,35.0,43.0,0.08333299999999999,35.0,70.0
1.255208,36.0,54.0,0.13854200000000005,36.0,70.0
1.421875,37.0,42.0,0.19374999999999998,37.0,70.0
1.525,38.0,46.0,0.25,38.0,70.0
1.6437499999999998,39.0,37.0,0.30520800000000003,39.0,70.0
1.713542,40.0,53.0,0.360417,40.0,70.0
1.8125,41.0,56.0,0.416667,41.0,70.0
1.9125,42.0,57.0,0.47187500000000004,42.0,70.0
1.9958330000000002,43.0,57.0,0.527083,43.0,70.0
2.2,41.0,60.0,0.6385419999999999,41.0,70.0
2.30625,40.0,54.0,0.6937500000000001,40.0,70.0
2.426042,39.0,53.0,0.75,39.0,70.0
2.541667,38.0,51.0,0.8052079999999999,38.0,70.0
2.623958,37.0,49.0,0.860417,37.0,70.0
2.715625,36.0,54.0,0.9166669999999999,36.0,70.0
2.804167,35.0,59.0,0.971875,35.0,70.0
2.907292,30.0,62.0,1.027083,30.0,70.0
3.022917,35.0,49.0,1.083333,35.0,70.0
3.160417,36.0,59.0,1.138542,36.0,70.0
3.292708,37.0,59.0,1.19375,37.0,70.0
3.4,38.0,56.0,1.25,38.0,70.0
3.489583,39.0,60.0,1.305208,39.0,70.0
3.5718750000000004,40.0,66.0,1.360417,40.0,70.0
3.658333,41.0,73.0,1.416667,41.0,70.0
3.764583,42.0,76.0,1.471875,42.0,70.0
3.8531250000000004,43.0,72.0,1.5270830000000002,43.0,70.0
4.06875,41.0,64.0,1.6385420000000002,41.0,70.0
4.192708,40.0,59.0,1.69375,40.0,70.0
4.3375,39.0,49.0,1.75,39.0,70.0
4.467708,38.0,50.0,1.805208,38.0,70.0
4.575,37.0,47.0,1.860417,37.0,70.0
4.671875,36.0,49.0,1.916667,36.0,70.0
4.785417,35.0,34.0,1.9718749999999998,35.0,70.0
4.917708,30.0,56.0,2.027083,30.0,70.0
5.092708,35.0,64.0,2.083333,35.0,70.0
