onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.5114580000000002,77.0,36.0,0.25,77.0,33.0
1.523958,80.0,40.0,0.25,80.0,33.0
1.764583,75.0,40.0,0.333333,75.0,33.0
1.869792,72.0,39.0,0.416667,72.0,33.0
1.984375,68.0,37.0,0.5,68.0,33.0
2.091667,75.0,47.0,0.5833330000000001,75.0,33.0
2.184375,72.0,29.0,0.6666669999999999,72.0,33.0
2.254167,80.0,55.0,0.75,80.0,33.0
2.257292,77.0,45.0,0.75,77.0,33.0
2.377083,75.0,42.0,0.8333330000000001,75.0,33.0
2.444792,72.0,38.0,0.9166669999999999,72.0,33.0
2.529167,68.0,43.0,1.0,68.0,33.0
2.642708,75.0,52.0,1.083333,75.0,33.0
2.722917,72.0,44.0,1.166667,72.0,33.0
2.803125,80.0,53.0,1.25,80.0,33.0
2.811458,77.0,51.0,1.25,77.0,33.0
2.927083,75.0,38.0,1.333333,75.0,33.0
2.979167,72.0,42.0,1.416667,72.0,33.0
3.08125,68.0,40.0,1.5,68.0,33.0
3.178125,75.0,47.0,1.583333,75.0,33.0
3.241667,72.0,52.0,1.666667,72.0,33.0
3.345833,77.0,53.0,1.75,77.0,33.0
3.352083,80.0,58.0,1.75,80.0,33.0
3.453125,75.0,34.0,1.833333,75.0,33.0
3.516667,72.0,51.0,1.916667,72.0,33.0
3.636458,68.0,43.0,2.0,68.0,33.0
3.7375,75.0,52.0,2.083333,75.0,33.0
3.8072920000000003,72.0,51.0,2.166667,72.0,33.0
4.058333,66.0,56.0,2.25,66.0,33.0
4.089583,77.0,31.0,2.25,77.0,33.0
4.136458,80.0,42.0,2.25,80.0,33.0
4.247917,75.0,46.0,2.333333,75.0,33.0
4.295833,72.0,44.0,2.416667,72.0,33.0
4.411458,68.0,55.0,2.5,68.0,33.0
4.513542,75.0,48.0,2.583333,75.0,33.0
4.592708,72.0,51.0,2.666667,72.0,33.0
4.644792,65.0,65.0,2.75,65.0,33.0
4.655208,80.0,54.0,2.75,80.0,33.0
4.657292,77.0,47.0,2.75,77.0,33.0
4.75,75.0,31.0,2.833333,75.0,33.0
4.792708,72.0,59.0,2.916667,72.0,33.0
4.901042,62.0,64.0,3.0,62.0,33.0
4.913542,68.0,53.0,3.0,68.0,33.0
5.028125,75.0,54.0,3.083333,75.0,33.0
5.09375,72.0,50.0,3.166667,72.0,33.0
5.160417,65.0,63.0,3.25,65.0,33.0
5.176042,80.0,48.0,3.25,80.0,33.0
5.18125,77.0,48.0,3.25,77.0,33.0
5.282292,75.0,38.0,3.333333,75.0,33.0
5.33125,72.0,53.0,3.416667,72.0,33.0
5.415625,63.0,72.0,3.5,63.0,33.0
5.425,68.0,52.0,3.5,68.0,33.0
5.517708,75.0,54.0,3.5833329999999997,75.0,33.0
5.572917,72.0,53.0,3.6666670000000003,72.0,33.0
5.65,61.0,72.0,3.75,61.0,33.0
5.664583,80.0,56.0,3.75,80.0,33.0
5.666667,77.0,53.0,3.75,77.0,33.0
5.7375,75.0,33.0,3.8333329999999997,75.0,33.0
5.796875,72.0,40.0,3.9166670000000003,72.0,33.0
5.877083,59.0,69.0,4.0,59.0,33.0
5.923958,68.0,58.0,4.0,68.0,33.0
6.027083,75.0,46.0,4.083333,75.0,33.0
6.089583,72.0,53.0,4.166667,72.0,33.0
6.132292,61.0,73.0,4.25,61.0,33.0
6.172917,80.0,56.0,4.25,80.0,33.0
6.182292,77.0,47.0,4.25,77.0,33.0
6.272917,75.0,33.0,4.333333,75.0,33.0
6.319792,72.0,43.0,4.416667,72.0,33.0
6.373958,60.0,71.0,4.5,60.0,33.0
6.390625,68.0,59.0,4.5,68.0,33.0
6.496875,75.0,56.0,4.583333,75.0,33.0
6.55,72.0,55.0,4.666667,72.0,33.0
6.601042,58.0,74.0,4.75,58.0,33.0
6.630208,80.0,63.0,4.75,80.0,33.0
6.653125,77.0,55.0,4.75,77.0,33.0
6.727083,75.0,30.0,4.833333,75.0,33.0
6.783333,72.0,46.0,4.916667,72.0,33.0
6.828125,55.0,72.0,5.0,55.0,33.0
6.885417,68.0,60.0,5.0,68.0,33.0
7.003125,75.0,48.0,5.083333,75.0,33.0
7.054167,72.0,54.0,5.166667,72.0,33.0
7.098958,58.0,73.0,5.25,58.0,33.0
