onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.011458,63.0,38.0,0.166667,63.0,49.0
1.034375,75.0,33.0,0.166667,75.0,49.0
1.436458,75.0,50.0,0.333333,75.0,49.0
1.45625,63.0,39.0,0.333333,63.0,49.0
1.7697919999999998,75.0,46.0,0.5,75.0,49.0
1.773958,63.0,38.0,0.5,63.0,49.0
2.080208,99.0,54.0,0.6666669999999999,99.0,49.0
2.082292,87.0,44.0,0.6666669999999999,87.0,49.0
2.394792,99.0,73.0,0.8333330000000001,99.0,49.0
2.407292,87.0,59.0,0.8333330000000001,87.0,49.0
2.689583,99.0,77.0,1.0,99.0,49.0
2.691667,87.0,72.0,1.0,87.0,49.0
2.969792,63.0,40.0,1.166667,63.0,49.0
2.971875,75.0,40.0,1.166667,75.0,49.0
3.254167,75.0,48.0,1.333333,75.0,49.0
3.275,63.0,39.0,1.333333,63.0,49.0
3.5572920000000003,75.0,48.0,1.5,75.0,49.0
3.559375,63.0,37.0,1.5,63.0,49.0
3.8625,99.0,51.0,1.666667,99.0,49.0
3.863542,87.0,45.0,1.666667,87.0,49.0
4.155208,99.0,74.0,1.833333,99.0,49.0
4.158333,87.0,68.0,1.833333,87.0,49.0
4.446875,99.0,81.0,2.0,99.0,49.0
4.45625,87.0,70.0,2.0,87.0,49.0
4.739583,75.0,52.0,2.166667,75.0,49.0
4.75,63.0,47.0,2.166667,63.0,49.0
5.03125,99.0,71.0,2.333333,99.0,49.0
5.035417,87.0,60.0,2.333333,87.0,49.0
5.359375,99.0,65.0,2.5,99.0,49.0
5.367708,87.0,54.0,2.5,87.0,49.0
5.686458,75.0,33.0,2.666667,75.0,49.0
5.696875,63.0,32.0,2.666667,63.0,49.0
6.1125,99.0,53.0,2.833333,99.0,49.0
6.113542,87.0,48.0,2.833333,87.0,49.0
6.877083,99.0,55.0,3.0,99.0,49.0
6.8875,87.0,44.0,3.0,87.0,49.0
9.021875,75.0,41.0,3.333333,75.0,49.0
9.198958,87.0,42.0,3.416667,87.0,49.0
9.390625,87.0,49.0,3.5,87.0,49.0
9.563542,99.0,62.0,3.5833329999999997,99.0,49.0
9.71875,87.0,58.0,3.6666670000000003,87.0,49.0
9.842708,99.0,67.0,3.75,99.0,49.0
9.967708,85.0,64.0,3.8333329999999997,85.0,49.0
10.09375,56.0,47.0,4.0,56.0,49.0
10.110417,99.0,66.0,3.9166670000000003,99.0,49.0
10.183333,63.0,44.0,4.0,83.0,49.0
10.252083,71.0,44.0,4.09375,71.0,49.0
10.432292,99.0,62.0,4.083333,99.0,49.0
10.557292,83.0,69.0,4.166667,83.0,49.0
10.684375,99.0,78.0,4.25,99.0,49.0
10.815625,82.0,73.0,4.333333,82.0,49.0
10.926042,59.0,40.0,4.5,59.0,49.0
10.9375,99.0,74.0,4.416667,99.0,49.0
10.991667,68.0,65.0,4.5,80.0,49.0
11.095833,80.0,65.0,4.545833,68.0,49.0
11.109375,75.0,40.0,4.59375,75.0,49.0
11.214583,99.0,75.0,4.583333,99.0,49.0
11.347917,79.0,80.0,4.666667,79.0,49.0
11.475,99.0,88.0,4.75,99.0,49.0
11.605208,80.0,78.0,4.833333,80.0,49.0
11.688542,63.0,51.0,5.0,63.0,49.0
11.736458,99.0,70.0,4.916667,99.0,49.0
11.769792,70.0,53.0,5.0,82.0,49.0
11.855208,79.0,56.0,5.09375,79.0,49.0
