onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.011458,45.0,52.0,0.0,45.0,49.0
2.070833,52.0,57.0,0.0,52.0,49.0
2.077083,69.0,68.0,0.0,60.0,49.0
2.127083,57.0,79.0,0.0,57.0,49.0
2.13125,72.0,65.0,0.0,64.0,49.0
2.177083,81.0,85.0,0.043749999999999956,69.0,49.0
2.915625,72.0,68.0,0.625,72.0,49.0
3.03125,71.0,75.0,0.75,71.0,49.0
3.139583,69.0,73.0,0.875,69.0,49.0
3.20625,52.0,63.0,1.0,52.0,49.0
3.28125,59.0,46.0,1.0,59.0,49.0
3.329167,64.0,79.0,1.0,64.0,49.0
3.333333,76.0,56.0,1.04375,76.0,49.0
3.358333,80.0,75.0,1.0875,80.0,49.0
3.397917,88.0,89.0,1.13125,88.0,49.0
3.845833,64.0,67.0,1.4375,64.0,49.0
3.966667,64.0,75.0,1.5,64.0,49.0
4.117708,68.0,70.0,1.625,68.0,49.0
4.252083,66.0,70.0,1.75,66.0,49.0
4.340625,64.0,71.0,1.875,64.0,49.0
4.413542,45.0,55.0,2.0,45.0,49.0
4.507292,52.0,40.0,2.0,52.0,49.0
4.508333,69.0,68.0,2.0,57.0,49.0
4.534375,57.0,81.0,2.04375,69.0,49.0
4.555208,72.0,70.0,2.0875,72.0,49.0
4.595833,81.0,88.0,2.13125,81.0,49.0
5.029167,69.0,71.0,2.4375,69.0,49.0
5.164583,69.0,81.0,2.5,69.0,49.0
5.303125,72.0,73.0,2.625,72.0,49.0
5.438542,71.0,80.0,2.75,71.0,49.0
5.553125,69.0,70.0,2.875,69.0,49.0
5.6,52.0,70.0,3.0,52.0,49.0
5.676042,59.0,59.0,3.0,71.0,49.0
5.71875,76.0,58.0,3.0,76.0,49.0
5.772917,80.0,68.0,3.0,80.0,49.0
5.8375,88.0,74.0,3.0,88.0,49.0
6.51875,64.0,67.0,3.0875,64.0,49.0
6.988542,45.0,52.0,4.0,45.0,49.0
7.064583,69.0,66.0,4.0,60.0,49.0
7.06875,52.0,36.0,4.0,52.0,49.0
7.098958,72.0,79.0,4.0,64.0,49.0
7.115625,57.0,77.0,4.0,57.0,49.0
7.1625,60.0,86.0,4.0875,72.0,49.0
7.163542,81.0,91.0,4.13125,81.0,49.0
7.59375,69.0,69.0,4.4375,69.0,49.0
7.7125,69.0,81.0,4.5,69.0,49.0
7.846875000000001,72.0,71.0,4.625,72.0,49.0
7.963542,71.0,79.0,4.75,71.0,49.0
8.078125,69.0,59.0,4.875,69.0,49.0
8.11875,52.0,69.0,5.0,52.0,49.0
8.18125,59.0,60.0,5.0,59.0,49.0
8.247917,76.0,70.0,5.04375,76.0,49.0
8.286458,80.0,80.0,5.0875,80.0,49.0
8.469792,68.0,13.0,5.13125,88.0,49.0
8.803125,64.0,76.0,5.4375,64.0,49.0
8.930208,64.0,85.0,5.5,64.0,49.0
9.06875,68.0,76.0,5.625,68.0,49.0
9.208333,66.0,77.0,5.75,66.0,49.0
9.3,64.0,76.0,5.875,64.0,49.0
9.35625,45.0,61.0,6.0,45.0,49.0
9.428125,52.0,53.0,6.0,52.0,49.0
9.45625,69.0,71.0,6.0,60.0,49.0
9.483333,57.0,78.0,6.0,57.0,49.0
9.494792,72.0,83.0,6.0,64.0,49.0
9.536458,60.0,93.0,6.0875,72.0,49.0
9.54375,81.0,98.0,6.13125,81.0,49.0
9.998958,69.0,79.0,6.4375,69.0,49.0
10.141667,69.0,81.0,6.5,69.0,49.0
10.273958,72.0,77.0,6.625,72.0,49.0
10.4125,71.0,80.0,6.75,71.0,49.0
10.514583,69.0,73.0,6.875,69.0,49.0
10.55,52.0,71.0,7.0,52.0,49.0
10.619792,59.0,60.0,7.0,71.0,49.0
10.653125,76.0,77.0,7.0,76.0,49.0
10.729167,80.0,82.0,7.0,80.0,49.0
10.78125,68.0,86.0,7.13125,68.0,49.0
11.45,64.0,81.0,7.5,64.0,49.0
11.844792,45.0,61.0,8.0,45.0,49.0
11.851042,76.0,65.0,8.0,76.0,49.0
11.916667,52.0,67.0,8.0,52.0,49.0
12.453125,81.0,75.0,8.04375,81.0,49.0
12.695833,82.0,85.0,8.625,82.0,49.0
12.830208,81.0,76.0,8.75,81.0,49.0
12.94375,50.0,63.0,9.0,50.0,49.0
12.94375,79.0,74.0,8.875,79.0,49.0
13.054167,57.0,60.0,9.0,57.0,49.0
13.140625,81.0,77.0,9.0,69.0,49.0
13.15,62.0,69.0,9.0,62.0,49.0
13.178125,65.0,85.0,9.0,65.0,49.0
13.636458,74.0,83.0,9.04375,77.0,49.0
13.755208,74.0,78.0,9.0875,81.0,49.0
13.884375,77.0,84.0,9.625,77.0,49.0
14.01875,76.0,85.0,9.75,76.0,49.0
14.129167,74.0,79.0,9.875,74.0,49.0
14.152083,43.0,63.0,10.0,43.0,49.0
14.21875,50.0,57.0,10.0,50.0,49.0
14.283333,55.0,80.0,10.0,55.0,49.0
14.285417,79.0,64.0,10.0,74.0,49.0
14.336458,83.0,71.0,10.0875,83.0,49.0
14.483333,59.0,26.0,10.13125,91.0,49.0
14.838542,79.0,76.0,10.4375,79.0,49.0
14.966667,79.0,80.0,10.5,79.0,49.0
15.1,81.0,79.0,10.625,81.0,49.0
15.235417,79.0,77.0,10.75,79.0,49.0
15.355208,77.0,76.0,10.875,77.0,49.0
15.375,48.0,60.0,11.0,48.0,49.0
15.43125,55.0,57.0,11.0,55.0,49.0
15.5125,76.0,61.0,11.04375,76.0,49.0
15.521875000000001,79.0,70.0,11.0875,79.0,49.0
15.602083,88.0,87.0,11.13125,88.0,49.0
16.047917,72.0,72.0,11.4375,72.0,49.0
16.191667,72.0,74.0,11.5,72.0,49.0
16.33125,76.0,73.0,11.625,76.0,49.0
16.464583,74.0,69.0,11.75,74.0,49.0
16.570833,72.0,65.0,11.875,72.0,49.0
16.591667,50.0,51.0,12.0,50.0,49.0
16.648958,53.0,27.0,12.0,53.0,49.0
16.684375,59.0,65.0,12.0,59.0,49.0
16.770833,77.0,52.0,12.04375,77.0,49.0
16.822917,83.0,64.0,12.0875,83.0,49.0
16.871875,89.0,87.0,12.13125,89.0,49.0
16.903125,71.0,67.0,12.4375,71.0,49.0
17.342708,71.0,70.0,12.5,71.0,49.0
17.614583,74.0,66.0,12.625,74.0,49.0
17.736458,72.0,62.0,12.75,72.0,49.0
17.821875,71.0,61.0,12.875,71.0,49.0
17.844792,52.0,58.0,13.0,52.0,49.0
17.94375,60.0,35.0,13.0,69.0,49.0
18.036458,76.0,45.0,13.04375,76.0,49.0
18.064583,81.0,66.0,13.0875,81.0,49.0
18.133333,88.0,75.0,13.13125,88.0,49.0
18.14375,69.0,68.0,13.4375,69.0,49.0
18.5875,69.0,60.0,13.5,69.0,49.0
18.858333,72.0,66.0,13.625,72.0,49.0
19.002083,71.0,65.0,13.75,71.0,49.0
19.157292,69.0,66.0,13.875,69.0,49.0
19.323958,65.0,59.0,14.0,65.0,49.0
19.347917,53.0,43.0,14.0,53.0,49.0
19.778125,63.0,52.0,14.375,63.0,49.0
19.778125,75.0,59.0,14.375,75.0,49.0
19.788542,57.0,39.0,14.375,57.0,49.0
19.934375,52.0,53.0,14.5,52.0,49.0
19.95625,64.0,50.0,14.5,64.0,49.0
20.114583,76.0,59.0,14.625,76.0,49.0
20.257292,74.0,67.0,14.75,74.0,49.0
20.3875,56.0,56.0,14.875,56.0,49.0
20.407292,71.0,56.0,14.875,71.0,49.0
20.408333,62.0,43.0,14.875,62.0,49.0
20.623958,69.0,69.0,15.0,69.0,73.0
20.63125,57.0,43.0,15.0,57.0,49.0
20.653125,60.0,42.0,15.0,60.0,49.0
21.3625,81.0,50.0,15.5,81.0,49.0
21.386458,72.0,39.0,15.5,72.0,49.0
21.388542,64.0,40.0,15.5,64.0,49.0
21.397917,69.0,31.0,15.5,69.0,49.0
21.876042,45.0,39.0,16.0,45.0,49.0
21.932292,76.0,55.0,16.0,76.0,49.0
22.061458,81.0,27.0,16.04375,81.0,49.0
22.111458,85.0,59.0,16.086458,85.0,49.0
22.230208,93.0,78.0,16.13125,93.0,49.0
22.673958,81.0,63.0,16.4375,81.0,49.0
22.796875,81.0,74.0,16.5,81.0,49.0
22.80625,69.0,60.0,16.5,69.0,49.0
22.81875,64.0,49.0,16.5,64.0,49.0
22.822917,61.0,53.0,16.5,61.0,49.0
22.941667,82.0,63.0,16.625,82.0,49.0
