onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.514583,37.0,59.0,0.0,37.0,96.0
1.6052080000000002,49.0,109.0,0.039583000000000035,49.0,96.0
2.0375,44.0,99.0,0.25,44.0,115.0
2.039583,49.0,112.0,0.25,49.0,115.0
2.476042,37.0,96.0,0.5,37.0,96.0
2.948958,44.0,101.0,0.75,44.0,115.0
2.95625,49.0,105.0,0.75,49.0,115.0
3.423958,37.0,91.0,1.0,37.0,96.0
4.802083,44.0,93.0,1.25,44.0,115.0
4.807292,49.0,107.0,1.25,49.0,115.0
5.080208,37.0,75.0,1.5,37.0,96.0
5.151042,44.0,72.0,1.75,44.0,96.0
5.226042,49.0,96.0,1.75,49.0,96.0
5.704167,49.0,95.0,2.039583,49.0,96.0
5.70625,44.0,84.0,2.019792,44.0,96.0
5.710417,56.0,111.0,2.25,56.0,115.0
6.126042,37.0,94.0,2.5,37.0,96.0
6.589583,49.0,86.0,2.75,49.0,115.0
6.592708,56.0,107.0,2.75,56.0,115.0
6.595833,44.0,76.0,2.75,44.0,115.0
7.04375,37.0,87.0,3.0,37.0,96.0
7.505208,56.0,104.0,3.25,56.0,115.0
7.514583,44.0,74.0,3.25,44.0,115.0
7.514583,49.0,86.0,3.25,49.0,115.0
7.982291999999999,37.0,89.0,3.5,37.0,96.0
8.382292,44.0,80.0,3.75,44.0,96.0
8.388542,49.0,87.0,3.75,49.0,96.0
8.394792,56.0,104.0,3.75,56.0,96.0
8.740625,49.0,74.0,4.0,49.0,96.0
8.797917,56.0,69.0,4.0,56.0,96.0
8.825,61.0,99.0,4.0,61.0,96.0
8.834375,65.0,99.0,4.0,65.0,96.0
8.835417,68.0,89.0,4.0,68.0,96.0
8.839583,77.0,94.0,4.0,77.0,96.0
9.233333,61.0,97.0,4.25,61.0,115.0
9.240625,53.0,77.0,4.25,53.0,115.0
9.241667,65.0,105.0,4.25,65.0,115.0
9.242708,56.0,91.0,4.25,56.0,115.0
9.246875,73.0,98.0,4.25,73.0,115.0
9.248958,77.0,95.0,4.25,77.0,115.0
9.675,49.0,98.0,4.5,49.0,96.0
9.679167,37.0,82.0,4.5,37.0,96.0
10.119792,61.0,91.0,4.75,61.0,96.0
10.123958,65.0,104.0,4.75,65.0,115.0
10.127083,73.0,104.0,4.75,73.0,115.0
10.128125,56.0,84.0,4.75,56.0,96.0
10.128125,77.0,93.0,4.75,77.0,115.0
10.132292,53.0,75.0,4.75,53.0,96.0
10.558333,49.0,101.0,5.0,49.0,96.0
10.566667,37.0,85.0,5.0,37.0,96.0
11.0,61.0,101.0,5.25,61.0,96.0
11.005208,65.0,101.0,5.25,65.0,96.0
11.007292,77.0,99.0,5.25,77.0,96.0
11.008333,56.0,78.0,5.25,56.0,96.0
11.009375,73.0,94.0,5.25,73.0,96.0
11.014583,49.0,77.0,5.25,49.0,96.0
11.298958,60.0,85.0,5.4375,60.0,96.0
11.301042,64.0,94.0,5.4375,64.0,96.0
11.30625,76.0,85.0,5.4375,76.0,96.0
11.308333,72.0,77.0,5.4375,72.0,96.0
11.405208,65.0,100.0,5.5,65.0,115.0
11.407292,77.0,102.0,5.5,77.0,115.0
11.409375,73.0,95.0,5.5,73.0,115.0
11.411458,61.0,103.0,5.5,61.0,115.0
11.420833,49.0,85.0,5.5,49.0,96.0
11.425,56.0,66.0,5.5,56.0,96.0
11.865625,56.0,91.0,5.75,56.0,96.0
11.869792,53.0,77.0,5.75,53.0,96.0
12.190625,48.0,58.0,6.0,48.0,96.0
12.244792,56.0,71.0,6.0,56.0,96.0
12.297917,63.0,101.0,6.0,63.0,96.0
12.3,68.0,90.0,6.0,68.0,96.0
12.3,75.0,97.0,6.0,75.0,96.0
12.304167,60.0,99.0,6.0,60.0,96.0
12.730208,60.0,101.0,6.25,60.0,115.0
12.732292,63.0,99.0,6.25,63.0,115.0
12.732292,68.0,87.0,6.25,68.0,115.0
12.735417,75.0,99.0,6.25,75.0,115.0
12.7375,51.0,83.0,6.25,51.0,115.0
12.741667,56.0,67.0,6.25,56.0,115.0
13.16875,48.0,101.0,6.5,48.0,96.0
13.177083,36.0,90.0,6.5,36.0,96.0
13.617708,56.0,88.0,6.75,56.0,115.0
13.617708,60.0,91.0,6.75,60.0,115.0
13.627083,63.0,108.0,6.75,63.0,115.0
13.627083,72.0,88.0,6.75,72.0,115.0
13.630208,51.0,86.0,6.75,51.0,115.0
13.635417,75.0,96.0,6.75,75.0,115.0
14.075,48.0,101.0,7.0,48.0,96.0
14.083333,36.0,86.0,7.0,36.0,96.0
14.511458,63.0,104.0,7.25,63.0,96.0
14.511458,72.0,85.0,7.25,72.0,96.0
14.5125,60.0,90.0,7.25,60.0,96.0
14.513542,56.0,83.0,7.25,56.0,96.0
14.521875,75.0,92.0,7.25,75.0,96.0
14.527083,51.0,82.0,7.25,51.0,96.0
14.815625,71.0,76.0,7.4375,71.0,96.0
14.819792,59.0,87.0,7.4375,59.0,96.0
14.819792,62.0,84.0,7.4375,62.0,96.0
14.835417,74.0,68.0,7.4375,74.0,96.0
14.923958,63.0,95.0,7.5,63.0,115.0
14.923958,75.0,91.0,7.5,75.0,115.0
14.930208,48.0,65.0,7.5,48.0,96.0
14.932292,60.0,96.0,7.5,60.0,115.0
14.939583,72.0,74.0,7.5,72.0,115.0
14.967708,56.0,43.0,7.5,56.0,96.0
15.35625,56.0,70.0,7.75,56.0,96.0
15.361458,51.0,68.0,7.75,51.0,96.0
15.711458,46.0,43.0,8.0,46.0,96.0
15.759374999999999,55.0,49.0,8.0,55.0,96.0
15.815625,73.0,71.0,8.0,73.0,115.0
15.819792,70.0,61.0,8.0,70.0,115.0
15.823958000000001,61.0,67.0,8.0,61.0,115.0
15.839583000000001,58.0,64.0,8.0,58.0,115.0
16.253125,51.0,60.0,8.25,51.0,96.0
16.25625,44.0,56.0,8.25,44.0,96.0
16.461458,72.0,66.0,8.375,72.0,96.0
16.466667,60.0,66.0,8.375,60.0,96.0
16.471875,56.0,60.0,8.375,56.0,96.0
16.479167,68.0,53.0,8.375,68.0,96.0
16.663542,58.0,79.0,8.5,58.0,96.0
16.669792,51.0,62.0,8.5,51.0,96.0
16.669792,67.0,61.0,8.5,67.0,96.0
16.670833,70.0,71.0,8.5,70.0,96.0
16.672917,43.0,61.0,8.5,43.0,96.0
16.675,55.0,62.0,8.5,55.0,96.0
16.883333,57.0,61.0,8.625,57.0,96.0
16.884375,54.0,59.0,8.625,54.0,96.0
16.885417,69.0,59.0,8.625,69.0,96.0
16.8875,66.0,58.0,8.625,66.0,96.0
17.108333,55.0,61.0,8.75,55.0,115.0
17.111458,46.0,67.0,8.75,46.0,96.0
17.1125,70.0,77.0,8.75,70.0,115.0
17.116667,58.0,72.0,8.75,58.0,115.0
17.116667,67.0,62.0,8.75,67.0,115.0
17.119792,51.0,62.0,8.75,51.0,96.0
17.522917,39.0,77.0,9.0,39.0,96.0
17.959375,58.0,68.0,9.25,58.0,96.0
17.960417,63.0,69.0,9.25,63.0,96.0
17.96875,70.0,65.0,9.25,70.0,96.0
17.969792,55.0,53.0,9.25,55.0,96.0
17.972917,51.0,47.0,9.25,51.0,96.0
17.98125,67.0,50.0,9.25,67.0,96.0
18.163542,60.0,68.0,9.375,60.0,99.0
18.163542,72.0,71.0,9.375,72.0,99.0
18.167708,56.0,67.0,9.375,56.0,99.0
18.171875,68.0,70.0,9.375,68.0,99.0
18.354167,70.0,82.0,9.5,70.0,102.0
18.35625,61.0,78.0,9.5,61.0,102.0
18.358333,73.0,83.0,9.5,73.0,102.0
18.375,58.0,66.0,9.5,58.0,102.0
18.5375,60.0,81.0,9.625,60.0,105.0
18.5375,75.0,88.0,9.625,75.0,105.0
18.538542,63.0,78.0,9.625,63.0,105.0
18.544792,72.0,80.0,9.625,72.0,105.0
18.744792,61.0,96.0,9.75,61.0,108.0
18.744792,65.0,90.0,9.75,65.0,108.0
18.744792,77.0,91.0,9.75,77.0,108.0
18.746875,73.0,88.0,9.75,73.0,108.0
18.755208,51.0,79.0,9.75,51.0,108.0
18.944792,61.0,78.0,9.875,61.0,112.0
18.947917,67.0,89.0,9.875,67.0,112.0
18.948958,79.0,92.0,9.875,79.0,112.0
18.954167,58.0,75.0,9.875,58.0,112.0
18.986458,71.0,45.0,9.875,70.0,112.0
19.234375,68.0,48.0,10.0,68.0,70.0
19.276042,44.0,50.0,10.0,44.0,70.0
19.279167,72.0,67.0,10.0,72.0,70.0
19.286458,80.0,78.0,10.0,80.0,70.0
19.672917,80.0,60.0,10.1875,80.0,70.0
19.684375,72.0,49.0,10.1875,72.0,70.0
19.744792,60.0,48.0,10.25,60.0,70.0
19.745833,63.0,55.0,10.25,63.0,70.0
19.752083,68.0,62.0,10.25,68.0,84.0
20.138542,39.0,57.0,10.5,39.0,70.0
20.153125,73.0,67.0,10.5,73.0,70.0
20.15625,77.0,63.0,10.5,77.0,70.0
20.530208,73.0,58.0,10.6875,73.0,70.0
20.555208,77.0,36.0,10.6875,77.0,70.0
20.623958,61.0,46.0,10.75,61.0,70.0
20.628125,67.0,57.0,10.75,67.0,84.0
20.638542,51.0,40.0,10.75,51.0,70.0
20.642708,58.0,46.0,10.75,58.0,70.0
21.040625,60.0,51.0,11.0,60.0,70.0
21.064583,68.0,60.0,11.0,67.0,70.0
21.070833,56.0,38.0,11.0,56.0,70.0
21.133333,70.0,68.0,11.0625,68.0,70.0
21.192708,68.0,73.0,11.020833,68.0,70.0
21.277083,67.0,64.0,11.041667,67.0,70.0
21.338542,70.0,62.0,11.166667,70.0,70.0
21.419792,58.0,59.0,11.25,58.0,70.0
21.419792,61.0,51.0,11.25,61.0,70.0
21.433333,68.0,75.0,11.25,68.0,70.0
21.435417,51.0,42.0,11.25,51.0,70.0
21.658333,67.0,59.0,11.375,67.0,70.0
21.897917,60.0,57.0,11.5,60.0,70.0
21.903125,68.0,63.0,11.5,68.0,70.0
21.909375,51.0,50.0,11.5,51.0,70.0
21.913542,56.0,39.0,11.5,56.0,70.0
21.921875,44.0,37.0,11.5,44.0,70.0
22.352083,32.0,79.0,11.75,32.0,70.0
22.669792,49.0,74.0,12.0,49.0,112.0
22.729167,56.0,70.0,12.0,56.0,112.0
22.811458,77.0,100.0,12.0,77.0,112.0
22.811458,80.0,102.0,12.0,80.0,112.0
22.811458,89.0,109.0,12.0,89.0,112.0
22.81875,65.0,93.0,12.0,65.0,112.0
23.230208,77.0,103.0,12.25,77.0,127.0
23.232292,65.0,96.0,12.25,65.0,127.0
23.233333,85.0,100.0,12.25,80.0,127.0
23.234375,61.0,98.0,12.25,61.0,127.0
23.2375,89.0,88.0,12.25,89.0,127.0
23.24375,56.0,87.0,12.25,56.0,127.0
23.65625,49.0,99.0,12.5,49.0,112.0
23.658333,53.0,90.0,12.5,53.0,112.0
23.660417,44.0,90.0,12.5,44.0,112.0
23.660417,56.0,93.0,12.5,56.0,112.0
23.663542,61.0,94.0,12.5,61.0,112.0
23.664583,37.0,81.0,12.5,37.0,112.0
24.138542,77.0,100.0,12.75,77.0,127.0
24.141667,65.0,96.0,12.75,65.0,127.0
24.141667,85.0,95.0,12.75,80.0,127.0
24.142708,61.0,94.0,12.75,61.0,127.0
24.144792,89.0,92.0,12.75,89.0,127.0
24.152083,56.0,84.0,12.75,56.0,127.0
24.539583,49.0,99.0,13.0,49.0,112.0
24.541667,53.0,92.0,13.0,53.0,112.0
24.545833,37.0,78.0,13.0,37.0,112.0
24.545833,44.0,88.0,13.0,44.0,112.0
24.545833,56.0,88.0,13.0,56.0,112.0
24.545833,61.0,90.0,13.0,61.0,112.0
25.00625,77.0,100.0,13.25,77.0,112.0
25.008333,85.0,94.0,13.25,85.0,112.0
25.008333,89.0,98.0,13.25,89.0,112.0
25.009375,65.0,94.0,13.25,65.0,112.0
25.013542,61.0,92.0,13.25,61.0,112.0
25.020833,56.0,84.0,13.25,56.0,112.0
25.303125,64.0,80.0,13.4375,64.0,112.0
25.309375,60.0,72.0,13.4375,60.0,112.0
25.309375,76.0,91.0,13.4375,76.0,112.0
25.309375,84.0,82.0,13.4375,84.0,112.0
25.317708,88.0,81.0,13.4375,88.0,112.0
25.419792,89.0,104.0,13.5,89.0,112.0
25.420833,56.0,60.0,13.5,56.0,112.0
25.420833,65.0,100.0,13.5,65.0,112.0
25.421875,77.0,103.0,13.5,77.0,112.0
25.426042,85.0,95.0,13.5,85.0,112.0
25.45625,61.0,43.0,13.5,61.0,112.0
25.846875,49.0,95.0,13.75,49.0,112.0
26.141667,47.0,73.0,14.0,47.0,112.0
26.297917,75.0,101.0,14.0,75.0,112.0
26.297917,78.0,98.0,14.0,78.0,112.0
26.298958,87.0,98.0,14.0,87.0,112.0
26.736458,63.0,100.0,14.25,63.0,127.0
26.736458,75.0,102.0,14.25,75.0,127.0
26.738542,83.0,83.0,14.25,83.0,127.0
26.739583,59.0,85.0,14.25,59.0,127.0
26.755208,54.0,84.0,14.25,54.0,127.0
26.804167,85.0,13.0,14.25,87.0,127.0
27.138542,47.0,96.0,14.5,47.0,112.0
27.141667,42.0,87.0,14.5,42.0,112.0
27.141667,51.0,96.0,14.5,51.0,112.0
27.147917,59.0,77.0,14.5,59.0,112.0
27.148958,35.0,75.0,14.5,35.0,112.0
27.165625,55.0,67.0,14.5,54.0,112.0
27.586458,75.0,102.0,14.75,75.0,127.0
27.595833,63.0,99.0,14.75,63.0,127.0
27.595833,87.0,90.0,14.75,87.0,127.0
27.598958,83.0,79.0,14.75,83.0,127.0
27.601042,54.0,85.0,14.75,54.0,127.0
27.601042,59.0,82.0,14.75,59.0,127.0
28.005208,47.0,98.0,15.0,47.0,112.0
28.008333,42.0,88.0,15.0,42.0,112.0
28.008333,51.0,96.0,15.0,51.0,112.0
