onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.048958,39.0,61.0,0.9760420000000001,38.0,80.0
2.078125,40.0,77.0,1.027083,40.0,80.0
2.242708,40.0,61.0,1.5510419999999998,39.0,96.0
2.380208,40.0,65.0,2.052083,40.0,80.0
2.514583,40.0,68.0,2.978125,40.0,80.0
2.657292,40.0,65.0,3.478125,40.0,80.0
2.822917,40.0,58.0,3.9781250000000004,40.0,80.0
2.965625,39.0,70.0,4.478125,39.0,96.0
3.128125,40.0,52.0,4.686458,40.0,96.0
3.286458,40.0,63.0,5.478125,40.0,80.0
3.454167,39.0,70.0,5.978125,39.0,96.0
3.5999999999999996,40.0,55.0,6.186458,40.0,96.0
3.751042,40.0,65.0,6.978125,40.0,80.0
3.8968749999999996,46.0,80.0,7.478125,46.0,96.0
4.075,40.0,58.0,7.686458,40.0,96.0
4.080208,47.0,49.0,7.686458,47.0,96.0
4.194792,47.0,62.0,8.478125,47.0,80.0
4.201042,40.0,66.0,8.478125,40.0,80.0
4.366667,40.0,61.0,8.978125,40.0,80.0
4.36875,47.0,61.0,8.978125,47.0,80.0
4.498958,40.0,63.0,9.478125,40.0,80.0
4.498958,47.0,64.0,9.478125,47.0,80.0
4.63125,47.0,52.0,9.978125,47.0,80.0
4.641667,40.0,56.0,9.978125,40.0,80.0
4.786458,46.0,64.0,10.478125,46.0,96.0
4.927083,40.0,57.0,10.686458,40.0,96.0
4.947917,47.0,33.0,10.686458,47.0,96.0
5.070833,40.0,60.0,11.478125,40.0,80.0
5.123958,47.0,27.0,11.478125,47.0,80.0
5.251042,46.0,69.0,11.978125,46.0,96.0
5.390625,47.0,56.0,12.186458,47.0,96.0
5.392708,40.0,60.0,12.186458,40.0,96.0
5.554167,47.0,66.0,12.978125,47.0,80.0
5.555208,40.0,62.0,12.978125,40.0,80.0
5.696875,53.0,81.0,13.478125,53.0,96.0
5.707292,47.0,71.0,13.478125,47.0,96.0
5.713542,40.0,68.0,13.478125,40.0,96.0
5.857292,54.0,70.0,13.686458,54.0,96.0
5.873958,47.0,61.0,13.978125,47.0,80.0
5.876042,40.0,52.0,13.978125,40.0,80.0
5.986458,54.0,74.0,14.478125,54.0,80.0
6.007292,40.0,55.0,14.478125,40.0,80.0
6.017708,47.0,60.0,14.478125,47.0,80.0
6.134375,54.0,71.0,14.978125,54.0,80.0
6.140625,47.0,66.0,14.978125,47.0,80.0
6.160417,40.0,56.0,14.978125,40.0,80.0
6.26875,54.0,65.0,15.478125,54.0,80.0
6.284375,47.0,66.0,15.478125,47.0,80.0
6.316667,40.0,57.0,15.478125,40.0,80.0
6.422917,54.0,67.0,15.978124999999999,54.0,80.0
6.429167,47.0,71.0,15.978124999999999,47.0,80.0
6.463542,40.0,53.0,15.978124999999999,40.0,80.0
6.555208,53.0,91.0,16.477083,53.0,96.0
6.5625,54.0,75.0,16.686458,54.0,96.0
6.564583,61.0,87.0,16.686458,61.0,96.0
6.567708,47.0,75.0,16.978125,47.0,80.0
6.585417,40.0,75.0,16.978125,40.0,80.0
6.715625,61.0,70.0,17.478125,61.0,80.0
