onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.785417,61.0,73.0,0.5,61.0,112.0
2.951042,67.0,80.0,0.5,79.0,112.0
2.9875,70.0,79.0,0.5874999999999999,70.0,112.0
3.078125,76.0,80.0,0.6312500000000001,76.0,112.0
3.1125,85.0,79.0,0.54375,85.0,112.0
3.15,88.0,58.0,0.5874999999999999,88.0,112.0
3.189583,94.0,101.0,0.6312500000000001,94.0,112.0
4.669792,56.0,71.0,1.5,56.0,112.0
4.75,62.0,77.0,1.5,74.0,112.0
4.846875,74.0,68.0,1.5875,65.0,112.0
4.8625,71.0,76.0,1.63125,71.0,112.0
4.886458,80.0,85.0,1.5437500000000002,80.0,112.0
4.91875,83.0,68.0,1.5875,83.0,112.0
4.970833,89.0,107.0,1.63125,89.0,112.0
6.478125,51.0,75.0,2.5,51.0,112.0
6.552083,69.0,62.0,2.5,69.0,112.0
6.589583,60.0,70.0,2.5875,60.0,112.0
6.6,75.0,71.0,2.54375,75.0,112.0
6.615625,78.0,78.0,2.5875,78.0,112.0
6.652083,66.0,90.0,2.63125,66.0,112.0
6.68125,84.0,88.0,2.63125,84.0,112.0
6.95625,46.0,83.0,3.0,46.0,112.0
6.964583,64.0,79.0,3.0,64.0,112.0
7.0125,55.0,80.0,3.0875,55.0,112.0
7.06875,61.0,94.0,3.13125,61.0,112.0
7.070833,79.0,94.0,3.13125,79.0,112.0
7.323958,59.0,75.0,3.5,59.0,112.0
7.38125,41.0,56.0,3.5,41.0,112.0
7.420833,74.0,96.0,3.6312499999999996,74.0,112.0
7.441667,54.0,91.0,3.5875000000000004,50.0,112.0
7.48125,55.0,54.0,3.6312499999999996,56.0,112.0
7.666667,54.0,83.0,4.0,54.0,112.0
7.694792,36.0,72.0,4.0,36.0,112.0
7.732291999999999,44.0,69.0,4.0875,45.0,112.0
7.759375,69.0,78.0,4.13125,69.0,112.0
7.764583,49.0,89.0,4.13125,51.0,112.0
7.764583,67.0,79.0,4.0875,63.0,112.0
7.772917,42.0,46.0,4.04375,42.0,112.0
7.784375000000001,66.0,42.0,4.04375,60.0,112.0
7.979167,55.0,72.0,4.5,55.0,112.0
7.987500000000001,38.0,77.0,4.5,37.0,112.0
8.263542,59.0,67.0,4.54375,61.0,112.0
8.285417,41.0,47.0,4.54375,43.0,112.0
8.317708,65.0,93.0,5.132292,65.0,112.0
8.517708,34.0,80.0,5.5,34.0,112.0
8.56875,41.0,70.0,5.5,53.0,112.0
8.620833,44.0,72.0,5.5875,44.0,112.0
8.632292,56.0,94.0,5.565625,56.0,112.0
8.646875,62.0,90.0,5.632292,62.0,112.0
8.659375,35.0,3.0,5.54375,41.0,112.0
8.669792,50.0,89.0,5.63125,50.0,112.0
8.916667,33.0,78.0,6.0,33.0,112.0
9.033333,69.0,90.0,6.13125,69.0,112.0
9.040625,65.0,80.0,6.0875,65.0,112.0
9.042708,45.0,85.0,6.13125,45.0,112.0
9.084375,43.0,43.0,6.0875,41.0,112.0
9.091667,62.0,76.0,6.04375,62.0,112.0
9.814583,74.0,88.0,7.0,74.0,112.0
9.814583,77.0,86.0,7.0,77.0,112.0
9.814583,81.0,97.0,7.0,81.0,112.0
9.815625,45.0,80.0,7.0,45.0,112.0
9.81875,69.0,95.0,7.0,69.0,112.0
9.821875,57.0,96.0,7.0,57.0,112.0
9.825,53.0,89.0,7.0,53.0,112.0
9.828125,50.0,83.0,7.0,50.0,112.0
10.754167,93.0,99.0,8.0,93.0,112.0
10.757292,85.0,91.0,8.0,85.0,112.0
10.761458,79.0,96.0,8.0,79.0,112.0
10.7625,57.0,87.0,8.0,57.0,112.0
10.765625,69.0,89.0,8.0,69.0,112.0
10.765625,81.0,88.0,8.0,81.0,112.0
10.765625,88.0,88.0,8.0,88.0,112.0
10.766667,64.0,82.0,8.0,64.0,112.0
10.767708,61.0,89.0,8.0,61.0,112.0
13.484375,46.0,48.0,10.3,46.0,70.0
13.505208,34.0,36.0,10.3,34.0,70.0
13.651042,49.0,50.0,10.4,49.0,70.0
13.670833,37.0,38.0,10.4,37.0,70.0
13.848958,53.0,51.0,10.5,53.0,70.0
13.858333,41.0,42.0,10.5,41.0,70.0
13.994792,52.0,56.0,10.6,52.0,70.0
14.0,40.0,54.0,10.6,40.0,70.0
14.091667,50.0,56.0,10.7,50.0,70.0
14.123958,38.0,53.0,10.7,38.0,70.0
14.196875,49.0,58.0,10.8,49.0,70.0
14.225,37.0,54.0,10.8,37.0,70.0
14.29375,46.0,68.0,10.9,46.0,70.0
14.323958,34.0,52.0,10.9,34.0,70.0
14.395833,45.0,62.0,11.0,45.0,70.0
14.423958,33.0,63.0,11.0,33.0,70.0
14.5125,46.0,59.0,11.083333,46.0,70.0
14.5375,34.0,61.0,11.083333,34.0,70.0
14.592708,49.0,71.0,11.166667,49.0,70.0
14.598958,37.0,55.0,11.166667,37.0,70.0
14.683333,50.0,64.0,11.25,50.0,70.0
14.688542,38.0,63.0,11.25,38.0,70.0
14.7625,40.0,67.0,11.333333,40.0,70.0
14.779167,52.0,72.0,11.333333,52.0,70.0
14.86875,53.0,67.0,11.416667,53.0,70.0
14.880208,41.0,62.0,11.416667,41.0,70.0
14.966667,58.0,73.0,11.5,58.0,70.0
14.980208,46.0,72.0,11.5,46.0,70.0
15.070833,57.0,63.0,11.583333,57.0,70.0
15.085417,45.0,62.0,11.583333,45.0,70.0
15.160417,55.0,69.0,11.666667,55.0,70.0
15.180208,43.0,65.0,11.666667,43.0,70.0
15.259375,53.0,75.0,11.75,53.0,70.0
15.276042,41.0,65.0,11.75,41.0,70.0
15.363542,52.0,70.0,11.833333,52.0,70.0
15.36875,40.0,76.0,11.833333,40.0,70.0
15.459375,50.0,66.0,11.916667,50.0,70.0
15.477083,38.0,69.0,11.916667,38.0,70.0
15.544792000000001,49.0,71.0,12.0,49.0,70.0
15.55,37.0,72.0,12.0,37.0,70.0
15.620833000000001,50.0,59.0,12.0625,50.0,70.0
15.649999999999999,38.0,54.0,12.0625,38.0,70.0
15.673957999999999,40.0,71.0,12.125,40.0,70.0
15.705207999999999,52.0,86.0,12.125,52.0,70.0
15.76875,41.0,72.0,12.1875,41.0,70.0
15.79375,53.0,77.0,12.1875,53.0,70.0
15.845832999999999,55.0,73.0,12.25,55.0,70.0
15.8625,43.0,74.0,12.25,43.0,70.0
15.917708000000001,57.0,77.0,12.3125,57.0,70.0
15.925,45.0,77.0,12.3125,45.0,70.0
15.994792,58.0,78.0,12.375,58.0,70.0
16.028125,46.0,74.0,12.375,46.0,70.0
16.083333,61.0,78.0,12.4375,61.0,70.0
16.096875,49.0,76.0,12.4375,49.0,70.0
16.163542,65.0,79.0,12.5,65.0,70.0
16.179167,53.0,81.0,12.5,53.0,70.0
16.246875,64.0,73.0,12.6,64.0,70.0
16.288542,52.0,79.0,12.6,52.0,70.0
16.33125,62.0,76.0,12.7,62.0,70.0
16.386458,50.0,65.0,12.7,50.0,70.0
16.429167,61.0,79.0,12.8,61.0,70.0
16.439583,49.0,78.0,12.8,49.0,70.0
16.51875,58.0,82.0,12.9,58.0,70.0
16.520833,46.0,73.0,12.9,46.0,70.0
16.601042,57.0,81.0,13.0,57.0,70.0
16.620833,45.0,76.0,13.0,45.0,70.0
16.682292,58.0,71.0,13.083333,58.0,70.0
16.721875,46.0,71.0,13.083333,46.0,70.0
16.741667,49.0,76.0,13.166667,49.0,70.0
16.758333,61.0,83.0,13.166667,61.0,70.0
16.826042,50.0,77.0,13.25,50.0,70.0
16.84375,62.0,81.0,13.25,62.0,70.0
16.902083,52.0,88.0,13.333333,52.0,70.0
16.936458,64.0,76.0,13.333333,64.0,70.0
16.99375,65.0,80.0,13.416667,65.0,70.0
17.004167,53.0,75.0,13.416667,53.0,70.0
17.06875,70.0,83.0,13.5,70.0,70.0
17.078125,58.0,79.0,13.5,58.0,70.0
17.160417,57.0,70.0,13.583333,57.0,70.0
17.163542,69.0,80.0,13.583333,69.0,70.0
17.245833,67.0,79.0,13.666667,67.0,70.0
17.26875,55.0,79.0,13.666667,55.0,70.0
17.338542,65.0,75.0,13.75,65.0,70.0
17.363542,53.0,77.0,13.75,53.0,70.0
17.420833,64.0,77.0,13.833333,64.0,70.0
17.441667,52.0,66.0,13.833333,52.0,70.0
17.504167,62.0,73.0,13.916667,62.0,70.0
17.545833,50.0,72.0,13.916667,50.0,70.0
17.58125,61.0,80.0,14.0,61.0,70.0
17.586458,49.0,78.0,14.0,49.0,70.0
17.664583,62.0,70.0,14.0625,62.0,70.0
17.66875,50.0,67.0,14.0625,50.0,70.0
17.7,52.0,75.0,14.125,52.0,70.0
17.740625,64.0,87.0,14.125,64.0,70.0
17.78125,53.0,79.0,14.1875,53.0,70.0
17.809375,65.0,76.0,14.1875,65.0,70.0
17.863542,67.0,78.0,14.25,67.0,70.0
17.867708,55.0,84.0,14.25,55.0,70.0
17.93125,57.0,79.0,14.3125,57.0,70.0
17.935417,69.0,80.0,14.3125,69.0,70.0
18.014583,70.0,84.0,14.375,70.0,70.0
18.017708,58.0,82.0,14.375,58.0,70.0
18.08125,61.0,82.0,14.4375,61.0,70.0
18.09375,73.0,82.0,14.4375,73.0,70.0
18.164583,77.0,87.0,14.5,77.0,70.0
18.167708,65.0,79.0,14.5,65.0,70.0
18.259375,64.0,75.0,14.541667,64.0,70.0
18.259375,76.0,86.0,14.541667,76.0,70.0
18.339583,74.0,78.0,14.583333,74.0,70.0
18.360417,62.0,78.0,14.583333,62.0,70.0
18.425,61.0,82.0,14.625,61.0,70.0
18.432292,73.0,84.0,14.625,73.0,70.0
18.49375,58.0,75.0,14.666667,58.0,70.0
18.516667,70.0,87.0,14.666667,70.0,70.0
18.589583,69.0,87.0,14.708333,69.0,70.0
18.59375,57.0,85.0,14.708333,57.0,70.0
18.66875,70.0,81.0,14.75,70.0,70.0
18.688542,58.0,74.0,14.75,58.0,70.0
18.70625,61.0,80.0,14.791667,61.0,70.0
18.732292,73.0,89.0,14.791667,73.0,70.0
18.784375,62.0,84.0,14.833333,62.0,70.0
18.817708,74.0,84.0,14.833333,74.0,70.0
18.857292,64.0,83.0,14.875,64.0,70.0
18.901042,76.0,80.0,14.875,76.0,70.0
18.953125,65.0,81.0,14.916667,65.0,70.0
18.954167,77.0,84.0,14.916667,77.0,70.0
19.030208,82.0,89.0,14.958333,82.0,70.0
19.033333,70.0,87.0,14.958333,70.0,70.0
19.113542,69.0,85.0,15.0,69.0,70.0
19.125,81.0,86.0,15.0,81.0,70.0
19.2,79.0,81.0,15.0625,79.0,70.0
19.205208,67.0,83.0,15.0625,67.0,70.0
19.286458,65.0,84.0,15.125,65.0,70.0
19.290625,77.0,85.0,15.125,77.0,70.0
19.366667,76.0,79.0,15.1875,76.0,70.0
19.379167,64.0,81.0,15.1875,64.0,70.0
19.461458,74.0,78.0,15.25,74.0,70.0
19.480208,62.0,82.0,15.25,62.0,70.0
19.539583,61.0,81.0,15.3125,61.0,70.0
19.540625,73.0,87.0,15.3125,73.0,70.0
19.625,74.0,72.0,15.375,74.0,70.0
19.63125,62.0,75.0,15.375,62.0,70.0
19.665625,64.0,75.0,15.4375,64.0,70.0
19.702083,76.0,89.0,15.4375,76.0,70.0
19.75,65.0,81.0,15.5,65.0,70.0
19.760417,77.0,86.0,15.5,77.0,70.0
19.823958,79.0,82.0,15.55,79.0,70.0
19.829167,67.0,90.0,15.55,67.0,70.0
19.889583,81.0,86.0,15.600000000000001,81.0,70.0
19.896875,69.0,84.0,15.600000000000001,69.0,70.0
19.975,82.0,86.0,15.649999999999999,82.0,70.0
19.980208,70.0,82.0,15.649999999999999,70.0,70.0
20.038542,73.0,89.0,15.7,73.0,70.0
20.048958,85.0,85.0,15.7,85.0,70.0
20.127083,89.0,92.0,15.75,89.0,70.0
20.128125,77.0,94.0,15.75,77.0,70.0
20.204167,76.0,74.0,15.8,76.0,70.0
20.232292,88.0,84.0,15.8,88.0,70.0
20.304167,86.0,43.0,15.850000000000001,86.0,70.0
20.330208,74.0,80.0,15.850000000000001,74.0,70.0
20.389583,73.0,84.0,15.899999999999999,73.0,70.0
20.403125,85.0,90.0,15.899999999999999,85.0,70.0
20.48125,70.0,79.0,15.95,70.0,70.0
20.508333,82.0,85.0,15.95,82.0,70.0
20.573958,69.0,88.0,16.0,69.0,70.0
20.573958,81.0,82.0,16.0,81.0,70.0
20.653125,82.0,81.0,16.05,82.0,70.0
20.670833,70.0,77.0,16.05,70.0,70.0
20.711458,73.0,85.0,16.1,73.0,70.0
20.71875,85.0,90.0,16.1,85.0,70.0
20.784375,74.0,90.0,16.148958,74.0,70.0
20.817708,86.0,92.0,16.148958,86.0,70.0
20.858333,76.0,86.0,16.2,76.0,70.0
20.889583,88.0,85.0,16.2,88.0,70.0
20.94375,77.0,88.0,16.25,77.0,70.0
20.95625,89.0,81.0,16.25,89.0,70.0
21.009375,91.0,80.0,16.3,91.0,70.0
21.023958,79.0,90.0,16.3,79.0,70.0
21.071875,81.0,88.0,16.35,81.0,70.0
21.078125,93.0,92.0,16.35,93.0,70.0
21.155208,94.0,92.0,16.398958,94.0,70.0
21.163542,82.0,93.0,16.398958,82.0,70.0
21.222917,85.0,98.0,16.45,85.0,70.0
21.225,97.0,91.0,16.45,97.0,70.0
21.327083,101.0,102.0,16.5,101.0,70.0
21.338542,89.0,98.0,16.5,89.0,70.0
21.472917,100.0,96.0,16.53125,100.0,70.0
21.601042,98.0,92.0,16.5625,98.0,70.0
21.713542,97.0,90.0,16.59375,97.0,70.0
21.810417,94.0,90.0,16.625,94.0,70.0
21.86875,83.0,59.0,16.84375,82.0,70.0
21.911458,93.0,89.0,16.65625,93.0,70.0
21.923958,81.0,82.0,16.65625,81.0,70.0
21.985417,91.0,81.0,16.6875,91.0,70.0
22.022917,79.0,77.0,16.6875,79.0,70.0
22.069792,89.0,82.0,16.71875,89.0,70.0
22.103125,77.0,73.0,16.71875,77.0,70.0
22.13125,76.0,75.0,16.75,76.0,70.0
22.144792,88.0,85.0,16.53125,88.0,70.0
22.215625,74.0,80.0,16.78125,74.0,70.0
22.226042,86.0,79.0,16.5625,86.0,70.0
22.302083,73.0,77.0,16.8125,73.0,70.0
22.30625,85.0,78.0,16.59375,85.0,70.0
22.372917,70.0,78.0,16.84375,70.0,70.0
22.378125,82.0,87.0,16.625,82.0,70.0
22.465625,69.0,89.0,16.875,69.0,70.0
22.548958,67.0,83.0,16.90625,67.0,70.0
22.6125,65.0,83.0,16.9375,65.0,70.0
22.66875,64.0,68.0,16.96875,64.0,70.0
22.73125,62.0,88.0,17.0,62.0,70.0
22.807292,73.0,83.0,17.022917,73.0,70.0
22.8875,70.0,91.0,17.046875,70.0,70.0
22.963542,69.0,92.0,17.070833,69.0,70.0
23.035417,67.0,84.0,17.094792,67.0,70.0
23.110417,65.0,90.0,17.11875,65.0,70.0
23.190625,64.0,95.0,17.142708,64.0,70.0
23.272917,62.0,88.0,17.166667,62.0,70.0
23.365625,61.0,86.0,17.022917,61.0,70.0
23.471875,46.0,88.0,17.213542,46.0,70.0
23.471875,58.0,94.0,17.046875,58.0,70.0
23.571875,45.0,90.0,17.2375,45.0,70.0
23.571875,57.0,94.0,17.070833,57.0,70.0
23.663542,55.0,88.0,17.094792,55.0,70.0
23.685417,43.0,89.0,17.261458,43.0,70.0
23.76875,53.0,93.0,17.11875,53.0,70.0
23.779167,41.0,82.0,17.285417,41.0,70.0
23.873958,52.0,94.0,17.142708,52.0,70.0
23.88125,40.0,88.0,17.309375,40.0,70.0
23.9875,50.0,90.0,17.166667,50.0,70.0
23.996875,38.0,94.0,17.333333,38.0,70.0
24.109375,37.0,84.0,17.35625,37.0,70.0
24.119792,49.0,86.0,17.189583,49.0,70.0
24.233333,34.0,89.0,17.380208,34.0,70.0
24.427083,33.0,93.0,17.404167,33.0,70.0
25.209375,86.0,96.0,17.5,86.0,112.0
25.2125,74.0,94.0,17.5,74.0,112.0
25.214583,77.0,88.0,17.5,77.0,112.0
25.517708,52.0,68.0,17.75,52.0,112.0
25.519792,56.0,69.0,17.75,56.0,112.0
25.630208,57.0,78.0,17.875,57.0,112.0
25.640625,53.0,75.0,17.875,53.0,112.0
25.719792,61.0,84.0,18.0,61.0,112.0
25.7375,64.0,67.0,18.0,64.0,112.0
25.834375,62.0,83.0,18.125,62.0,112.0
25.841667,65.0,83.0,18.125,65.0,112.0
25.936458,64.0,65.0,18.25,64.0,112.0
25.95,68.0,85.0,18.25,68.0,112.0
26.032292,65.0,87.0,18.375,65.0,112.0
26.035417,69.0,87.0,18.375,69.0,112.0
26.291667,77.0,90.0,18.5,77.0,112.0
26.291667,86.0,97.0,18.5,86.0,112.0
26.29375,74.0,99.0,18.5,74.0,112.0
26.298958,50.0,78.0,18.5,50.0,112.0
26.30625,45.0,80.0,18.5,45.0,112.0
26.310417,38.0,83.0,18.5,38.0,112.0
26.592708,52.0,62.0,18.75,52.0,112.0
26.605208,56.0,64.0,18.75,56.0,112.0
26.695833,57.0,80.0,18.875,57.0,112.0
26.705208,53.0,69.0,18.875,53.0,112.0
26.786458,61.0,79.0,19.0,61.0,112.0
26.791667,64.0,69.0,19.0,64.0,112.0
26.884375,62.0,82.0,19.125,62.0,112.0
26.892708,65.0,87.0,19.125,65.0,112.0
26.980208,64.0,73.0,19.25,64.0,112.0
26.988542,68.0,82.0,19.25,68.0,112.0
27.05625,65.0,87.0,19.375,65.0,112.0
27.063542,69.0,90.0,19.375,69.0,112.0
27.179167,72.0,91.0,19.4375,72.0,112.0
27.179167,84.0,88.0,19.4375,84.0,112.0
27.30625,50.0,93.0,19.5,50.0,112.0
27.307292,82.0,95.0,19.5,82.0,112.0
27.310417,76.0,86.0,19.5,76.0,112.0
27.3125,43.0,83.0,19.5,45.0,112.0
27.3125,70.0,98.0,19.5,70.0,112.0
27.321875,38.0,80.0,19.5,38.0,112.0
27.608333,54.0,72.0,19.75,54.0,112.0
27.632292,57.0,61.0,19.75,57.0,112.0
27.728125,55.0,77.0,19.875,55.0,112.0
27.733333,58.0,77.0,19.875,58.0,112.0
27.802083,63.0,79.0,20.0,63.0,112.0
27.833333,66.0,66.0,20.0,66.0,112.0
27.908333,64.0,75.0,20.125,64.0,112.0
27.916667,67.0,83.0,20.125,67.0,112.0
27.9875,66.0,83.0,20.25,66.0,112.0
27.996875,69.0,80.0,20.25,69.0,112.0
28.0875,67.0,87.0,20.375,67.0,112.0
28.102083,70.0,83.0,20.375,70.0,112.0
28.348958,82.0,92.0,20.5,82.0,112.0
28.353125,70.0,96.0,20.5,70.0,112.0
28.35625,50.0,81.0,20.5,50.0,112.0
28.361458,76.0,82.0,20.5,76.0,112.0
28.365625,43.0,78.0,20.5,45.0,112.0
28.377083,38.0,71.0,20.5,38.0,112.0
28.636458,54.0,76.0,20.75,54.0,112.0
28.65625,57.0,60.0,20.75,57.0,112.0
28.725,55.0,78.0,20.875,55.0,112.0
28.736458,58.0,77.0,20.875,58.0,112.0
28.803125,63.0,80.0,21.0,63.0,112.0
28.821875,66.0,74.0,21.0,66.0,112.0
28.89375,64.0,67.0,21.125,64.0,112.0
28.9,67.0,84.0,21.125,67.0,112.0
28.978125,66.0,69.0,21.25,66.0,112.0
28.986458,69.0,81.0,21.25,69.0,112.0
29.028125,70.0,15.0,21.375,70.0,112.0
29.06875,67.0,91.0,21.375,67.0,112.0
29.1625,82.0,88.0,21.4375,82.0,112.0
29.165625,70.0,88.0,21.4375,70.0,112.0
29.288542,81.0,90.0,21.5,81.0,112.0
29.295833,69.0,90.0,21.5,69.0,112.0
29.295833,76.0,86.0,21.5,76.0,112.0
29.303125,49.0,87.0,21.5,49.0,112.0
29.316667,37.0,74.0,21.5,37.0,112.0
29.552083,54.0,72.0,21.75,54.0,112.0
29.569792,51.0,62.0,21.75,51.0,112.0
29.644792,55.0,77.0,21.875,55.0,112.0
29.645833,52.0,70.0,21.875,52.0,112.0
29.745833,60.0,80.0,22.0,60.0,112.0
29.758333,63.0,67.0,22.0,63.0,112.0
29.815625,61.0,80.0,22.125,61.0,112.0
29.830208,64.0,79.0,22.125,64.0,112.0
29.916667,63.0,66.0,22.25,63.0,112.0
29.916667,66.0,87.0,22.25,66.0,112.0
29.986458,64.0,86.0,22.375,64.0,112.0
29.99375,67.0,87.0,22.375,67.0,112.0
30.066667,69.0,93.0,22.4375,69.0,112.0
30.069792,81.0,82.0,22.4375,81.0,112.0
30.325,76.0,102.0,22.5,76.0,112.0
30.325,79.0,82.0,22.5,79.0,112.0
30.325,88.0,99.0,22.5,88.0,112.0
30.332292,45.0,82.0,22.5,45.0,112.0
30.342708,33.0,85.0,22.5,33.0,112.0
30.590625,51.0,75.0,22.75,51.0,112.0
30.59375,54.0,73.0,22.75,54.0,112.0
30.6875,55.0,77.0,22.875,55.0,112.0
30.691667,52.0,76.0,22.875,52.0,112.0
30.784375,60.0,83.0,23.0,60.0,112.0
30.809375,63.0,67.0,23.0,63.0,112.0
30.867708,64.0,80.0,23.125,64.0,112.0
30.869792,61.0,72.0,23.125,61.0,112.0
30.958333,63.0,70.0,23.25,63.0,112.0
30.967708,66.0,84.0,23.25,66.0,112.0
31.019792,64.0,74.0,23.375,64.0,112.0
31.046875,67.0,91.0,23.375,67.0,112.0
31.175,67.0,81.0,23.4375,67.0,112.0
31.175,79.0,73.0,23.4375,79.0,112.0
31.280208,69.0,54.0,23.5,69.0,112.0
31.283333,77.0,93.0,23.5,77.0,112.0
31.2875,65.0,87.0,23.5,65.0,112.0
31.291667,50.0,83.0,23.5,50.0,112.0
