onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.05,75.0,68.0,0.0,75.0,96.0
2.122917,64.0,53.0,0.0,64.0,96.0
2.134375,60.0,41.0,0.0,60.0,96.0
2.141667,57.0,37.0,0.0,57.0,96.0
2.348958,60.0,46.0,0.25,60.0,96.0
2.351042,64.0,55.0,0.25,64.0,96.0
2.35625,57.0,41.0,0.25,57.0,96.0
2.561458,76.0,85.0,0.5,76.0,96.0
2.588542,57.0,44.0,0.5,57.0,96.0
2.596875,64.0,50.0,0.5,64.0,96.0
2.602083,60.0,43.0,0.5,60.0,96.0
2.773958,64.0,54.0,0.75,64.0,96.0
2.777083,60.0,52.0,0.75,60.0,96.0
2.785417,57.0,48.0,0.75,57.0,96.0
2.876042,76.0,77.0,0.875,76.0,96.0
2.964583,76.0,80.0,1.0,76.0,96.0
2.997917,57.0,41.0,1.0,57.0,96.0
3.00625,64.0,44.0,1.0,64.0,96.0
3.023958,60.0,32.0,1.0,60.0,96.0
3.186458,64.0,48.0,1.25,64.0,96.0
3.189583,60.0,55.0,1.25,60.0,96.0
3.202083,57.0,44.0,1.25,57.0,96.0
3.404167,72.0,80.0,1.5,72.0,96.0
3.411458,64.0,60.0,1.5,64.0,96.0
3.41875,57.0,50.0,1.5,57.0,96.0
3.41875,60.0,53.0,1.5,60.0,96.0
3.628125,57.0,45.0,1.75,57.0,96.0
3.628125,60.0,51.0,1.75,60.0,96.0
3.628125,64.0,55.0,1.75,64.0,96.0
3.6979170000000003,69.0,77.0,1.875,69.0,96.0
3.8187499999999996,69.0,78.0,2.0,69.0,96.0
3.8489579999999997,64.0,56.0,2.0,64.0,96.0
3.8510419999999996,59.0,51.0,2.0,59.0,96.0
3.860417,62.0,45.0,2.0,62.0,96.0
3.8645829999999997,57.0,32.0,2.0,57.0,96.0
3.9124999999999996,68.0,68.0,2.25,68.0,96.0
4.044792,62.0,49.0,2.25,62.0,96.0
4.046875,64.0,53.0,2.25,64.0,96.0
4.051042,59.0,43.0,2.25,59.0,96.0
4.053125,57.0,40.0,2.25,57.0,96.0
4.25,68.0,62.0,2.5,68.0,96.0
4.261458,64.0,53.0,2.5,64.0,96.0
4.269792,59.0,47.0,2.5,59.0,96.0
4.272917,57.0,39.0,2.5,57.0,96.0
4.272917,62.0,42.0,2.5,62.0,96.0
4.482292,62.0,49.0,2.75,62.0,96.0
4.485417,64.0,47.0,2.75,64.0,96.0
4.4875,57.0,44.0,2.75,57.0,96.0
4.495833,59.0,41.0,2.75,59.0,96.0
4.698958,64.0,54.0,3.0,64.0,96.0
4.709375,62.0,47.0,3.0,62.0,96.0
4.711458,59.0,43.0,3.0,59.0,96.0
4.7125,57.0,42.0,3.0,57.0,96.0
