onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5083329999999999,50.0,71.0,0.0,50.0,33.0
0.644792,50.0,60.0,0.125,50.0,33.0
0.672917,38.0,42.0,0.125,38.0,33.0
0.7916669999999999,50.0,62.0,0.25,50.0,33.0
0.9479169999999999,50.0,58.0,0.375,50.0,33.0
0.9666669999999999,38.0,41.0,0.375,38.0,33.0
1.090625,50.0,64.0,0.5,50.0,33.0
1.222917,50.0,62.0,0.625,50.0,33.0
1.230208,38.0,48.0,0.625,38.0,33.0
1.360417,50.0,68.0,0.75,50.0,33.0
1.494792,50.0,61.0,0.875,50.0,33.0
1.516667,38.0,43.0,0.875,38.0,33.0
1.6437499999999998,50.0,64.0,1.0,50.0,33.0
1.7843749999999998,50.0,56.0,1.125,50.0,33.0
1.8010419999999998,38.0,38.0,1.125,38.0,33.0
1.9395829999999998,50.0,60.0,1.25,50.0,33.0
2.069792,50.0,58.0,1.375,50.0,33.0
2.0875,38.0,35.0,1.375,38.0,33.0
2.220833,50.0,64.0,1.5,50.0,33.0
2.361458,50.0,56.0,1.625,50.0,33.0
2.3625,38.0,46.0,1.625,38.0,33.0
2.501042,50.0,63.0,1.75,50.0,33.0
2.642708,38.0,44.0,1.875,38.0,33.0
2.652083,50.0,49.0,1.875,50.0,33.0
2.79375,50.0,49.0,2.0,50.0,33.0
2.920833,38.0,46.0,2.125,38.0,33.0
2.930208,50.0,48.0,2.125,50.0,33.0
3.072917,50.0,56.0,2.25,50.0,33.0
3.192708,38.0,51.0,2.375,38.0,33.0
3.201042,50.0,51.0,2.375,50.0,33.0
3.330208,50.0,65.0,2.5,50.0,33.0
3.465625,38.0,47.0,2.625,38.0,33.0
3.465625,50.0,63.0,2.625,50.0,33.0
3.6020830000000004,50.0,65.0,2.75,50.0,33.0
3.732292,50.0,65.0,2.875,50.0,33.0
3.748958,38.0,47.0,2.875,38.0,33.0
3.8822919999999996,50.0,71.0,3.0,50.0,33.0
4.0375,50.0,57.0,3.125,50.0,33.0
4.039583,38.0,41.0,3.125,38.0,33.0
4.165625,50.0,68.0,3.25,50.0,33.0
4.3,50.0,57.0,3.375,50.0,33.0
4.304167,38.0,41.0,3.375,38.0,33.0
4.428125,50.0,63.0,3.5,50.0,33.0
4.56875,50.0,58.0,3.625,50.0,33.0
4.575,38.0,44.0,3.625,38.0,33.0
4.702083,50.0,55.0,3.75,50.0,33.0
4.819792,38.0,41.0,3.875,38.0,33.0
4.84375,50.0,44.0,3.875,50.0,33.0
4.963542,48.0,60.0,4.0,48.0,39.0
5.0,52.0,24.0,4.0,52.0,39.0
5.11875,50.0,42.0,4.125,50.0,33.0
5.129167,38.0,34.0,4.125,38.0,33.0
5.235417,52.0,58.0,4.25,52.0,33.0
5.25625,48.0,48.0,4.25,48.0,33.0
5.386458,50.0,54.0,4.375,50.0,33.0
5.401042,38.0,34.0,4.375,38.0,33.0
5.491667,52.0,74.0,4.5,52.0,33.0
5.497917,48.0,64.0,4.5,48.0,33.0
5.633333,50.0,63.0,4.625,50.0,33.0
5.642708,38.0,46.0,4.625,38.0,33.0
5.753125,48.0,76.0,4.75,48.0,33.0
5.753125,52.0,82.0,4.75,52.0,33.0
5.927083,50.0,46.0,4.875,50.0,33.0
5.94375,38.0,17.0,4.875,38.0,33.0
6.0375,48.0,57.0,5.0,48.0,39.0
