onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.47291700000000003,62.0,36.0,0.0,62.0,49.0
1.035417,67.0,27.0,0.09999999999999998,67.0,49.0
1.289583,71.0,28.0,0.19999999999999996,71.0,49.0
1.489583,67.0,31.0,0.30000000000000004,67.0,49.0
1.678125,59.0,39.0,0.4,59.0,49.0
1.891667,64.0,49.0,0.5,64.0,49.0
2.161458,67.0,26.0,0.6000000000000001,67.0,49.0
2.352083,71.0,30.0,0.7,71.0,49.0
2.495833,67.0,35.0,0.8,67.0,49.0
2.676042,59.0,36.0,0.8999999999999999,59.0,49.0
3.025,67.0,40.0,1.1,67.0,49.0
3.207292,71.0,43.0,1.2,71.0,49.0
3.360417,67.0,40.0,1.3,67.0,49.0
3.5364579999999997,59.0,39.0,1.4,59.0,49.0
3.6979170000000003,64.0,48.0,1.5,64.0,49.0
3.889583,67.0,39.0,1.6,67.0,49.0
4.095833,71.0,25.0,1.7000000000000002,71.0,49.0
4.217708,67.0,31.0,1.7999999999999998,67.0,49.0
4.370833,59.0,39.0,1.9,59.0,49.0
4.532292,62.0,46.0,2.0,62.0,49.0
4.720833,67.0,34.0,2.1,67.0,49.0
4.891667,71.0,28.0,2.2,71.0,49.0
5.030208,67.0,29.0,2.3,67.0,49.0
5.197917,59.0,36.0,2.4,59.0,49.0
5.361458,64.0,33.0,2.5,64.0,49.0
5.520833,67.0,37.0,2.6,67.0,49.0
5.677083,71.0,30.0,2.7,71.0,49.0
5.832292,67.0,21.0,2.8,67.0,49.0
5.983333,59.0,29.0,2.9,59.0,49.0
6.157292,62.0,40.0,3.0,62.0,49.0
6.353125,67.0,34.0,3.1,67.0,49.0
6.54375,71.0,31.0,3.2,71.0,49.0
6.755208,67.0,32.0,3.3,67.0,49.0
6.880208,78.0,60.0,3.25,78.0,49.0
7.073958,59.0,40.0,3.4,59.0,49.0
7.321875,64.0,38.0,3.5,64.0,49.0
7.385417,76.0,63.0,3.5,76.0,49.0
7.627083000000001,67.0,29.0,3.5999999999999996,67.0,49.0
7.791667,71.0,43.0,3.7,71.0,49.0
7.9375,67.0,35.0,3.8,67.0,49.0
8.05,74.0,73.0,3.8333329999999997,74.0,49.0
8.227083,59.0,32.0,3.9000000000000004,59.0,49.0
8.475,79.0,60.0,4.0,79.0,49.0
8.498958,62.0,34.0,4.0,62.0,49.0
8.739583,67.0,37.0,4.1,67.0,49.0
8.925,71.0,39.0,4.2,71.0,49.0
9.15,67.0,19.0,4.3,67.0,49.0
9.230208,79.0,58.0,4.333333,79.0,49.0
9.390625,59.0,37.0,4.4,59.0,49.0
9.626042,64.0,41.0,4.5,64.0,49.0
9.960417,67.0,21.0,4.6,67.0,49.0
10.136458,71.0,33.0,4.7,71.0,49.0
10.278125,67.0,26.0,4.8,67.0,49.0
10.439583,59.0,35.0,4.9,59.0,49.0
10.616667,62.0,36.0,5.0,62.0,49.0
10.778125,67.0,35.0,5.1,67.0,49.0
10.954167,71.0,27.0,5.2,71.0,49.0
11.114583,67.0,16.0,5.3,67.0,49.0
11.280208,59.0,19.0,5.4,59.0,49.0
11.41875,64.0,33.0,5.5,64.0,49.0
11.592708,67.0,34.0,5.6,67.0,49.0
11.75625,71.0,25.0,5.7,71.0,49.0
11.8875,67.0,37.0,5.8,67.0,49.0
11.952083,81.0,64.0,5.833333,81.0,49.0
12.121875,59.0,42.0,5.9,59.0,49.0
12.286458,83.0,71.0,6.0,83.0,49.0
12.364583,62.0,36.0,6.0,62.0,49.0
12.545833,67.0,32.0,6.1,67.0,49.0
