onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5104169999999999,80.0,38.0,0.0,80.0,16.0
0.514583,77.0,30.0,0.0,77.0,16.0
0.5249999999999999,73.0,31.0,0.0,73.0,16.0
0.746875,81.0,38.0,0.0625,81.0,16.0
0.903125,80.0,50.0,0.125,80.0,16.0
0.9125000000000001,73.0,48.0,0.125,73.0,16.0
0.9125000000000001,77.0,53.0,0.125,77.0,16.0
1.029167,77.0,43.0,0.1875,77.0,16.0
1.035417,73.0,45.0,0.1875,73.0,16.0
1.133333,81.0,55.0,0.25,81.0,16.0
1.244792,77.0,52.0,0.3125,77.0,16.0
1.260417,73.0,46.0,0.3125,73.0,16.0
1.272917,80.0,54.0,0.3125,80.0,16.0
1.379167,80.0,58.0,0.375,80.0,16.0
1.383333,73.0,53.0,0.375,73.0,16.0
1.470833,81.0,63.0,0.4375,81.0,16.0
1.6062500000000002,77.0,63.0,0.5,77.0,16.0
1.610417,80.0,63.0,0.5,80.0,16.0
1.626042,73.0,42.0,0.5,73.0,16.0
1.7052079999999998,81.0,61.0,0.5625,81.0,16.0
1.8302079999999998,73.0,38.0,0.625,73.0,16.0
1.8302079999999998,77.0,53.0,0.625,77.0,16.0
1.8635419999999998,80.0,37.0,0.625,80.0,16.0
1.945833,80.0,42.0,0.6875,80.0,16.0
1.9510420000000002,73.0,50.0,0.6875,73.0,16.0
2.040625,81.0,54.0,0.75,81.0,16.0
2.189583,77.0,58.0,0.8125,77.0,16.0
2.197917,73.0,39.0,0.8125,73.0,16.0
2.202083,80.0,64.0,0.8125,80.0,16.0
2.297917,73.0,51.0,0.875,73.0,16.0
2.416667,81.0,65.0,0.9375,81.0,16.0
2.553125,77.0,66.0,1.0,77.0,16.0
2.553125,80.0,66.0,1.0,80.0,16.0
2.564583,73.0,55.0,1.0,73.0,16.0
2.654167,81.0,65.0,1.0625,81.0,16.0
2.772917,73.0,46.0,1.125,73.0,16.0
2.779167,77.0,49.0,1.125,77.0,16.0
2.8,80.0,48.0,1.125,80.0,16.0
2.896875,80.0,54.0,1.1875,80.0,16.0
2.901042,73.0,51.0,1.1875,73.0,16.0
2.901042,77.0,57.0,1.1875,77.0,16.0
2.984375,81.0,58.0,1.25,81.0,16.0
3.115625,77.0,35.0,1.3125,77.0,16.0
3.128125,80.0,58.0,1.3125,80.0,16.0
3.129167,73.0,46.0,1.3125,73.0,16.0
3.240625,77.0,50.0,1.375,77.0,16.0
3.247917,80.0,68.0,1.375,80.0,16.0
3.252083,73.0,48.0,1.375,73.0,16.0
3.34375,81.0,66.0,1.4375,81.0,16.0
3.459375,77.0,29.0,1.5,77.0,16.0
3.472917,80.0,71.0,1.5,80.0,16.0
3.4875,73.0,37.0,1.5,73.0,16.0
3.5687499999999996,81.0,64.0,1.5625,81.0,16.0
3.691667,77.0,34.0,1.625,77.0,16.0
3.7104169999999996,73.0,36.0,1.625,73.0,16.0
3.715625,80.0,62.0,1.625,80.0,16.0
3.8354169999999996,73.0,44.0,1.6875,73.0,16.0
3.8354169999999996,77.0,44.0,1.6875,77.0,16.0
3.839583,80.0,63.0,1.6875,80.0,16.0
3.941667,81.0,55.0,1.75,81.0,16.0
4.054167,77.0,44.0,1.8125,77.0,16.0
4.072917,80.0,50.0,1.8125,80.0,16.0
4.078125,73.0,45.0,1.8125,73.0,16.0
4.19375,77.0,47.0,1.875,77.0,16.0
4.201042,73.0,43.0,1.875,73.0,16.0
4.204167,80.0,62.0,1.875,80.0,16.0
4.291667,81.0,54.0,1.9375,81.0,16.0
4.414583,77.0,48.0,2.0,77.0,16.0
4.422917,80.0,49.0,2.0,80.0,16.0
4.439583,73.0,42.0,2.0,73.0,16.0
4.515625,81.0,56.0,2.0625,81.0,16.0
4.63125,77.0,43.0,2.125,77.0,16.0
4.640625,73.0,51.0,2.125,73.0,16.0
4.65625,80.0,44.0,2.125,80.0,16.0
4.765625,73.0,47.0,2.1875,73.0,16.0
4.79375,80.0,47.0,2.1875,80.0,16.0
4.86875,81.0,51.0,2.25,81.0,16.0
4.984375,77.0,49.0,2.3125,77.0,16.0
4.997917,73.0,46.0,2.3125,73.0,16.0
5.007292,80.0,31.0,2.3125,80.0,16.0
