onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.519792,54.0,32.0,0.0,54.0,60.0
0.6541669999999999,88.0,56.0,0.0,88.0,60.0
0.6947920000000001,81.0,38.0,0.0,81.0,60.0
0.925,61.0,30.0,0.04166700000000001,61.0,60.0
1.085417,64.0,28.0,0.08333299999999999,64.0,60.0
1.192708,69.0,34.0,0.125,69.0,60.0
1.363542,73.0,34.0,0.166667,73.0,60.0
1.48125,76.0,31.0,0.208333,76.0,60.0
1.677083,85.0,66.0,0.25,85.0,60.0
1.7156250000000002,76.0,22.0,0.291667,76.0,60.0
2.119792,64.0,16.0,0.416667,64.0,60.0
2.283333,61.0,11.0,0.458333,61.0,60.0
2.402083,54.0,11.0,0.5,54.0,60.0
2.567708,64.0,29.0,0.5833330000000001,64.0,60.0
2.651042,69.0,16.0,0.625,69.0,60.0
2.733333,73.0,27.0,0.6666669999999999,73.0,60.0
2.836458,61.0,34.0,0.7083330000000001,61.0,60.0
3.023958,61.0,29.0,0.7916669999999999,61.0,60.0
3.094792,78.0,52.0,0.8333330000000001,78.0,60.0
3.182292,76.0,22.0,0.875,69.0,60.0
3.366667,61.0,37.0,0.9583330000000001,61.0,60.0
3.497917,54.0,36.0,1.0,54.0,60.0
3.55,88.0,61.0,1.0,88.0,60.0
3.594792,81.0,38.0,1.0,81.0,60.0
3.639583,61.0,19.0,1.041667,61.0,60.0
3.7406249999999996,64.0,44.0,1.083333,64.0,60.0
3.8499999999999996,69.0,34.0,1.125,69.0,60.0
3.988542,73.0,46.0,1.166667,73.0,60.0
4.094792,76.0,45.0,1.208333,76.0,60.0
4.186458,85.0,65.0,1.25,81.0,60.0
4.208333,80.0,37.0,1.25,80.0,60.0
4.265625,76.0,45.0,1.291667,76.0,60.0
4.385417,73.0,41.0,1.333333,73.0,60.0
4.494792,69.0,38.0,1.375,69.0,60.0
4.597917,64.0,38.0,1.416667,64.0,60.0
4.7,61.0,39.0,1.458333,61.0,60.0
4.83125,54.0,30.0,1.5,54.0,60.0
4.882292,61.0,44.0,1.541667,61.0,60.0
5.003125,64.0,44.0,1.583333,64.0,60.0
5.116667,69.0,17.0,1.625,69.0,60.0
5.166667,73.0,35.0,1.666667,73.0,60.0
5.296875,61.0,41.0,1.708333,61.0,60.0
5.402083,54.0,35.0,1.75,54.0,60.0
5.472917,61.0,38.0,1.791667,61.0,60.0
5.548958,78.0,54.0,1.833333,78.0,60.0
5.559375,64.0,42.0,1.833333,64.0,60.0
5.602083,76.0,33.0,1.833333,76.0,60.0
5.751042,64.0,9.0,1.916667,64.0,60.0
5.790625,61.0,39.0,1.958333,61.0,60.0
5.945833,54.0,31.0,2.0,54.0,60.0
6.032292,88.0,59.0,2.0,88.0,60.0
6.057292,81.0,40.0,2.0,81.0,60.0
6.2125,64.0,32.0,2.083333,64.0,60.0
6.323958,69.0,22.0,2.125,69.0,60.0
6.459375,73.0,46.0,2.166667,73.0,60.0
6.554167,76.0,47.0,2.208333,76.0,60.0
6.685417,85.0,60.0,2.25,85.0,60.0
6.703125,80.0,39.0,2.25,80.0,60.0
6.704167,76.0,46.0,2.291667,76.0,60.0
6.813542,73.0,47.0,2.333333,73.0,60.0
6.921875,69.0,50.0,2.375,69.0,60.0
7.036458,64.0,41.0,2.416667,64.0,60.0
7.140625,61.0,46.0,2.458333,61.0,60.0
7.24375,54.0,39.0,2.5,54.0,60.0
7.304167,61.0,51.0,2.541667,61.0,60.0
7.398958,64.0,47.0,2.583333,64.0,60.0
7.495833,69.0,33.0,2.625,69.0,60.0
7.561458,80.0,58.0,2.666667,80.0,60.0
7.613542000000001,73.0,33.0,2.666667,73.0,60.0
7.673958000000001,61.0,41.0,2.708333,61.0,60.0
7.765625,54.0,41.0,2.75,54.0,60.0
7.832292000000001,61.0,46.0,2.791667,61.0,60.0
7.929167,64.0,35.0,2.833333,64.0,60.0
7.936458,78.0,54.0,2.833333,78.0,60.0
7.986458000000001,69.0,39.0,2.875,69.0,60.0
8.14375,61.0,40.0,2.958333,61.0,60.0
8.275,54.0,37.0,3.0,54.0,60.0
8.304167,88.0,46.0,3.0,88.0,60.0
8.417708,64.0,45.0,3.083333,64.0,60.0
8.516667,68.0,74.0,3.125,68.0,86.0
8.807292,73.0,24.0,3.166667,73.0,60.0
8.86875,76.0,43.0,3.208333,76.0,60.0
8.9125,85.0,62.0,3.25,85.0,60.0
8.959375,81.0,12.0,3.25,81.0,60.0
9.217708,69.0,23.0,3.375,69.0,56.0
9.345833,64.0,6.0,3.416667,64.0,54.0
9.461458,61.0,8.0,3.458333,61.0,52.0
9.608333,54.0,19.0,3.5,54.0,50.0
9.691667,73.0,69.0,3.5,73.0,78.0
9.711458,61.0,16.0,3.5416670000000003,61.0,50.0
9.834375,64.0,46.0,3.5833329999999997,64.0,50.0
9.954167,69.0,33.0,3.625,69.0,50.0
10.029167,64.0,39.0,3.6666670000000003,64.0,50.0
10.121875,61.0,49.0,3.7083329999999997,61.0,50.0
10.127083,80.0,42.0,3.6666670000000003,80.0,50.0
10.244792,54.0,30.0,3.75,54.0,50.0
10.298958,61.0,46.0,3.7916670000000003,61.0,50.0
10.401042,64.0,33.0,3.8333329999999997,64.0,50.0
10.469792,78.0,54.0,3.8333329999999997,78.0,50.0
10.473958,69.0,25.0,3.875,69.0,50.0
10.5125,76.0,21.0,3.9166670000000003,64.0,50.0
10.6125,61.0,43.0,3.9583329999999997,61.0,50.0
10.78125,54.0,29.0,4.0,54.0,60.0
10.832292,88.0,60.0,4.0,88.0,60.0
10.851042,81.0,41.0,4.0,81.0,60.0
10.905208,61.0,30.0,4.041667,61.0,60.0
10.997917,64.0,33.0,4.083333,64.0,60.0
11.10625,69.0,14.0,4.125,69.0,60.0
11.2375,73.0,40.0,4.166667,73.0,60.0
11.347917,76.0,46.0,4.208333,76.0,60.0
11.502083,85.0,57.0,4.25,85.0,60.0
11.530208,76.0,40.0,4.291667,76.0,60.0
11.538542,80.0,17.0,4.25,80.0,60.0
11.665625,73.0,20.0,4.333333,73.0,60.0
11.761458,69.0,40.0,4.375,69.0,60.0
11.875,64.0,35.0,4.416667,64.0,60.0
11.96875,61.0,45.0,4.458333,61.0,60.0
12.096875,54.0,36.0,4.5,54.0,60.0
12.15,61.0,40.0,4.541667,61.0,60.0
12.264583,64.0,40.0,4.583333,64.0,60.0
12.366667,69.0,21.0,4.625,69.0,60.0
12.383333,80.0,52.0,4.666667,80.0,60.0
12.425,73.0,24.0,4.666667,73.0,60.0
12.45625,64.0,30.0,4.666667,64.0,60.0
12.528125,61.0,49.0,4.708333,61.0,60.0
12.628125,54.0,32.0,4.75,54.0,60.0
12.669792,61.0,52.0,4.791667,61.0,60.0
12.776042,64.0,46.0,4.833333,64.0,60.0
12.779167,78.0,54.0,4.833333,78.0,60.0
12.809375,76.0,27.0,4.833333,76.0,60.0
12.832292,69.0,38.0,4.875,69.0,60.0
12.969792,61.0,43.0,4.958333,61.0,60.0
13.095833,54.0,38.0,5.0,54.0,60.0
13.140625,88.0,55.0,5.0,88.0,60.0
13.180208,61.0,36.0,5.041667,61.0,60.0
13.284375,64.0,54.0,5.083333,64.0,60.0
13.366667,68.0,72.0,5.125,68.0,86.0
13.635417,73.0,21.0,5.166667,73.0,60.0
13.689583,76.0,47.0,5.208333,76.0,60.0
