onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
2.007292,62.0,88.0,0.0,62.0,120.0
2.236458,63.0,51.0,0.166667,63.0,80.0
2.2625,66.0,62.0,0.21666700000000005,66.0,80.0
2.269792,74.0,67.0,0.26770799999999995,74.0,80.0
2.475,62.0,75.0,0.333333,62.0,80.0
2.707292,63.0,65.0,0.5,63.0,120.0
2.958333,62.0,77.0,0.6666669999999999,62.0,80.0
3.153125,66.0,69.0,0.8333330000000001,66.0,80.0
3.158333,69.0,76.0,0.8833329999999999,69.0,80.0
3.177083,77.0,80.0,0.934375,77.0,80.0
3.384375,62.0,102.0,1.0,62.0,120.0
3.579167,63.0,60.0,1.166667,63.0,80.0
3.5989579999999997,66.0,80.0,1.216667,66.0,80.0
3.623958,74.0,77.0,1.267708,74.0,80.0
3.827083,62.0,84.0,1.333333,62.0,80.0
4.044792,57.0,83.0,1.5,57.0,120.0
4.225,61.0,50.0,1.666667,61.0,80.0
4.242708,64.0,67.0,1.7166670000000002,63.0,80.0
4.264583,72.0,70.0,1.7677079999999998,72.0,80.0
4.459375,56.0,68.0,1.833333,56.0,80.0
4.460417,59.0,61.0,1.883333,59.0,80.0
4.461458,68.0,81.0,1.9343750000000002,67.0,80.0
4.70625,62.0,92.0,2.0,62.0,120.0
4.90625,63.0,64.0,2.166667,63.0,80.0
4.928125,66.0,70.0,2.216667,66.0,80.0
4.94375,74.0,75.0,2.267708,74.0,80.0
5.152083,62.0,84.0,2.333333,62.0,80.0
5.325,63.0,71.0,2.5,63.0,120.0
5.577083,62.0,93.0,2.666667,62.0,80.0
5.76875,66.0,60.0,2.833333,66.0,80.0
5.791667,69.0,78.0,2.883333,69.0,80.0
5.809375,77.0,89.0,2.934375,77.0,80.0
6.027083,62.0,93.0,3.0,62.0,120.0
6.220833,63.0,63.0,3.166667,63.0,80.0
6.240625,66.0,74.0,3.216667,66.0,80.0
6.264583,74.0,74.0,3.267708,74.0,80.0
6.464583,62.0,82.0,3.333333,62.0,80.0
6.688542,57.0,86.0,3.5,57.0,120.0
6.883333,61.0,57.0,3.6666670000000003,61.0,80.0
6.888542,64.0,63.0,3.716667,63.0,80.0
6.905208,72.0,67.0,3.767708,72.0,80.0
7.105208,56.0,65.0,3.8333329999999997,56.0,80.0
7.117708,59.0,57.0,3.8833330000000004,59.0,80.0
7.14375,67.0,49.0,3.934375,67.0,80.0
7.353125,62.0,83.0,4.0,62.0,120.0
7.536458,63.0,48.0,4.166667,63.0,80.0
7.565625000000001,66.0,64.0,4.216667,66.0,80.0
7.582292000000001,74.0,67.0,4.267708,74.0,80.0
7.809374999999999,62.0,88.0,4.333333,62.0,80.0
7.992708,63.0,69.0,4.5,63.0,120.0
8.2375,62.0,97.0,4.601042,74.0,120.0
8.341667,62.0,32.0,4.666667,62.0,80.0
8.415625,63.0,77.0,4.833333,63.0,80.0
8.429167,66.0,94.0,4.883333,66.0,80.0
8.45,74.0,98.0,4.934375,74.0,80.0
8.679167,69.0,101.0,5.0,69.0,127.0
8.939583,69.0,80.0,5.166667,69.0,96.0
8.940625,67.0,84.0,5.166667,67.0,96.0
8.992708,73.0,80.0,5.221875,73.0,96.0
8.997917,81.0,82.0,5.221875,81.0,96.0
9.004167,75.0,77.0,5.221875,75.0,96.0
9.053125,67.0,92.0,5.277083,67.0,96.0
9.054167,69.0,90.0,5.277083,69.0,96.0
9.113542,65.0,94.0,5.333333,65.0,96.0
9.351042,63.0,82.0,5.5,63.0,96.0
9.522917,62.0,59.0,5.666667,62.0,96.0
9.539583,66.0,67.0,5.7,66.0,96.0
9.54375,68.0,75.0,5.733333,68.0,96.0
9.560417,75.0,78.0,5.766667,75.0,96.0
9.801042,60.0,70.0,5.833333,60.0,96.0
10.048958,38.0,62.0,6.0,38.0,127.0
10.051042,45.0,59.0,6.0,45.0,127.0
10.259375,57.0,71.0,6.166667,57.0,96.0
10.263542,50.0,65.0,6.166667,50.0,96.0
10.472917,57.0,82.0,6.333333,57.0,96.0
10.482292,50.0,69.0,6.333333,50.0,96.0
10.698958,62.0,81.0,6.5,62.0,96.0
10.698958,69.0,99.0,6.5,69.0,96.0
10.903125,62.0,77.0,6.666667,62.0,96.0
10.905208,69.0,100.0,6.666667,69.0,96.0
11.108333,69.0,93.0,6.833333,69.0,96.0
11.111458,81.0,100.0,6.833333,81.0,96.0
