onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.108333,82.0,52.0,0.0,82.0,70.0
1.491667,51.0,41.0,0.5,51.0,70.0
1.509375,79.0,53.0,0.5,79.0,70.0
1.6052080000000002,82.0,57.0,0.6666669999999999,82.0,70.0
1.671875,80.0,64.0,0.8333330000000001,80.0,70.0
1.75,79.0,60.0,1.0,79.0,70.0
1.760417,58.0,47.0,1.0,58.0,70.0
1.8145829999999998,77.0,67.0,1.166667,77.0,70.0
1.932292,75.0,65.0,1.333333,75.0,70.0
2.0125,74.0,57.0,1.5,74.0,70.0
2.075,72.0,63.0,1.666667,72.0,70.0
2.16875,70.0,67.0,1.833333,70.0,70.0
2.238542,53.0,55.0,2.0,53.0,70.0
2.255208,68.0,64.0,2.0,68.0,70.0
2.335417,67.0,63.0,2.166667,67.0,70.0
2.403125,65.0,67.0,2.333333,65.0,70.0
2.498958,58.0,51.0,2.5,58.0,70.0
2.498958,63.0,71.0,2.5,63.0,70.0
2.584375,62.0,67.0,2.666667,62.0,70.0
2.65,60.0,65.0,2.833333,60.0,70.0
2.7375,58.0,69.0,3.0,58.0,70.0
2.829167,60.0,63.0,3.166667,60.0,70.0
2.911458,62.0,69.0,3.333333,62.0,70.0
2.991667,63.0,66.0,3.5,63.0,70.0
2.995833,55.0,61.0,3.5,55.0,70.0
3.0625,62.0,60.0,3.6666670000000003,62.0,70.0
3.158333,63.0,66.0,3.8333329999999997,63.0,70.0
3.240625,64.0,66.0,4.0,64.0,70.0
3.24375,58.0,51.0,4.0,58.0,70.0
3.31875,63.0,69.0,4.166667,63.0,75.0
3.386458,64.0,61.0,4.333333,64.0,80.0
3.478125,65.0,70.0,4.5,65.0,85.0
3.5520829999999997,64.0,62.0,4.666667,64.0,90.0
3.621875,65.0,68.0,4.833333,65.0,95.0
3.7,66.0,69.0,5.0,66.0,100.0
3.7249999999999996,50.0,52.0,5.0,50.0,100.0
3.7729169999999996,65.0,63.0,5.166667,65.0,100.0
3.8687500000000004,66.0,68.0,5.333333,66.0,100.0
3.95625,67.0,67.0,5.5,67.0,100.0
3.9593749999999996,58.0,60.0,5.5,58.0,100.0
4.041667,66.0,69.0,5.666667,66.0,100.0
4.115625,67.0,63.0,5.833333,67.0,100.0
4.203125,68.0,71.0,6.0,68.0,100.0
4.282292,67.0,60.0,6.166667,67.0,100.0
4.35625,68.0,63.0,6.333333,68.0,100.0
4.433333,67.0,59.0,6.5,67.0,100.0
4.4625,51.0,58.0,6.5,51.0,100.0
4.515625,70.0,66.0,6.666667,70.0,100.0
4.605208,68.0,67.0,6.833333,68.0,100.0
4.678125,67.0,65.0,7.0,67.0,100.0
4.714583,58.0,62.0,7.0,58.0,100.0
4.7625,68.0,62.0,7.166667,68.0,100.0
4.834375,70.0,68.0,7.333333,70.0,100.0
4.923958,72.0,71.0,7.5,72.0,100.0
5.015625,74.0,70.0,7.666667,74.0,100.0
5.089583,75.0,71.0,7.833333,75.0,100.0
5.173958,77.0,73.0,8.0,77.0,100.0
5.185417,44.0,63.0,8.0,44.0,100.0
5.280208,84.0,60.0,8.166667,84.0,100.0
5.352083,82.0,71.0,8.333333,82.0,100.0
5.447917,80.0,63.0,8.5,80.0,100.0
5.470833,60.0,63.0,8.5,60.0,100.0
5.479167,56.0,53.0,8.5,56.0,100.0
5.521875,79.0,66.0,8.666667,79.0,100.0
5.603125,77.0,64.0,8.833333,77.0,100.0
