onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.5197919999999998,60.0,64.0,1.875,60.0,80.0
1.585417,65.0,69.0,1.916667,65.0,80.0
2.792708,70.0,60.0,2.875,70.0,80.0
2.889583,68.0,70.0,3.0,68.0,80.0
3.284375,70.0,59.0,3.375,70.0,80.0
3.357292,43.0,50.0,3.5,43.0,80.0
3.360417,52.0,53.0,3.5,52.0,80.0
3.363542,67.0,65.0,3.5,67.0,80.0
3.736458,68.0,57.0,3.875,68.0,80.0
3.830208,44.0,44.0,4.0,44.0,80.0
3.830208,65.0,63.0,4.0,65.0,80.0
3.844792,53.0,51.0,4.0,53.0,80.0
4.191667,66.0,55.0,4.375,66.0,83.0
4.267708,45.0,60.0,4.5,45.0,84.0
4.28125,63.0,65.0,4.5,63.0,84.0
4.638542,65.0,62.0,4.875,65.0,87.0
4.738542,61.0,71.0,5.0,61.0,88.0
4.740625,46.0,66.0,5.0,46.0,88.0
5.1,63.0,69.0,5.375,63.0,91.0
5.184375,48.0,67.0,5.5,48.0,92.0
5.202083,60.0,80.0,5.5,60.0,92.0
5.559375,61.0,74.0,5.875,61.0,95.0
5.65,58.0,82.0,6.0,58.0,96.0
5.658333,49.0,69.0,6.0,49.0,96.0
6.03125,60.0,75.0,6.375,60.0,96.0
6.107292,48.0,68.0,6.5,48.0,96.0
6.126042,56.0,84.0,6.5,56.0,96.0
6.486458,58.0,80.0,6.875,58.0,96.0
6.572917,54.0,89.0,7.0,54.0,96.0
6.577083,46.0,58.0,7.0,46.0,96.0
6.577083,49.0,61.0,7.0,49.0,96.0
6.922917,56.0,77.0,7.375,56.0,96.0
7.027083,53.0,87.0,7.5,53.0,96.0
7.0375,44.0,61.0,7.5,44.0,96.0
7.054167,48.0,66.0,7.5,48.0,96.0
7.383333,55.0,79.0,7.875,55.0,96.0
7.490625,52.0,91.0,8.0,52.0,96.0
7.508333,46.0,67.0,8.0,46.0,96.0
7.515625,43.0,64.0,8.0,43.0,96.0
8.095833,70.0,80.0,8.5,70.0,96.0
8.095833,73.0,85.0,8.5,73.0,96.0
8.101042,67.0,74.0,8.5,67.0,96.0
8.110417,61.0,60.0,8.5,61.0,96.0
8.114583,58.0,57.0,8.5,58.0,96.0
8.126042,52.0,52.0,8.5,52.0,96.0
8.13125,55.0,51.0,8.5,55.0,96.0
9.498958,72.0,53.0,9.375,72.0,49.0
9.589583,73.0,52.0,9.416667,73.0,49.0
9.667708,75.0,54.0,9.458333,75.0,49.0
9.764583,73.0,59.0,9.5,73.0,49.0
10.214583,72.0,57.0,9.875,72.0,49.0
10.398958,72.0,58.0,10.0,72.0,49.0
10.421875,53.0,29.0,10.0,53.0,49.0
10.427083,56.0,32.0,10.0,56.0,49.0
11.15,77.0,63.0,10.5,77.0,49.0
11.761458,46.0,25.0,11.0,46.0,49.0
11.771875,49.0,20.0,11.0,49.0,49.0
11.78125,55.0,16.0,11.0,55.0,49.0
11.970833,67.0,39.0,11.166667,67.0,49.0
12.132292,70.0,49.0,11.333333,70.0,49.0
12.319792,73.0,55.0,11.5,73.0,49.0
12.48125,70.0,61.0,11.666667,70.0,49.0
12.646875,67.0,59.0,11.833333,67.0,49.0
12.839583,48.0,42.0,12.0,48.0,49.0
12.842708,65.0,60.0,12.0,65.0,49.0
13.03125,53.0,60.0,12.166667,53.0,49.0
13.213542,56.0,61.0,12.333333,56.0,49.0
13.377083,60.0,56.0,12.5,60.0,49.0
13.538542,58.0,54.0,12.666667,58.0,49.0
13.748958,56.0,49.0,12.833333,56.0,49.0
14.06875,55.0,34.0,13.0,55.0,49.0
14.085417,64.0,36.0,13.0,64.0,49.0
14.454167,78.0,50.0,13.25,78.0,49.0
14.565625,79.0,65.0,13.375,79.0,56.0
14.6625,80.0,69.0,13.5,80.0,64.0
14.783333,81.0,72.0,13.625,81.0,72.0
14.870833,82.0,77.0,13.75,82.0,80.0
14.970833,83.0,75.0,13.875,83.0,88.0
15.088542,41.0,67.0,14.0,41.0,96.0
15.09375,48.0,72.0,14.0,48.0,96.0
15.246875,77.0,72.0,14.041667,77.0,96.0
15.29375,80.0,78.0,14.083333,80.0,96.0
15.402083,84.0,86.0,14.125,84.0,96.0
16.286458,82.0,71.0,14.875,82.0,96.0
16.488542,80.0,67.0,15.0,80.0,96.0
16.586458,82.0,65.0,15.0625,82.0,96.0
16.663542,80.0,68.0,15.125,80.0,96.0
16.764583,79.0,68.0,15.1875,79.0,96.0
16.823958,80.0,63.0,15.25,80.0,96.0
16.922917,82.0,63.0,15.375,82.0,96.0
16.9875,52.0,56.0,15.5,52.0,96.0
16.998958,43.0,50.0,15.5,43.0,96.0
16.998958,79.0,64.0,15.5,79.0,96.0
17.092708,80.0,60.0,15.5625,80.0,96.0
17.1625,79.0,54.0,15.625,79.0,96.0
17.242708,77.0,63.0,15.6875,77.0,96.0
17.3,79.0,70.0,15.75,79.0,96.0
17.411458,80.0,55.0,15.875,80.0,96.0
17.472917,77.0,63.0,16.0,77.0,96.0
17.491667,53.0,50.0,16.0,53.0,96.0
17.504167,44.0,55.0,16.0,44.0,96.0
17.5625,78.0,63.0,16.0625,79.0,96.0
17.628125,77.0,69.0,16.125,77.0,96.0
17.727083,75.0,64.0,16.1875,76.0,96.0
17.792708,77.0,67.0,16.25,77.0,96.0
17.859375,78.0,69.0,16.375,78.0,96.0
17.964583,75.0,61.0,16.5,75.0,96.0
17.986458,45.0,53.0,16.5,45.0,96.0
18.078125,77.0,52.0,16.5625,77.0,96.0
18.1375,75.0,63.0,16.625,75.0,96.0
18.220833,73.0,55.0,16.6875,74.0,96.0
18.3,75.0,64.0,16.75,75.0,96.0
18.391667,77.0,55.0,16.875,77.0,96.0
18.453125,46.0,63.0,17.0,46.0,96.0
18.466667,73.0,65.0,17.0,73.0,96.0
18.56875,75.0,55.0,17.0625,75.0,96.0
18.611458,73.0,48.0,17.125,73.0,96.0
18.728125,72.0,66.0,17.1875,72.0,96.0
18.801042,73.0,62.0,17.25,73.0,96.0
18.890625,75.0,69.0,17.375,75.0,96.0
18.927083,48.0,52.0,17.5,48.0,96.0
18.978125,72.0,54.0,17.5,72.0,96.0
19.05,73.0,63.0,17.5625,73.0,96.0
19.113542,72.0,70.0,17.625,72.0,96.0
19.195833,70.0,69.0,17.6875,71.0,96.0
19.271875,72.0,62.0,17.75,72.0,96.0
19.35,73.0,66.0,17.875,73.0,96.0
