onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.089583,69.0,49.0,0.0,69.0,70.0
1.103125,57.0,28.0,0.0,57.0,70.0
1.483333,71.0,61.0,0.25,71.0,70.0
1.497917,59.0,40.0,0.25,59.0,70.0
1.84375,73.0,65.0,0.5,73.0,70.0
1.853125,61.0,36.0,0.5,61.0,70.0
2.379167,62.0,39.0,0.75,62.0,70.0
2.391667,74.0,65.0,0.75,74.0,84.0
2.414583,54.0,35.0,0.75,54.0,70.0
2.43125,50.0,36.0,0.75,50.0,70.0
4.55625,73.0,42.0,2.0,73.0,70.0
4.683333,71.0,45.0,2.125,71.0,70.0
4.853125,69.0,45.0,2.25,69.0,70.0
4.863542,57.0,20.0,2.25,57.0,70.0
4.882292,52.0,25.0,2.25,52.0,70.0
4.889583,49.0,28.0,2.25,49.0,70.0
5.994792,69.0,46.0,3.0,69.0,70.0
6.344792,71.0,52.0,3.25,71.0,70.0
6.663542,67.0,57.0,3.5,67.0,70.0
6.985417,54.0,32.0,3.75,54.0,70.0
6.998958,50.0,35.0,3.75,50.0,70.0
7.042708,66.0,49.0,3.75,67.0,70.0
7.286458,66.0,52.0,3.84375,66.0,70.0
7.367708,64.0,55.0,3.9375,64.0,70.0
7.446875,66.0,55.0,4.03125,66.0,70.0
7.586458,67.0,50.0,4.125,67.0,70.0
7.589582999999999,55.0,33.0,4.125,55.0,70.0
7.591666999999999,52.0,40.0,4.125,52.0,70.0
7.801042000000001,69.0,50.0,4.25,69.0,70.0
7.815625000000001,54.0,29.0,4.25,54.0,70.0
7.821875,57.0,31.0,4.25,57.0,70.0
8.622917,59.0,34.0,4.75,59.0,70.0
8.625,71.0,58.0,4.75,71.0,70.0
8.645833,52.0,29.0,4.75,52.0,70.0
8.652083,55.0,32.0,4.75,55.0,70.0
9.017708,73.0,62.0,5.0,73.0,70.0
9.034375,61.0,37.0,5.0,61.0,70.0
9.494792,61.0,38.0,5.25,61.0,70.0
9.50625,73.0,64.0,5.25,73.0,70.0
9.534375,55.0,36.0,5.25,55.0,70.0
9.539583,52.0,29.0,5.25,52.0,70.0
9.55625,50.0,33.0,5.25,50.0,70.0
10.390625,62.0,20.0,5.75,62.0,70.0
10.397917,54.0,32.0,5.75,54.0,70.0
10.40625,74.0,47.0,5.75,74.0,70.0
11.017708,74.0,55.0,6.0,74.0,70.0
11.021875,62.0,36.0,6.0,62.0,70.0
11.426042,66.0,39.0,6.25,66.0,70.0
11.428125,78.0,65.0,6.25,78.0,70.0
11.7875,81.0,69.0,6.5,81.0,70.0
11.796875,69.0,45.0,6.5,69.0,70.0
12.3125,78.0,64.0,6.75,78.0,84.0
12.323958,55.0,29.0,6.75,55.0,70.0
12.326042,66.0,31.0,6.75,66.0,70.0
12.333333,57.0,25.0,6.75,57.0,70.0
13.760417,76.0,44.0,7.5,76.0,70.0
13.772917,64.0,29.0,7.5,64.0,70.0
14.120833,71.0,54.0,7.75,71.0,70.0
14.158333,59.0,21.0,7.75,59.0,70.0
14.478125,61.0,40.0,8.0,61.0,70.0
14.483333,73.0,65.0,8.0,73.0,70.0
14.934375,76.0,59.0,8.25,76.0,84.0
14.948958,64.0,26.0,8.25,64.0,70.0
14.951042,57.0,32.0,8.25,57.0,70.0
14.958333,54.0,32.0,8.25,54.0,70.0
16.005208,74.0,50.0,9.0,74.0,70.0
16.036458,62.0,21.0,9.0,62.0,70.0
16.415625,50.0,15.0,9.25,50.0,70.0
16.429167,54.0,21.0,9.25,54.0,70.0
16.458333,66.0,40.0,9.25,66.0,70.0
16.836458,66.0,57.0,9.6875,66.0,70.0
16.985417,67.0,61.0,9.65625,67.0,70.0
16.990625,52.0,35.0,9.625,52.0,70.0
17.228125,45.0,30.0,9.75,45.0,70.0
17.230208,69.0,58.0,9.625,69.0,70.0
17.242708,54.0,37.0,9.75,54.0,70.0
17.257292,57.0,32.0,9.75,57.0,70.0
18.033333,67.0,52.0,10.25,67.0,70.0
18.041667,55.0,32.0,10.25,55.0,70.0
18.051042,52.0,37.0,10.25,52.0,70.0
18.057292,45.0,31.0,10.25,45.0,70.0
18.873958,64.0,36.0,10.75,64.0,70.0
18.88125,52.0,22.0,10.75,52.0,70.0
18.884375,49.0,23.0,10.75,49.0,70.0
18.908333,45.0,24.0,10.75,45.0,70.0
19.864583,62.0,37.0,11.25,62.0,70.0
19.884375,54.0,28.0,11.25,54.0,70.0
19.890625,50.0,11.0,11.25,50.0,70.0
19.896875,38.0,21.0,11.25,38.0,70.0
21.638542,54.0,24.0,12.0,54.0,70.0
21.655208,66.0,44.0,12.0,66.0,70.0
22.088542,67.0,60.0,12.25,67.0,70.0
22.091667,55.0,35.0,12.25,55.0,70.0
22.454167,69.0,68.0,12.5,69.0,70.0
22.489583,57.0,35.0,12.5,57.0,70.0
22.994792,71.0,54.0,12.75,71.0,84.0
23.016667,59.0,37.0,12.75,59.0,70.0
23.029167,50.0,27.0,12.75,50.0,70.0
23.033333,52.0,21.0,12.75,52.0,70.0
23.035417,43.0,28.0,12.75,43.0,70.0
24.619792,64.0,41.0,13.5,64.0,70.0
24.647917,52.0,28.0,13.5,52.0,70.0
25.560417,44.0,39.0,14.25,44.0,70.0
25.564583,74.0,70.0,14.25,74.0,84.0
25.586458,62.0,51.0,14.25,62.0,70.0
25.589583,52.0,36.0,14.25,52.0,70.0
26.716667,64.0,44.0,15.0,64.0,70.0
26.754167,52.0,24.0,15.0,52.0,70.0
27.113542,64.0,39.0,15.25,64.0,70.0
27.140625,52.0,18.0,15.25,52.0,70.0
27.923958,74.0,54.0,15.75,74.0,70.0
27.955208,55.0,34.0,15.75,55.0,70.0
27.95625,64.0,38.0,15.75,64.0,70.0
27.957292,45.0,29.0,15.75,45.0,70.0
28.654167,73.0,62.0,16.25,73.0,70.0
28.99375,74.0,71.0,16.5,74.0,70.0
29.01875,54.0,40.0,16.5,54.0,70.0
29.027083,66.0,46.0,16.5,66.0,70.0
29.365625,76.0,70.0,16.75,76.0,70.0
29.379167,52.0,43.0,16.75,52.0,70.0
29.385417,67.0,37.0,16.75,67.0,70.0
29.690625,73.0,76.0,17.0,73.0,70.0
29.70625,57.0,39.0,17.0,57.0,70.0
