onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
8.7125,62.0,41.0,0.04270799999999997,62.0,60.0
8.826042,41.0,33.0,0.166667,41.0,60.0
9.345833,57.0,32.0,0.166667,57.0,60.0
9.370833,51.0,39.0,0.166667,51.0,60.0
9.448958,65.0,39.0,0.5,62.0,60.0
9.451042,60.0,47.0,0.6666669999999999,60.0,60.0
10.933333,62.0,41.0,0.748958,62.0,60.0
11.055208,63.0,41.0,0.8333330000000001,63.0,60.0
11.817708,62.0,39.0,0.9166669999999999,62.0,60.0
12.051042,60.0,43.0,1.0,60.0,60.0
12.610417,50.0,35.0,1.166667,41.0,60.0
12.623958,58.0,41.0,1.166667,58.0,60.0
14.182292,53.0,22.0,1.666667,53.0,60.0
15.175,62.0,45.0,2.0,62.0,60.0
15.377083,41.0,33.0,2.166667,41.0,60.0
15.948958000000001,57.0,34.0,2.166667,57.0,60.0
15.960417,51.0,34.0,2.166667,51.0,60.0
15.989583,65.0,43.0,2.166667,65.0,60.0
15.992708,60.0,54.0,2.166667,60.0,60.0
16.7375,62.0,50.0,2.416667,62.0,60.0
16.94375,60.0,52.0,2.5,60.0,60.0
17.285417,62.0,50.0,2.666667,62.0,60.0
17.466667,63.0,52.0,2.727083,63.0,60.0
18.253125,62.0,45.0,2.916667,62.0,60.0
18.572917,60.0,44.0,3.0,60.0,60.0
19.263542,58.0,36.0,3.166667,58.0,60.0
19.272917,50.0,33.0,3.166667,50.0,60.0
22.048958,46.0,41.0,4.0,46.0,60.0
22.444792,39.0,33.0,4.166667,39.0,60.0
22.888542,55.0,39.0,4.5,55.0,60.0
23.032292,70.0,52.0,4.666667,58.0,60.0
25.222917,57.0,47.0,4.916667,57.0,60.0
25.525,55.0,50.0,5.0,55.0,60.0
25.527083,58.0,51.0,5.0,58.0,60.0
25.879167,38.0,39.0,5.166667,38.0,60.0
26.295833,53.0,43.0,5.166667,53.0,60.0
26.30625,70.0,43.0,5.166667,70.0,60.0
27.946875,46.0,30.0,5.227083,46.0,60.0
29.215625,58.0,59.0,6.0,58.0,60.0
29.229167,46.0,39.0,6.0,46.0,60.0
29.55,36.0,37.0,6.166667,36.0,60.0
29.995833,63.0,60.0,6.166667,63.0,60.0
30.008333,51.0,41.0,6.166667,51.0,60.0
30.921875,51.0,40.0,6.416667,51.0,60.0
30.932292,63.0,53.0,6.416667,63.0,60.0
31.264583,51.0,48.0,6.5,51.0,60.0
31.280208,63.0,52.0,6.5,63.0,60.0
32.020833,63.0,41.0,6.666667,63.0,60.0
32.025,51.0,27.0,6.666667,51.0,60.0
32.104167,53.0,33.0,6.748958,53.0,60.0
32.13125,65.0,47.0,6.748958,65.0,60.0
32.255208,67.0,49.0,6.833333,67.0,60.0
32.264583,55.0,29.0,6.833333,55.0,60.0
33.19375,53.0,34.0,6.916667,53.0,60.0
33.194792,65.0,41.0,6.916667,65.0,60.0
33.595833,63.0,43.0,7.0,63.0,60.0
33.60625,51.0,30.0,7.0,51.0,60.0
34.508333,62.0,39.0,7.166667,62.0,60.0
34.51875,50.0,23.0,7.166667,50.0,60.0
34.520833,38.0,33.0,7.166667,38.0,60.0
37.280208,33.0,37.0,8.0,33.0,60.0
38.101042,33.0,38.0,8.166667,33.0,60.0
38.104167,62.0,45.0,8.166667,62.0,60.0
38.105208,57.0,33.0,8.166667,57.0,60.0
38.113542,52.0,33.0,8.166667,52.0,60.0
39.283333,33.0,37.0,8.5,33.0,60.0
39.904167,33.0,37.0,8.666667,33.0,60.0
39.910417,61.0,45.0,8.666667,61.0,60.0
40.871875,33.0,40.0,8.916667,33.0,60.0
41.264583,33.0,40.0,9.0,33.0,60.0
42.295833,57.0,34.0,9.166667,57.0,60.0
42.297917,54.0,30.0,9.166667,54.0,60.0
42.303125,62.0,43.0,9.166667,62.0,60.0
42.31875,26.0,17.0,9.166667,26.0,60.0
44.81875,53.0,55.0,9.666667,53.0,72.0
44.822917,31.0,51.0,9.666667,31.0,60.0
44.822917,43.0,55.0,9.666667,43.0,60.0
44.823958,55.0,55.0,9.666667,55.0,72.0
44.828125,59.0,61.0,9.666667,59.0,72.0
44.830208,62.0,64.0,9.666667,62.0,72.0
46.713542,43.0,81.0,10.0,43.0,100.0
47.50625,48.0,89.0,10.166667,48.0,100.0
47.50625,51.0,75.0,10.166667,51.0,127.0
47.509375,55.0,69.0,10.166667,55.0,127.0
47.509375,60.0,72.0,10.166667,60.0,127.0
47.511458,36.0,77.0,10.166667,36.0,100.0
49.146875,50.0,58.0,10.533333,50.0,100.0
49.210417,51.0,69.0,10.566667,51.0,100.0
49.261458,53.0,70.0,10.6,53.0,100.0
49.3125,55.0,70.0,10.633333,55.0,100.0
49.363542,59.0,88.0,10.666667,59.0,127.0
49.384375,56.0,90.0,10.666667,56.0,100.0
51.040625,53.0,72.0,11.066667,53.0,100.0
51.10625,51.0,76.0,11.1,51.0,100.0
51.140625,50.0,63.0,11.133333,50.0,100.0
51.169792,55.0,72.0,11.033333,55.0,100.0
51.309375,60.0,82.0,11.166667,60.0,100.0
51.33125,48.0,54.0,11.166667,48.0,127.0
53.13125,65.0,71.0,11.6,65.0,100.0
53.171875,67.0,79.0,11.633333,67.0,100.0
53.238542,68.0,93.0,11.666667,68.0,100.0
53.257292,62.0,82.0,11.533333,62.0,100.0
53.258333,34.0,66.0,11.666667,34.0,127.0
53.264583,46.0,59.0,11.666667,46.0,127.0
54.973958,65.0,58.0,12.066667,65.0,100.0
55.021875,63.0,70.0,12.1,63.0,100.0
55.054167,46.0,73.0,12.133333,46.0,100.0
55.085417,62.0,69.0,12.133333,62.0,100.0
55.160417,39.0,78.0,12.166667,39.0,127.0
55.163542,51.0,82.0,12.166667,51.0,127.0
55.166667,67.0,82.0,12.033333,67.0,100.0
55.16875,58.0,85.0,12.166667,58.0,127.0
56.761458,54.0,62.0,12.533333,54.0,100.0
56.808333,55.0,77.0,12.566667,55.0,100.0
56.876042,57.0,74.0,12.6,57.0,100.0
56.944792,58.0,81.0,12.633333,58.0,100.0
56.986458,50.0,56.0,12.666667,50.0,127.0
57.023958,60.0,92.0,12.666667,60.0,127.0
57.038542,66.0,84.0,12.666667,66.0,127.0
57.044792,62.0,70.0,12.666667,62.0,127.0
58.654167,57.0,72.0,13.066667,57.0,100.0
58.7375,55.0,73.0,13.1,55.0,100.0
58.754167,54.0,82.0,13.133333,54.0,100.0
58.830208,62.0,77.0,13.133333,62.0,100.0
58.957292,43.0,56.0,13.166667,43.0,127.0
58.9625,67.0,81.0,13.166667,67.0,127.0
58.984375,58.0,64.0,13.033333,58.0,100.0
60.597917,69.0,71.0,13.533333,69.0,100.0
60.728125,72.0,80.0,13.6,72.0,100.0
60.778125,74.0,82.0,13.633333,74.0,100.0
60.865625,75.0,95.0,13.666667,75.0,100.0
60.877083,70.0,76.0,13.566667,70.0,100.0
60.879167,54.0,62.0,13.666667,54.0,100.0
60.882292,42.0,61.0,13.666667,42.0,100.0
62.703125,74.0,64.0,14.033333,74.0,71.0
62.772917,75.0,64.0,14.066667,75.0,68.0
62.85,77.0,74.0,14.1,77.0,66.0
63.080208,78.0,61.0,14.133333,78.0,63.0
63.095833,41.0,41.0,14.166667,41.0,60.0
63.103125,69.0,53.0,14.166667,69.0,60.0
63.104167,53.0,34.0,14.166667,53.0,60.0
64.822917,69.0,66.0,14.533333,69.0,60.0
64.878125,70.0,76.0,14.566667,70.0,60.0
64.942708,72.0,79.0,14.6,72.0,60.0
64.982292,74.0,82.0,14.633333,74.0,60.0
65.08125,71.0,87.0,14.666667,71.0,60.0
65.08125,75.0,89.0,14.666667,75.0,60.0
67.294792,74.0,54.0,15.0,74.0,60.0
67.3125,70.0,33.0,15.0,70.0,60.0
67.521875,75.0,71.0,15.041667,75.0,60.0
67.704167,77.0,69.0,15.083333,77.0,60.0
67.911458,78.0,67.0,15.125,78.0,60.0
68.298958,39.0,40.0,15.166667,39.0,60.0
68.298958,78.0,58.0,15.166667,78.0,60.0
68.311458,71.0,50.0,15.166667,71.0,60.0
70.25,75.0,54.0,15.5,75.0,60.0
70.909375,71.0,51.0,15.666667,71.0,60.0
72.458333,66.0,51.0,16.0,66.0,60.0
72.478125,54.0,32.0,16.0,54.0,60.0
73.545833,56.0,34.0,16.166667,56.0,60.0
73.546875,64.0,44.0,16.166667,64.0,60.0
73.561458,37.0,34.0,16.166667,37.0,60.0
75.18125,55.0,30.0,16.533333,55.0,60.0
75.266667,56.0,45.0,16.566667,56.0,60.0
75.419792,59.0,49.0,16.633333,59.0,60.0
75.513542,58.0,50.0,16.666667,58.0,60.0
75.515625,64.0,48.0,16.666667,64.0,60.0
75.519792,42.0,42.0,16.666667,42.0,60.0
77.033333,64.0,54.0,17.066667,64.0,60.0
77.204167,68.0,50.0,17.133333,68.0,60.0
77.302083,70.0,57.0,17.166667,70.0,60.0
77.322917,66.0,49.0,17.1,66.0,60.0
77.333333,30.0,35.0,17.166667,30.0,60.0
78.546875,63.0,47.0,17.5,63.0,60.0
79.235417,58.0,45.0,17.666667,58.0,60.0
80.583333,54.0,38.0,18.0,54.0,60.0
81.528125,56.0,37.0,18.166667,56.0,60.0
81.536458,29.0,33.0,18.166667,29.0,60.0
81.538542,63.0,40.0,18.166667,63.0,60.0
81.542708,41.0,24.0,18.166667,41.0,60.0
83.178125,55.0,26.0,18.533333,55.0,60.0
83.272917,56.0,51.0,18.566667,56.0,60.0
83.45,59.0,47.0,18.633333,59.0,60.0
83.564583,62.0,49.0,18.666667,62.0,60.0
83.577083,34.0,35.0,18.666667,34.0,60.0
83.589583,46.0,24.0,18.666667,46.0,60.0
83.6,58.0,35.0,18.6,58.0,60.0
85.447917,66.0,58.0,19.166667,66.0,60.0
85.459375,63.0,25.0,19.1,63.0,60.0
88.035417,35.0,32.0,19.666667,35.0,60.0
88.042708,47.0,16.0,19.666667,47.0,60.0
89.928125,58.0,41.0,20.0,58.0,60.0
91.322917,57.0,42.0,20.166667,57.0,60.0
91.328125,41.0,23.0,20.166667,41.0,60.0
91.339583,65.0,32.0,20.166667,65.0,60.0
91.340625,36.0,34.0,20.166667,36.0,60.0
91.34375,48.0,18.0,20.166667,48.0,60.0
91.367708,63.0,29.0,20.166667,63.0,60.0
92.804167,38.0,25.0,20.5,38.0,60.0
93.75,38.0,41.0,20.916667,38.0,60.0
94.03125,36.0,41.0,21.0,36.0,60.0
94.627083,34.0,38.0,21.166667,34.0,60.0
94.747917,65.0,33.0,21.166667,65.0,60.0
94.755208,58.0,55.0,21.166667,58.0,60.0
94.764583,53.0,27.0,21.166667,53.0,60.0
95.25625,50.0,30.0,21.227083,41.0,60.0
96.440625,29.0,36.0,21.666667,29.0,60.0
97.760417,38.0,44.0,22.0,38.0,60.0
98.609375,65.0,39.0,22.166667,65.0,60.0
98.6125,57.0,56.0,22.166667,57.0,60.0
98.615625,36.0,36.0,22.166667,36.0,60.0
98.638542,63.0,36.0,22.166667,63.0,60.0
98.640625,41.0,26.0,22.166667,41.0,60.0
98.653125,48.0,27.0,22.166667,48.0,60.0
99.432292,38.0,42.0,22.416667,38.0,60.0
99.69375,36.0,43.0,22.5,36.0,60.0
100.0375,36.0,46.0,22.666667,36.0,60.0
100.16875,38.0,23.0,22.748958,38.0,60.0
100.221875,39.0,52.0,22.833333,39.0,60.0
101.057292,38.0,40.0,22.916667,38.0,60.0
101.366667,36.0,39.0,23.0,36.0,60.0
102.15625,53.0,35.0,23.166667,53.0,60.0
102.161458,58.0,45.0,23.166667,58.0,60.0
102.167708,65.0,43.0,23.166667,65.0,60.0
102.621875,50.0,34.0,23.227083,41.0,60.0
104.672917,46.0,36.0,24.0,46.0,60.0
105.070833,39.0,42.0,24.166667,39.0,60.0
105.635417,55.0,42.0,24.5,55.0,60.0
105.8375,70.0,49.0,24.666667,58.0,60.0
108.273958,57.0,48.0,24.916667,57.0,60.0
108.566667,58.0,61.0,25.0,58.0,60.0
