onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.998958,55.0,93.0,0.0,55.0,96.0
1.0,43.0,92.0,0.0,43.0,96.0
1.002083,31.0,84.0,0.0,31.0,96.0
1.394792,83.0,91.0,0.25,83.0,96.0
1.397917,71.0,93.0,0.25,71.0,96.0
1.401042,62.0,91.0,0.25,62.0,96.0
1.401042,77.0,94.0,0.25,77.0,96.0
1.405208,50.0,85.0,0.25,50.0,96.0
1.405208,55.0,87.0,0.25,55.0,96.0
1.884375,84.0,93.0,0.75,84.0,96.0
1.891667,48.0,80.0,0.75,48.0,96.0
1.891667,60.0,77.0,0.75,60.0,96.0
1.8947919999999998,76.0,77.0,0.75,76.0,96.0
2.170833,72.0,77.0,0.75,72.0,96.0
2.459375,81.0,95.0,1.25,81.0,96.0
2.467708,50.0,59.0,1.25,50.0,96.0
2.472917,54.0,76.0,1.25,54.0,96.0
2.472917,72.0,77.0,1.25,72.0,96.0
2.477083,42.0,71.0,1.25,42.0,96.0
2.477083,69.0,70.0,1.25,69.0,96.0
2.96875,79.0,84.0,1.75,79.0,96.0
2.980208,43.0,64.0,1.75,43.0,96.0
2.98125,71.0,62.0,1.75,71.0,96.0
2.983333,67.0,62.0,1.75,67.0,96.0
2.985417,55.0,64.0,1.75,55.0,96.0
3.3,72.0,66.0,2.0,72.0,49.0
3.301042,64.0,63.0,2.0,64.0,49.0
3.309375,48.0,58.0,2.0,48.0,49.0
3.311458,60.0,55.0,2.0,60.0,49.0
3.416667,71.0,63.0,2.125,71.0,49.0
3.421875,65.0,58.0,2.125,65.0,49.0
3.422917,55.0,65.0,2.125,55.0,49.0
3.5541669999999996,72.0,68.0,2.25,72.0,49.0
3.561458,64.0,62.0,2.25,64.0,49.0
3.578125,60.0,54.0,2.25,60.0,49.0
3.5875000000000004,48.0,60.0,2.25,48.0,49.0
3.6656250000000004,71.0,67.0,2.375,71.0,49.0
3.6770829999999997,65.0,61.0,2.375,65.0,49.0
3.7,55.0,51.0,2.375,55.0,49.0
3.810417,64.0,69.0,2.5,64.0,49.0
3.810417,72.0,70.0,2.5,72.0,49.0
3.8229170000000003,60.0,59.0,2.5,60.0,49.0
3.925,71.0,66.0,2.625,71.0,49.0
3.933333,65.0,58.0,2.625,65.0,49.0
3.952083,55.0,59.0,2.625,55.0,49.0
4.064583,64.0,66.0,2.75,64.0,49.0
4.064583,72.0,67.0,2.75,72.0,49.0
4.073958,60.0,60.0,2.75,60.0,49.0
4.084375,48.0,57.0,2.75,48.0,49.0
4.177083,73.0,69.0,2.875,73.0,49.0
4.191667,55.0,54.0,2.875,55.0,49.0
4.191667,67.0,59.0,2.875,67.0,49.0
