onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
1.509375,31.0,91.0,0.0,31.0,96.0
1.509375,43.0,94.0,0.0,43.0,96.0
1.509375,55.0,101.0,0.0,55.0,96.0
1.952083,83.0,86.0,0.25,83.0,96.0
1.9552079999999998,55.0,72.0,0.25,55.0,96.0
1.9552079999999998,71.0,84.0,0.25,71.0,96.0
1.9562499999999998,50.0,88.0,0.25,50.0,96.0
1.9562499999999998,62.0,88.0,0.25,62.0,96.0
1.9562499999999998,77.0,91.0,0.25,77.0,96.0
2.5125,60.0,86.0,0.75,60.0,96.0
2.514583,48.0,88.0,0.75,48.0,96.0
2.515625,84.0,98.0,0.75,84.0,96.0
2.525,76.0,87.0,0.75,76.0,96.0
2.785417,72.0,77.0,0.75,72.0,96.0
3.082292,81.0,96.0,1.25,81.0,96.0
3.086458,50.0,78.0,1.25,50.0,96.0
3.0875,54.0,90.0,1.25,54.0,96.0
3.0875,72.0,89.0,1.25,72.0,96.0
3.088542,69.0,82.0,1.25,69.0,96.0
3.091667,42.0,85.0,1.25,42.0,96.0
3.623958,55.0,84.0,1.75,55.0,96.0
3.628125,43.0,83.0,1.75,43.0,96.0
3.628125,79.0,88.0,1.75,79.0,96.0
3.6333330000000004,67.0,87.0,1.75,67.0,96.0
3.636458,71.0,81.0,1.75,71.0,96.0
4.23125,48.0,45.0,2.0,48.0,49.0
4.238542,72.0,52.0,2.0,72.0,49.0
4.246875,60.0,30.0,2.0,60.0,49.0
4.246875,64.0,44.0,2.0,64.0,49.0
4.36875,71.0,59.0,2.125,71.0,49.0
4.388542,55.0,48.0,2.125,55.0,49.0
4.420833,65.0,21.0,2.125,65.0,49.0
4.494792,48.0,58.0,2.25,48.0,49.0
4.501042,72.0,61.0,2.25,72.0,49.0
4.53125,64.0,39.0,2.25,64.0,49.0
4.532292,60.0,25.0,2.25,60.0,49.0
4.613542,71.0,60.0,2.375,71.0,49.0
4.629167,65.0,44.0,2.375,65.0,49.0
4.634375,55.0,48.0,2.375,55.0,49.0
4.758333,72.0,60.0,2.5,72.0,49.0
4.764583,64.0,48.0,2.5,64.0,49.0
4.767708,60.0,41.0,2.5,60.0,49.0
4.86875,71.0,61.0,2.625,71.0,49.0
4.877083,55.0,55.0,2.625,55.0,49.0
4.895833,65.0,52.0,2.625,65.0,49.0
4.989583,72.0,57.0,2.75,72.0,49.0
4.991667,48.0,57.0,2.75,48.0,49.0
4.996875,60.0,43.0,2.75,60.0,49.0
4.998958,64.0,57.0,2.75,64.0,49.0
5.105208,73.0,70.0,2.875,73.0,49.0
5.1125,55.0,52.0,2.875,55.0,49.0
5.114583,67.0,55.0,2.875,67.0,49.0
5.23125,74.0,74.0,3.0,74.0,49.0
5.232292,65.0,59.0,3.0,65.0,49.0
5.233333,48.0,57.0,3.0,48.0,49.0
5.246875,62.0,48.0,3.0,62.0,49.0
5.360417,73.0,67.0,3.125,73.0,49.0
5.383333,56.0,56.0,3.125,56.0,49.0
5.397917,68.0,41.0,3.125,68.0,49.0
5.482292,74.0,69.0,3.25,74.0,49.0
5.492708,48.0,47.0,3.25,48.0,49.0
5.501042,65.0,52.0,3.25,65.0,49.0
5.527083,62.0,22.0,3.25,62.0,49.0
5.601042,73.0,74.0,3.375,73.0,49.0
5.629167,68.0,41.0,3.375,68.0,49.0
5.634375,56.0,53.0,3.375,56.0,49.0
5.722917,74.0,71.0,3.5,74.0,49.0
5.729167,65.0,60.0,3.5,65.0,49.0
5.741667,62.0,53.0,3.5,62.0,49.0
5.84375,68.0,66.0,3.625,68.0,49.0
5.84375,73.0,72.0,3.625,73.0,49.0
5.85625,56.0,57.0,3.625,56.0,49.0
5.965625,48.0,58.0,3.75,48.0,49.0
5.976042,65.0,57.0,3.75,65.0,49.0
5.976042,76.0,72.0,3.75,76.0,49.0
5.988542,62.0,26.0,3.75,62.0,49.0
6.078125,74.0,71.0,3.875,74.0,49.0
6.098958,55.0,52.0,3.875,55.0,49.0
6.1,71.0,45.0,3.875,71.0,49.0
6.232292,72.0,69.0,4.0,72.0,49.0
6.2375,48.0,48.0,4.0,48.0,49.0
6.246875,60.0,37.0,4.0,60.0,49.0
6.25,64.0,48.0,4.0,64.0,49.0
6.358333,71.0,57.0,4.125,71.0,49.0
6.382292,55.0,51.0,4.125,55.0,49.0
6.402083,65.0,35.0,4.125,65.0,49.0
6.482292,72.0,63.0,4.25,72.0,49.0
6.496875,48.0,51.0,4.25,48.0,49.0
6.501042,64.0,56.0,4.25,64.0,49.0
6.601042,71.0,65.0,4.375,71.0,49.0
6.623958,55.0,54.0,4.375,55.0,49.0
6.629167,65.0,43.0,4.375,65.0,49.0
6.7375,72.0,64.0,4.5,72.0,49.0
6.74375,64.0,61.0,4.5,64.0,49.0
6.745833,60.0,54.0,4.5,60.0,49.0
6.852083,71.0,66.0,4.625,71.0,49.0
6.866667,55.0,59.0,4.625,55.0,49.0
6.870833,65.0,54.0,4.625,65.0,49.0
6.970833,72.0,67.0,4.75,72.0,49.0
6.976042,64.0,63.0,4.75,64.0,49.0
6.983333,48.0,62.0,4.75,48.0,49.0
6.994792,60.0,50.0,4.75,60.0,49.0
7.097917,73.0,69.0,4.875,73.0,49.0
7.110417,55.0,56.0,4.875,55.0,49.0
