onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.5125,46.0,45.0,0.0,46.0,70.0
0.9895830000000001,53.0,38.0,0.0,53.0,70.0
0.9906250000000001,73.0,65.0,0.0,73.0,70.0
1.026042,70.0,46.0,0.0,70.0,70.0
1.033333,61.0,46.0,0.0,61.0,70.0
1.8479169999999998,53.0,37.0,0.25,53.0,70.0
1.869792,65.0,33.0,0.25,65.0,70.0
1.88125,61.0,48.0,0.25,61.0,70.0
1.88125,70.0,58.0,0.25,70.0,70.0
2.33125,73.0,74.0,0.375,73.0,70.0
2.451042,53.0,14.0,0.5,53.0,70.0
2.5625,73.0,75.0,0.5,73.0,70.0
2.565625,65.0,37.0,0.5,65.0,70.0
2.584375,70.0,50.0,0.5,70.0,70.0
2.591667,61.0,34.0,0.5,61.0,70.0
3.192708,53.0,38.0,0.75,53.0,70.0
3.223958,65.0,34.0,0.75,65.0,70.0
3.24375,61.0,39.0,0.75,61.0,70.0
3.247917,70.0,40.0,0.75,70.0,70.0
3.6333330000000004,46.0,49.0,1.0,46.0,70.0
4.127083,54.0,40.0,1.0,54.0,70.0
4.171875,66.0,22.0,1.0,66.0,70.0
4.184375,77.0,65.0,1.0,77.0,70.0
4.190625,70.0,35.0,1.0,70.0,70.0
4.227083,63.0,25.0,1.0,63.0,70.0
4.74375,73.0,68.0,1.125,73.0,70.0
4.967708,54.0,33.0,1.25,54.0,70.0
5.051042,66.0,42.0,1.25,66.0,70.0
5.105208,70.0,33.0,1.25,70.0,70.0
5.109375,77.0,72.0,1.25,77.0,70.0
5.1625,63.0,46.0,1.25,63.0,70.0
5.36875,75.0,69.0,1.333333,75.0,70.0
5.555208,46.0,62.0,1.5,46.0,70.0
5.615625,70.0,59.0,1.416667,70.0,70.0
5.934375,70.0,76.0,1.5,70.0,70.0
5.947917,61.0,51.0,1.5,61.0,70.0
5.965625,53.0,41.0,1.5,53.0,70.0
5.979167,65.0,49.0,1.5,65.0,70.0
6.5625,53.0,29.0,1.523958,46.0,70.0
6.688542,65.0,44.0,1.75,65.0,70.0
6.703125,61.0,60.0,1.75,61.0,70.0
6.970833,71.0,77.0,1.833333,71.0,70.0
7.227083,72.0,70.0,1.916667,72.0,70.0
7.551042000000001,53.0,3.0,2.0,53.0,70.0
7.567708,65.0,38.0,2.0,65.0,70.0
7.570833,75.0,58.0,2.0,75.0,70.0
7.579167,70.0,50.0,2.0,70.0,70.0
7.61875,61.0,46.0,2.0,61.0,70.0
7.983333,73.0,69.0,2.125,73.0,70.0
8.31875,53.0,5.0,2.25,53.0,70.0
8.345833,65.0,25.0,2.25,65.0,70.0
8.366667,70.0,54.0,2.25,70.0,70.0
8.375,61.0,21.0,2.25,61.0,70.0
