onset_perfm,pitch_perfm,velocity_perfm,onset_score,pitch_score,velocity_score
0.9979169999999999,27.0,74.0,0.0,27.0,120.0
1.004167,40.0,103.0,0.0,40.0,120.0
1.239583,33.0,56.0,0.125,33.0,80.0
1.390625,27.0,44.0,0.75,27.0,80.0
1.592708,27.0,48.0,1.0,27.0,80.0
1.729167,40.0,42.0,1.0,40.0,80.0
1.864583,27.0,46.0,1.25,27.0,80.0
2.009375,40.0,49.0,1.375,33.0,80.0
2.098958,27.0,39.0,1.5,27.0,80.0
2.198958,33.0,27.0,1.625,33.0,80.0
2.2875,27.0,44.0,1.75,27.0,80.0
2.373958,33.0,49.0,1.875,33.0,80.0
2.505208,27.0,49.0,2.0,27.0,80.0
2.729167,40.0,54.0,2.05,40.0,83.0
3.184375,45.0,65.0,2.1,45.0,86.0
3.229167,47.0,72.0,2.15,47.0,89.0
3.246875,49.0,91.0,2.2,49.0,92.0
3.260417,51.0,91.0,2.25,51.0,115.0
3.261458,33.0,31.0,2.125,33.0,88.0
3.46875,40.0,61.0,2.625,33.0,49.0
3.472917,27.0,54.0,2.75,27.0,49.0
3.597917,33.0,42.0,2.875,33.0,49.0
3.686458,40.0,49.0,3.0,40.0,49.0
3.702083,27.0,51.0,3.0,27.0,49.0
3.85625,40.0,58.0,3.125,33.0,49.0
3.904167,27.0,53.0,3.25,27.0,49.0
3.91875,42.0,61.0,3.375,33.0,49.0
3.988542,33.0,40.0,3.625,33.0,49.0
4.102083,27.0,50.0,3.75,27.0,49.0
4.19375,33.0,48.0,3.875,33.0,49.0
4.327083,27.0,57.0,4.0,27.0,49.0
4.472917,40.0,55.0,4.05,40.0,58.0
4.873958,33.0,51.0,4.125,33.0,72.0
5.170833,40.0,54.0,4.25,40.0,96.0
5.23125,45.0,61.0,4.1,45.0,67.0
5.303125,49.0,85.0,4.2,49.0,86.0
5.376042,33.0,5.0,4.375,33.0,96.0
5.519792,40.0,62.0,4.25,51.0,115.0
5.527083,27.0,60.0,4.5,27.0,49.0
5.654167,33.0,56.0,4.625,33.0,49.0
5.754167,27.0,53.0,4.75,27.0,49.0
5.833333,33.0,56.0,4.875,33.0,49.0
5.921875,40.0,34.0,5.0,40.0,49.0
5.948958,27.0,56.0,5.0,27.0,49.0
6.088542,33.0,45.0,5.125,33.0,49.0
6.238542,27.0,47.0,5.25,27.0,49.0
6.332292,33.0,55.0,5.375,33.0,49.0
6.422917,27.0,47.0,5.5,27.0,49.0
6.511458,33.0,58.0,5.625,33.0,49.0
6.677083,27.0,52.0,5.75,27.0,49.0
6.78125,33.0,53.0,5.875,33.0,49.0
6.90625,27.0,53.0,6.0,27.0,49.0
6.969792,45.0,55.0,6.1,45.0,49.0
7.077083,49.0,59.0,6.2,49.0,49.0
7.080208,33.0,28.0,6.125,33.0,49.0
7.146875,51.0,72.0,6.25,51.0,58.0
7.238542,40.0,46.0,6.25,27.0,49.0
7.345833,33.0,59.0,6.375,33.0,49.0
7.433333,40.0,63.0,6.5,40.0,49.0
7.548958000000001,45.0,58.0,6.55,45.0,49.0
7.585417,49.0,62.0,6.6,49.0,49.0
7.616667,52.0,43.0,6.65,52.0,49.0
7.664583,54.0,68.0,6.7,54.0,49.0
7.703125,56.0,82.0,6.75,56.0,58.0
7.86875,39.0,56.0,7.0,39.0,49.0
7.99375,52.0,62.0,7.05,52.0,49.0
8.002083,57.0,60.0,7.1,57.0,49.0
8.046875,59.0,55.0,7.15,59.0,49.0
8.073958,61.0,72.0,7.2,61.0,49.0
8.10625,63.0,85.0,7.25,63.0,58.0
8.207292,45.0,48.0,7.375,45.0,49.0
8.247917,52.0,75.0,7.5,52.0,49.0
8.355208,57.0,65.0,7.550000000000001,57.0,49.0
8.366667,61.0,73.0,7.6,61.0,49.0
8.3875,64.0,74.0,7.65,64.0,49.0
8.407292,66.0,78.0,7.699999999999999,66.0,49.0
8.435417,68.0,86.0,7.75,68.0,58.0
8.570833,51.0,82.0,8.0,51.0,49.0
8.635417,64.0,76.0,8.25,64.0,58.0
8.65,69.0,77.0,8.28125,69.0,58.0
8.665625,71.0,70.0,8.3125,71.0,58.0
8.689583,73.0,81.0,8.34375,73.0,58.0
8.7125,75.0,89.0,8.375,75.0,58.0
8.85625,69.0,76.0,8.75,69.0,58.0
8.871875,73.0,81.0,8.78125,73.0,58.0
8.891667,76.0,80.0,8.8125,76.0,58.0
8.90625,78.0,77.0,8.84375,78.0,58.0
8.921875,80.0,90.0,8.875,80.0,58.0
9.00625,63.0,89.0,9.0,63.0,49.0
9.059375,76.0,78.0,9.25,76.0,58.0
9.077083,81.0,85.0,9.28125,81.0,58.0
9.095833,83.0,73.0,9.3125,83.0,58.0
9.098958,85.0,79.0,9.34375,85.0,58.0
9.119792,87.0,86.0,9.375,87.0,58.0
9.235417,81.0,95.0,9.75,81.0,58.0
9.254167,85.0,87.0,9.78125,85.0,58.0
9.2625,88.0,82.0,9.8125,88.0,58.0
9.271875,90.0,82.0,9.84375,90.0,58.0
9.283333,92.0,90.0,9.875,92.0,58.0
9.3625,75.0,97.0,10.0,75.0,49.0
9.421875,88.0,73.0,10.25,88.0,58.0
9.43125,93.0,86.0,10.28125,93.0,58.0
9.447917,95.0,77.0,10.3125,95.0,58.0
9.454167,97.0,88.0,10.34375,97.0,58.0
9.463542,99.0,92.0,10.375,99.0,58.0
9.621875,93.0,98.0,10.75,93.0,127.0
9.65,102.0,69.0,10.84375,102.0,127.0
9.655208,103.0,98.0,10.875,104.0,127.0
9.684375,97.0,36.0,10.78125,97.0,127.0
9.691667,100.0,56.0,10.8125,100.0,127.0
12.001042,70.0,34.0,12.0,70.0,112.0
12.00625,66.0,25.0,12.0,66.0,112.0
12.009375,64.0,32.0,12.0,64.0,112.0
12.5,80.0,41.0,12.5,80.0,112.0
14.172917,75.0,44.0,14.5,75.0,112.0
14.2,58.0,39.0,14.5,58.0,112.0
14.208333,64.0,38.0,14.5,64.0,112.0
14.213542,68.0,30.0,14.5,68.0,112.0
14.575,87.0,42.0,15.0,87.0,112.0
14.946875,90.0,46.0,15.5,90.0,112.0
15.962499999999999,87.0,31.0,16.5,87.0,112.0
16.495833,66.0,32.0,17.0,66.0,112.0
16.504167,70.0,38.0,17.0,70.0,112.0
16.519792,64.0,32.0,17.0,64.0,112.0
16.995833,80.0,54.0,17.5,80.0,112.0
18.521875,75.0,47.0,19.5,75.0,112.0
18.533333,68.0,33.0,19.5,68.0,112.0
